Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
129.573 ,37.257 ,75.706 ,235.558 ,43.545973893655976,83.30845247704863,2.711250301336967,156,148,7.707878E-3 ,2.104940E-3 ,60.857,7,58.740,3.408,262.699E-6 ,1.693,2.007,5.078,19.875,1.671 ,10.590,13.203,18.331,31.769,0.733200,0.422685,5.032 ,3.5389791666666666
150.815 ,103.771 ,84.687 ,582.209 ,61.36468292337329,83.20410803582749,3.8996482918179867,283,260,6.895100E-3 ,3.131947E-3 ,38.592,14,45.801,4.355,300.281E-6 ,2.047,2.402,6.140,17.520,1.460 ,9.692,12.406,15.807,29.076,0.682904,0.526009,3.670 ,3.5869791666666666
106.052 ,76.750 ,74.936 ,577.635 ,44.45185390807946,78.12843725006603,4.048356515887038,98,87,10.163204E-3 ,2.370898E-3 ,59.023,6,64.202,2.256,229.312E-6 ,1.239,1.417,3.717,16.151,1.375 ,9.290,7.768,10.518,27.870,0.768875,0.361110,6.382 ,2.6989791666666667
128.529 ,46.874 ,75.249 ,267.889 ,69.38046879117735,79.09060358629753,51.239573561297775,216,200,7.786499E-3 ,2.460886E-3 ,18.595,11,31.115,3.809,296.549E-6 ,1.886,2.141,5.658,18.364,1.573 ,9.280,13.224,17.121,27.841,0.732958,0.418118,5.047 ,2.4589791666666665
159.872 ,144.784 ,82.345 ,558.346 ,50.51025210959973,78.63194765849467,4.154158060809149,89,82,6.576935E-3 ,3.991704E-3 ,50.588,3,12.498,4.479,294.598E-6 ,2.371,1.886,7.112,17.423,1.388 ,9.182,12.673,17.283,27.546,0.706311,0.473996,4.255 ,1.7389791666666667
123.845 ,70.897 ,75.717 ,425.945 ,55.68828253233679,79.2039348193659,2.1911137155617837,297,271,8.035404E-3 ,3.327926E-3 ,44.422,20,49.717,3.899,313.270E-6 ,2.011,2.352,6.034,15.135,1.307 ,7.632,8.678,11.987,22.897,0.721504,0.455932,4.914 ,5.050979166666667
116.082 ,73.174 ,77.225 ,599.967 ,54.2612244178646,81.4627375790088,-2.8541897370760254,212,193,8.900603E-3 ,3.050436E-3 ,45.337,15,30.706,4.091,364.123E-6 ,2.022,2.336,6.067,18.228,1.551 ,8.927,11.147,13.016,26.782,0.704329,0.494037,4.308 ,3.898979166666667
124.103 ,64.486 ,75.364 ,573.819 ,53.700252630438584,81.45947086374504,2.6379401149870674,321,300,8.197361E-3 ,3.053058E-3 ,44.942,13,18.695,3.925,321.749E-6 ,1.954,1.999,5.863,16.387,1.469 ,7.831,10.900,14.613,23.493,0.732971,0.424391,5.174 ,5.170979166666666
143.949 ,22.829 ,100.940 ,213.624 ,71.83889095384426,82.0055282364642,38.14294064773706,25,23,7.265322E-3 ,0.814859E-3 ,13.636,0,0,3.662,266.079E-6 ,1.345,2.131,4.034,17.202,1.406 ,6.425,10.283,17.700,19.276,0.691772,0.489518,3.819 ,0.25097916666666664
142.060 ,71.809 ,76.674 ,474.514 ,57.86234497169246,81.27016406817701,3.173248432794101,344,315,7.233437E-3 ,2.855775E-3 ,40.681,20,37.301,4.174,301.933E-6 ,2.026,2.177,6.077,19.106,1.625 ,10.067,12.855,16.658,30.201,0.728247,0.420972,4.859 ,5.026979166666667
