Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
139.615,63.725,94.360,543.283,50.80940480020258,24.89694982283403,73.51731571430685,250,237,7.226352E-3,1.894969E-3,54.237,10,42.861,2.037,147.184E-6,1.012,1.308,3.037,17.143,1.498,7.737,10.756,18.291,23.212,0.755851,0.374767,5.553,4.76
151.401,97.436,82.724,587.077,51.40919031413522,19.26044602104875,74.31287143434088,998,940,6.723645E-3,2.658797E-3,44.747,40,38.669,2.367,159.152E-6,1.118,1.376,3.353,16.361,1.416,7.915,12.208,22.822,23.745,0.753606,0.390655,5.762,13.64
171.701,105.117,110.357,585.127,52.008728244453,18.98700619085935,73.51220482801033,837,785,5.980700E-3,2.283582E-3,46.736,26,34.087,2.497,149.321E-6,1.193,1.424,3.578,16.442,1.449,7.536,10.914,16.127,22.608,0.774836,0.346374,6.352,10.6
157.129,78.345,80.280,563.625,54.31011399257299,27.042613720061954,72.84840840495447,612,571,6.389797E-3,2.173363E-3,42.645,29,57.309,2.515,160.689E-6,1.200,1.403,3.600,16.807,1.464,7.865,11.886,18.212,23.596,0.754998,0.380478,5.656,8.8
168.833,102.748,75.461,591.521,52.159596510775145,22.272593748322574,74.0498021384347,1500,1398,6.029295E-3,2.429389E-3,47.834,74,58.466,2.478,149.412E-6,1.030,1.201,3.091,16.167,1.420,7.710,10.984,15.308,23.130,0.764841,0.369137,6.153,21.04
161.171,102.265,81.035,568.630,48.339402480533174,19.568131080677116,71.78121954795547,547,510,6.421367E-3,2.533997E-3,49.936,18,20.293,2.438,156.557E-6,1.160,1.396,3.481,15.547,1.358,7.188,10.266,15.704,21.565,0.769023,0.352572,6.151,7.8
159.693,90.514,97.388,578.546,49.281802557360365,19.442718231717908,74.61270655121636,737,692,6.448665E-3,2.177440E-3,52.074,25,28.548,2.386,153.867E-6,1.084,1.234,3.252,15.951,1.354,7.317,10.849,17.320,21.952,0.767426,0.368487,6.206,10.88
173.477,104.149,66.999,591.400,53.482203807514516,18.985345005106208,73.83006480455676,1040,975,5.868308E-3,2.383079E-3,40.706,41,50.019,2.300,134.974E-6,1.056,1.221,3.168,16.650,1.455,7.934,12.044,17.359,23.801,0.766095,0.358581,6.087,11.92
157.044,73.635,94.310,544.145,52.334709729630966,19.964822263539943,72.8959134653171,802,753,6.396454E-3,1.988882E-3,49.013,42,43.735,2.129,136.171E-6,0.977,1.134,2.932,17.780,1.541,7.878,11.924,19.578,23.635,0.753565,0.392166,5.668,11.68
177.275,106.175,82.971,595.358,51.50923380722541,19.048996850288823,74.45089878653191,2585,2413,5.774266E-3,2.300384E-3,41.756,92,42.507,2.873,165.901E-6,1.397,1.657,4.191,16.736,1.483,7.744,11.852,19.471,23.232,0.768664,0.364348,6.340,28.84
142.126,21.617,82.414,173.457,51.325811035427975,26.185336996932797,73.30634538865772,207,201,7.056595E-3,1.208550E-3,52.522,5,19.002,1.887,133.144E-6,0.883,1.215,2.649,16.027,1.436,6.739,10.262,16.666,20.217,0.812852,0.272292,7.710,3.4
151.307,49.910,75.715,576.503,53.65030405286698,24.585246212016052,74.12114811955364,705,670,6.664270E-3,1.570836E-3,42.872,26,36.029,1.874,124.882E-6,0.869,0.984,2.606,14.649,1.300,7.148,10.423,14.910,21.445,0.790936,0.314444,6.898,9.36
155.038,70.493,93.044,550.533,49.04060151823217,19.744574209726515,73.83749901070387,441,408,6.535271E-3,1.853135E-3,55.886,23,63.262,2.021,132.092E-6,0.922,1.031,2.767,14.411,1.316,6.937,9.982,11.381,20.812,0.784389,0.335213,6.743,7.76
159.777,78.156,75.655,596.674,52.41407580768423,19.29286574392114,74.32319051491196,1443,1364,6.356813E-3,1.937368E-3,43.188,52,42.028,2.167,137.730E-6,1.024,1.195,3.072,15.310,1.384,7.149,10.279,15.766,21.447,0.773488,0.358524,6.424,17.72
186.112,123.561,81.763,595.301,53.417871605527075,24.177728205164563,74.91101554077089,871,818,5.521689E-3,2.481630E-3,40.022,27,47.655,2.963,163.589E-6,1.374,1.606,4.122,17.170,1.488,8.029,12.911,20.366,24.086,0.764309,0.366844,6.087,9.0
172.129,100.164,80.569,597.954,50.280096245984836,19.94428185278339,74.24004410046263,1202,1137,5.876114E-3,2.324285E-3,46.246,47,35.881,2.640,155.147E-6,1.233,1.374,3.698,16.358,1.444,7.449,11.491,18.017,22.348,0.781162,0.344743,6.774,15.08
162.961,79.591,103.932,593.357,50.835536676889646,19.973067122869193,72.73612898952435,660,621,6.197626E-3,1.964567E-3,49.011,30,58.953,2.267,140.491E-6,1.035,1.263,3.106,15.121,1.402,6.969,10.108,15.081,20.907,0.772045,0.359807,6.378,9.64
161.945,75.669,76.037,581.568,52.5873876546642,20.3519909035596,74.13480720989126,1213,1143,6.253633E-3,1.933041E-3,43.295,48,40.665,2.452,153.327E-6,1.097,1.254,3.292,16.931,1.482,7.723,11.755,19.156,23.169,0.745794,0.410395,5.558,14.72
169.691,94.486,73.313,586.534,49.28516479124027,23.750625771256,72.65948148027674,821,789,5.942007E-3,2.218114E-3,49.396,22,40.456,2.276,135.255E-6,1.073,1.270,3.218,15.678,1.407,7.238,10.541,17.525,21.715,0.786385,0.330133,6.830,10.8
213.766,146.786,75.480,598.657,47.27266842893121,22.81157468476707,73.4339444429079,571,527,4.848066E-3,2.680324E-3,58.264,25,52.136,3.229,156.534E-6,1.542,1.690,4.627,17.492,1.500,8.185,12.919,21.659,24.556,0.735046,0.417295,5.163,8.44
