Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
165.989,53.497,97.054,309.250,50.18491439398596,33.86001737568687,74.47421257888027,75,70,6.038961E-3,1.842467E-3,68.617,3,16.106,3.181,192.127E-6,0.746,0.967,2.238,14.653,1.278,6.598,10.625,12.400,19.795,0.848185,0.205206,8.444,1.92
114.601,17.460,88.284,147.860,49.8377928232799,26.14471668128767,73.79822473354055,122,118,8.719680E-3,1.314990E-3,47.368,3,49.340,2.185,190.567E-6,0.875,1.080,2.626,11.070,1.068,4.870,7.292,12.560,14.609,0.850317,0.197686,8.921,2.12
170.653,140.143,76.053,594.212,57.47312408893794,27.21836306797305,74.34406346355075,343,324,6.037653E-3,3.413809E-3,36.795,12,26.636,3.318,200.341E-6,1.305,1.589,3.915,15.838,1.487,6.601,9.915,20.503,19.803,0.813947,0.274688,7.807,3.4
128.811,39.194,66.719,400.115,56.46356482973081,31.035429389169607,74.27773463817515,409,394,7.832809E-3,1.892261E-3,43.451,13,25.880,2.533,198.378E-6,0.898,1.094,2.694,11.752,1.122,4.866,6.923,12.020,14.599,0.854480,0.209973,9.797,6.52
122.909,28.733,78.991,301.258,57.59365568601329,28.189751574300512,75.03989630798833,311,290,8.229157E-3,1.633626E-3,44.037,18,40.261,2.538,208.844E-6,0.844,1.154,2.531,12.188,1.165,5.039,7.545,12.575,15.117,0.827402,0.253308,8.383,5.48
161.259,115.871,83.073,628.448,57.392067932398874,30.776385941251355,75.4789580605003,520,487,6.397538E-3,2.930745E-3,45.283,19,33.943,2.360,150.967E-6,0.833,1.074,2.499,12.657,1.142,4.766,7.044,12.709,14.299,0.850251,0.209702,9.551,6.92
134.407,61.063,75.297,581.862,53.45729238483909,24.67750130391145,75.55091541812673,1130,1078,7.519048E-3,2.265595E-3,52.790,42,44.229,2.452,184.346E-6,0.946,1.228,2.839,12.555,1.153,5.306,7.991,11.527,15.919,0.835955,0.243747,8.766,19.92
150.582,82.428,75.492,572.832,57.3006308718548,24.7027683652548,74.3504371677662,1077,1025,6.807249E-3,2.579325E-3,34.988,34,31.651,2.722,185.267E-6,1.109,1.487,3.327,13.565,1.219,6.050,8.229,13.018,18.150,0.836133,0.242044,9.268,12.32
150.210,39.746,83.585,320.902,57.86739076822812,25.56559923793726,75.11005394552939,237,228,6.648651E-3,1.533699E-3,40.351,7,27.705,2.777,184.661E-6,1.126,1.406,3.379,13.256,1.210,5.433,8.454,11.288,16.300,0.854100,0.219296,9.992,2.88
136.618,89.701,76.309,626.205,54.08057815605436,25.470876129070813,74.51499419589896,882,833,7.436659E-3,3.124248E-3,48.318,40,46.274,2.853,212.165E-6,1.080,1.266,3.239,13.574,1.267,5.488,7.955,13.326,16.465,0.811611,0.284872,7.924,14.0
