Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
185.301 ,132.541 ,78.037 ,552.691 ,54.777033610309545,83.58643534810456,7.150204978844812,77,70,5.620753E-3 ,2.745818E-3 ,52.475,2,7.075,3.929,220.834E-6 ,2.107,2.507,6.321,17.281,1.552 ,8.489,12.337,41.689,25.468,0.708607,0.485935,4.345 ,1.040453514739229
135.740 ,102.024 ,77.721 ,549.812 ,56.50686354307558,75.88432979224501,14.519556265430275,471,432,7.508824E-3 ,3.464345E-3 ,33.333,22,36.037,3.070,230.498E-6 ,1.633,1.857,4.899,18.323,1.651 ,7.849,12.020,20.093,23.548,0.746262,0.400330,5.445 ,6.421678004535147
128.646 ,88.286 ,74.436 ,553.976 ,58.119609492775076,85.57956258977951,10.157500494680903,482,445,7.895271E-3 ,3.144292E-3 ,39.359,24,36.617,2.639,208.327E-6 ,1.268,1.649,3.805,19.650,1.616 ,9.605,10.667,12.389,28.814,0.763408,0.356996,5.866 ,6.891882086167801
186.576 ,154.361 ,74.747 ,606.233 ,53.88031236163621,75.86165674104507,-2.6206523218497875,633,586,5.594208E-3 ,3.589298E-3 ,39.650,21,32.391,3.129,175.068E-6 ,1.597,1.798,4.790,19.062,1.589 ,8.680,12.484,16.474,26.039,0.752081,0.389202,5.622 ,6.891882086167801
139.438 ,98.471 ,87.452 ,586.628 ,56.83048429139644,76.93796001407935,5.854074309367114,420,395,7.330823E-3 ,2.869907E-3 ,37.064,13,29.802,1.995,146.221E-6 ,0.928,1.081,2.784,16.399,1.424 ,6.907,10.415,15.564,20.721,0.785582,0.312624,6.620 ,5.4812698412698415
126.864 ,97.638 ,82.383 ,599.394 ,53.9745193057023,73.11250342505507,19.82801583751295,343,320,8.013207E-3 ,3.498821E-3 ,43.640,17,26.524,2.911,233.252E-6 ,1.604,1.785,4.811,21.090,1.815 ,9.732,14.127,23.247,29.197,0.709220,0.477074,4.370 ,5.690249433106576
133.228 ,93.144 ,72.906 ,588.860 ,56.52200805396264,72.87844811729938,1.2088286257381045,1189,1124,7.643367E-3 ,3.227859E-3 ,28.886,45,34.518,3.047,232.871E-6 ,1.507,1.806,4.522,17.894,1.526 ,8.187,11.514,17.897,24.562,0.744128,0.401751,5.405 ,14.5718820861678
126.186 ,90.575 ,80.388 ,598.659 ,52.67939918006836,77.82144567586313,6.703859472996151,624,589,8.045768E-3 ,3.131161E-3 ,41.295,25,47.330,2.690,216.470E-6 ,1.417,1.652,4.250,18.172,1.581 ,8.050,10.785,12.687,24.151,0.748937,0.386278,5.495 ,9.451882086167801
139.117 ,115.364 ,75.511 ,622.094 ,52.876141915792,73.74748437968432,9.243592624394356,692,640,7.432939E-3 ,3.958550E-3 ,38.632,31,40.390,4.066,302.219E-6 ,2.284,2.696,6.853,20.480,1.722 ,9.863,12.565,19.972,29.590,0.700920,0.491223,4.153 ,9.974331065759637
150.059 ,130.265 ,72.636 ,595.551 ,53.74296074964995,74.84268430265791,13.012692134006302,1057,991,6.794401E-3 ,4.055138E-3 ,37.798,47,45.142,3.629,246.561E-6 ,2.027,2.368,6.080,19.801,1.681 ,9.348,12.657,20.840,28.044,0.694226,0.504342,4.030 ,13.474739229024943
111.542 ,45.452 ,69.170 ,459.528 ,49.078236327110595,70.3880943820255,19.324475653936418,410,385,9.030504E-3 ,2.322038E-3 ,47.324,22,32.390,2.684,242.379E-6 ,1.415,1.795,4.244,18.321,1.627 ,8.555,10.574,13.764,25.664,0.735148,0.419667,5.222 ,8.250249433106577
119.940 ,76.834 ,75.457 ,591.285 ,54.713705932468734,72.52359274023513,10.341282502676378,945,878,8.532270E-3 ,2.856752E-3 ,33.577,46,34.172,2.653,226.381E-6 ,1.428,1.655,4.285,17.877,1.599 ,8.353,11.834,15.392,25.058,0.710084,0.468715,4.414 ,13.735963718820862
168.935 ,139.695 ,76.448 ,592.323 ,48.859857189132384,68.44922095305965,13.662311755522945,873,804,6.148623E-3 ,3.854655E-3 ,41.828,39,41.989,3.710,228.104E-6 ,2.005,2.489,6.016,19.393,1.753 ,9.327,13.054,15.345,27.981,0.704465,0.483386,4.285 ,10.86249433106576
112.013 ,28.308 ,75.446 ,410.952 ,53.81508548371194,71.90420305284805,22.91272660379226,233,218,8.963125E-3 ,1.648365E-3 ,34.682,13,36.083,3.295,295.357E-6 ,1.799,2.025,5.396,16.106,1.432 ,8.053,11.022,17.134,24.159,0.710283,0.465327,4.346 ,3.4959637188208617
129.582 ,95.184 ,73.351 ,501.018 ,46.35661372365629,73.52525243938462,2.7487671645198337,251,234,8.078389E-3 ,3.815056E-3 ,51.073,9,24.632,3.679,297.181E-6 ,2.233,2.739,6.699,17.770,1.575 ,8.691,10.597,10.439,26.073,0.684053,0.518253,3.645 ,4.697596371882086
125.547 ,40.860 ,99.753 ,217.996 ,46.77223618763621,69.38235969042604,-3.6753220665354718,41,37,7.980589E-3 ,2.340026E-3 ,67.039,3,27.845,4.483,357.786E-6 ,2.640,2.854,7.921,16.938,1.618 ,7.078,14.524,--undefined--,21.234,0.695201,0.475659,3.816 ,1.824126984126984
139.023 ,105.067 ,101.940 ,592.197 ,47.01906990639484,77.35338587031129,2.9075983836504427,57,53,7.322100E-3 ,3.041918E-3 ,64.085,1,4.181,4.681,342.749E-6 ,2.826,3.614,8.478,13.038,1.472 ,5.645,3.521,4.399,16.934,0.704667,0.480928,4.535 ,1.4584126984126984
126.622 ,17.374 ,95.679 ,148.999 ,56.62652507652582,75.35762622100873,8.730854537318537,63,62,7.927885E-3 ,1.165020E-3 ,41.111,0,0,4.205,333.331E-6 ,2.231,2.434,6.694,18.587,1.669 ,7.927,14.902,15.051,23.781,0.694484,0.528635,4.237 ,0.9359637188208617
144.424 ,80.380 ,78.493 ,529.398 ,59.91360023623015,82.64761792086628,11.874059986711568,797,758,6.966395E-3 ,2.621287E-3 ,37.171,31,45.695,3.313,230.822E-6 ,1.702,1.840,5.105,17.866,1.534 ,8.045,11.272,15.540,24.136,0.737916,0.409781,5.184 ,10.28780045351474
136.846 ,89.737 ,75.383 ,599.020 ,55.44292921513809,79.64601133578853,11.70889317860054,558,525,7.375410E-3 ,3.190460E-3 ,41.106,27,37.462,4.199,309.658E-6 ,2.259,2.922,6.778,17.891,1.547 ,8.359,12.103,14.022,25.078,0.721479,0.449927,4.904 ,8.354739229024943
143.327 ,88.366 ,80.203 ,585.470 ,58.421756269004554,79.30871372109307,17.189984699887756,689,642,7.180399E-3 ,2.707297E-3 ,35.771,28,31.217,3.022,216.999E-6 ,1.491,1.669,4.473,19.243,1.712 ,9.218,12.445,16.369,27.654,0.720787,0.448160,4.751 ,8.929433106575964
130.455 ,74.266 ,75.455 ,558.092 ,55.30974926809107,81.14136941907452,11.190777784523409,564,530,7.730424E-3 ,2.757031E-3 ,42.220,29,35.511,3.161,244.327E-6 ,1.661,1.695,4.983,16.934,1.497 ,8.585,10.880,14.353,25.754,0.740497,0.405264,5.298 ,8.772698412698412
136.400 ,101.562 ,72.786 ,589.904 ,54.75472947714471,77.0942328892313,4.2779165140045,411,381,7.430360E-3 ,3.335005E-3 ,45.606,22,35.723,3.406,253.043E-6 ,1.758,1.913,5.274,17.703,1.529 ,8.860,10.465,14.623,26.581,0.700455,0.489908,4.232 ,6.630657596371882
126.491 ,78.875 ,78.209 ,593.573 ,56.292204639335075,77.84839785144993,6.051505156691739,478,444,7.956671E-3 ,2.846155E-3 ,42.658,29,36.768,3.112,247.573E-6 ,1.691,1.894,5.073,18.032,1.536 ,8.983,11.160,19.964,26.948,0.719887,0.436616,4.499 ,7.936780045351474
124.416 ,67.551 ,75.121 ,599.301 ,56.009257696100974,78.43696156271011,13.773880721946288,751,701,8.034948E-3 ,2.600216E-3 ,44.503,45,46.261,2.858,229.637E-6 ,1.443,1.702,4.329,18.925,1.621 ,8.427,11.031,15.729,25.281,0.712544,0.456189,4.379 ,13.318004535147391
131.982 ,74.843 ,72.761 ,536.032 ,53.61067817662948,75.20445559151041,-0.017451548640374712,501,466,7.611587E-3 ,2.924548E-3 ,46.081,29,30.241,3.036,231.091E-6 ,1.553,1.793,4.660,18.737,1.613 ,9.885,11.764,17.264,29.654,0.704121,0.475773,4.199 ,8.45922902494331
137.422 ,71.846 ,77.751 ,536.055 ,56.79627977300903,74.14955625106303,11.215193063974871,647,596,7.422718E-3 ,2.455203E-3 ,43.308,36,43.597,2.603,193.207E-6 ,1.366,1.570,4.099,18.469,1.588 ,8.946,10.563,13.734,26.837,0.731640,0.427301,5.167 ,10.496780045351475
130.397 ,63.029 ,84.398 ,515.171 ,57.087922284820394,72.66814212907161,6.774445930350047,625,589,7.726655E-3 ,2.436967E-3 ,36.713,30,32.319,3.186,246.189E-6 ,1.684,1.895,5.051,18.801,1.617 ,8.413,11.750,18.165,25.239,0.709693,0.475002,4.537 ,8.615963718820861
132.896 ,86.535 ,75.077 ,537.026 ,55.04720863352288,75.09446505656906,7.469072059013801,460,423,7.698141E-3 ,2.939185E-3 ,44.789,28,38.553,3.132,241.089E-6 ,1.692,1.898,5.076,18.027,1.543 ,9.124,11.291,15.570,27.372,0.693817,0.496803,3.955 ,8.093514739229025
174.890 ,127.002 ,81.557 ,568.563 ,55.2738626410945,79.23564294384803,16.8401641509157,340,316,5.771100E-3 ,2.921336E-3 ,52.545,17,46.594,3.285,189.599E-6 ,1.832,2.082,5.497,20.185,1.766 ,9.082,11.688,14.113,27.246,0.702179,0.492680,4.346 ,5.533514739229025
129.439 ,53.777 ,74.930 ,445.481 ,50.49086403394247,74.73931324693542,-1.6600913169856621,358,332,7.693816E-3 ,2.219220E-3 ,55.451,20,36.545,2.818,216.784E-6 ,1.548,1.550,4.643,18.289,1.610 ,8.585,11.070,16.169,25.755,0.693783,0.497101,3.994 ,7.466575963718821
138.483 ,79.981 ,74.952 ,552.826 ,60.32780133382907,78.16928166115757,19.17288465107888,350,326,7.226545E-3 ,2.677978E-3 ,39.817,19,47.116,3.157,228.117E-6 ,1.662,1.806,4.986,20.222,1.759 ,9.267,11.614,10.788,27.801,0.667194,0.566060,3.453 ,5.4812698412698415
160.171 ,124.565 ,82.761 ,615.874 ,50.905269471651685,77.79645109267393,3.691952843541321,736,679,6.406734E-3 ,3.302081E-3 ,54.660,35,40.042,3.676,235.503E-6 ,2.028,2.342,6.085,20.403,1.752 ,9.613,12.635,18.764,28.840,0.689988,0.509427,3.842 ,12.691065759637189
148.246 ,96.447 ,86.427 ,556.136 ,51.85866489930787,73.09734673117147,6.574746331853987,356,327,6.919243E-3 ,2.907360E-3 ,49.212,17,30.657,3.610,249.769E-6 ,2.043,2.591,6.128,18.920,1.661 ,9.835,12.064,16.168,29.505,0.690453,0.505731,3.875 ,5.7424943310657595
133.428 ,39.534 ,81.896 ,306.436 ,54.23541858025938,71.14157187821671,20.303205634136763,229,209,7.432743E-3 ,1.944026E-3 ,53.565,19,49.420,3.022,224.609E-6 ,1.517,1.958,4.551,18.974,1.637 ,9.463,12.662,15.381,28.389,0.693722,0.489075,3.899 ,5.220045351473923
124.197 ,31.208 ,83.314 ,279.780 ,51.65177237015033,74.6555202563614,4.738849652317927,407,380,8.067186E-3 ,1.777775E-3 ,56.008,26,52.610,3.593,289.821E-6 ,2.035,2.405,6.106,18.899,1.711 ,9.051,11.036,17.481,27.152,0.661020,0.576352,3.253 ,9.608616780045352
137.181 ,94.858 ,76.288 ,586.684 ,50.778081216644445,74.02928755623287,14.855185184797703,530,498,7.340834E-3 ,2.986317E-3 ,53.119,26,39.161,2.744,201.419E-6 ,1.549,1.697,4.647,18.293,1.634 ,8.514,10.822,15.064,25.541,0.704606,0.479764,4.374 ,9.974331065759637
147.223 ,86.607 ,91.459 ,555.003 ,50.586042934743425,79.29196431427115,-3.2091188313074466,308,286,6.874438E-3 ,2.489699E-3 ,55.109,17,39.855,2.962,203.591E-6 ,1.547,1.750,4.642,18.651,1.678 ,8.664,10.946,14.707,25.991,0.713097,0.445604,4.288 ,6.003718820861678
156.131 ,121.970 ,83.434 ,580.321 ,50.3137379331217,74.64900471263144,-5.541407260582707,454,415,6.553949E-3 ,3.370774E-3 ,60.369,23,41.159,2.877,188.557E-6 ,1.514,1.772,4.543,18.461,1.645 ,8.920,10.852,16.038,26.761,0.672142,0.536054,3.396 ,9.242902494331066
