Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
214.301 ,103.657 ,125.592 ,483.684 ,49.746983204639356,76.46095543280151,4.371869414382173,206,197,4.754496E-3 ,1.898296E-3 ,58.582,3,8.773,3.127,148.672E-6 ,1.681,1.909,5.044,17.395,1.635 ,8.365,12.074,24.928,25.094,0.782959,0.327673,6.509 ,2.7122902494331065
202.196 ,128.462 ,76.458 ,589.568 ,56.04399740501146,80.14067802242984,23.979830150593415,1046,992,5.047752E-3 ,2.875191E-3 ,37.592,26,33.236,3.258,164.467E-6 ,1.649,1.960,4.947,19.754,1.687 ,9.620,13.650,22.599,28.860,0.769333,0.355135,6.165 ,9.504126984126984
170.114 ,98.201 ,80.441 ,566.152 ,58.055705953835314,79.62373332453225,13.559037005716611,1248,1190,5.941361E-3 ,2.642949E-3 ,30.217,38,39.180,3.411,202.640E-6 ,1.790,2.043,5.370,19.596,1.612 ,10.000,14.766,24.410,30.000,0.760725,0.372314,5.894 ,12.0118820861678
170.473 ,109.139 ,77.312 ,584.163 ,55.07035565503966,77.9980673303301,20.681595451918593,1005,956,5.981909E-3 ,2.725236E-3 ,34.927,29,33.279,3.247,194.205E-6 ,1.727,2.030,5.180,18.916,1.594 ,9.336,12.504,18.639,28.008,0.777137,0.336753,6.335 ,10.28780045351474
208.524 ,132.160 ,80.817 ,598.655 ,54.434043921134844,77.69508724294712,16.942073351155805,1185,1129,4.897063E-3 ,2.711544E-3 ,37.950,32,35.145,3.408,166.905E-6 ,1.684,1.988,5.052,19.222,1.629 ,9.561,12.934,19.290,28.683,0.761656,0.368393,6.052 ,10.86249433106576
188.252 ,115.509 ,78.561 ,586.091 ,52.04002903029555,77.73329294222029,7.882842939843253,1633,1541,5.399375E-3 ,2.901206E-3 ,40.882,51,39.261,3.716,200.662E-6 ,1.986,2.397,5.959,19.380,1.696 ,9.256,13.615,22.538,27.769,0.740937,0.415110,5.374 ,16.818412698412697
189.989 ,124.665 ,70.070 ,583.346 ,51.481487751275026,74.48275723249083,15.607429248555382,647,609,5.360068E-3 ,2.873171E-3 ,41.245,24,33.567,3.341,179.079E-6 ,1.682,1.935,5.047,19.294,1.625 ,9.494,13.318,16.385,28.482,0.740790,0.406315,5.277 ,6.944126984126984
181.000 ,104.288 ,86.020 ,565.605 ,50.5087112928824,76.87289737181256,7.779527783648566,1064,1011,5.578932E-3 ,2.780949E-3 ,43.652,38,39.810,3.677,205.150E-6 ,1.993,2.213,5.980,17.617,1.609 ,8.942,11.976,18.575,26.827,0.737434,0.420252,5.267 ,12.795555555555556
206.515 ,129.985 ,94.561 ,582.727 ,51.661934560779464,74.61459352065086,9.663617155704248,849,801,4.948522E-3 ,2.794407E-3 ,42.657,29,34.072,3.436,170.024E-6 ,1.843,2.158,5.529,18.322,1.586 ,8.669,12.201,17.527,26.006,0.744488,0.401905,5.449 ,8.615963718820861
228.402 ,158.752 ,81.539 ,597.019 ,49.39214777185906,75.39410639593177,2.364113999834817,536,494,4.552139E-3 ,2.966072E-3 ,49.212,15,36.311,3.979,181.131E-6 ,1.940,1.974,5.821,21.181,1.691 ,11.301,16.249,29.235,33.902,0.703481,0.480749,4.201 ,5.7424943310657595
