Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
159.742 ,22.845 ,119.535 ,195.975 ,47.78420775334817,60.98969621265582,12.398491264823493,82,81,6.254043E-3 ,0.994234E-3 ,13.559,0,0,3.632,227.128E-6 ,1.787,2.510,5.360,20.325,1.889 ,10.202,12.982,14.891,30.605,0.721740,0.447476,4.795 ,0.6224943310657597
127.542 ,29.590 ,75.141 ,266.868 ,42.8751780685892,59.40800117939037,5.748844324296232,259,252,7.849015E-3 ,1.643274E-3 ,18.288,4,9.031,3.396,266.541E-6 ,1.758,2.100,5.273,18.103,1.640 ,8.888,9.511,18.254,26.663,0.743575,0.405833,5.381 ,2.607800453514739
149.825 ,79.099 ,97.928 ,581.330 ,44.683124955606274,63.264010451061246,10.77861519826498,481,462,6.781777E-3 ,2.228502E-3 ,20.899,12,23.826,2.593,175.818E-6 ,1.340,1.496,4.019,18.071,1.530 ,8.186,12.531,19.362,24.558,0.781015,0.328412,6.483 ,4.488616780045351
143.234 ,106.496 ,93.460 ,592.266 ,42.166594085332854,59.931454615478536,6.028582016212136,338,315,7.003074E-3 ,3.074708E-3 ,24.309,15,35.019,3.687,258.217E-6 ,1.961,2.182,5.884,18.425,1.592 ,9.420,10.163,13.901,28.261,0.721886,0.457189,4.782 ,3.6526984126984128
132.524 ,63.599 ,89.998 ,453.871 ,40.4886270354085,58.749040823431116,12.327706032794152,439,411,7.615529E-3 ,2.273650E-3 ,23.029,19,27.756,3.198,243.550E-6 ,1.818,2.225,5.455,18.742,1.608 ,8.805,10.113,14.732,26.416,0.739319,0.424314,5.264 ,4.854331065759637
119.057 ,38.997 ,91.065 ,407.084 ,42.49119057097961,69.21715626241367,-1.598704547820553,541,506,8.465831E-3 ,1.771713E-3 ,53.676,32,57.086,2.799,236.929E-6 ,1.474,1.675,4.421,18.981,1.687 ,8.409,10.227,15.196,25.226,0.758691,0.365914,5.600 ,10.914739229024944
133.898 ,91.364 ,96.452 ,591.448 ,39.2526473494927,60.45174507774923,9.35436172594811,196,184,7.595735E-3 ,2.782568E-3 ,35.117,8,22.797,3.558,270.289E-6 ,1.769,2.300,5.308,21.145,1.718 ,10.263,11.897,19.703,30.789,0.723241,0.437550,4.770 ,3.0257596371882087
120.023 ,19.838 ,88.507 ,145.274 ,40.6083517214215,73.4328293384142,0.6079203102067623,66,55,8.279336E-3 ,1.400811E-3 ,84.337,9,63.508,1.111,91.955E-6 ,0.499,0.656,1.498,21.326,1.727 ,10.827,16.187,--undefined--,32.481,0.760772,0.334574,5.327 ,5.846984126984127
113.455 ,14.198 ,82.220 ,196.992 ,41.8623529819296,62.79936559405979,13.569820909032833,476,441,8.838597E-3 ,1.086136E-3 ,43.135,33,53.431,2.923,258.370E-6 ,1.513,1.684,4.540,18.999,1.597 ,8.962,11.778,23.544,26.885,0.738746,0.398359,5.122 ,8.772698412698412
161.583 ,94.793 ,99.671 ,485.924 ,38.04071845150513,57.87420883950125,1.4161235675322117,335,314,6.431759E-3 ,2.628865E-3 ,28.613,10,29.308,3.027,194.699E-6 ,1.592,1.828,4.776,20.335,1.729 ,10.269,15.180,18.815,30.807,0.739531,0.418320,5.113 ,3.4959637188208617
134.498 ,62.679 ,105.160 ,442.403 ,37.176034160780524,70.69327712105016,14.929493648366787,124,116,7.575938E-3 ,1.997056E-3 ,68.923,5,55.343,1.789,135.523E-6 ,0.863,0.977,2.589,19.777,1.580 ,7.796,11.510,14.101,23.388,0.834758,0.226915,8.334 ,3.286984126984127
