Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
139.882 ,28.355 ,80.855 ,180.075 ,46.151787187968196,72.16041896777399,-24.034427296406232,81,77,7.129783E-3 ,1.483585E-3 ,47.934,1,11.829,2.935,209.255E-6 ,1.405,1.847,4.214,19.816,1.674 ,8.695,13.292,18.519,26.086,0.788773,0.329145,6.664 ,1.2494331065759636
163.584 ,47.861 ,119.674 ,331.150 ,48.069641098582274,80.45235057280316,5.120708519220964,229,221,6.137454E-3 ,1.567592E-3 ,48.639,5,19.484,3.467,212.762E-6 ,1.669,1.873,5.008,19.020,1.569 ,8.115,13.332,15.707,24.345,0.783899,0.325255,6.577 ,2.973514739229025
141.305 ,75.271 ,72.450 ,625.778 ,48.46901776652377,72.37660382862201,-1.7388235008347883,797,755,7.119371E-3 ,2.252230E-3 ,40.098,28,32.649,2.715,193.293E-6 ,1.314,1.504,3.943,19.471,1.656 ,8.804,13.261,16.911,26.412,0.754545,0.383063,5.900 ,10.28780045351474
140.579 ,111.023 ,75.153 ,598.317 ,36.951169912047526,70.10796027742187,4.923102631044242,143,132,7.520599E-3 ,3.091311E-3 ,61.270,6,22.319,4.958,372.879E-6 ,2.622,2.555,7.865,21.782,1.641 ,9.605,15.763,71.907,28.816,0.696557,0.493059,4.088 ,3.18249433106576
136.880 ,30.209 ,96.591 ,320.835 ,47.443473945204055,75.11059365578417,5.123990576700691,413,398,7.326974E-3 ,1.275811E-3 ,43.286,12,21.825,2.042,149.603E-6 ,1.027,1.316,3.082,16.825,1.446 ,6.710,10.024,20.634,20.130,0.796051,0.309215,6.962 ,5.690249433106576
138.604 ,57.912 ,83.256 ,477.911 ,47.019363964518966,71.53271822629587,4.916672971733696,527,499,7.202718E-3 ,2.120969E-3 ,37.630,18,43.294,3.189,229.693E-6 ,1.611,1.997,4.832,18.738,1.631 ,8.773,13.425,21.415,26.318,0.735558,0.411927,5.030 ,6.787392290249433
131.830 ,54.172 ,73.199 ,583.907 ,46.435824551044476,74.73388461170168,3.718497746984761,1015,967,7.652945E-3 ,1.947571E-3 ,39.375,38,36.841,2.465,188.618E-6 ,1.228,1.364,3.683,17.266,1.506 ,8.283,11.694,18.560,24.849,0.759984,0.363488,5.780 ,14.101678004535147
131.254 ,28.320 ,67.093 ,481.975 ,47.403411271809674,74.61163142622641,7.749731346420077,805,770,7.649701E-3 ,1.367960E-3 ,44.888,33,39.914,2.786,213.111E-6 ,1.491,1.689,4.472,18.888,1.628 ,8.426,12.675,22.819,25.277,0.765803,0.364255,6.129 ,12.064126984126984
131.470 ,54.199 ,69.336 ,598.908 ,46.34460961094739,74.73116851290403,6.466660758547906,907,852,7.700893E-3 ,1.695513E-3 ,44.228,40,51.285,2.467,189.976E-6 ,1.179,1.331,3.538,19.005,1.643 ,8.716,12.555,19.640,26.147,0.779654,0.329872,6.416 ,13.892698412698413
142.027 ,70.185 ,88.185 ,589.365 ,47.525306087615455,72.19208342567356,7.0525909412457946,922,873,7.099564E-3 ,2.187786E-3 ,39.346,33,37.117,3.223,228.825E-6 ,1.651,1.961,4.954,18.788,1.603 ,8.648,11.957,16.240,25.943,0.739677,0.418741,5.501 ,11.959637188208617
127.871 ,22.449 ,81.902 ,282.490 ,47.35116765827779,72.76353553445007,8.855637909273659,675,641,7.834127E-3 ,1.207879E-3 ,44.264,31,41.429,3.049,238.826E-6 ,1.572,1.810,4.715,18.675,1.606 ,9.072,13.736,18.102,27.216,0.735334,0.421660,5.109 ,10.496780045351475
134.921 ,65.935 ,97.490 ,587.158 ,38.90547817200765,69.61367338344343,4.393516047998384,277,261,7.399258E-3 ,2.308812E-3 ,55.856,13,28.247,3.399,251.501E-6 ,1.777,2.114,5.332,19.569,1.644 ,8.802,13.579,22.426,26.406,0.725029,0.450504,4.806 ,5.585759637188208
144.478 ,69.416 ,69.053 ,598.509 ,45.335777412395444,70.27422074801243,1.2166820311196944,831,782,7.016911E-3 ,2.072254E-3 ,43.231,33,39.662,2.706,189.858E-6 ,1.421,1.677,4.264,18.187,1.561 ,9.195,11.345,17.874,27.584,0.750112,0.384297,5.425 ,11.489433106575964
132.068 ,17.597 ,97.171 ,182.690 ,43.186822285346224,67.82339211280946,-0.7561149658389649,401,375,7.567809E-3 ,0.993911E-3 ,49.407,25,37.377,2.656,200.979E-6 ,1.293,1.541,3.878,19.344,1.638 ,9.402,13.113,20.931,28.206,0.746071,0.393931,5.441 ,7.623310657596372
149.805 ,76.127 ,84.973 ,633.273 ,47.49599550311132,68.47485230861045,10.336689516542544,587,550,6.750767E-3 ,2.202524E-3 ,37.689,27,46.597,3.267,220.567E-6 ,1.656,1.741,4.969,20.492,1.779 ,9.773,13.664,21.282,29.319,0.734125,0.419367,5.011 ,7.30984126984127
145.436 ,64.654 ,91.693 ,555.126 ,45.65521962632294,66.6211135878763,6.068080956715688,668,623,6.927559E-3 ,1.921567E-3 ,49.235,34,40.003,3.111,215.506E-6 ,1.539,1.784,4.616,19.409,1.650 ,9.403,13.826,18.649,28.210,0.722237,0.452842,4.912 ,10.496780045351475
148.435 ,61.079 ,94.294 ,577.429 ,45.22469314702761,74.50217886657505,4.989947788855597,1100,1029,6.809245E-3 ,1.830393E-3 ,50.029,53,53.150,3.023,205.820E-6 ,1.615,1.879,4.845,20.712,1.725 ,9.642,13.301,20.851,28.925,0.731402,0.416370,4.906 ,17.4453514739229
150.001 ,87.854 ,96.364 ,573.281 ,36.63782421808767,64.85956558701756,5.904066903758394,373,346,6.800564E-3 ,2.320385E-3 ,57.037,18,29.804,3.542,240.897E-6 ,1.811,2.180,5.432,20.115,1.649 ,10.400,14.428,18.413,31.200,0.724447,0.442404,4.820 ,6.787392290249433
137.039 ,26.563 ,84.204 ,220.505 ,43.10363540043805,65.62952643530554,8.62102084592388,230,218,7.294541E-3 ,1.483954E-3 ,57.023,11,46.455,3.977,290.123E-6 ,2.114,2.575,6.343,19.859,1.722 ,8.974,12.655,22.975,26.923,0.692110,0.511466,3.974 ,4.802086167800454
139.991 ,39.161 ,76.189 ,370.838 ,46.05490145308342,73.47612945693575,7.115560829833627,1127,1067,7.148657E-3 ,1.613346E-3 ,47.188,55,46.806,3.399,242.957E-6 ,1.829,2.031,5.487,18.457,1.635 ,8.434,10.651,15.628,25.301,0.724258,0.434605,4.701 ,17.288616780045352
138.301 ,29.216 ,75.321 ,398.690 ,44.52918019448948,65.17563977479101,10.159733410862335,696,659,7.216839E-3 ,1.303961E-3 ,45.487,34,44.589,3.119,225.079E-6 ,1.703,1.882,5.109,19.131,1.662 ,9.379,12.679,19.297,28.138,0.709675,0.481145,4.512 ,11.228208616780046
137.702 ,28.297 ,85.910 ,312.201 ,44.48760236482248,63.48287891638695,5.504501529342074,757,712,7.284486E-3 ,1.382905E-3 ,48.557,38,46.051,3.546,258.294E-6 ,1.831,2.080,5.494,17.844,1.561 ,8.626,12.798,19.711,25.877,0.709476,0.477863,4.577 ,12.168616780045351
150.021 ,56.903 ,83.529 ,598.327 ,42.84125921361509,62.94832718258966,9.189491174951112,830,784,6.691372E-3 ,1.634838E-3 ,46.661,32,42.560,3.284,219.722E-6 ,1.810,2.080,5.429,19.080,1.638 ,9.103,13.401,18.916,27.310,0.722801,0.448524,4.830 ,12.168616780045351
134.686 ,57.058 ,89.218 ,546.043 ,43.16686471171556,63.731710884515785,8.694791459574509,356,326,7.497656E-3 ,1.682953E-3 ,49.224,22,59.551,2.909,218.077E-6 ,1.576,1.914,4.729,18.738,1.652 ,9.251,11.931,15.243,27.754,0.709246,0.464177,4.368 ,6.473922902494331
125.402 ,15.944 ,81.672 ,166.298 ,38.39621495340613,62.97562938822292,9.636493333770353,291,274,7.977213E-3 ,1.063873E-3 ,59.329,16,36.492,2.924,233.280E-6 ,1.476,1.710,4.429,19.791,1.639 ,9.256,12.189,17.376,27.768,0.714732,0.453826,4.532 ,6.891882086167801
136.022 ,16.683 ,98.555 ,189.147 ,47.97828895557864,64.90862895873127,5.9539769501562265,209,197,7.357506E-3 ,0.879301E-3 ,46.250,11,47.302,2.196,161.546E-6 ,1.111,1.461,3.334,18.670,1.574 ,9.494,11.185,14.712,28.483,0.692769,0.494936,3.896 ,3.2347392290249433
146.360 ,49.679 ,78.329 ,422.349 ,40.514253433225925,66.92575684687698,10.241805955256,717,672,6.804629E-3 ,1.736838E-3 ,55.960,40,58.884,2.698,183.584E-6 ,1.432,1.697,4.295,18.082,1.558 ,8.735,11.539,16.377,26.205,0.718765,0.440225,4.570 ,14.049433106575965
144.107 ,50.889 ,85.199 ,533.788 ,44.439667368868896,65.8434461610886,10.996917443622728,698,646,7.003690E-3 ,1.753627E-3 ,50.222,39,49.103,3.384,237.019E-6 ,1.899,2.122,5.696,20.412,1.731 ,10.134,13.807,20.247,30.403,0.704739,0.474634,4.263 ,11.280453514739229
139.196 ,44.495 ,79.748 ,511.096 ,41.23481893895654,66.7713063370588,1.457244770375984,967,899,7.206745E-3 ,1.632766E-3 ,56.002,60,55.037,3.005,216.572E-6 ,1.653,1.889,4.958,18.892,1.634 ,9.148,11.940,15.137,27.443,0.699448,0.480480,4.175 ,18.69922902494331
