Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
129.343,29.643,104.951,273.270,64.88258538971418,37.079832697890076,82.46292324674529,172,163,7.746632E-3,1.389968E-3,47.955,7,43.985,1.789,138.624E-6,0.925,1.033,2.775,18.365,1.613,9.187,12.524,17.730,27.561,0.704864,0.473988,4.179,2.72
120.063,48.967,91.967,547.019,64.17422491783947,37.20729420669899,86.17753418888026,565,538,8.403532E-3,1.958603E-3,47.065,22,42.620,2.072,174.088E-6,1.021,1.201,3.062,15.105,1.364,7.504,8.687,13.890,22.511,0.721319,0.445221,4.602,10.08
121.674,77.068,91.225,589.337,63.778436872333266,38.06508810071448,83.23105905494526,540,508,8.264878E-3,2.643732E-3,46.736,27,41.716,2.114,174.759E-6,1.089,1.289,3.266,16.290,1.352,7.590,10.057,16.759,22.771,0.731222,0.423706,4.930,9.68
124.878,56.739,77.461,474.426,61.378892757858836,38.15032114587298,83.53848238062314,339,314,8.196410E-3,2.162712E-3,52.162,20,43.425,2.789,228.586E-6,1.291,1.249,3.874,15.940,1.474,7.614,9.251,14.687,22.843,0.689125,0.513367,3.894,7.2
124.882,62.503,89.192,546.154,61.809147239715074,38.14447818400826,83.9979865729033,583,539,8.075329E-3,2.300846E-3,52.167,38,48.958,2.684,216.766E-6,1.343,1.530,4.030,16.556,1.491,7.831,9.938,14.043,23.493,0.716347,0.455670,4.552,11.8
140.482,93.599,90.683,569.271,65.2304850490517,35.859481983335044,82.52184046811047,593,554,7.181008E-3,2.836043E-3,39.515,32,43.565,2.774,199.232E-6,1.279,1.540,3.838,17.595,1.548,7.843,10.849,14.164,23.530,0.688446,0.513415,3.888,8.28
158.650,124.596,90.474,582.041,59.576319028262716,37.54677055367971,83.47893142909044,376,342,6.564321E-3,3.339168E-3,56.779,23,49.031,3.216,211.140E-6,1.686,1.988,5.059,15.795,1.445,8.053,10.884,17.817,24.158,0.692556,0.516969,4.125,7.48
148.852,113.556,85.698,604.224,61.93820261452635,36.30052183447185,83.80272622593341,436,405,7.023797E-3,3.146826E-3,49.619,16,30.792,2.880,202.255E-6,1.371,1.601,4.114,16.278,1.444,7.756,10.613,12.429,23.269,0.701491,0.507545,4.345,6.6
131.687,88.247,89.095,528.661,65.0827994964458,37.01819757368469,83.49121233856776,506,476,7.776973E-3,2.899045E-3,42.966,18,41.509,2.405,187.039E-6,1.250,1.382,3.751,16.334,1.433,8.271,9.932,17.139,24.814,0.723831,0.437492,4.718,7.92
131.027,71.183,94.239,536.418,65.42980226851482,36.91038408511805,82.49036968728616,332,307,7.716806E-3,2.413345E-3,44.653,21,29.689,2.231,172.130E-6,1.073,1.458,3.219,15.316,1.395,7.261,9.700,15.943,21.784,0.714663,0.468498,4.620,5.36
