Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
145.989 ,29.079 ,80.305 ,288.764 ,42.35201701533811,67.04770878097067,-3.97998926797553,686,663,6.872517E-3 ,1.319184E-3 ,36.849,18,31.379,2.338,160.652E-6 ,1.280,1.430,3.841,18.144,1.535 ,8.091,11.294,17.336,24.272,0.778673,0.329914,6.421 ,8.093514739229025
147.719 ,63.226 ,78.008 ,542.336 ,41.60792085804277,69.29432816908493,9.21186520083393,632,602,6.779907E-3 ,1.861328E-3 ,39.745,24,32.721,2.274,154.209E-6 ,1.223,1.381,3.669,16.935,1.480 ,8.409,11.333,14.980,25.227,0.788665,0.317803,6.866 ,7.88453514739229
176.860 ,55.373 ,127.489 ,390.219 ,49.85781893535682,69.40390756676803,23.21395011401224,267,261,5.675483E-3 ,1.428616E-3 ,15.873,4,8.871,2.342,132.946E-6 ,1.353,1.463,4.059,17.059,1.643 ,6.728,9.961,13.960,20.184,0.770671,0.346635,6.139 ,1.9286167800453515
148.427 ,57.693 ,76.374 ,534.217 ,42.558270140407075,61.95306719620049,11.753047171064983,846,811,6.720176E-3 ,1.934832E-3 ,22.811,23,30.050,2.749,184.731E-6 ,1.497,1.717,4.490,19.897,1.744 ,8.925,13.215,17.834,26.775,0.739455,0.405546,5.172 ,8.145759637188208
132.918 ,17.509 ,69.374 ,185.673 ,41.65458590657719,63.50074526899097,11.129339181735862,449,432,7.511300E-3 ,1.067614E-3 ,31.786,14,39.972,2.148,161.322E-6 ,1.143,1.316,3.430,18.211,1.564 ,8.208,12.640,17.371,24.624,0.788392,0.312289,6.599 ,5.638004535147393
144.639 ,43.850 ,88.542 ,359.156 ,43.446890911586266,60.014082473279345,7.44300050986777,408,394,6.913961E-3 ,1.533764E-3 ,17.127,13,22.266,2.151,148.743E-6 ,1.187,1.342,3.561,17.003,1.526 ,7.511,11.274,19.997,22.533,0.771675,0.334219,5.949 ,3.6526984126984128
144.759 ,63.852 ,89.518 ,528.901 ,40.308492241695284,62.88846403710876,15.864833466551485,404,380,7.003462E-3 ,1.918797E-3 ,39.107,19,33.855,2.222,155.624E-6 ,1.166,1.437,3.498,17.698,1.580 ,7.287,9.801,15.632,21.860,0.736642,0.409973,5.085 ,5.638004535147393
165.459 ,65.154 ,100.939 ,599.707 ,42.77874533961821,69.29127108184647,-1.0592963943054756,502,471,6.096338E-3 ,1.719889E-3 ,40.857,22,30.266,2.496,152.144E-6 ,1.430,1.710,4.289,19.969,1.629 ,8.632,12.096,13.331,25.897,0.745439,0.386293,5.245 ,6.108208616780045
142.233 ,50.897 ,83.975 ,437.337 ,41.197502314437294,63.403340503495855,6.873360218092087,914,863,7.143241E-3 ,1.730241E-3 ,30.049,35,36.280,2.813,200.951E-6 ,1.564,1.895,4.693,17.423,1.564 ,8.084,10.811,14.890,24.251,0.732055,0.415761,5.024 ,10.28780045351474
128.104 ,43.616 ,99.129 ,331.283 ,34.19134057048723,62.98684812687966,1.6891352764566478,139,130,7.857125E-3 ,1.806507E-3 ,59.864,7,23.916,2.085,163.815E-6 ,0.987,1.107,2.961,16.822,1.415 ,7.457,11.792,12.632,22.371,0.743200,0.402237,5.327 ,2.973514739229025
