Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
110.611 ,6.829 ,93.455 ,127.013 ,40.29700424774176,61.59190902360347,13.58938959460155,144,140,9.065159E-3 ,0.602125E-3 ,56.269,3,36.037,2.147,194.639E-6 ,1.140,1.490,3.420,13.266,1.218 ,6.405,9.022,12.980,19.216,0.730112,0.457241,5.396 ,3.303378684807256
108.892 ,39.436 ,76.856 ,584.419 ,42.09539041876438,64.40354254294381,13.38804757875858,742,703,9.231685E-3 ,1.826360E-3 ,47.394,37,50.900,2.342,216.182E-6 ,1.037,1.296,3.112,13.822,1.250 ,6.278,8.322,13.401,18.833,0.745252,0.412506,5.536 ,14.61439909297052
120.310 ,74.152 ,76.324 ,576.042 ,41.242468286804815,60.62580099918527,14.380323965510271,633,601,8.399911E-3 ,2.856677E-3 ,41.846,24,41.414,2.413,202.666E-6 ,1.158,1.486,3.473,15.201,1.306 ,6.374,8.950,15.362,19.121,0.742791,0.423025,5.631 ,9.781746031746032
106.409 ,34.205 ,81.959 ,570.607 ,39.74382588123119,63.897877207714075,13.471977530206221,483,451,9.393525E-3 ,1.756465E-3 ,53.995,31,49.205,1.803,169.352E-6 ,0.801,0.976,2.403,13.336,1.161 ,5.988,8.031,11.879,17.965,0.753325,0.386834,5.747 ,11.427460317460318
115.507 ,63.344 ,75.735 ,585.813 ,40.169661277239214,59.41596437414511,14.574677160128298,459,434,8.818021E-3 ,2.411065E-3 ,43.444,22,39.124,2.187,192.833E-6 ,0.921,1.111,2.762,14.052,1.241 ,6.357,9.353,16.829,19.070,0.758954,0.376075,5.876 ,7.587460317460318
108.007 ,51.669 ,84.772 ,589.522 ,42.0018537788935,56.22849773415366,13.627958140087632,425,403,9.297997E-3 ,1.999743E-3 ,37.649,19,43.587,1.863,173.190E-6 ,0.847,1.053,2.541,12.911,1.157 ,6.162,7.881,11.141,18.485,0.783543,0.330142,6.667 ,6.751541950113379
99.073 ,37.309 ,75.130 ,489.220 ,35.21374433501769,56.678240559154034,11.79268620874981,432,401,10.125556E-3 ,1.972300E-3 ,47.634,30,55.904,2.200,222.725E-6 ,0.968,1.132,2.905,13.555,1.304 ,6.236,8.930,17.737,18.707,0.746329,0.407433,5.606 ,9.33766439909297
97.985 ,19.039 ,78.144 ,277.537 ,34.44426841565765,57.077255268109504,11.316774243528595,392,357,10.204319E-3 ,1.441725E-3 ,59.700,34,56.201,2.140,218.329E-6 ,0.867,1.091,2.602,12.350,1.111 ,5.399,7.248,13.000,16.198,0.751387,0.387330,5.657 ,11.375215419501133
119.371 ,91.166 ,76.412 ,568.476 ,33.60110633126303,57.790661090415185,11.07013249903039,323,298,8.487575E-3 ,3.303569E-3 ,56.354,20,64.077,2.249,190.864E-6 ,0.902,1.165,2.706,17.092,1.394 ,7.849,11.303,17.945,23.548,0.719751,0.457649,4.700 ,7.273990929705215
102.555 ,10.339 ,81.483 ,124.921 ,35.350242910275426,58.24717988458636,10.641490229832156,306,288,9.758700E-3 ,1.044455E-3 ,51.105,17,48.266,2.025,197.645E-6 ,0.806,1.045,2.419,13.167,1.142 ,4.683,7.059,12.366,14.049,0.802316,0.298107,7.330 ,6.829909297052154
104.534 ,29.395 ,75.379 ,302.614 ,35.37260676455563,55.39929170360828,10.310017405346738,329,311,9.614573E-3 ,1.826453E-3 ,42.003,16,47.422,2.305,221.602E-6 ,1.010,1.286,3.031,13.238,1.243 ,5.687,8.420,15.977,17.060,0.775903,0.346848,6.661 ,6.229092970521542
114.683 ,89.981 ,74.841 ,584.887 ,35.048290902659694,54.00896987081708,11.314768150474823,469,425,8.898515E-3 ,3.717905E-3 ,51.735,34,59.619,2.301,204.714E-6 ,1.120,1.382,3.360,16.941,1.455 ,8.341,10.452,13.365,25.022,0.736931,0.413177,5.211 ,9.833990929705216
109.157 ,74.353 ,76.996 ,593.386 ,36.779465944093644,57.58949997763713,13.190803008120433,454,426,9.189167E-3 ,3.134509E-3 ,47.267,26,46.752,2.107,193.632E-6 ,0.901,1.047,2.704,15.501,1.310 ,7.256,9.840,14.748,21.768,0.756978,0.373176,5.763 ,8.815215419501135
117.455 ,85.262 ,76.838 ,591.238 ,37.0520340620112,56.19150148516545,11.221663954336139,442,418,8.617757E-3 ,3.293853E-3 ,42.694,22,52.247,1.883,162.273E-6 ,0.803,1.004,2.409,12.985,1.197 ,6.249,8.596,12.735,18.746,0.768941,0.352633,6.317 ,7.90092970521542
121.791 ,100.561 ,79.995 ,591.274 ,31.948011123814638,57.02976471479113,9.593942573438989,335,315,8.237632E-3 ,3.600899E-3 ,56.148,17,63.909,2.056,169.348E-6 ,0.823,1.021,2.468,16.365,1.459 ,7.841,9.780,17.667,23.524,0.741092,0.399648,5.235 ,7.352358276643991
122.264 ,74.686 ,87.366 ,595.602 ,36.06509651523496,55.5780436999389,13.254474449357211,395,373,8.196393E-3 ,2.503343E-3 ,48.854,21,48.323,1.960,160.676E-6 ,0.834,0.947,2.502,13.479,1.245 ,5.975,8.192,11.080,17.926,0.775628,0.341038,6.393 ,7.0127664399092975
136.338 ,123.465 ,84.416 ,588.846 ,31.268704363011892,50.05431015619575,10.210427998088916,289,269,7.512750E-3 ,3.822836E-3 ,55.345,14,61.399,1.966,147.701E-6 ,0.976,1.089,2.929,15.265,1.422 ,7.371,8.854,13.532,22.114,0.754117,0.383413,5.790 ,5.837256235827664
130.376 ,119.065 ,76.621 ,597.942 ,32.06200632047854,53.3432204685182,10.740423346090761,522,481,7.900389E-3 ,3.868354E-3 ,49.004,33,57.199,2.467,194.913E-6 ,1.081,1.381,3.243,17.121,1.448 ,8.413,12.342,18.229,25.239,0.727315,0.423387,4.861 ,9.076439909297052
124.260 ,86.970 ,75.998 ,588.304 ,34.22763132870912,53.04910907236546,9.902969826451832,333,311,8.288122E-3 ,2.896405E-3 ,40.535,16,45.588,2.200,182.308E-6 ,0.989,1.287,2.967,12.753,1.165 ,5.860,7.504,11.653,17.579,0.749727,0.395963,5.786 ,4.896848072562358
105.200 ,53.886 ,74.906 ,584.695 ,30.688462710691855,50.93859864834181,9.508423770661311,571,534,9.543379E-3 ,2.456309E-3 ,47.965,33,54.708,2.111,201.472E-6 ,0.933,1.241,2.799,14.198,1.298 ,6.338,8.826,13.070,19.015,0.729657,0.433147,4.911 ,11.584195011337869
111.364 ,81.682 ,74.428 ,572.760 ,30.747328529681894,50.49509247046656,8.736807907056107,697,649,9.040502E-3 ,3.371201E-3 ,49.855,44,55.984,1.971,178.231E-6 ,0.848,1.089,2.544,15.556,1.356 ,7.500,9.604,14.359,22.499,0.712878,0.466135,4.452 ,13.830725623582767
107.085 ,60.285 ,84.131 ,547.975 ,28.255628213285913,46.29562075067721,8.719334854504332,289,272,9.393101E-3 ,2.515935E-3 ,48.856,15,47.679,1.965,184.536E-6 ,0.892,1.115,2.675,13.518,1.213 ,7.054,7.911,10.006,21.162,0.731319,0.433578,5.001 ,6.150725623582766
114.714 ,93.065 ,76.727 ,554.387 ,31.358809103083466,51.44888551338319,5.342242685940947,183,173,8.766077E-3 ,3.625590E-3 ,47.143,8,36.647,1.657,145.281E-6 ,0.718,0.805,2.155,14.722,1.276 ,6.456,9.625,16.339,19.367,0.719369,0.463658,4.863 ,3.538480725623583
93.631 ,47.413 ,74.886 ,561.247 ,27.94923730957011,46.314639983335624,9.067472219775667,440,402,10.814198E-3 ,2.188640E-3 ,50.745,33,58.951,1.991,215.257E-6 ,0.881,1.178,2.642,15.218,1.391 ,7.342,8.611,12.174,22.027,0.690349,0.515637,3.868 ,10.774399092970521
