Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
152.198 ,38.893 ,76.522 ,232.061 ,48.66124138783315,71.13775864414235,3.7321484311545454,217,206,6.518278E-3 ,1.711362E-3 ,54.360,9,54.184,1.992,129.852E-6 ,0.862,0.737,2.585,10.396,1.002 ,5.322,6.491,9.648,15.966,0.749388,0.389800,5.662 ,3.47246875
160.992 ,61.136 ,78.110 ,452.989 ,45.1221163336576,67.39729320552247,16.54990743745184,286,271,6.238997E-3 ,1.825041E-3 ,66.607,14,55.123,2.131,132.952E-6 ,0.968,0.915,2.904,13.189,1.233 ,6.107,8.112,10.647,18.321,0.743446,0.404527,5.422 ,5.63246875
158.399 ,26.641 ,81.748 ,223.642 ,48.85335017459638,67.0614131527392,13.809161647880348,289,276,6.305831E-3 ,1.086551E-3 ,51.313,12,55.015,1.635,103.120E-6 ,0.774,0.792,2.322,13.394,1.204 ,5.624,8.432,12.936,16.872,0.803679,0.279533,6.914 ,4.22846875
168.899 ,108.072 ,75.594 ,592.825 ,48.49386712855336,65.87369260166726,16.507614091985698,185,171,5.934369E-3 ,2.439719E-3 ,53.086,9,40.684,2.498,148.246E-6 ,1.267,1.476,3.800,15.050,1.267 ,7.192,8.599,11.413,21.576,0.751838,0.386976,5.455 ,2.46446875
125.284 ,34.945 ,76.699 ,549.058 ,47.32532738197333,69.67738288185264,3.793088664471373,998,968,7.997775E-3 ,1.606360E-3 ,38.925,28,40.086,2.170,173.547E-6 ,0.863,1.065,2.588,13.110,1.234 ,5.389,8.140,13.743,16.167,0.852777,0.207677,9.423 ,13.80446875
116.666 ,14.390 ,74.976 ,162.253 ,50.20057785324339,70.12879145812076,18.944750330609054,1555,1496,8.588484E-3 ,1.061050E-3 ,28.967,55,32.398,2.045,175.668E-6 ,0.879,1.077,2.638,12.680,1.142 ,5.136,7.765,12.962,15.407,0.855455,0.206363,9.632 ,19.88846875
125.541 ,14.917 ,80.713 ,248.960 ,50.182610329057646,67.25699192966158,1.8265479260511994,668,644,7.995060E-3 ,0.940936E-3 ,26.790,20,23.175,2.267,181.268E-6 ,0.983,1.205,2.950,12.621,1.183 ,5.443,7.739,13.845,16.330,0.849569,0.219865,9.550 ,7.57646875
123.306 ,15.691 ,76.462 ,161.127 ,51.36207649241438,65.83402577498875,23.08340406162906,600,579,8.119903E-3 ,1.112536E-3 ,19.969,19,21.190,2.287,185.722E-6 ,0.937,1.233,2.811,11.612,1.115 ,4.892,6.928,11.764,14.675,0.856917,0.208058,10.114 ,6.49646875
120.565 ,21.851 ,82.841 ,246.081 ,49.59132330780364,65.75491508949837,22.68263732766531,615,593,8.278270E-3 ,1.301928E-3 ,24.574,21,21.698,2.300,190.412E-6 ,1.038,1.219,3.113,12.250,1.176 ,4.999,7.903,12.362,14.996,0.848385,0.224321,9.657 ,7.07246875
117.485 ,13.767 ,78.543 ,157.224 ,49.75151850200505,67.54554929500668,-3.273512745486164,451,441,8.519022E-3 ,1.004757E-3 ,26.580,8,18.083,1.658,141.231E-6 ,0.704,0.898,2.113,10.937,1.040 ,4.602,7.044,12.065,13.805,0.889044,0.151240,11.224 ,5.41646875
118.175 ,15.350 ,66.743 ,164.199 ,48.93960795938009,63.656178662256366,22.64876719305903,581,562,8.492216E-3 ,1.114338E-3 ,20.359,18,17.027,2.314,196.495E-6 ,1.101,1.243,3.302,12.631,1.203 ,5.160,8.112,13.371,15.481,0.839314,0.235234,9.203 ,6.71246875
122.056 ,13.646 ,75.354 ,155.345 ,50.13527746812153,61.24014590536032,26.908422146892292,206,201,8.210289E-3 ,0.988568E-3 ,10.053,4,9.347,2.598,213.337E-6 ,1.112,1.592,3.335,13.525,1.373 ,6.896,8.940,15.790,20.687,0.813921,0.283383,8.070 ,1.92446875
123.535 ,24.639 ,73.387 ,222.486 ,46.75543920047563,60.654274996337264,-9.362536864211599,240,229,8.129451E-3 ,1.416071E-3 ,25.670,7,16.117,2.476,201.257E-6 ,0.980,1.156,2.939,13.205,1.238 ,4.877,7.359,15.918,14.631,0.826196,0.287767,8.974 ,2.64446875
103.880 ,7.446 ,80.854 ,114.141 ,39.512810874332075,67.67099012654924,19.681601556061686,71,68,9.653949E-3 ,0.765186E-3 ,65.517,2,3.229,2.157,208.253E-6 ,0.977,1.063,2.932,11.767,1.038 ,4.989,7.130,10.571,14.966,0.841297,0.223107,8.380 ,2.06846875
