Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
167.855 ,25.363 ,128.667 ,213.538 ,48.60145394073547,62.941522468686806,14.413202558624203,294,290,5.972475E-3 ,0.921843E-3 ,21.525,3,16.246,1.897,113.311E-6 ,0.913,1.137,2.740,12.998,1.208 ,5.550,8.556,12.861,16.651,0.860629,0.203484,9.807 ,2.2669791666666668
159.686 ,12.106 ,122.721 ,184.153 ,39.14971636677528,57.65717158876629,14.672162926755128,132,128,6.266123E-3 ,0.510865E-3 ,39.873,3,12.369,1.945,121.857E-6 ,0.849,0.994,2.546,14.974,1.335 ,5.737,9.897,16.938,17.212,0.855867,0.183898,8.615 ,1.6189791666666666
162.402 ,53.822 ,87.512 ,445.831 ,38.37670695151351,62.932074016110846,13.452315756931155,274,267,6.188543E-3 ,1.749665E-3 ,38.255,6,24.840,2.146,132.795E-6 ,1.035,1.246,3.104,14.449,1.322 ,6.531,8.785,10.521,19.594,0.843034,0.222742,8.824 ,3.0109791666666665
171.809 ,72.893 ,85.276 ,591.915 ,39.57969690738126,61.68646240462194,11.354401167880956,911,861,5.913780E-3 ,1.689189E-3 ,43.403,34,36.876,2.578,152.482E-6 ,1.255,1.468,3.765,15.288,1.322 ,7.199,10.411,15.093,21.597,0.801549,0.306989,7.696 ,10.498979166666667
193.000 ,88.927 ,66.010 ,559.976 ,36.24091825763059,60.547309057202185,12.772966174445674,1203,1129,5.324968E-3 ,1.968399E-3 ,45.310,39,42.558,2.661,141.703E-6 ,1.243,1.305,3.729,14.296,1.320 ,6.310,9.111,15.253,18.929,0.832874,0.252508,9.021 ,12.610979166666667
196.037 ,80.038 ,122.548 ,535.642 ,35.90037727034361,57.73869646034604,9.989612927431963,492,463,5.149397E-3 ,1.785821E-3 ,41.506,20,39.962,3.598,185.275E-6 ,1.872,2.076,5.617,15.006,1.351 ,7.578,9.731,13.159,22.733,0.811596,0.273761,7.353 ,5.218979166666666
181.707 ,75.703 ,88.696 ,524.287 ,33.99886531074448,60.627716170495546,9.726509671624292,635,593,5.685940E-3 ,1.682776E-3 ,53.563,27,37.945,2.469,140.406E-6 ,1.203,1.069,3.609,15.135,1.364 ,7.120,9.503,13.200,21.360,0.812205,0.281247,7.902 ,9.010979166666667
188.208 ,87.827 ,75.310 ,528.410 ,36.54019875378312,57.18126783420007,12.266049971653697,438,411,5.451191E-3 ,2.017372E-3 ,42.553,19,45.689,3.034,165.362E-6 ,1.630,1.510,4.890,16.953,1.398 ,8.979,9.905,16.934,26.938,0.816028,0.282089,8.031 ,4.738979166666667
250.403 ,121.186 ,108.099 ,525.420 ,21.14364207481645,47.371125901586446,-4.966745342556584,118,108,4.186732E-3 ,1.842661E-3 ,67.822,5,25.136,6.168,258.240E-6 ,3.192,2.985,9.575,21.277,1.731 ,11.135,12.446,15.270,33.406,0.707072,0.505689,4.885 ,2.0509791666666666
142.237 ,37.118 ,98.480 ,319.439 ,49.78756819303046,64.03741977267079,10.720529949165382,226,220,7.104540E-3 ,1.510570E-3 ,11.579,3,6.918,2.420,171.922E-6 ,1.198,1.405,3.595,14.942,1.373 ,6.641,9.687,16.937,19.924,0.831293,0.252993,8.480 ,1.9309791666666667
205.634 ,121.996 ,106.243 ,619.663 ,45.756629333703714,62.579674218732336,23.04972589879508,310,294,5.044027E-3 ,2.552960E-3 ,21.359,7,22.135,3.687,185.955E-6 ,1.743,1.924,5.228,14.808,1.385 ,7.413,10.156,19.486,22.238,0.791384,0.313512,6.987 ,2.0989791666666666
157.931 ,96.376 ,87.736 ,553.247 ,39.102673139562654,62.49740232148745,13.343136607873147,545,509,6.511084E-3 ,2.664910E-3 ,42.268,19,37.985,2.903,189.011E-6 ,1.458,1.752,4.373,15.489,1.385 ,7.487,11.252,15.390,22.461,0.778859,0.336075,6.526 ,6.826979166666667
162.597 ,99.454 ,78.628 ,594.702 ,38.36140023259082,61.1357319504212,12.34199505766405,3058,2884,6.286756E-3 ,2.771012E-3 ,36.917,105,43.274,3.009,189.193E-6 ,1.471,1.719,4.412,16.934,1.492 ,7.981,11.784,20.130,23.942,0.794296,0.308907,7.079 ,32.86697916666667
147.992 ,76.003 ,82.930 ,588.301 ,36.95691519005652,60.34231987166184,11.297518459200372,2819,2646,6.896777E-3 ,2.292602E-3 ,42.923,118,48.809,2.531,174.530E-6 ,1.231,1.425,3.693,16.555,1.481 ,7.725,10.850,17.079,23.176,0.812034,0.275720,7.575 ,36.70697916666666
138.680 ,62.273 ,80.289 ,520.285 ,37.92496494098046,59.37351759703564,11.98508323555248,775,725,7.380788E-3 ,1.949063E-3 ,40.373,32,45.403,2.570,189.663E-6 ,1.236,1.525,3.707,15.178,1.410 ,6.575,9.456,15.699,19.726,0.788718,0.322665,6.803 ,10.210979166666666
149.614 ,83.007 ,75.055 ,552.137 ,37.114421103290354,60.81914691743531,11.19985672874374,1228,1146,6.766557E-3 ,2.429729E-3 ,38.024,55,45.672,2.602,176.034E-6 ,1.234,1.550,3.701,16.265,1.440 ,7.631,11.003,17.735,22.892,0.809686,0.283577,7.613 ,14.818979166666667
129.638 ,14.912 ,88.907 ,173.618 ,37.947000395923205,67.40689885137891,11.58620538920416,436,408,7.729926E-3 ,0.954297E-3 ,56.941,27,61.867,1.738,134.329E-6 ,0.719,0.957,2.157,16.495,1.422 ,7.429,10.764,17.727,22.286,0.823318,0.242666,7.527 ,8.530979166666667
149.124 ,78.432 ,75.762 ,592.309 ,35.86753284771813,60.389614157638,10.655521984890006,1768,1658,6.822544E-3 ,2.299707E-3 ,38.622,73,45.611,2.522,172.038E-6 ,1.125,1.340,3.374,17.529,1.514 ,7.989,12.324,22.613,23.968,0.816529,0.265689,7.725 ,21.658979166666665
161.041 ,98.494 ,77.870 ,600.876 ,34.29653674123224,59.90961743215504,8.980696699397086,2370,2216,6.370778E-3 ,2.573666E-3 ,40.454,96,46.950,2.875,183.138E-6 ,1.363,1.616,4.090,18.072,1.568 ,8.308,12.438,20.198,24.924,0.793708,0.308706,6.988 ,27.370979166666668
162.684 ,101.512 ,86.536 ,599.615 ,34.70821610151239,58.92369684437537,9.57867432756305,2311,2173,6.263417E-3 ,2.708898E-3 ,40.061,92,46.366,2.931,183.604E-6 ,1.428,1.709,4.283,17.713,1.533 ,8.217,11.492,21.652,24.652,0.791720,0.311569,6.860 ,26.098979166666666
167.023 ,106.275 ,79.957 ,598.792 ,36.167374722848145,60.05010888671518,10.003192764738365,1468,1377,6.098818E-3 ,2.745209E-3 ,43.318,67,49.724,3.013,183.753E-6 ,1.409,1.679,4.227,18.234,1.570 ,8.861,11.791,16.191,26.582,0.795484,0.303480,7.035 ,17.098979166666666
156.268 ,109.142 ,91.253 ,585.491 ,33.8046089654737,56.50504610860382,9.442178304811264,903,839,6.707201E-3 ,2.915227E-3 ,39.725,36,46.415,3.007,201.680E-6 ,1.426,1.644,4.279,20.245,1.655 ,9.405,12.665,19.978,28.215,0.785845,0.323466,6.603 ,10.930979166666667
145.653 ,50.534 ,98.236 ,579.277 ,34.116257309532756,62.95489313152946,9.669283911745959,763,715,6.906171E-3 ,1.661331E-3 ,52.994,41,57.272,1.972,136.184E-6 ,0.782,0.944,2.347,16.179,1.409 ,7.018,9.736,15.938,21.055,0.820944,0.253583,7.874 ,12.226979166666666
150.911 ,74.154 ,76.506 ,548.510 ,33.197472751549626,57.66480130189535,8.372968104425789,1894,1782,6.668098E-3 ,2.291592E-3 ,38.938,83,45.660,2.718,181.269E-6 ,1.309,1.490,3.928,16.768,1.477 ,7.528,11.460,20.940,22.583,0.796667,0.302956,7.073 ,22.450979166666666
149.616 ,77.830 ,85.154 ,593.372 ,34.095263268991964,56.085436860329935,7.012175290419479,1756,1664,6.783634E-3 ,2.389246E-3 ,36.625,68,42.221,2.465,167.204E-6 ,1.154,1.301,3.462,15.984,1.427 ,7.627,10.123,17.084,22.882,0.808036,0.282151,7.500 ,20.890979166666668
164.449 ,73.813 ,111.441 ,598.478 ,39.6968044105926,72.0169563489928,8.515894613036263,435,416,6.106981E-3 ,1.716745E-3 ,54.651,16,53.883,1.673,102.157E-6 ,0.753,0.873,2.259,15.034,1.322 ,7.159,9.862,12.814,21.478,0.839513,0.213133,8.246 ,6.058979166666667
148.634 ,64.525 ,81.511 ,418.554 ,40.72791583363155,53.26125003998406,17.855307632452604,206,197,6.879103E-3 ,2.162792E-3 ,10.429,5,12.957,2.338,160.827E-6 ,1.106,1.311,3.317,19.115,1.667 ,9.086,13.061,19.521,27.257,0.813490,0.272169,7.410 ,1.6669791666666667
141.794 ,57.325 ,78.852 ,593.605 ,35.838516403216545,57.2920602231687,8.133496942319946,1404,1354,7.109596E-3 ,1.869859E-3 ,33.692,40,34.276,2.376,168.906E-6 ,1.202,1.346,3.605,16.207,1.424 ,7.788,10.734,18.469,23.363,0.813951,0.270308,7.521 ,15.850979166666667
143.153 ,69.392 ,102.166 ,513.309 ,38.437992404509835,54.48978153671384,10.095685438455915,645,619,7.014099E-3 ,2.031763E-3 ,20.099,16,25.057,2.159,151.465E-6 ,1.056,1.144,3.167,15.204,1.351 ,7.081,10.190,16.010,21.243,0.823108,0.257857,8.000 ,6.106979166666667
139.440 ,78.736 ,84.404 ,508.071 ,33.296054581543146,54.270439972709106,6.639275270274739,493,471,7.322531E-3 ,2.507147E-3 ,30.866,15,34.601,2.565,187.852E-6 ,1.309,1.591,3.928,17.352,1.528 ,7.522,12.435,16.110,22.567,0.790103,0.312311,6.922 ,5.578979166666667
152.552 ,100.537 ,75.648 ,599.919 ,34.13030403115578,54.65772779647683,7.048631305332814,1815,1730,6.685209E-3 ,2.674547E-3 ,29.911,51,31.831,2.316,154.853E-6 ,1.082,1.255,3.247,16.198,1.440 ,7.214,11.102,20.425,21.641,0.821623,0.255404,7.824 ,18.058979166666667
153.026 ,108.772 ,73.450 ,599.825 ,30.302766343879792,52.40948937249189,7.394496948570767,1226,1154,6.673061E-3 ,3.018445E-3 ,35.395,46,41.296,3.015,201.167E-6 ,1.512,1.660,4.535,18.228,1.586 ,8.164,11.429,17.548,24.491,0.795509,0.299544,6.935 ,13.450979166666666
160.639 ,121.646 ,79.895 ,587.598 ,32.73236410202972,50.084135162954496,7.3012694255960175,545,525,6.346974E-3 ,3.214267E-3 ,22.766,12,27.380,2.858,181.376E-6 ,1.372,1.696,4.116,17.631,1.528 ,8.384,13.907,26.205,25.151,0.781464,0.332580,6.651 ,4.738979166666667
141.918 ,93.272 ,74.973 ,597.338 ,30.43903274492146,52.11988662418264,6.681604937103875,2040,1935,7.154280E-3 ,2.891041E-3 ,28.683,66,35.604,2.523,180.490E-6 ,1.248,1.499,3.745,17.392,1.507 ,8.208,11.575,21.847,24.624,0.790210,0.316974,6.887 ,21.898979166666667
151.307 ,101.472 ,81.136 ,598.944 ,28.139215855233196,49.11836452360276,7.222237261260737,942,890,6.723566E-3 ,2.900477E-3 ,35.728,31,39.958,2.279,153.198E-6 ,1.077,1.293,3.232,16.351,1.431 ,7.404,11.134,19.385,22.211,0.804782,0.282624,7.114 ,10.618979166666668
167.513 ,101.300 ,108.367 ,595.196 ,32.93165739135572,53.46663896966873,7.375184940329538,830,788,5.999183E-3 ,2.420186E-3 ,32.225,29,38.052,2.424,145.394E-6 ,1.178,1.307,3.535,16.652,1.512 ,7.689,11.299,16.789,23.068,0.805028,0.281156,7.122 ,7.858979166666667
163.719 ,120.444 ,92.833 ,599.398 ,30.485153646197777,50.15083226933436,6.498424151040416,1013,971,6.233209E-3 ,3.057389E-3 ,27.766,23,32.884,2.701,168.369E-6 ,1.354,1.651,4.063,17.976,1.576 ,8.735,12.777,25.524,26.205,0.785945,0.321577,6.582 ,9.250979166666667
144.851 ,87.165 ,75.459 ,559.994 ,30.30233433975828,50.30793814065953,7.434626040060257,707,666,7.003810E-3 ,2.552469E-3 ,31.738,24,39.015,2.961,207.372E-6 ,1.447,1.677,4.342,18.273,1.598 ,8.073,11.430,21.059,24.220,0.779912,0.327376,6.482 ,7.978979166666667
157.528 ,95.407 ,79.316 ,594.993 ,29.509113909437644,50.97076070153857,7.165399890016028,985,940,6.443235E-3 ,2.591093E-3 ,31.461,25,36.342,2.827,182.164E-6 ,1.446,1.610,4.337,16.826,1.464 ,8.225,11.843,19.873,24.675,0.790165,0.313467,6.912 ,9.826979166666666
138.605 ,70.386 ,100.361 ,581.646 ,29.26419390372165,51.14486703850457,7.111363214768898,842,807,7.315888E-3 ,2.134030E-3 ,34.995,27,40.309,2.041,149.325E-6 ,1.035,1.226,3.106,16.071,1.421 ,7.024,9.341,14.186,21.073,0.812434,0.265754,7.398 ,10.066979166666666
138.139 ,44.571 ,109.408 ,542.344 ,31.3454272264948,62.6870940228237,6.67611632097934,490,461,7.293054E-3 ,1.370365E-3 ,67.472,26,64.191,1.373,100.106E-6 ,0.661,0.722,1.984,15.793,1.353 ,7.629,9.478,12.775,22.888,0.821733,0.245058,7.499 ,11.626979166666667
149.099 ,89.288 ,94.437 ,595.821 ,27.64999035355686,49.741224494024124,6.713777905475224,2176,2081,6.806049E-3 ,2.521997E-3 ,32.580,63,37.422,2.069,140.844E-6 ,1.026,1.160,3.077,17.122,1.468 ,7.994,11.308,17.861,23.981,0.801475,0.285328,6.959 ,23.050979166666668
162.650 ,110.126 ,94.592 ,595.504 ,29.98319615344171,46.253776484291755,7.161454366858155,404,389,6.295559E-3 ,2.595826E-3 ,23.143,6,11.911,1.829,115.157E-6 ,0.849,1.003,2.548,16.758,1.486 ,8.036,12.021,21.261,24.109,0.819137,0.259275,7.588 ,3.5389791666666666
182.011 ,107.530 ,105.697 ,581.702 ,16.893587795958855,47.54706692704232,6.355265155524872,58,52,5.782465E-3 ,2.101384E-3 ,82.734,2,86.019,2.077,120.076E-6 ,0.733,0.950,2.200,16.571,1.368 ,7.590,12.955,8.644,22.769,0.706231,0.465494,4.279 ,2.818979166666667
175.787 ,84.105 ,92.541 ,536.034 ,30.68498395884275,50.4756754113983,8.114050729347008,333,322,5.765658E-3 ,1.874978E-3 ,37.898,7,37.290,2.040,117.614E-6 ,0.854,1.057,2.563,14.722,1.273 ,6.838,7.933,11.308,20.513,0.855970,0.203658,9.661 ,3.1789791666666667
147.837 ,93.436 ,93.554 ,625.000 ,23.848020848209856,45.42625639012644,7.175990341670845,178,166,6.859858E-3 ,2.698402E-3 ,54.985,10,59.790,3.523,241.654E-6 ,1.596,1.983,4.788,15.139,1.370 ,6.322,9.251,16.368,18.967,0.783418,0.344505,6.903 ,3.346979166666667
131.955 ,53.998 ,75.122 ,553.049 ,26.083324665606337,43.700020187447706,7.059305039152245,619,581,7.663627E-3 ,1.826087E-3 ,46.766,26,51.576,2.454,188.047E-6 ,0.954,1.146,2.863,13.959,1.279 ,6.199,8.597,13.733,18.597,0.822870,0.261967,8.114 ,9.466979166666667
118.196 ,28.790 ,76.845 ,218.058 ,17.734048673190234,42.10821899576713,-1.9608087001211953,94,88,8.459915E-3 ,2.005620E-3 ,66.434,5,50.634,2.861,242.080E-6 ,0.988,1.298,2.965,14.271,1.282 ,5.752,7.129,16.702,17.255,0.789472,0.320183,6.995 ,2.890979166666667
126.591 ,10.507 ,104.949 ,151.048 ,44.94256962953714,60.33068117516944,18.091615334914685,184,175,7.915748E-3 ,0.672219E-3 ,35.745,8,34.258,2.339,185.123E-6 ,0.952,1.202,2.857,12.291,1.152 ,3.853,6.503,20.778,11.559,0.879166,0.163081,10.597 ,2.386979166666667
128.696 ,81.680 ,81.407 ,562.406 ,35.847908191497545,57.47763699535347,15.899328404461057,173,157,7.762454E-3 ,2.852053E-3 ,60.763,14,65.751,2.874,223.056E-6 ,0.902,1.276,2.706,14.610,1.347 ,5.921,10.199,13.006,17.762,0.798902,0.288968,7.230 ,3.7069791666666667
150.791 ,70.376 ,75.379 ,574.384 ,30.645621861161644,58.580617434805546,4.42461636706664,484,455,6.791685E-3 ,2.064352E-3 ,62.109,18,67.053,2.479,168.385E-6 ,0.951,1.223,2.852,12.197,1.133 ,5.009,7.130,11.309,15.028,0.836909,0.238997,8.891 ,9.610979166666667
