Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
159.558 ,25.109 ,123.892 ,212.440 ,56.72278562971467,71.83147072426556,21.35467676587354,98,95,6.293504E-3 ,0.970700E-3 ,30.851,2,26.781,1.995,125.584E-6 ,0.770,0.874,2.311,12.613,1.197 ,4.741,8.457,10.022,14.222,0.762255,0.353688,5.739 ,0.9784807256235828
142.697 ,47.241 ,82.094 ,442.370 ,46.560302941096296,71.80415190484428,15.166244614305317,458,435,7.048101E-3 ,1.888951E-3 ,51.913,19,58.358,2.739,193.073E-6 ,1.346,1.532,4.039,17.795,1.516 ,8.968,10.896,15.374,26.904,0.693402,0.512692,4.153 ,7.874807256235828
234.202 ,198.013 ,98.670 ,607.742 ,55.99800652125259,66.81948392752516,38.63383568702676,332,298,4.585084E-3 ,3.389778E-3 ,29.218,11,32.393,4.908,225.031E-6 ,2.978,3.243,8.934,22.010,1.812 ,10.834,13.229,12.989,32.502,0.627393,0.649332,2.473 ,2.4674603174603176
147.654 ,97.563 ,78.045 ,597.657 ,52.83827551562157,68.8137507688705,27.406838414148787,702,663,6.904842E-3 ,2.657715E-3 ,31.938,26,39.784,3.297,227.687E-6 ,1.858,2.132,5.575,20.357,1.697 ,10.050,14.025,27.847,30.151,0.649001,0.605470,2.956 ,8.397256235827664
114.159 ,76.834 ,85.994 ,592.055 ,45.36195263975345,68.06804719942035,5.028750699061587,99,89,8.869267E-3 ,2.817138E-3 ,57.383,7,34.378,2.689,238.452E-6 ,1.467,1.219,4.400,20.590,1.681 ,10.307,13.782,15.155,30.920,0.724683,0.425238,4.773 ,3.016031746031746
174.142 ,16.599 ,122.942 ,197.404 ,50.02135309051698,73.1373872314476,30.515241621606023,181,179,5.729644E-3 ,0.591348E-3 ,48.372,1,6.441,2.722,155.984E-6 ,1.520,1.622,4.559,17.600,1.646 ,7.322,11.190,21.538,21.966,0.742059,0.404619,5.490 ,2.180113378684807
155.420 ,12.717 ,79.975 ,172.018 ,53.64071715872973,67.5148569376738,27.715417900511767,874,856,6.453296E-3 ,0.692768E-3 ,19.482,14,16.558,2.344,151.241E-6 ,1.273,1.340,3.819,17.836,1.584 ,8.264,12.825,24.949,24.792,0.808651,0.283499,7.564 ,7.378480725623583
146.154 ,23.202 ,80.396 ,462.851 ,52.420066470123636,73.81913170806462,26.023397086807538,1425,1385,6.857343E-3 ,0.826310E-3 ,26.245,32,23.771,2.279,156.298E-6 ,1.248,1.377,3.744,18.416,1.607 ,8.817,12.875,22.149,26.452,0.776465,0.341837,6.365 ,14.091950113378685
145.834 ,9.501 ,123.825 ,170.198 ,56.121209412059656,69.4611838369533,43.90842178035492,380,374,6.875605E-3 ,0.521247E-3 ,8.929,3,6.479,2.254,154.963E-6 ,1.249,1.474,3.748,16.957,1.606 ,8.084,12.690,22.507,24.253,0.756750,0.411293,6.038 ,2.8331746031746032
132.896 ,7.564 ,104.135 ,159.801 ,54.340547114584076,68.86155924592066,28.89584506918903,1409,1356,7.545893E-3 ,0.503705E-3 ,22.486,39,24.176,2.051,154.733E-6 ,1.070,1.205,3.210,18.714,1.593 ,9.380,13.471,20.729,28.140,0.753268,0.388680,5.710 ,14.353174603174603
133.085 ,8.931 ,90.811 ,198.870 ,53.215164061370025,68.40603885167081,25.957938764512242,1036,1009,7.556512E-3 ,0.545418E-3 ,18.537,18,16.564,2.300,173.779E-6 ,1.308,1.534,3.923,18.702,1.645 ,8.984,12.768,27.716,26.953,0.748786,0.388798,5.395 ,10.016848072562357
145.452 ,26.231 ,90.546 ,182.725 ,47.64304986845027,73.96996742681738,-1.8739909633856624,26,25,7.063553E-3 ,1.864634E-3 ,68.966,0,0,5.164,364.764E-6 ,2.048,2.567,6.145,30.983,2.229 ,10.818,18.303,--undefined--,32.454,0.598684,0.778786,1.840 ,0.612766439909297
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,39.04614293362603,50.11118061806925,32.116910670517676,1,0,--undefined-- ,--undefined-- ,92.105,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.79562358276644
