Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
148.581 ,34.225 ,119.631 ,227.723 ,37.390126573474525,69.21894889737092,6.919398982757704,136,133,6.701427E-3 ,1.411179E-3 ,55.392,2,48.224,2.351,157.548E-6 ,1.127,1.345,3.381,12.942,1.205 ,5.351,8.289,13.098,16.053,0.867989,0.183442,9.523 ,2.0756235827664398
129.966 ,37.979 ,81.696 ,400.333 ,46.68121312741842,70.24970280598056,13.037109488874286,645,612,7.702485E-3 ,1.732941E-3 ,42.810,26,46.877,2.637,203.096E-6 ,0.914,1.166,2.743,13.953,1.262 ,6.042,9.109,14.486,18.126,0.813871,0.278285,7.841 ,9.076439909297052
123.838 ,45.398 ,82.173 ,561.060 ,40.78165946145763,68.40663881470763,8.04695735615871,2141,2009,8.119186E-3 ,1.911302E-3 ,52.084,122,52.847,2.509,203.709E-6 ,0.905,1.126,2.716,13.378,1.224 ,5.888,8.144,12.966,17.665,0.828254,0.249724,8.372 ,38.41195011337869
128.807 ,57.900 ,74.735 ,576.226 ,41.07246297853204,69.01162142713274,6.468073548307032,3109,2936,7.848640E-3 ,2.063906E-3 ,46.639,142,49.828,2.612,204.969E-6 ,0.994,1.275,2.981,14.319,1.291 ,6.188,8.868,14.992,18.564,0.825174,0.251808,8.131 ,47.6331746031746
130.426 ,59.934 ,82.013 ,563.785 ,41.63098319630637,66.88538950935862,9.885096538719905,1091,1025,7.816098E-3 ,2.171421E-3 ,45.003,57,50.858,3.005,234.850E-6 ,1.243,1.529,3.730,14.114,1.310 ,6.024,8.855,16.036,18.072,0.801814,0.291829,7.420 ,16.547460317460317
129.534 ,48.492 ,74.886 ,587.175 ,41.99748291754103,67.05353757018808,6.984375211849558,3553,3364,7.787376E-3 ,1.894298E-3 ,45.919,169,50.780,2.516,195.893E-6 ,0.963,1.230,2.889,14.431,1.303 ,6.304,9.251,16.342,18.912,0.804907,0.292144,7.507 ,53.69358276643991
116.599 ,29.827 ,78.044 ,487.943 ,41.48641200876441,65.02849012487118,8.813047744169491,1604,1504,8.618621E-3 ,1.572014E-3 ,51.374,95,58.348,2.009,173.157E-6 ,0.792,0.999,2.375,14.961,1.360 ,6.913,9.654,16.452,20.740,0.739711,0.409200,5.220 ,31.332766439909296
117.035 ,28.274 ,75.646 ,463.706 ,41.42063146050044,64.98708733584964,11.429152227113484,895,834,8.566321E-3 ,1.732077E-3 ,50.263,59,54.632,2.470,211.611E-6 ,0.994,1.303,2.981,15.879,1.328 ,7.514,11.024,15.853,22.543,0.712397,0.467549,4.503 ,17.14827664399093
122.646 ,20.880 ,75.575 ,188.515 ,38.435755695401426,63.32293981823021,10.010088650768196,492,462,8.156985E-3 ,1.374621E-3 ,55.415,28,53.868,2.922,238.371E-6 ,1.263,1.516,3.788,16.147,1.447 ,7.794,11.276,20.498,23.383,0.720174,0.452056,4.659 ,9.546643990929706
123.347 ,36.525 ,86.643 ,537.356 ,41.31185464516179,64.13011535417635,12.411486903826145,733,698,8.150086E-3 ,1.603477E-3 ,48.346,31,52.093,2.108,171.773E-6 ,0.740,0.925,2.219,15.171,1.359 ,7.274,9.603,10.909,21.821,0.751545,0.380405,5.486 ,12.733582766439909
