Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
198.615 ,32.780 ,155.638 ,274.471 ,43.54256756276624,67.10759216030223,0.971526345434227,101,98,5.037454E-3 ,0.887479E-3 ,35.789,1,8.794,4.794,241.480E-6 ,2.772,3.386,8.317,22.708,1.995 ,10.862,16.246,32.392,32.587,0.696917,0.484225,3.962 ,0.9882086167800453
207.503 ,53.889 ,75.408 ,496.495 ,48.07090188004527,73.78979446235742,6.083388853532819,769,740,4.853343E-3 ,1.314833E-3 ,32.949,23,27.662,2.491,120.906E-6 ,1.335,1.456,4.006,17.851,1.555 ,8.526,11.934,13.057,25.577,0.805779,0.285976,7.472 ,6.108208616780045
190.794 ,55.647 ,75.980 ,599.879 ,43.78038620474143,67.07064922232593,2.416477483319203,798,770,5.285206E-3 ,1.277443E-3 ,30.597,19,22.138,2.647,139.912E-6 ,1.401,1.623,4.203,17.511,1.518 ,8.218,10.937,19.292,24.654,0.767654,0.356677,6.064 ,6.73514739229025
200.192 ,73.663 ,77.341 ,513.259 ,47.57237251524261,72.73816621649354,-13.914138724310845,1823,1738,5.033812E-3 ,1.672079E-3 ,39.452,65,40.770,2.552,128.483E-6 ,1.373,1.499,4.118,18.099,1.600 ,7.999,11.256,17.628,23.997,0.791065,0.311360,6.934 ,16.818412698412697
201.402 ,67.057 ,70.294 ,598.212 ,50.14661932732518,70.11694393466502,6.341512646322157,2321,2230,5.000338E-3 ,1.437043E-3 ,28.831,55,30.789,2.942,147.116E-6 ,1.587,1.770,4.762,17.933,1.609 ,7.750,11.778,19.467,23.250,0.771751,0.354135,6.418 ,18.176780045351475
192.758 ,54.229 ,74.664 ,597.497 ,47.27886735761696,68.89163329506941,-13.133679478233717,3539,3410,5.212921E-3 ,1.240253E-3 ,31.747,89,36.581,2.295,119.632E-6 ,1.251,1.430,3.752,18.609,1.620 ,8.397,12.442,19.604,25.191,0.782061,0.327401,6.540 ,30.088616780045353
199.701 ,62.185 ,80.651 ,541.267 ,47.210821416359174,67.79238005275319,-10.728479815378765,1360,1315,5.063656E-3 ,1.312300E-3 ,25.683,22,21.680,3.060,154.925E-6 ,1.648,1.911,4.944,18.546,1.652 ,8.730,11.488,18.132,26.190,0.763172,0.365891,6.074 ,9.922086167800453
182.718 ,50.183 ,77.652 ,485.640 ,47.64490162613555,68.50148254883455,5.684317240034639,1028,983,5.512623E-3 ,1.211857E-3 ,36.059,31,35.774,2.705,149.113E-6 ,1.506,1.719,4.518,18.139,1.593 ,8.316,11.638,19.255,24.948,0.747742,0.399252,5.765 ,10.183310657596373
181.719 ,43.379 ,72.089 ,455.954 ,48.77267330886684,70.53425577407378,13.243008466108057,1953,1877,5.507105E-3 ,1.315769E-3 ,31.271,56,39.156,2.639,145.359E-6 ,1.457,1.597,4.371,18.399,1.599 ,8.710,12.340,18.814,26.130,0.750033,0.397474,5.677 ,17.497596371882086
119.001 ,45.052 ,72.196 ,185.470 ,34.882384678523216,64.74030828931842,6.852676522117848,50,46,8.387541E-3 ,3.213294E-3 ,67.725,2,29.461,6.255,524.637E-6 ,3.478,2.412,10.433,14.558,1.561 ,7.866,5.014,2.160,23.597,0.668379,0.594385,3.460 ,1.9286167800453515
