Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
263.851 ,42.975 ,193.300 ,356.347 ,50.208878673619935,72.11286229037731,-8.637166598333827,185,178,3.819547E-3 ,0.658058E-3 ,41.667,0,0,3.665,140.001E-6 ,1.700,2.115,5.101,19.582,1.596 ,9.286,12.956,18.480,27.859,0.794328,0.315388,7.078 ,1.3539229024943311
237.132 ,70.167 ,79.582 ,599.026 ,56.78316795626738,78.14728242478712,-15.077198378905374,1779,1715,4.247636E-3 ,1.106703E-3 ,31.209,33,30.477,2.822,119.887E-6 ,1.485,1.755,4.456,17.960,1.603 ,8.268,11.447,20.658,24.803,0.789643,0.314484,6.854 ,12.27310657596372
231.648 ,49.372 ,84.666 ,530.279 ,59.96406611661518,77.44993355635779,6.627561048143229,1449,1411,4.328685E-3 ,0.932650E-3 ,15.730,17,18.509,2.553,110.517E-6 ,1.349,1.580,4.046,18.170,1.587 ,8.101,10.961,16.764,24.302,0.796058,0.302439,7.122 ,8.041269841269841
259.429 ,91.496 ,84.201 ,551.822 ,54.24819206133492,76.48732181316393,-0.6816807058362586,927,886,3.924295E-3 ,1.573172E-3 ,34.116,14,18.145,3.486,136.796E-6 ,1.838,2.064,5.515,18.907,1.578 ,9.123,12.953,19.115,27.370,0.756415,0.393266,5.959 ,6.421678004535147
237.370 ,68.163 ,104.913 ,564.330 ,57.83776564094129,79.18339237991074,12.036103571454497,1547,1497,4.238984E-3 ,1.049751E-3 ,23.825,21,21.411,3.139,133.056E-6 ,1.756,1.964,5.267,19.406,1.686 ,9.114,11.801,14.341,27.342,0.764282,0.365803,5.993 ,9.399637188208617
245.712 ,90.461 ,85.722 ,548.237 ,57.89123882288167,76.17361560349633,13.516516975851498,1304,1255,4.111998E-3 ,1.357013E-3 ,20.949,26,27.281,3.125,128.505E-6 ,1.691,1.805,5.074,18.688,1.661 ,9.090,12.095,18.883,27.269,0.767948,0.349514,6.028 ,7.623310657596372
248.162 ,83.647 ,94.367 ,599.585 ,54.219328019992204,74.44685411351331,7.64844820299441,1906,1846,4.079905E-3 ,1.301382E-3 ,29.781,30,32.798,3.259,132.983E-6 ,1.783,1.949,5.350,18.610,1.634 ,8.895,11.504,18.301,26.686,0.774966,0.339544,6.362 ,12.795555555555556
239.855 ,76.360 ,82.775 ,581.107 ,57.91377845683022,78.53419102371997,6.4677207486103345,2623,2532,4.200159E-3 ,1.171535E-3 ,24.062,55,31.404,3.058,128.448E-6 ,1.677,1.897,5.032,18.571,1.615 ,8.573,11.702,17.833,25.720,0.782874,0.323777,6.492 ,16.034739229024943
237.491 ,84.406 ,76.573 ,635.359 ,54.305861538532625,80.3508671325754,11.638750811632333,3706,3562,4.257094E-3 ,1.312408E-3 ,34.838,77,41.260,2.963,126.148E-6 ,1.614,1.839,4.841,18.059,1.585 ,8.414,11.287,15.312,25.241,0.770421,0.347664,6.251 ,26.849433106575965
231.157 ,66.741 ,92.167 ,561.139 ,56.72417725158785,80.88737563385608,26.534861706672473,746,715,4.346893E-3 ,1.229016E-3 ,32.793,21,34.602,3.117,135.480E-6 ,1.644,1.799,4.931,18.549,1.640 ,8.428,11.469,19.912,25.285,0.769390,0.341659,6.040 ,5.585759637188208
220.884 ,87.049 ,83.458 ,462.942 ,51.744130284411796,68.55712929086063,23.221675394596843,366,349,4.604100E-3 ,1.827651E-3 ,36.774,9,26.239,3.788,174.406E-6 ,2.135,2.018,6.406,17.033,1.548 ,8.180,11.548,19.362,24.541,0.762113,0.373560,5.990 ,3.130249433106576
229.509 ,77.245 ,72.491 ,564.477 ,54.3310261647314,71.65217807128714,15.1173272774299,1275,1233,4.365052E-3 ,1.377079E-3 ,27.047,17,19.284,3.654,159.512E-6 ,1.971,2.086,5.912,18.475,1.584 ,8.829,12.209,20.187,26.486,0.748715,0.405534,5.851 ,8.093514739229025
234.219 ,65.747 ,117.595 ,530.712 ,49.958884565222746,64.01991716591537,0.9471680740898711,479,465,4.307208E-3 ,1.080858E-3 ,32.424,8,24.488,2.569,110.672E-6 ,1.392,1.583,4.176,20.655,1.771 ,9.853,14.338,24.730,29.558,0.742813,0.395110,5.215 ,3.3392290249433105
142.426 ,39.588 ,117.919 ,305.366 ,48.56553589746401,79.85058408793103,13.769537027294103,147,143,7.107055E-3 ,1.412349E-3 ,60.000,1,0,2.614,185.798E-6 ,1.385,1.934,4.156,20.374,1.610 ,9.276,12.941,18.463,27.829,0.744350,0.381548,5.123 ,3.18249433106576
159.614 ,83.835 ,77.891 ,584.743 ,61.425003809017426,81.65788102869776,21.717060223599738,909,862,6.366157E-3 ,2.446330E-3 ,20.255,18,16.157,3.070,195.449E-6 ,1.622,1.948,4.867,18.475,1.624 ,8.618,11.676,15.392,25.853,0.757704,0.375000,5.739 ,7.88453514739229
180.151 ,99.148 ,74.721 ,491.591 ,56.52926095193411,79.50651950862995,1.5910671949321575,508,483,5.660337E-3 ,2.698318E-3 ,29.268,14,15.001,3.518,199.158E-6 ,1.920,2.402,5.759,19.458,1.696 ,8.800,11.290,15.968,26.401,0.761610,0.360577,5.877 ,4.540861678004535
170.155 ,85.491 ,84.159 ,422.501 ,56.5147159477745,79.05314990456156,-5.845783214245312,864,810,6.079944E-3 ,2.376388E-3 ,33.187,23,28.932,3.638,221.197E-6 ,1.954,2.266,5.862,20.854,1.734 ,9.564,12.966,18.143,28.693,0.756021,0.385758,5.734 ,9.138412698412699
166.156 ,96.652 ,76.154 ,597.142 ,57.469860574742846,77.97643694338572,12.67231827097601,1499,1409,6.132613E-3 ,2.606093E-3 ,28.011,48,31.855,3.203,196.430E-6 ,1.666,1.941,4.999,18.961,1.604 ,8.954,12.723,16.887,26.861,0.764271,0.365317,5.949 ,14.310657596371883
179.946 ,107.752 ,77.825 ,576.082 ,56.546350426170044,79.75236061558313,20.72009258740021,1161,1094,5.663841E-3 ,2.708802E-3 ,32.261,34,26.776,3.700,209.580E-6 ,1.878,2.176,5.635,19.417,1.662 ,8.650,11.645,18.877,25.949,0.752125,0.387724,5.647 ,10.914739229024944
175.062 ,98.748 ,77.145 ,523.948 ,55.06930995217426,75.60563969926261,-0.7986012572762763,1131,1061,5.821898E-3 ,2.560591E-3 ,32.124,36,24.375,3.496,203.520E-6 ,1.830,2.115,5.490,18.520,1.622 ,9.256,12.752,17.348,27.768,0.750236,0.388935,5.757 ,11.332698412698413
161.704 ,74.488 ,77.589 ,427.308 ,58.088232776533765,81.89363233376854,8.881873749819505,921,878,6.246908E-3 ,2.292301E-3 ,28.287,30,30.226,3.655,228.319E-6 ,1.968,2.297,5.905,18.046,1.587 ,8.701,11.354,14.749,26.103,0.758502,0.374428,5.828 ,9.086167800453515
169.786 ,87.315 ,80.675 ,396.207 ,56.60394144011398,76.66919464664184,25.21351255708862,433,403,6.099599E-3 ,2.438042E-3 ,29.469,12,22.200,4.116,251.031E-6 ,2.256,2.664,6.767,19.039,1.739 ,9.352,11.184,15.550,28.057,0.739070,0.402289,5.120 ,4.175147392290249
176.743 ,100.165 ,70.697 ,547.528 ,56.38349544790615,76.62161317614408,5.02689062413125,1606,1505,5.805758E-3 ,2.764043E-3 ,26.960,44,33.966,4.216,244.792E-6 ,2.257,2.719,6.770,18.577,1.609 ,8.947,11.534,13.893,26.842,0.737845,0.419722,5.391 ,14.5718820861678
167.378 ,98.391 ,84.325 ,599.334 ,54.43140336015533,78.94848870965214,-0.7296212088499654,918,867,6.074385E-3 ,2.500599E-3 ,34.851,29,29.047,3.317,201.458E-6 ,1.729,2.135,5.188,19.624,1.646 ,9.744,12.693,19.724,29.233,0.727912,0.427149,4.796 ,10.131065759637188
176.654 ,105.858 ,77.494 ,592.235 ,56.26143250126709,75.37043327732468,24.33158843501358,1706,1593,5.767532E-3 ,2.689232E-3 ,28.625,57,39.008,3.915,225.807E-6 ,2.144,2.448,6.432,20.516,1.768 ,9.707,12.914,17.129,29.122,0.706782,0.474426,4.335 ,16.034739229024943
163.163 ,73.730 ,77.934 ,482.725 ,53.51413632381191,76.4623216025913,1.5221993873487394,750,709,6.193536E-3 ,2.132658E-3 ,33.212,26,30.631,3.696,228.918E-6 ,2.030,2.444,6.090,20.176,1.764 ,9.688,14.367,19.676,29.063,0.735996,0.420144,5.240 ,8.250249433106577
177.718 ,95.081 ,95.646 ,585.471 ,53.867138554035286,71.26694589098489,3.4525588135956076,1206,1134,5.708260E-3 ,2.515844E-3 ,32.304,47,36.573,4.344,247.939E-6 ,2.297,2.699,6.891,20.553,1.743 ,9.903,14.335,15.843,29.709,0.703472,0.477687,4.246 ,12.0118820861678
198.472 ,98.917 ,82.563 ,442.859 ,55.24710228572413,77.86804246382756,-0.9294524687042867,1024,960,5.094210E-3 ,2.320052E-3 ,32.803,35,40.042,4.240,216.004E-6 ,2.312,2.779,6.937,18.529,1.582 ,9.132,10.501,12.638,27.397,0.736276,0.413531,5.154 ,9.451882086167801
193.079 ,107.917 ,75.156 ,526.410 ,51.99670921516602,72.22901514194353,9.809627557279217,1256,1177,5.258825E-3 ,2.658147E-3 ,37.682,43,39.843,5.027,264.377E-6 ,2.782,3.132,8.346,20.364,1.720 ,10.009,13.380,15.556,30.028,0.701913,0.489601,4.221 ,12.377596371882087
147.949 ,73.545 ,76.952 ,469.006 ,48.771627730117984,71.08415751725896,7.090919498913141,283,264,6.813816E-3 ,2.454030E-3 ,45.047,14,24.937,2.751,187.420E-6 ,1.433,1.699,4.300,22.042,1.787 ,10.344,14.389,18.005,31.033,0.727313,0.420511,4.667 ,4.279637188208617
159.270 ,71.344 ,86.014 ,454.367 ,53.42135024200366,74.12174333512957,4.604364333030377,727,682,6.302960E-3 ,2.298751E-3 ,35.036,30,44.701,3.946,248.728E-6 ,2.212,2.462,6.636,19.018,1.643 ,9.524,12.842,16.819,28.573,0.703968,0.490227,4.245 ,8.250249433106577
205.123 ,113.766 ,84.822 ,500.808 ,52.01740528650509,72.51974505765682,21.10792789803279,296,268,4.819890E-3 ,2.455498E-3 ,51.313,18,65.083,4.911,236.688E-6 ,2.685,3.251,8.055,23.595,1.962 ,11.478,13.468,15.644,34.435,0.685846,0.511445,3.727 ,4.227392290249433
182.882 ,116.737 ,85.564 ,585.192 ,52.350451509725374,66.67469830533167,20.268768645707922,391,363,5.531311E-3 ,2.739246E-3 ,37.471,19,48.071,3.886,214.954E-6 ,2.073,2.537,6.219,19.659,1.704 ,9.422,12.894,20.369,28.266,0.687413,0.496117,3.750 ,4.3841269841269845
202.778 ,102.966 ,73.947 ,524.930 ,50.959311661426796,68.06562377734241,14.92689766165202,752,712,4.997449E-3 ,2.505891E-3 ,38.333,20,49.143,4.221,210.936E-6 ,2.369,2.655,7.107,20.221,1.729 ,9.854,12.943,15.697,29.563,0.712293,0.463934,4.639 ,7.832290249433107
168.291 ,83.699 ,88.798 ,521.590 ,51.590746235510615,69.48648106472837,9.243371685849194,400,371,6.093187E-3 ,2.314762E-3 ,40.252,18,32.853,4.043,246.360E-6 ,2.204,2.441,6.613,21.651,1.772 ,11.539,15.209,22.906,34.616,0.657341,0.592403,3.141 ,4.802086167800454
174.271 ,83.962 ,92.408 ,479.092 ,49.39580707957143,65.29602004173097,18.608177168039838,957,890,5.857330E-3 ,2.345085E-3 ,47.144,39,45.266,4.591,268.938E-6 ,2.500,2.919,7.500,20.653,1.790 ,9.772,13.413,16.024,29.315,0.672967,0.550619,3.539 ,13.161269841269842
175.912 ,124.093 ,114.389 ,535.904 ,43.86076604792245,69.9875978219074,-3.233441036861401,82,76,5.802049E-3 ,2.562357E-3 ,64.591,4,53.041,3.499,203.043E-6 ,1.992,2.325,5.976,19.189,1.727 ,10.193,9.906,16.524,30.579,0.652984,0.577542,2.914 ,2.607800453514739
181.161 ,91.229 ,100.862 ,487.256 ,53.035755245034345,67.110795768225,18.04419196525107,1139,1092,5.557559E-3 ,2.357716E-3 ,23.144,34,29.881,3.785,210.363E-6 ,2.103,2.362,6.309,19.550,1.713 ,9.631,13.133,19.685,28.892,0.718184,0.448540,4.575 ,9.190657596371882
186.521 ,97.088 ,82.560 ,438.617 ,49.43241149550042,70.38602926219144,-6.036599321171046,682,639,5.401836E-3 ,2.384669E-3 ,42.532,25,32.162,4.017,216.965E-6 ,2.257,2.584,6.771,21.034,1.807 ,9.418,12.530,16.995,28.255,0.691031,0.500732,3.877 ,7.936780045351474
181.390 ,97.037 ,82.411 ,589.961 ,49.336420641393715,68.83567824744944,4.82640646966407,612,573,5.522844E-3 ,2.434772E-3 ,54.413,29,57.911,4.162,229.881E-6 ,2.316,2.520,6.947,20.680,1.788 ,10.711,13.072,11.259,32.134,0.659641,0.572873,3.159 ,9.660861678004535
188.076 ,103.521 ,70.037 ,598.149 ,47.56331769906266,66.78521156580115,3.6538245697623477,1164,1082,5.478013E-3 ,2.638521E-3 ,39.472,44,49.740,4.180,228.956E-6 ,2.300,2.711,6.901,20.695,1.777 ,10.030,12.537,18.805,30.090,0.691667,0.505595,3.898 ,12.900045351473922
161.987 ,82.110 ,78.453 ,540.795 ,52.17915021726132,72.71080320899353,-0.24144567930203575,773,710,6.322964E-3 ,2.296965E-3 ,37.591,37,49.495,2.858,180.716E-6 ,1.490,1.875,4.469,20.076,1.746 ,9.654,12.331,15.849,28.962,0.694198,0.495877,4.000 ,9.660861678004535
181.197 ,93.773 ,74.420 ,451.071 ,46.641194732575535,68.5950924232556,9.879448638515179,949,871,5.593231E-3 ,2.482848E-3 ,48.483,49,49.804,4.083,228.373E-6 ,2.235,2.571,6.704,20.047,1.728 ,9.522,12.379,19.631,28.565,0.668204,0.553605,3.355 ,13.213514739229025
164.922 ,72.494 ,84.119 ,362.221 ,48.70580548706261,73.4792594044926,6.4121696060587325,527,490,6.064058E-3 ,2.168061E-3 ,50.879,27,49.862,2.947,178.700E-6 ,1.628,1.842,4.884,18.699,1.614 ,9.655,11.077,8.914,28.964,0.696269,0.490218,4.014 ,8.563718820861679
177.371 ,84.922 ,93.690 ,383.531 ,47.83573750186614,68.4053186555353,18.068644059676622,441,409,5.685810E-3 ,2.390553E-3 ,46.870,20,49.457,3.774,214.566E-6 ,2.040,2.432,6.119,20.619,1.756 ,10.682,12.083,16.522,32.047,0.667068,0.551345,3.295 ,6.264943310657596
