Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
183.295 ,25.452 ,137.215 ,229.042 ,43.88869724243321,63.475422876966846,13.282058386909856,80,78,5.447354E-3 ,0.805229E-3 ,33.824,1,6.299,3.161,172.189E-6 ,1.243,1.374,3.729,10.549,1.103 ,4.216,6.725,10.210,12.649,0.900252,0.125376,11.609 ,0.7172562358276644
163.616 ,30.418 ,96.792 ,234.988 ,38.27002075109501,72.23341761129123,8.263209441097281,162,155,6.136853E-3 ,1.148638E-3 ,57.202,6,59.112,2.262,138.840E-6 ,0.984,1.244,2.952,10.389,0.991 ,4.707,6.048,10.307,14.122,0.870353,0.176993,10.433 ,2.4674603174603176
202.097 ,63.432 ,127.381 ,557.197 ,43.9302297285195,63.328468168214755,9.08409588334097,513,488,4.999134E-3 ,1.237758E-3 ,34.742,12,36.004,2.674,133.681E-6 ,1.151,1.255,3.453,12.805,1.183 ,5.269,7.520,12.906,15.808,0.868666,0.191208,10.504 ,4.296031746031746
197.560 ,51.432 ,117.932 ,428.097 ,42.42994057178395,63.019460694660864,9.499792070557245,403,391,5.108447E-3 ,1.208206E-3 ,34.877,8,35.463,2.736,139.788E-6 ,1.195,1.209,3.586,11.871,1.165 ,4.780,8.002,12.802,14.340,0.902559,0.129457,12.216 ,3.2772562358276645
187.655 ,37.700 ,130.971 ,309.674 ,43.25060212417836,62.54940006352729,7.294350815088178,410,399,5.352477E-3 ,1.052637E-3 ,30.294,9,35.494,2.942,157.477E-6 ,1.316,1.565,3.949,11.633,1.120 ,4.678,7.321,10.985,14.035,0.891036,0.146647,11.841 ,3.4339909297052156
187.372 ,48.672 ,101.537 ,325.775 ,38.03663531136166,62.0814589645596,7.071203775721914,555,541,5.355930E-3 ,1.342511E-3 ,42.755,11,47.241,2.635,141.118E-6 ,1.167,1.392,3.501,10.965,1.050 ,4.967,7.171,10.691,14.900,0.885885,0.156335,11.659 ,5.6282766439909295
195.892 ,69.913 ,101.700 ,581.857 ,46.12900444704345,62.00963078552168,10.053282020412945,768,737,5.206865E-3 ,1.494990E-3 ,19.608,18,22.712,2.980,155.174E-6 ,1.197,1.455,3.591,13.983,1.270 ,5.859,8.553,14.300,17.576,0.879979,0.160403,10.878 ,5.131950113378685
201.867 ,61.640 ,89.188 ,578.455 ,41.37366392422269,61.782749505368514,6.560498636726826,1562,1514,5.027231E-3 ,1.315268E-3 ,32.346,27,35.921,2.756,138.549E-6 ,1.183,1.376,3.550,11.448,1.091 ,4.484,7.221,12.691,13.451,0.889889,0.154047,11.896 ,12.185011337868481
196.809 ,68.082 ,80.616 ,540.414 ,38.22620662805913,61.363404346177234,6.327084132269235,628,610,5.122493E-3 ,1.586743E-3 ,40.351,14,42.558,3.452,176.838E-6 ,1.495,1.715,4.485,12.297,1.159 ,5.713,7.531,12.243,17.138,0.863741,0.207637,10.535 ,5.732766439909297
178.176 ,66.809 ,110.877 ,546.775 ,42.916895076355644,59.68060701857338,7.092929530399761,500,482,5.670657E-3 ,1.565091E-3 ,26.829,12,30.848,2.817,159.739E-6 ,1.165,1.543,3.495,13.978,1.240 ,6.242,9.393,12.491,18.727,0.860378,0.206108,10.163 ,4.139297052154195
185.499 ,31.955 ,128.290 ,326.367 ,42.23747407328527,59.31022062481357,9.669757784289283,448,433,5.426510E-3 ,0.879284E-3 ,31.129,10,25.035,2.196,119.179E-6 ,0.967,1.078,2.900,9.364,0.920 ,3.950,5.843,8.590,11.850,0.895513,0.145508,12.471 ,3.669092970521542
190.838 ,52.048 ,119.052 ,433.978 ,37.021973447328,59.325050334007116,8.3483505639665,594,574,5.289475E-3 ,1.312303E-3 ,46.032,14,49.425,2.602,137.656E-6 ,1.140,1.285,3.419,10.416,1.066 ,4.397,6.548,12.343,13.191,0.880238,0.185773,11.629 ,6.33358276643991
184.985 ,60.840 ,88.979 ,569.979 ,37.99123830631204,59.57146504058589,7.194136937500437,723,698,5.447075E-3 ,1.482155E-3 ,36.585,17,40.386,2.465,134.287E-6 ,1.017,1.231,3.050,12.592,1.210 ,5.088,7.858,11.858,15.265,0.887054,0.157337,11.536 ,6.5948072562358275
184.866 ,45.604 ,65.538 ,373.625 ,37.109483884908016,58.32793668318529,7.587234016798469,1446,1389,5.435298E-3 ,1.357399E-3 ,38.273,39,39.467,2.564,139.371E-6 ,1.062,1.230,3.185,11.589,1.099 ,4.929,7.247,11.355,14.788,0.885022,0.160207,11.372 ,13.46501133786848
181.845 ,65.359 ,97.689 ,567.844 ,38.24614743831978,58.767528337949315,6.519186240162033,1054,1009,5.545000E-3 ,1.584727E-3 ,33.763,28,38.377,3.005,166.641E-6 ,1.264,1.448,3.792,12.399,1.167 ,5.371,7.666,12.178,16.112,0.866370,0.195203,10.818 ,9.33766439909297
168.014 ,45.030 ,76.184 ,335.744 ,35.43169287611077,57.73014940713743,6.243470647067133,1769,1705,5.986044E-3 ,1.537577E-3 ,40.340,51,33.823,2.772,165.938E-6 ,1.204,1.278,3.611,12.521,1.151 ,5.558,7.651,12.923,16.673,0.868307,0.186733,10.417 ,18.87235827664399
169.677 ,48.726 ,96.470 ,487.713 ,35.9549220006007,57.407277240307735,6.198758601724096,2042,1970,5.932321E-3 ,1.495328E-3 ,35.171,58,34.193,2.700,160.152E-6 ,1.183,1.416,3.548,12.441,1.137 ,5.373,8.100,12.718,16.119,0.872741,0.179787,10.671 ,19.629909297052155
165.848 ,41.993 ,75.032 ,579.216 ,36.59077646479178,57.14228760345384,7.062998518061372,867,830,6.051528E-3 ,1.256169E-3 ,35.183,29,39.723,2.371,143.453E-6 ,0.975,1.122,2.925,12.232,1.134 ,5.018,7.365,11.020,15.053,0.889274,0.152454,11.729 ,8.501746031746032
176.483 ,47.114 ,96.692 ,345.532 ,32.08965259996136,56.40919382803952,6.425667437475173,572,549,5.716991E-3 ,1.493531E-3 ,43.780,19,48.437,2.949,168.591E-6 ,1.344,1.555,4.032,12.681,1.148 ,5.081,7.750,12.571,15.244,0.851615,0.218221,9.863 ,6.229092970521542
176.580 ,74.563 ,71.696 ,408.573 ,36.415030075997876,55.38254734802961,6.47672457046324,284,271,5.693144E-3 ,2.091331E-3 ,26.522,7,29.951,2.104,119.810E-6 ,0.900,1.059,2.701,11.205,1.086 ,4.853,6.979,11.714,14.560,0.870091,0.179905,10.450 ,2.336848072562358
172.810 ,53.063 ,101.300 ,550.021 ,32.51060448321084,55.02625998508214,6.384315953744566,1116,1076,5.830776E-3 ,1.427195E-3 ,40.478,30,45.507,2.759,160.850E-6 ,1.230,1.345,3.689,13.324,1.232 ,5.451,8.015,12.945,16.353,0.883731,0.170613,11.432 ,11.74092970521542
179.107 ,48.773 ,75.864 ,514.943 ,34.17426210959359,55.34553557759079,6.572879459643206,1964,1896,5.622786E-3 ,1.304296E-3 ,39.575,55,42.405,2.675,150.411E-6 ,1.157,1.287,3.471,12.994,1.159 ,5.491,8.131,12.766,16.472,0.877004,0.174305,10.916 ,19.316439909297053
181.586 ,64.542 ,75.595 ,519.682 ,35.87906969220287,54.54665976534328,-1.0848362669877494,456,442,5.517930E-3 ,1.589876E-3 ,28.571,8,24.347,2.587,142.731E-6 ,1.034,1.249,3.101,13.394,1.182 ,5.867,7.627,13.298,17.602,0.892709,0.139466,11.582 ,3.7474603174603174
149.522 ,84.562 ,83.361 ,557.858 ,31.08068349711959,64.52640589249567,5.490943453126747,328,313,6.825700E-3 ,2.524364E-3 ,56.061,11,41.192,2.561,174.789E-6 ,1.215,1.263,3.646,15.201,1.369 ,6.227,10.601,20.007,18.682,0.835933,0.249222,9.027 ,5.314807256235827
146.984 ,70.870 ,85.959 ,586.610 ,43.09027882937845,63.74916532700312,6.0985641164981175,1067,1017,6.915975E-3 ,2.190944E-3 ,33.448,35,38.301,2.941,203.399E-6 ,1.329,1.591,3.987,16.062,1.450 ,6.606,10.173,16.453,19.818,0.821151,0.262922,8.084 ,11.636439909297053
154.193 ,74.942 ,89.707 ,482.652 ,39.31623570354854,63.22201819179671,6.9979499239389416,1506,1428,6.616814E-3 ,2.246606E-3 ,37.288,53,37.373,3.060,202.446E-6 ,1.383,1.714,4.149,17.040,1.451 ,7.503,11.279,19.992,22.510,0.827896,0.253588,8.346 ,17.14827664399093
150.080 ,69.015 ,78.467 ,557.562 ,39.2138328613507,63.45454059593092,7.708456138979108,754,717,6.719291E-3 ,2.216442E-3 ,40.345,29,42.662,3.100,208.282E-6 ,1.387,1.596,4.162,16.269,1.466 ,7.178,10.922,17.339,21.533,0.818577,0.263465,7.975 ,8.736848072562358
148.926 ,54.369 ,96.542 ,540.335 ,43.50568146201253,62.52372125015461,8.284732700208245,492,472,6.791014E-3 ,1.658861E-3 ,28.205,15,30.442,2.745,186.397E-6 ,1.259,1.525,3.777,15.317,1.396 ,6.599,11.121,20.566,19.797,0.811800,0.280138,7.574 ,4.713990929705216
