Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
137.343 ,74.103 ,80.475 ,490.306 ,45.588683012682736,73.55175145078877,-21.248475788311016,399,371,7.388855E-3 ,2.647874E-3 ,47.551,19,38.963,2.925,216.141E-6 ,1.593,1.568,4.778,19.367,1.627 ,8.346,10.518,16.300,25.039,0.742197,0.402984,5.201 ,6.369433106575964
133.740 ,55.722 ,86.873 ,571.685 ,50.445843403509826,74.4339199565004,2.3946156863925045,311,296,7.559822E-3 ,1.591019E-3 ,33.168,11,36.727,1.927,145.676E-6 ,0.972,1.138,2.915,15.686,1.379 ,7.280,9.555,12.070,21.839,0.807336,0.280303,7.265 ,4.070657596371882
149.804 ,83.617 ,83.120 ,594.226 ,47.431072642177064,67.23819733894916,10.09592699380484,772,731,6.788728E-3 ,2.205682E-3 ,31.116,31,39.595,2.145,145.614E-6 ,1.026,1.137,3.078,16.759,1.435 ,7.247,9.988,15.568,21.740,0.805114,0.291439,7.587 ,8.45922902494331
107.615 ,52.480 ,74.622 ,438.863 ,40.0069922774152,61.659585811223224,7.171657483231156,96,86,9.478147E-3 ,2.347986E-3 ,44.186,8,52.954,2.835,268.714E-6 ,1.544,1.771,4.631,17.551,1.645 ,8.371,15.777,29.135,25.112,0.722777,0.433433,4.565 ,2.1898412698412697
117.045 ,25.214 ,72.166 ,157.669 ,45.29557739266339,63.18739028224965,1.8166728728455852,86,78,8.492727E-3 ,1.805020E-3 ,38.028,7,28.094,2.904,246.596E-6 ,1.318,1.088,3.954,20.323,1.668 ,8.213,11.450,22.580,24.640,0.732924,0.425071,5.141 ,1.4584126984126984
160.775 ,84.868 ,77.243 ,481.846 ,37.99299763786972,68.91656489952182,-14.02872401317985,382,360,6.387698E-3 ,2.795893E-3 ,51.636,16,54.946,2.728,174.256E-6 ,1.293,1.601,3.878,18.197,1.560 ,6.842,8.736,7.888,20.526,0.775647,0.341719,6.371 ,5.533514739229025
214.445 ,38.516 ,84.990 ,297.838 ,43.35669792407348,61.82424872223614,3.4784897620069932,867,848,4.673965E-3 ,0.984316E-3 ,20.037,9,19.141,2.583,120.735E-6 ,1.327,1.511,3.980,16.440,1.490 ,6.739,11.093,18.704,20.216,0.835150,0.251407,8.939 ,5.429024943310657
201.034 ,39.680 ,78.356 ,513.188 ,43.20950272250019,60.68467076101057,-3.8961004280249605,1638,1581,4.970313E-3 ,0.971509E-3 ,22.705,35,30.331,2.546,126.536E-6 ,1.282,1.395,3.845,16.330,1.435 ,7.247,10.797,16.841,21.740,0.811515,0.287530,7.864 ,12.0118820861678
197.157 ,30.664 ,86.667 ,280.958 ,44.41934124530798,63.47150634797676,-9.126340173171322,1167,1139,5.074004E-3 ,0.839848E-3 ,22.581,21,17.561,2.417,122.621E-6 ,1.256,1.471,3.768,16.957,1.528 ,7.579,10.593,15.126,22.737,0.828629,0.258451,8.506 ,8.093514739229025
206.951 ,34.448 ,131.730 ,536.369 ,41.10908227572432,59.51644962748904,2.575728392643854,1268,1240,4.841591E-3 ,0.723316E-3 ,23.974,21,33.626,2.795,135.326E-6 ,1.490,1.754,4.469,18.741,1.621 ,8.566,12.533,17.849,25.699,0.812827,0.276511,7.767 ,9.29514739229025
206.615 ,54.112 ,89.257 ,593.936 ,41.7554646242989,71.41321732321532,9.019509399046747,1527,1455,4.865264E-3 ,0.916755E-3 ,46.889,53,45.323,1.875,91.247E-6 ,0.914,1.033,2.741,17.105,1.479 ,7.295,10.531,16.398,21.885,0.852816,0.204882,9.183 ,15.303310657596372
202.914 ,33.412 ,115.523 ,533.071 ,38.30282237156039,58.33383043272037,11.196458985859636,1324,1289,4.931489E-3 ,0.746860E-3 ,29.630,23,34.479,2.493,122.924E-6 ,1.271,1.462,3.812,16.029,1.450 ,7.275,10.411,18.316,21.826,0.833780,0.247497,8.737 ,10.026575963718821
199.383 ,59.633 ,76.931 ,585.777 ,39.918444813191556,57.35954443206309,6.562939437622807,1174,1133,5.036113E-3 ,1.173442E-3 ,21.324,24,27.210,2.805,141.242E-6 ,1.486,1.708,4.458,17.980,1.588 ,8.165,12.425,20.719,24.496,0.799810,0.306671,7.413 ,8.198004535147392
201.794 ,21.637 ,124.647 ,268.768 ,39.7020972177778,69.02513026087468,9.075688764538782,781,745,4.968527E-3 ,0.553568E-3 ,44.401,30,40.888,2.121,105.375E-6 ,1.063,1.169,3.189,17.623,1.508 ,7.414,11.687,20.253,22.243,0.816443,0.267496,7.911 ,7.623310657596372
195.533 ,22.240 ,89.377 ,258.357 ,40.73357268197838,59.7901726229156,-5.682490464435327,1838,1794,5.108316E-3 ,0.588615E-3 ,23.155,30,26.718,2.145,109.566E-6 ,1.108,1.308,3.325,16.954,1.502 ,7.615,11.527,17.759,22.845,0.820490,0.267189,8.001 ,12.900045351473922
175.912 ,18.997 ,140.720 ,251.800 ,40.75330908584231,50.17629887182899,1.334217719918151,155,153,5.726866E-3 ,0.543213E-3 ,13.208,0,0,1.682,96.318E-6 ,0.967,1.047,2.900,17.188,1.553 ,8.133,12.479,17.911,24.398,0.808701,0.299917,7.741 ,1.0926984126984127
