Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
261.461 ,11.460 ,240.032 ,287.283 ,61.37241248097359,66.58345203098698,40.383037792266734,139,138,3.831316E-3 ,0.185350E-3 ,11.111,0,0,1.155,44.267E-6 ,0.601,0.748,1.803,9.938,0.887 ,4.485,6.851,11.154,13.456,0.903872,0.140370,12.071 ,0.6650113378684808
242.532 ,12.175 ,220.852 ,281.067 ,55.69873702314688,64.13059902987675,31.084040017629064,143,139,4.132576E-3 ,0.230714E-3 ,15.493,2,11.699,1.894,78.279E-6 ,0.923,0.902,2.770,9.693,1.027 ,3.676,6.274,8.935,11.027,0.904702,0.138190,13.245 ,0.7433786848072562
125.902 ,64.306 ,74.278 ,599.653 ,54.0579548468017,77.17131152807852,23.971060299762442,1748,1658,8.104866E-3 ,2.488768E-3 ,36.345,66,40.502,2.492,201.997E-6 ,1.163,1.403,3.490,14.625,1.307 ,6.843,9.546,14.166,20.530,0.791120,0.321934,7.069 ,23.83562358276644
126.309 ,42.418 ,75.027 ,380.498 ,53.77938070669659,78.29800112851429,29.540975186485973,582,558,7.985291E-3 ,2.094028E-3 ,43.228,18,33.911,2.351,187.752E-6 ,1.131,1.289,3.394,14.167,1.294 ,6.431,9.067,15.163,19.293,0.798870,0.308158,7.352 ,8.89358276643991
126.165 ,42.630 ,85.555 ,453.641 ,58.27341691167313,79.18346467615994,31.69868846340526,748,709,8.011614E-3 ,1.922718E-3 ,30.622,34,41.787,2.322,185.993E-6 ,1.105,1.226,3.315,14.767,1.283 ,6.630,8.921,11.668,19.891,0.791291,0.319685,7.156 ,9.990725623582767
110.895 ,23.203 ,84.002 ,378.438 ,58.41638765686588,73.93112415959047,28.129850742270982,833,814,9.012419E-3 ,1.459087E-3 ,21.173,17,24.159,2.096,188.880E-6 ,0.872,1.053,2.615,15.511,1.387 ,7.507,10.349,15.268,22.522,0.808732,0.282658,7.366 ,10.095215419501134
103.825 ,45.391 ,78.835 ,429.423 ,48.53374366755338,69.8644396080976,26.49618167191494,218,201,9.804195E-3 ,2.285357E-3 ,57.756,12,45.583,2.552,250.202E-6 ,1.337,1.342,4.010,15.835,1.392 ,7.870,9.633,11.262,23.609,0.746777,0.396670,5.454 ,6.098480725623583
113.529 ,38.948 ,78.240 ,416.708 ,57.60435002407207,74.56855294269408,29.166378242806243,562,544,8.816428E-3 ,2.110792E-3 ,24.309,16,25.449,2.379,209.729E-6 ,1.093,1.425,3.279,14.929,1.357 ,7.229,9.705,14.663,21.687,0.771783,0.361733,6.300 ,6.90827664399093
125.096 ,33.035 ,76.547 ,437.836 ,52.08641869230256,71.548522248775,26.55205143379856,485,466,7.988198E-3 ,1.661775E-3 ,37.500,14,42.508,2.321,185.366E-6 ,1.022,1.141,3.066,16.054,1.415 ,7.283,10.687,15.429,21.850,0.788177,0.319349,6.793 ,6.751541950113379
121.330 ,43.315 ,78.161 ,572.097 ,53.58033289212701,72.56980961248348,21.930996820779008,1607,1542,8.294684E-3 ,1.877490E-3 ,33.013,53,37.905,2.614,216.858E-6 ,1.219,1.340,3.656,14.931,1.368 ,6.994,9.670,14.765,20.983,0.781292,0.340178,6.755 ,21.902562358276644
147.157 ,111.728 ,81.974 ,591.130 ,39.64492494749558,67.50759308929096,-1.2813306544155987,1095,1000,7.094846E-3 ,3.456870E-3 ,55.414,67,62.218,2.022,143.479E-6 ,0.893,1.026,2.679,17.644,1.469 ,7.968,10.365,10.387,23.903,0.731812,0.418441,4.918 ,19.70827664399093
158.131 ,136.653 ,75.501 ,586.814 ,37.67357953274492,64.87677580192826,20.87627399236373,214,197,6.575929E-3 ,3.756284E-3 ,69.489,12,40.079,2.881,189.473E-6 ,1.409,1.452,4.227,19.915,1.643 ,9.778,12.162,19.803,29.335,0.716464,0.460613,4.634 ,5.706643990929705
143.392 ,84.903 ,74.416 ,480.408 ,60.48844151997294,74.98736731436549,35.49359537057664,519,491,7.193547E-3 ,2.696372E-3 ,12.527,14,19.328,2.958,212.801E-6 ,1.397,1.516,4.191,18.115,1.536 ,8.845,12.311,15.118,26.534,0.763676,0.375127,6.141 ,4.583378684807256
128.309 ,64.793 ,77.581 ,445.920 ,53.14200056247792,72.64361686927332,29.944855408903873,440,420,7.896089E-3 ,2.434205E-3 ,39.790,15,18.522,2.095,165.408E-6 ,0.982,1.109,2.947,16.185,1.382 ,7.698,10.957,16.959,23.093,0.789518,0.323743,7.022 ,6.699297052154195
