Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
160.067 ,26.641 ,96.683 ,196.015 ,50.32978364744335,76.55476906865272,22.56956167392847,156,153,6.256861E-3 ,1.155608E-3 ,43.258,2,2.703,2.440,152.678E-6 ,1.262,1.447,3.785,13.245,1.211 ,6.340,8.140,9.372,19.020,0.779541,0.340887,7.008 ,1.8143990929705216
152.332 ,43.924 ,89.224 ,587.619 ,50.26072775696736,71.14528345176504,17.190612656149572,1282,1242,6.584134E-3 ,1.416501E-3 ,37.668,31,43.996,2.157,142.048E-6 ,1.076,1.198,3.227,15.174,1.375 ,6.998,9.552,16.261,20.993,0.771672,0.365752,6.303 ,14.87562358276644
165.732 ,69.064 ,76.845 ,559.129 ,50.71976860762666,71.32806926416437,20.39284486249059,1840,1772,6.094090E-3 ,1.885249E-3 ,36.917,46,35.003,2.665,162.398E-6 ,1.290,1.523,3.871,15.392,1.413 ,7.031,9.866,14.396,21.094,0.788014,0.329833,6.877 ,19.10746031746032
171.507 ,69.453 ,67.008 ,563.426 ,47.371485578366276,71.10535390886149,20.27857063982502,1470,1410,5.867647E-3 ,1.865065E-3 ,44.212,41,38.682,2.604,152.779E-6 ,1.316,1.471,3.949,15.157,1.356 ,7.476,9.946,14.816,22.429,0.784391,0.331676,6.918 ,17.226643990929706
168.728 ,44.341 ,80.847 ,345.437 ,46.109517056548135,69.71942277719906,19.13487514857611,310,299,5.903299E-3 ,1.420184E-3 ,41.194,6,13.501,2.323,137.124E-6 ,1.019,1.152,3.057,16.992,1.529 ,8.018,11.105,16.662,24.053,0.774335,0.352470,6.588 ,3.3817460317460317
171.756 ,59.325 ,84.181 ,514.443 ,50.2585010737193,70.37082132594423,19.12936691663377,2049,1983,5.854316E-3 ,1.574775E-3 ,33.772,47,31.390,2.376,139.097E-6 ,1.153,1.277,3.459,15.679,1.387 ,7.526,9.913,15.237,22.579,0.805990,0.292237,7.425 ,19.786643990929704
163.096 ,45.852 ,92.800 ,438.469 ,45.59851003012141,70.77606568205746,16.77484274350781,1365,1325,6.152881E-3 ,1.392200E-3 ,45.385,34,36.622,2.261,139.100E-6 ,1.078,1.269,3.235,15.811,1.399 ,7.282,10.271,14.974,21.847,0.801038,0.300772,7.290 ,16.939297052154195
189.995 ,94.537 ,105.824 ,570.210 ,47.429840443865984,68.50893526192411,18.852020078050067,609,589,5.318047E-3 ,1.898130E-3 ,35.097,13,20.217,2.495,132.686E-6 ,1.266,1.419,3.797,16.661,1.512 ,6.989,10.299,17.518,20.966,0.809513,0.283306,7.555 ,5.706643990929705
179.179 ,70.463 ,86.482 ,445.297 ,47.789423341196965,71.11556647248557,17.840557401134784,1808,1741,5.608809E-3 ,1.840595E-3 ,38.596,46,37.454,2.612,146.529E-6 ,1.202,1.405,3.607,15.965,1.388 ,7.523,9.705,16.146,22.570,0.805220,0.294992,7.663 ,18.271541950113377
170.703 ,64.970 ,102.528 ,631.037 ,46.36741992039229,71.57917246351461,13.040759180513326,1897,1835,5.888035E-3 ,1.667181E-3 ,41.373,52,39.940,2.382,140.274E-6 ,1.176,1.303,3.528,15.135,1.370 ,7.006,9.525,14.177,21.019,0.796894,0.309832,7.320 ,21.30174603174603
162.223 ,48.646 ,68.679 ,557.045 ,44.190879370322705,71.00251868858314,17.41941333656936,1094,1054,6.208859E-3 ,1.425079E-3 ,45.178,30,31.561,2.373,147.349E-6 ,1.171,1.327,3.514,15.389,1.368 ,6.870,9.350,13.279,20.609,0.780503,0.344804,6.630 ,13.517256235827665
166.764 ,53.045 ,86.089 ,556.485 ,46.45470535812552,67.97330927317407,13.47916126099517,779,758,6.045774E-3 ,1.342836E-3 ,32.480,16,20.890,2.276,137.595E-6 ,1.067,1.223,3.200,15.658,1.407 ,6.764,9.643,17.124,20.293,0.803729,0.294274,7.567 ,7.456848072562359
180.477 ,59.530 ,82.632 ,404.358 ,37.145322264067346,69.13675630105604,12.653429258877246,1192,1159,5.546884E-3 ,1.631221E-3 ,56.131,22,50.397,2.003,111.090E-6 ,0.945,1.034,2.835,13.809,1.264 ,6.504,8.862,12.580,19.512,0.827060,0.249489,8.069 ,16.260113378684807
174.481 ,77.364 ,77.071 ,553.448 ,44.10812478973323,68.02517186561036,13.169453318952923,1122,1073,5.827014E-3 ,1.940357E-3 ,43.946,36,49.885,2.495,145.408E-6 ,1.235,1.406,3.706,14.773,1.313 ,6.714,9.135,12.347,20.143,0.802638,0.292840,7.441 ,13.412766439909298
173.492 ,56.797 ,75.996 ,580.309 ,39.04451494849793,68.36481607808737,12.430383083733423,1887,1822,5.792965E-3 ,1.511324E-3 ,50.537,48,44.785,2.346,135.912E-6 ,1.127,1.290,3.381,14.723,1.332 ,6.741,9.441,14.277,20.222,0.794013,0.316863,7.233 ,24.25358276643991
172.609 ,40.589 ,85.963 ,395.292 ,44.331442548857616,66.1893025473143,14.485748482084418,1004,971,5.812131E-3 ,1.181587E-3 ,38.081,25,44.467,1.944,112.986E-6 ,0.863,0.930,2.589,14.255,1.259 ,6.642,8.851,13.015,19.926,0.830484,0.249630,8.819 ,10.356439909297052
175.446 ,58.019 ,85.077 ,535.629 ,41.05614292142334,66.55415609622958,10.311128835918385,1183,1144,5.739641E-3 ,1.527391E-3 ,41.759,27,31.910,2.373,136.209E-6 ,1.079,1.201,3.238,14.045,1.307 ,6.411,9.053,14.463,19.232,0.811815,0.283105,7.678 ,12.655215419501134
177.532 ,61.531 ,86.004 ,587.850 ,41.761195527733406,65.1252474218066,11.75372967512573,1328,1273,5.719265E-3 ,1.494205E-3 ,39.914,34,33.021,2.583,147.716E-6 ,1.318,1.503,3.955,16.081,1.408 ,7.573,10.667,15.251,22.720,0.765921,0.368508,6.257 ,14.013582766439908
