Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
128.724,17.963,75.582,151.341,62.80434107916526,36.39129352013118,81.06797170688161,72,67,7.839377E-3,1.573336E-3,49.612,4,27.074,1.794,140.627E-6,0.769,0.687,2.308,18.868,1.683,10.831,12.803,17.600,32.492,0.668456,0.574161,3.446,1.32
139.513,74.886,88.064,615.218,64.15286829174268,35.506514617313606,81.31863039822338,1312,1248,7.258267E-3,2.193495E-3,38.011,52,41.333,2.141,155.392E-6,1.054,1.222,3.162,14.091,1.279,6.736,9.433,13.501,20.209,0.738054,0.423285,5.224,16.92
147.959,68.442,83.558,611.436,62.825341284857224,34.55172666185368,81.49788024026364,1610,1531,6.828576E-3,2.024700E-3,39.671,54,41.585,2.231,152.349E-6,1.027,1.214,3.080,15.847,1.433,7.603,10.994,16.665,22.809,0.748682,0.400213,5.591,20.12
136.914,48.649,94.723,439.452,61.70108336597988,34.40184393580842,81.86891530101731,343,323,7.376811E-3,1.785035E-3,40.435,14,30.517,2.098,154.764E-6,0.903,0.951,2.709,14.489,1.240,7.314,9.327,14.849,21.943,0.755586,0.373641,5.546,4.64
146.506,86.225,93.832,599.979,61.88653398581919,34.02017510746641,80.67712539332834,1142,1060,6.982575E-3,2.386879E-3,42.060,58,42.859,2.277,158.990E-6,1.026,1.217,3.079,15.208,1.380,7.409,10.324,15.210,22.228,0.737764,0.421445,5.175,15.08
137.346,60.249,100.451,525.377,66.10320970803595,36.79072030948499,82.00610341772618,490,471,7.303235E-3,1.997908E-3,29.326,17,30.368,2.159,157.691E-6,0.965,1.135,2.895,14.957,1.394,6.934,9.096,15.703,20.801,0.762786,0.372523,5.922,5.52
161.348,87.835,76.775,519.715,59.7106966134721,33.098152613213,80.25119279718453,546,516,6.288418E-3,2.334081E-3,51.847,22,37.249,2.514,158.106E-6,1.190,1.436,3.570,13.543,1.295,6.755,9.113,13.551,20.266,0.756107,0.396512,5.838,7.88
153.564,90.553,93.520,600.257,61.92911943135797,34.40641318175916,80.5286549598563,720,684,6.650652E-3,2.417732E-3,37.095,24,44.551,2.353,156.475E-6,1.102,1.297,3.305,16.356,1.383,8.354,11.178,15.919,25.062,0.750019,0.397292,5.564,8.36
138.852,62.879,97.510,596.801,63.43789053978325,35.70120626395172,81.8532153843838,869,829,7.220583E-3,1.984967E-3,36.742,36,41.954,2.069,149.372E-6,0.935,1.209,2.806,15.225,1.377,7.410,10.271,15.820,22.230,0.735096,0.424553,5.225,11.08
151.836,28.900,105.437,205.371,57.752601770193046,34.401975126264006,81.10829315952387,193,184,6.582854E-3,1.335906E-3,55.521,7,18.552,1.846,121.522E-6,0.863,1.139,2.590,16.767,1.485,7.437,11.972,12.816,22.312,0.749921,0.384501,5.396,3.2
140.047,57.821,89.566,598.944,62.65582231532333,34.06525672357791,81.681819104245,1440,1361,7.173287E-3,1.901993E-3,42.553,63,46.449,1.910,136.988E-6,0.815,0.977,2.444,14.924,1.363,7.347,10.123,14.849,22.041,0.752793,0.389201,5.621,20.24
139.839,50.719,75.061,486.394,65.15946811865892,35.09595717251531,81.60828043496997,687,651,7.195909E-3,1.702940E-3,33.456,29,37.263,1.827,131.481E-6,0.789,0.924,2.368,14.814,1.332,7.215,9.673,13.871,21.646,0.774734,0.339482,6.201,8.16
133.830,59.758,82.460,518.271,59.32504534498603,34.1824428882143,80.86676967337357,639,615,7.532494E-3,2.053176E-3,49.480,21,45.420,2.102,158.320E-6,0.996,1.188,2.989,15.591,1.351,7.453,9.863,13.136,22.359,0.749768,0.400052,5.616,10.6
144.993,59.257,97.369,538.506,65.55598028361398,36.916997655587515,80.35119972754725,510,486,6.929765E-3,1.842091E-3,34.465,19,34.265,1.950,135.165E-6,0.825,0.979,2.474,14.957,1.364,6.924,9.993,17.507,20.772,0.757995,0.373982,5.818,5.92
174.389,129.741,100.798,598.429,59.531820272321475,33.98562505025724,81.89967984006664,330,311,5.817923E-3,2.857018E-3,49.888,12,40.227,1.942,113.002E-6,0.874,1.027,2.622,13.937,1.263,6.616,9.382,14.958,19.849,0.757660,0.366735,5.739,4.48
132.651,70.686,82.925,584.184,61.260473136643185,35.500072812652675,81.08105155434365,273,252,7.642211E-3,2.378263E-3,41.481,14,32.978,1.779,135.923E-6,0.725,0.840,2.174,13.397,1.212,6.570,8.704,17.971,19.709,0.723390,0.446771,4.722,4.08
133.760,41.483,79.704,503.953,62.772628363324905,29.677359960068586,81.28694047824428,647,621,7.509372E-3,1.467342E-3,40.235,23,40.718,2.124,159.522E-6,0.877,1.022,2.632,13.668,1.205,6.655,9.052,12.675,19.964,0.759192,0.370854,5.921,9.4
135.428,48.371,84.098,541.647,63.5141956790303,34.36150421066561,80.72928535155732,947,908,7.453077E-3,1.654021E-3,36.966,32,36.127,2.012,149.950E-6,0.892,1.104,2.675,14.358,1.320,6.712,8.800,15.026,20.136,0.750674,0.396446,5.667,11.96
138.917,54.183,86.294,533.518,63.81290040452043,38.023577586166354,80.90605164388697,397,379,7.208518E-3,1.896741E-3,37.219,17,28.633,2.134,153.844E-6,0.883,1.062,2.648,15.232,1.397,6.957,9.520,14.522,20.872,0.772807,0.340351,5.997,4.92
137.856,57.829,95.968,442.537,61.04569289788014,35.99367159812616,80.64625126651785,363,347,7.293461E-3,1.901665E-3,44.639,11,30.898,2.396,174.765E-6,1.081,1.260,3.243,13.963,1.283,6.496,9.021,13.909,19.487,0.745547,0.400857,5.424,5.16
139.457,68.423,76.634,518.817,63.450224002923996,36.60358156815348,81.54074911332759,893,856,7.270233E-3,2.183948E-3,35.159,30,39.958,2.395,174.122E-6,1.100,1.291,3.299,15.337,1.368,7.439,10.375,15.676,22.317,0.743533,0.419875,5.425,10.44
126.807,37.401,83.250,455.743,60.828422833003316,36.39210400186678,80.96424533988866,333,323,7.921801E-3,1.492534E-3,37.931,9,18.002,1.435,113.652E-6,0.560,0.777,1.679,12.887,1.168,5.733,8.737,14.043,17.200,0.775512,0.335184,6.186,4.68
147.643,79.384,95.833,609.189,61.91207525716498,35.19371967665326,81.79170093463932,1164,1102,6.834444E-3,2.203153E-3,42.589,42,40.042,2.194,149.958E-6,1.011,1.234,3.033,14.900,1.403,7.236,9.281,13.123,21.707,0.752678,0.392824,5.763,15.48
137.508,56.677,95.507,591.227,63.619796327786496,35.79829896570785,81.19270163506161,1598,1527,7.320811E-3,1.924640E-3,37.285,62,38.877,1.874,137.218E-6,0.793,0.994,2.380,14.483,1.310,7.397,9.497,14.513,22.190,0.766260,0.355816,5.879,20.36
147.164,53.425,83.282,497.431,63.04430047805209,34.08699814807473,81.13150718493479,681,650,6.818442E-3,1.821356E-3,38.066,26,35.031,2.317,158.011E-6,1.047,1.107,3.142,14.122,1.345,6.559,8.988,13.209,19.676,0.762913,0.381151,5.991,8.2
144.132,58.738,77.043,586.407,63.626483684878764,33.611120348759236,81.26468361916407,730,694,6.992552E-3,1.848415E-3,36.354,31,36.001,2.038,142.537E-6,0.847,0.943,2.542,14.545,1.278,7.337,9.875,14.593,22.012,0.771212,0.349180,6.066,9.08
141.000,64.798,71.836,568.535,63.49428911469844,34.08134960018472,81.39680900223749,1769,1689,7.134081E-3,1.980774E-3,36.699,70,38.324,1.938,138.270E-6,0.875,0.991,2.624,14.460,1.301,6.929,9.115,14.003,20.786,0.769417,0.354608,6.113,21.72
141.658,54.948,75.490,504.963,64.25153184179396,35.10346239518037,81.30042469536731,637,609,7.066845E-3,1.790357E-3,35.424,24,34.718,1.996,141.081E-6,0.845,1.070,2.535,13.796,1.283,6.782,9.304,14.975,20.347,0.785677,0.324931,6.653,8.16
139.621,62.270,98.096,593.387,63.90302903219887,34.13674494341989,81.20912642313614,711,676,7.258032E-3,1.793155E-3,37.459,28,42.905,2.180,158.213E-6,1.005,1.153,3.015,14.964,1.291,7.181,9.373,13.553,21.543,0.771670,0.354009,6.174,9.24
134.536,60.553,85.856,601.579,63.20565381249871,36.17570868274035,81.15979573462398,539,504,7.533504E-3,1.879286E-3,37.377,22,33.071,1.891,142.451E-6,0.886,1.007,2.658,12.369,1.157,5.977,8.046,11.555,17.931,0.781559,0.338123,6.647,7.12
