Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
205.141 ,43.374 ,140.272 ,352.196 ,38.03917186340385,62.62922834261534,2.396364838631802,114,109,4.904905E-3 ,0.930278E-3 ,56.962,3,21.178,4.096,200.909E-6 ,2.266,2.132,6.797,18.976,1.547 ,8.975,14.959,24.561,26.926,0.751539,0.413261,6.193 ,1.6151473922902495
158.358 ,76.258 ,80.274 ,511.018 ,51.68803777742937,77.94649213293751,-2.805614467446575,1102,1057,6.313801E-3 ,2.616395E-3 ,43.870,39,46.036,2.632,166.165E-6 ,1.306,1.440,3.918,17.392,1.513 ,8.411,11.913,17.164,25.234,0.785159,0.328351,6.774 ,13.579229024943311
123.622 ,74.991 ,74.933 ,595.346 ,57.34788741093826,79.75515534702573,9.55078733752707,641,596,8.301096E-3 ,2.406847E-3 ,31.840,31,32.004,2.625,217.925E-6 ,1.363,1.569,4.090,17.258,1.482 ,7.875,11.212,16.967,23.624,0.748744,0.384185,5.453 ,8.511473922902494
134.204 ,91.571 ,78.204 ,573.445 ,57.94845600461997,78.3306102086895,8.894788281759944,732,686,7.784914E-3 ,2.980010E-3 ,32.073,25,32.894,3.409,265.351E-6 ,1.782,2.045,5.346,17.667,1.529 ,8.056,9.976,16.161,24.169,0.766550,0.364198,6.128 ,9.29514739229025
119.247 ,53.386 ,74.867 ,496.031 ,55.39428836646659,77.63491259113442,1.2205055450156572,1033,969,8.424479E-3 ,2.352607E-3 ,38.321,54,41.827,3.188,268.612E-6 ,1.570,1.782,4.709,18.715,1.586 ,9.115,11.787,19.557,27.346,0.751602,0.387996,5.571 ,15.878004535147392
145.911 ,108.211 ,74.795 ,560.706 ,58.03710192561871,73.28739169002647,19.566370003848782,383,361,7.049680E-3 ,3.080761E-3 ,20.442,13,23.841,4.011,282.740E-6 ,2.193,2.494,6.580,21.302,1.753 ,11.058,12.275,14.019,33.175,0.722697,0.450704,4.746 ,3.6526984126984128
138.132 ,108.053 ,75.270 ,592.238 ,54.93253708665145,73.26644528721069,5.609369150249474,831,772,7.554506E-3 ,3.350981E-3 ,32.085,36,32.286,3.720,281.019E-6 ,1.988,2.367,5.965,17.479,1.547 ,7.996,11.404,14.501,23.989,0.737362,0.412726,5.171 ,10.44453514739229
130.529 ,91.396 ,78.734 ,596.914 ,53.213969666429165,74.00587053155525,-2.544377349081848,1356,1258,7.809264E-3 ,3.068509E-3 ,38.953,72,43.078,2.854,222.900E-6 ,1.405,1.679,4.216,19.789,1.681 ,8.862,12.748,18.299,26.586,0.743855,0.399404,5.290 ,19.900861678004535
118.685 ,44.110 ,73.642 ,435.274 ,61.29422213283945,80.59408652715516,25.036586021180888,207,195,8.399762E-3 ,1.960294E-3 ,30.742,10,30.365,2.262,189.975E-6 ,1.076,1.394,3.228,19.832,1.658 ,9.708,11.012,13.534,29.124,0.742011,0.396736,5.102 ,2.8690249433106576
109.431 ,50.073 ,84.319 ,567.278 ,53.328760574408925,78.239476222264,15.578712173925673,499,460,9.262020E-3 ,2.073330E-3 ,45.399,35,47.503,3.046,282.143E-6 ,1.620,1.813,4.859,19.740,1.681 ,8.664,12.998,19.536,25.991,0.718345,0.451693,4.672 ,9.817596371882086
109.195 ,9.983 ,82.568 ,133.446 ,41.744372955011244,71.86025321608793,-2.423302707927716,133,128,9.138586E-3 ,0.923937E-3 ,55.442,4,8.319,3.017,275.738E-6 ,1.621,1.710,4.863,20.739,1.794 ,11.128,15.070,10.028,33.383,0.709157,0.455575,4.247 ,2.973514739229025
