Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
106.898 ,12.880 ,90.753 ,135.011 ,34.071186785058664,43.388497593734854,8.09662694799633,85,81,9.354461E-3 ,1.071698E-3 ,43.885,3,41.258,1.103,103.163E-6 ,0.556,0.609,1.669,12.785,1.121 ,6.937,7.667,11.246,20.812,0.752557,0.378630,5.414 ,1.422562358276644
104.857 ,11.044 ,83.965 ,135.829 ,37.891658959732055,55.83749986342441,17.511870735812554,71,66,9.564281E-3 ,0.922469E-3 ,35.514,4,36.706,1.679,160.586E-6 ,0.722,0.904,2.165,19.466,1.533 ,8.157,7.200,6.623,24.471,0.681966,0.523124,3.587 ,1.109092970521542
108.790 ,54.271 ,76.671 ,596.573 ,28.382145744318365,50.418387696031715,5.796731753724834,1571,1491,9.294874E-3 ,2.308784E-3 ,46.386,68,52.629,1.946,180.902E-6 ,0.847,1.075,2.542,15.851,1.400 ,7.114,9.978,16.359,21.342,0.764979,0.355615,5.852 ,29.504195011337867
104.906 ,47.939 ,81.992 ,564.026 ,29.47238400722218,62.86430889742091,6.4564492794244535,424,389,9.581209E-3 ,2.101085E-3 ,74.329,34,77.575,1.833,175.606E-6 ,0.828,1.024,2.483,15.352,1.308 ,6.927,9.776,15.869,20.780,0.748488,0.379602,5.367 ,17.17439909297052
103.165 ,22.693 ,79.260 ,306.096 ,32.265302739463635,52.61687819458257,6.534248748018103,431,409,9.694617E-3 ,1.548006E-3 ,45.185,21,42.159,1.675,162.392E-6 ,0.614,0.887,1.842,12.962,1.161 ,6.161,7.908,9.004,18.482,0.789549,0.310837,6.585 ,8.136031746031746
106.700 ,61.174 ,76.337 ,521.635 ,30.81250501600375,52.78750302049673,2.5229596107796217,380,348,9.515774E-3 ,2.618863E-3 ,49.301,23,51.913,2.536,241.273E-6 ,0.953,1.286,2.860,15.455,1.363 ,6.992,11.075,18.921,20.977,0.737587,0.411530,5.111 ,7.90092970521542
96.038 ,4.606 ,88.120 ,107.988 ,38.490253468746644,50.749438416173405,18.876831373046993,92,89,10.379646E-3 ,0.509358E-3 ,34.532,2,28.090,1.616,167.784E-6 ,0.724,0.769,2.173,15.715,1.333 ,7.185,7.955,14.070,21.555,0.777817,0.349326,6.571 ,1.422562358276644
100.158 ,5.839 ,91.032 ,109.006 ,39.43305723731168,48.28356685021481,21.285847326531947,11,9,10.007664E-3 ,0.589254E-3 ,61.538,1,16.596,4.104,410.731E-6 ,2.145,1.716,6.434,22.221,1.683 ,9.964,14.823,--undefined--,29.893,0.657735,0.556708,2.966 ,0.299297052154195
121.987 ,82.074 ,77.831 ,599.842 ,25.569553708196576,53.565270779700604,5.569909544671784,304,285,8.304513E-3 ,2.993452E-3 ,65.802,14,61.203,2.231,185.297E-6 ,1.056,1.228,3.167,14.738,1.250 ,6.609,8.605,13.964,19.826,0.719503,0.448430,4.687 ,8.136031746031746
129.676 ,20.108 ,78.079 ,319.144 ,33.72815582443649,51.4605755323221,11.634951838517186,2018,1975,7.740705E-3 ,1.098850E-3 ,23.251,36,27.289,2.440,188.855E-6 ,1.284,1.524,3.853,16.834,1.512 ,7.799,11.307,17.746,23.398,0.793093,0.308067,6.902 ,21.197256235827666
