Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
146.929 ,9.749 ,134.753 ,166.488 ,46.49853972471605,57.425812345819665,2.5752968392865476,100,99,6.752747E-3 ,0.464771E-3 ,18.987,0,0,2.493,168.379E-6 ,1.436,1.725,4.307,15.449,1.457 ,7.765,9.857,15.217,23.296,0.785108,0.323676,6.424 ,0.8217460317460318
142.362 ,62.141 ,88.622 ,592.259 ,46.41547127299346,61.08425585353586,26.54120848590256,453,430,7.170500E-3 ,1.528196E-3 ,30.957,12,34.908,2.964,212.561E-6 ,1.566,1.755,4.699,14.752,1.345 ,7.068,8.928,15.863,21.205,0.760074,0.380501,6.043 ,4.949092970521542
135.804 ,26.601 ,112.828 ,450.223 ,50.03156381850875,63.39675265805715,24.562903962091063,479,464,7.392671E-3 ,0.966697E-3 ,20.302,11,15.280,2.351,173.798E-6 ,1.201,1.341,3.603,14.146,1.363 ,5.829,9.127,14.618,17.488,0.798794,0.320169,7.287 ,4.6617460317460315
129.654 ,46.560 ,101.633 ,468.528 ,47.24219375286985,61.20556489565455,19.70867195256173,234,223,7.751369E-3 ,1.613918E-3 ,27.490,7,17.141,2.925,226.763E-6 ,1.445,1.369,4.336,17.279,1.372 ,9.756,13.379,24.252,29.267,0.752636,0.397546,5.755 ,2.545827664399093
128.603 ,18.744 ,102.388 ,230.363 ,44.08090719294088,61.11451542042933,21.175911593693737,452,430,7.825588E-3 ,0.969088E-3 ,28.676,15,29.694,3.671,287.242E-6 ,2.115,2.099,6.345,16.574,1.500 ,7.910,11.375,22.402,23.730,0.731239,0.443219,5.169 ,5.471541950113378
136.775 ,62.913 ,76.992 ,594.352 ,44.037999122936526,62.12961437871066,21.284712369554537,784,739,7.502142E-3 ,1.515388E-3 ,31.966,30,31.752,3.030,227.292E-6 ,1.627,1.609,4.880,16.101,1.400 ,8.136,10.801,15.716,24.409,0.752752,0.395877,5.743 ,9.546643990929706
130.509 ,29.952 ,76.217 ,478.699 ,44.154132616616714,61.54566530006075,20.30815704074769,903,860,7.713447E-3 ,1.217177E-3 ,28.034,34,27.877,2.637,203.378E-6 ,1.418,1.328,4.255,15.824,1.453 ,7.595,10.323,17.099,22.785,0.763734,0.367179,6.142 ,10.669909297052154
123.464 ,14.767 ,77.485 ,244.347 ,43.328402098230896,60.13632709617234,15.982639853904939,1058,1004,8.107123E-3 ,0.893079E-3 ,31.525,48,34.011,3.138,254.371E-6 ,1.790,1.678,5.370,17.606,1.513 ,9.887,10.778,14.353,29.660,0.722314,0.453818,4.767 ,13.673990929705216
122.971 ,10.529 ,74.001 ,152.410 ,44.5781693999984,60.173757320306855,13.787955803073862,632,611,8.129720E-3 ,0.779160E-3 ,19.520,19,17.196,3.069,249.520E-6 ,1.731,1.777,5.194,15.165,1.487 ,7.808,9.837,13.454,23.424,0.762728,0.362026,5.924 ,6.699297052154195
121.715 ,12.863 ,68.165 ,211.253 ,43.08350375392877,59.571785944318584,17.68326625288097,913,875,8.222755E-3 ,0.841678E-3 ,30.406,36,33.801,3.485,286.545E-6 ,2.039,1.797,6.118,16.951,1.466 ,9.289,9.801,14.774,27.868,0.731951,0.442109,5.182 ,12.106643990929705
118.432 ,23.997 ,90.503 ,309.859 ,42.20178307362726,59.59934903818994,0.7317237106380764,207,199,8.442984E-3 ,1.326696E-3 ,32.197,7,27.638,2.649,223.625E-6 ,1.464,1.478,4.392,13.511,1.410 ,7.080,8.226,11.683,21.241,0.730212,0.438228,5.060 ,2.676439909297052
131.128 ,11.720 ,114.857 ,157.618 ,45.658859391945896,67.04351975414524,17.378359663328006,97,95,7.621924E-3 ,0.714200E-3 ,42.748,1,4.961,1.626,123.932E-6 ,0.774,0.908,2.323,11.388,1.117 ,5.079,7.766,12.136,15.238,0.859161,0.179604,8.745 ,1.3441950113378685
129.306 ,56.848 ,86.107 ,553.208 ,47.394732399444024,70.32731793413122,15.0561956729314,1244,1182,7.806934E-3 ,2.044532E-3 ,35.789,51,41.399,2.723,212.546E-6 ,1.225,1.507,3.675,15.724,1.411 ,6.994,11.046,17.057,20.981,0.799723,0.305239,7.392 ,16.18174603174603
118.416 ,41.640 ,84.311 ,570.519 ,51.505428076924474,68.19032084051494,29.9103354010105,480,465,8.454067E-3 ,1.633154E-3 ,10.177,11,11.251,3.375,285.352E-6 ,1.653,2.056,4.960,17.329,1.516 ,7.229,9.818,12.685,21.688,0.811200,0.293393,8.363 ,4.557256235827665
117.066 ,32.346 ,88.851 ,599.045 ,51.823206466503756,71.62017075129984,29.40657829997903,2200,2142,8.566165E-3 ,1.230231E-3 ,17.998,45,20.505,2.993,256.398E-6 ,1.552,1.863,4.657,14.704,1.321 ,6.211,8.999,12.828,18.634,0.840877,0.237401,9.422 ,23.313174603174602
114.892 ,12.632 ,91.124 ,186.369 ,52.1754942835216,68.87289441166277,36.74305102542661,880,873,8.705271E-3 ,0.929955E-3 ,8.557,6,6.894,3.501,304.811E-6 ,1.874,2.214,5.623,16.872,1.384 ,7.592,10.765,15.291,22.776,0.812852,0.290513,8.074 ,8.214399092970522
116.724 ,10.925 ,92.816 ,188.533 ,51.87641237367084,67.9414344831563,37.420467067473886,1040,1023,8.585134E-3 ,0.791187E-3 ,6.716,11,5.086,3.197,274.483E-6 ,1.659,2.008,4.976,15.923,1.384 ,7.319,9.672,15.351,21.958,0.832303,0.251260,9.058 ,9.416031746031747
123.177 ,15.718 ,95.487 ,160.687 ,48.91592994246234,65.19591966888439,34.165060803231285,222,216,8.115583E-3 ,1.027062E-3 ,28.346,3,4.375,2.996,243.153E-6 ,1.539,1.836,4.617,14.766,1.313 ,7.123,12.313,14.933,21.369,0.833024,0.258591,9.127 ,2.571950113378685
114.408 ,8.611 ,87.493 ,155.311 ,51.270594700018776,63.291516844804356,33.79916598389244,393,388,8.745630E-3 ,0.701343E-3 ,10.290,3,7.598,2.918,255.239E-6 ,1.515,1.727,4.545,15.428,1.433 ,6.812,9.769,17.904,20.435,0.845830,0.220535,8.783 ,3.825827664399093
118.347 ,19.557 ,82.418 ,274.854 ,47.41715099995908,63.78214214446351,28.466646595206484,506,490,8.481190E-3 ,1.110208E-3 ,17.530,13,15.218,3.558,301.758E-6 ,1.806,2.268,5.417,13.886,1.261 ,6.532,9.082,14.552,19.595,0.801829,0.305667,7.587 ,5.053582766439909
110.557 ,13.487 ,74.716 ,182.260 ,46.35178918555885,62.482834300031655,22.702837084787237,404,387,9.049061E-3 ,1.048789E-3 ,30.871,13,32.289,3.503,317.006E-6 ,1.777,1.919,5.331,13.962,1.274 ,6.748,8.642,13.700,20.245,0.814635,0.279074,8.042 ,5.314807256235827
122.766 ,20.424 ,76.126 ,187.334 ,46.83622472410136,66.00387560418021,21.682142182786567,416,401,8.171251E-3 ,1.370379E-3 ,37.069,13,42.593,2.515,205.504E-6 ,1.164,1.356,3.491,16.275,1.456 ,7.101,11.303,13.653,21.303,0.801088,0.293934,7.151 ,5.837256235827664
118.954 ,15.474 ,83.269 ,176.938 ,46.153571224607234,64.14189442346486,22.35520781059176,822,790,8.425232E-3 ,1.056803E-3 ,21.535,28,22.699,3.456,291.154E-6 ,1.778,2.069,5.333,15.017,1.363 ,7.008,10.070,14.046,21.025,0.811458,0.287874,7.926 ,9.416031746031747
123.963 ,56.164 ,81.056 ,536.044 ,43.44788670180418,62.017060585431395,18.59482056791924,365,355,8.123947E-3 ,2.000549E-3 ,30.162,8,16.506,2.906,236.081E-6 ,1.498,1.755,4.495,15.471,1.472 ,7.827,10.249,18.522,23.480,0.820287,0.267857,8.078 ,4.348276643990929
112.094 ,8.615 ,90.113 ,132.135 ,43.129538001416776,63.76437015642615,19.24364570311011,373,359,8.913513E-3 ,0.745253E-3 ,39.566,12,36.460,2.181,194.409E-6 ,1.059,1.255,3.178,14.447,1.300 ,6.869,10.162,18.600,20.608,0.817126,0.261749,7.510 ,6.020113378684807
111.234 ,8.292 ,77.518 ,127.991 ,41.31106468744996,63.491038730249414,-3.9622911901491853,151,144,8.936429E-3 ,0.703126E-3 ,37.838,6,14.608,2.301,205.661E-6 ,0.945,1.091,2.836,14.132,1.252 ,7.069,11.276,17.121,21.206,0.824642,0.256595,7.765 ,2.2584807256235826
134.742 ,27.748 ,110.046 ,189.503 ,47.41413149665803,59.80487961130072,26.155755232971938,77,74,7.437694E-3 ,1.437639E-3 ,22.619,2,25.175,2.576,191.567E-6 ,1.307,1.553,3.920,14.747,1.531 ,6.890,8.583,13.413,20.669,0.768384,0.350786,6.067 ,0.8739909297052154
