Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
213.008 ,41.813 ,80.669 ,375.949 ,36.91205552464014,55.825428320098794,4.507960894768399,666,642,4.692610E-3 ,0.972550E-3 ,41.680,20,38.208,1.481,69.514E-6 ,0.653,0.680,1.959,13.696,1.248 ,5.955,8.027,11.168,17.864,0.821688,0.257193,7.952 ,6.345532879818594
223.547 ,57.653 ,73.073 ,587.833 ,36.53683115756075,59.96801571801459,3.943212983595284,1237,1190,4.453980E-3 ,0.999376E-3 ,42.688,40,42.670,1.551,69.068E-6 ,0.728,0.733,2.183,13.784,1.301 ,6.016,8.508,12.927,18.047,0.826293,0.251661,8.157 ,11.047573696145125
224.337 ,85.877 ,77.414 ,593.667 ,38.33888494990573,59.81217287441584,4.089847539153205,912,878,4.469761E-3 ,1.387818E-3 ,37.379,29,35.201,2.160,96.561E-6 ,1.121,1.248,3.362,15.271,1.350 ,6.615,9.488,14.322,19.845,0.792962,0.319065,7.439 ,7.2859410430839
216.859 ,83.130 ,104.131 ,599.549 ,37.154401984183956,60.384903929797886,-3.749068330925851,845,810,4.664045E-3 ,1.356511E-3 ,41.721,28,49.294,1.972,91.969E-6 ,0.984,1.118,2.951,15.179,1.362 ,6.481,8.053,9.941,19.442,0.810649,0.280791,7.854 ,7.703900226757369
209.618 ,55.070 ,82.658 ,537.273 ,37.31306006088295,57.685900187423364,3.9354721558426453,1039,1002,4.783410E-3 ,0.994642E-3 ,35.424,29,43.152,1.743,83.380E-6 ,0.860,1.003,2.579,14.261,1.278 ,6.293,8.435,13.094,18.880,0.808536,0.301367,7.895 ,8.644308390022676
212.432 ,67.520 ,81.714 ,541.356 ,33.5586920449856,54.27528352475372,1.0596009264211164,914,875,4.740141E-3 ,1.335297E-3 ,42.014,28,38.144,2.034,96.392E-6 ,0.984,1.048,2.953,15.487,1.451 ,7.220,10.000,15.118,21.659,0.794817,0.308680,7.325 ,8.670430839002268
193.974 ,132.746 ,108.450 ,576.738 ,38.42914336587971,66.81771375861001,-3.9036312952015626,333,313,5.246200E-3 ,2.566270E-3 ,42.342,12,19.857,2.041,107.097E-6 ,0.980,1.228,2.940,13.888,1.272 ,6.025,7.889,8.475,18.075,0.791722,0.312016,7.245 ,3.367573696145125
166.559 ,87.909 ,84.600 ,589.993 ,40.722733937363955,60.42101193876565,3.493633047125504,701,666,6.064259E-3 ,2.173047E-3 ,35.493,24,33.531,2.149,130.339E-6 ,1.094,1.140,3.281,15.848,1.366 ,7.179,9.880,15.737,21.536,0.804854,0.296304,7.562 ,7.442675736961451
148.229 ,60.694 ,86.977 ,582.820 ,38.71919356384351,63.17243585576045,3.6822194992353725,1010,968,6.790135E-3 ,1.647767E-3 ,42.089,36,40.724,1.732,117.576E-6 ,0.799,0.904,2.396,14.724,1.273 ,6.549,9.394,13.933,19.647,0.801600,0.295721,7.331 ,13.24185941043084
143.127 ,53.695 ,84.715 ,574.757 ,40.077952923078996,59.344632404028765,4.676288952913915,837,798,7.049192E-3 ,1.706616E-3 ,32.722,31,41.635,2.089,147.251E-6 ,0.964,1.190,2.892,15.780,1.379 ,7.444,10.070,14.403,22.332,0.769377,0.356623,6.158 ,9.8459410430839
152.562 ,67.936 ,90.962 ,598.389 ,36.64495657883698,62.477528906957104,4.036954421665366,1464,1388,6.659467E-3 ,1.809464E-3 ,45.660,62,54.122,2.105,140.178E-6 ,0.982,1.168,2.946,14.341,1.301 ,6.810,9.117,12.205,20.430,0.785847,0.324807,6.801 ,20.425532879818594
148.386 ,67.081 ,91.676 ,484.399 ,43.163409658224424,56.38011456176517,17.03160670907124,386,368,6.809556E-3 ,1.942682E-3 ,20.708,11,27.774,1.746,118.924E-6 ,0.787,0.992,2.361,16.042,1.463 ,7.364,11.079,18.296,22.091,0.788197,0.313728,6.801 ,3.7071655328798188
364.572 ,207.706 ,80.314 ,585.302 ,26.83136104088624,45.70999939061801,2.332191873192931,70,62,2.766100E-3 ,2.519645E-3 ,41.860,2,21.040,8.673,239.891E-6 ,4.406,3.541,13.218,25.372,2.021 ,10.648,27.408,23.570,31.945,0.653708,0.611166,2.980 ,0.46798185941043086
200.523 ,158.870 ,92.726 ,598.729 ,24.138174302654342,59.64411634371348,2.7222125563412733,83,77,5.158236E-3 ,3.443914E-3 ,79.762,3,79.380,3.045,157.061E-6 ,1.498,1.627,4.494,15.112,1.451 ,7.140,9.784,12.395,21.419,0.692654,0.523427,4.288 ,2.557777777777778
149.582 ,124.826 ,76.650 ,552.506 ,36.157239942449074,59.73095950937658,3.881699090595548,349,323,6.821808E-3 ,4.068329E-3 ,53.120,19,61.582,3.619,246.904E-6 ,1.780,1.946,5.339,18.086,1.521 ,8.962,12.611,22.401,26.887,0.688835,0.506377,3.797 ,6.606757369614512
180.281 ,154.249 ,76.309 ,581.117 ,35.904318130185274,59.521799199826766,5.009957838045769,493,454,5.767683E-3 ,4.213634E-3 ,52.162,26,53.049,4.981,287.297E-6 ,2.653,2.929,7.960,20.398,1.758 ,8.585,12.044,17.715,25.756,0.658481,0.576452,3.168 ,7.207573696145125
128.694 ,112.851 ,75.063 ,573.250 ,34.39809897930055,66.14502258795699,-3.797525399316186,461,425,7.845493E-3 ,4.242695E-3 ,59.821,32,56.927,2.701,211.887E-6 ,1.383,1.672,4.150,18.151,1.617 ,8.632,12.515,17.304,25.896,0.715011,0.462235,4.686 ,11.230430839002267
167.391 ,142.623 ,78.433 ,556.310 ,38.36683419184037,61.02474338438366,5.964286160163306,534,487,6.072596E-3 ,4.046921E-3 ,48.066,33,55.381,3.555,215.871E-6 ,1.862,2.168,5.585,21.371,1.742 ,10.359,14.646,36.538,31.077,0.690956,0.512159,4.045 ,8.5659410430839
153.862 ,137.015 ,77.302 ,568.831 ,33.479539276100596,62.111845719224846,4.968902703159748,504,465,6.682787E-3 ,4.178011E-3 ,53.924,28,63.703,4.204,280.974E-6 ,2.199,2.380,6.597,19.071,1.611 ,8.096,10.667,12.519,24.287,0.679632,0.547401,3.901 ,8.957777777777778
130.528 ,99.731 ,75.321 ,549.401 ,34.923793562019505,59.34138843244049,5.3916983585094,482,444,7.846305E-3 ,3.615748E-3 ,50.810,30,58.698,3.249,254.917E-6 ,1.499,1.807,4.497,19.450,1.673 ,8.101,11.188,9.081,24.302,0.694602,0.497530,4.012 ,8.670430839002268
195.102 ,168.568 ,75.977 ,547.313 ,29.700823187146234,57.35159453795851,4.217081215523884,292,262,5.458637E-3 ,4.080112E-3 ,63.403,16,49.602,3.988,217.695E-6 ,1.802,1.779,5.407,19.221,1.726 ,8.513,13.646,18.145,25.540,0.709113,0.486570,4.987 ,6.267165532879819
177.389 ,145.947 ,79.518 ,581.777 ,36.32061239658018,56.06499959411697,-3.729427263429213,561,516,5.838785E-3 ,3.666880E-3 ,44.306,29,55.371,3.697,215.883E-6 ,1.656,2.217,4.967,16.671,1.537 ,7.544,9.914,15.076,22.632,0.695241,0.516412,4.249 ,7.233696145124717
136.538 ,101.537 ,76.656 ,570.873 ,34.70254612916165,62.75260038420279,6.308123944601109,490,448,7.412684E-3 ,3.493677E-3 ,54.955,33,64.118,2.934,217.487E-6 ,1.542,1.986,4.626,18.984,1.622 ,9.491,11.670,16.065,28.472,0.706288,0.465367,4.287 ,10.028798185941042
153.552 ,132.169 ,75.693 ,575.319 ,33.733226925576666,60.172736277779286,4.532504311133662,1092,1010,6.597376E-3 ,4.057181E-3 ,52.140,54,59.966,3.392,223.799E-6 ,1.785,2.072,5.355,19.595,1.662 ,9.525,12.696,23.453,28.574,0.694606,0.507467,4.215 ,19.197777777777777
172.221 ,152.659 ,75.047 ,576.141 ,32.51758988353812,60.15365714385296,0.3207033971739886,364,324,6.043057E-3 ,4.195324E-3 ,60.804,25,73.512,3.747,226.452E-6 ,1.920,2.227,5.759,19.348,1.670 ,7.822,11.464,13.181,23.465,0.675327,0.533042,3.525 ,7.991247165532879
144.975 ,122.697 ,75.218 ,550.262 ,33.1950602842845,61.653687609646965,5.905650968334304,683,626,7.104642E-3 ,3.899441E-3 ,54.817,43,57.589,3.101,220.350E-6 ,1.590,2.058,4.770,19.237,1.665 ,8.740,11.474,20.475,26.221,0.698470,0.491400,4.126 ,13.424716553287983
183.019 ,140.858 ,97.724 ,559.557 ,38.77910916492645,50.39139452515347,3.0249138727035856,181,168,5.610808E-3 ,3.365943E-3 ,31.638,6,33.299,3.370,189.071E-6 ,1.816,2.331,5.449,20.109,1.713 ,9.244,10.394,19.046,27.731,0.652106,0.593722,3.020 ,1.8002267573696145
115.997 ,54.974 ,88.917 ,469.820 ,34.28596343962469,53.45054994048806,7.0578154450792185,156,145,8.673451E-3 ,2.122134E-3 ,51.075,8,44.307,2.737,237.409E-6 ,1.277,1.389,3.832,18.102,1.550 ,9.037,10.313,11.392,27.112,0.657722,0.604516,3.242 ,3.759410430839002
