Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
183.322,135.573,87.113,450.719,60.929931979187906,27.67548492410394,77.43428347899408,60,57,5.635762E-3,3.756321E-3,50.476,2,7.618,3.118,175.715E-6,1.804,1.890,5.413,15.140,1.368,7.345,13.590,--undefined-,22.035,0.690331,0.501083,3.951,1.08
127.957,68.163,76.332,574.652,54.78111223554559,-300.0,87.57044377025821,852,788,7.921718E-3,2.567146E-3,41.371,45,38.597,2.808,222.418E-6,1.146,1.371,3.437,15.123,1.348,6.781,9.504,16.413,20.343,0.783118,0.338647,6.873,12.72
132.491,77.303,73.121,591.937,45.2703835351443,-300.0,86.61922535797451,1216,1146,7.605773E-3,2.868768E-3,35.782,58,39.037,2.651,201.596E-6,1.154,1.345,3.461,15.060,1.291,6.939,8.791,14.737,20.816,0.790078,0.319858,7.022,15.96
162.176,118.496,82.932,598.546,49.589825653770966,-300.0,85.50840920573597,774,723,6.438662E-3,3.216236E-3,38.895,26,44.892,2.972,191.374E-6,1.383,1.627,4.150,16.072,1.426,7.279,10.743,17.381,21.837,0.781475,0.338813,6.687,8.72
150.048,106.580,81.182,593.222,37.715326293032376,-300.0,85.83779548007628,581,542,6.840495E-3,3.046380E-3,39.972,20,33.809,2.873,196.507E-6,1.258,1.311,3.773,16.320,1.424,8.052,10.991,16.335,24.157,0.784981,0.325357,6.743,7.16
133.960,86.890,75.521,597.564,56.00139363446059,-300.0,86.42945730937392,629,598,7.509071E-3,2.839283E-3,39.471,27,36.865,2.469,185.397E-6,1.079,1.441,3.237,15.261,1.338,6.984,9.925,15.320,20.951,0.790765,0.316941,6.962,8.72
162.868,118.159,79.740,579.229,33.38255126268982,-300.0,85.37735290970339,502,470,6.189655E-3,3.192745E-3,44.392,22,39.514,3.389,209.790E-6,1.549,1.763,4.648,18.799,1.555,10.194,11.546,12.829,30.581,0.769291,0.347827,5.967,6.36
189.490,115.110,77.012,527.697,62.458877036087586,-3.886025352606976,85.41602246665792,328,304,5.477662E-3,2.939260E-3,37.224,7,19.609,3.556,194.797E-6,1.624,1.899,4.872,15.420,1.385,7.340,10.244,17.247,22.020,0.806492,0.289834,7.953,3.2
129.039,49.345,74.683,485.804,53.40049423417249,-300.0,86.65102564444973,666,626,7.815944E-3,2.096801E-3,37.790,32,38.790,2.719,212.490E-6,1.099,1.343,3.298,15.182,1.304,6.924,10.299,15.764,20.771,0.782872,0.331118,6.675,9.08
124.399,57.632,72.225,476.923,34.716252980571724,-300.0,86.09800105084742,725,683,8.148878E-3,2.309729E-3,42.471,34,42.417,3.129,254.993E-6,1.369,1.505,4.108,16.029,1.456,7.150,10.028,16.425,21.449,0.781905,0.339153,6.879,11.12
130.877,66.274,75.422,588.278,45.93553463086572,-300.0,85.43779671484918,1321,1242,7.755997E-3,2.347400E-3,36.953,64,38.405,2.699,209.329E-6,1.190,1.383,3.569,14.520,1.272,6.949,9.625,14.327,20.848,0.796638,0.303989,7.039,18.08
149.740,76.719,85.023,472.886,49.72986320610073,-300.0,86.90995321102122,463,440,6.782114E-3,2.674704E-3,36.890,17,33.546,2.909,197.258E-6,1.271,1.503,3.812,14.405,1.335,6.686,9.098,11.429,20.057,0.811853,0.279962,7.601,5.56
130.187,67.492,81.578,549.429,40.03681826238997,-300.0,86.0820420884073,460,435,7.807031E-3,2.403188E-3,37.601,16,29.168,2.568,200.484E-6,1.059,1.284,3.176,15.177,1.324,6.669,10.204,16.797,20.007,0.790390,0.318685,7.288,6.2
138.222,77.725,85.885,590.120,62.586485687619614,-300.0,86.24082174981066,464,437,7.264093E-3,2.643905E-3,32.000,21,32.237,3.472,252.229E-6,1.568,1.969,4.705,15.173,1.368,7.143,10.632,11.533,21.430,0.777500,0.347237,6.564,5.28
138.962,90.252,75.646,581.382,58.16827459124674,-300.0,85.6710668994473,530,505,7.312435E-3,2.836365E-3,32.562,18,22.798,2.948,215.601E-6,1.389,1.593,4.167,14.653,1.350,6.521,9.880,19.626,19.563,0.796842,0.311370,7.203,6.08
137.030,85.834,79.168,516.090,45.924945451716134,-300.0,86.04895256016178,725,683,7.470813E-3,3.050781E-3,38.045,29,34.750,3.484,260.261E-6,1.636,1.939,4.908,15.837,1.441,7.399,10.973,19.137,22.197,0.791003,0.316347,7.059,9.44
143.904,71.368,77.862,537.070,12.204731583185549,-300.0,86.36587925693584,835,784,7.042868E-3,2.386575E-3,46.542,37,37.240,2.792,196.612E-6,1.176,1.402,3.528,15.143,1.361,7.089,10.210,16.542,21.267,0.801019,0.300191,7.444,12.32
173.551,88.543,76.900,592.795,55.99608153791992,-300.0,86.7280756876591,912,869,5.795845E-3,2.381241E-3,29.192,27,31.281,3.117,180.647E-6,1.479,1.683,4.438,16.171,1.467,7.275,10.374,17.178,21.826,0.804956,0.296965,7.544,8.32
148.818,62.142,82.905,543.551,43.98113858036557,-300.0,86.05850723513194,544,524,6.748817E-3,1.895053E-3,27.933,17,21.316,2.638,178.017E-6,1.203,1.419,3.608,14.484,1.330,6.839,10.059,15.811,20.518,0.813644,0.277209,7.913,5.4
146.748,76.175,72.812,579.399,35.6581691431719,-300.0,86.46459671512383,1543,1464,6.906096E-3,2.452681E-3,38.134,58,39.022,2.926,202.058E-6,1.263,1.472,3.788,15.171,1.357,6.764,10.152,15.187,20.291,0.801982,0.305264,7.576,18.36
137.199,65.222,75.351,594.231,48.33332306785722,-300.0,87.565504155597,1294,1225,7.372296E-3,2.275167E-3,35.674,54,37.368,2.906,214.234E-6,1.285,1.544,3.856,14.896,1.363,6.919,9.444,13.691,20.758,0.797442,0.308383,7.374,16.12
135.184,64.824,75.907,582.675,43.56701914953002,-300.0,86.38195547403416,783,745,7.501267E-3,2.323145E-3,31.080,24,26.992,2.475,185.631E-6,1.110,1.461,3.330,13.857,1.241,6.757,9.220,15.183,20.272,0.810234,0.283228,7.747,9.2
