Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
124.141,13.762,78.837,157.930,66.75050966183527,-3.668330701916304,83.710342551271,400,388,8.055431E-3,0.945812E-3,32.871,10,16.116,2.022,162.861E-6,0.798,1.026,2.393,13.762,1.256,5.387,8.614,15.892,16.160,0.821545,0.261730,7.824,5.08
127.293,52.238,76.901,582.120,62.37102236339827,-300.0,84.04511191412905,1800,1719,7.929449E-3,1.830933E-3,36.232,62,40.818,2.243,177.842E-6,0.981,1.171,2.942,14.676,1.342,5.639,9.160,17.249,16.918,0.811016,0.277552,7.606,23.6
119.727,11.079,91.541,141.284,64.52085575325849,38.87912359920482,82.91258906172337,145,140,8.329975E-3,0.812600E-3,34.328,4,24.555,1.985,165.322E-6,0.935,1.099,2.804,13.695,1.335,5.166,9.188,14.407,15.497,0.819887,0.261456,7.872,2.04
130.238,24.097,74.369,378.164,55.881897482551985,-300.0,83.69377753612405,1105,1068,7.698334E-3,1.357791E-3,37.882,34,36.585,2.621,201.739E-6,1.213,1.545,3.639,15.264,1.458,6.123,9.813,17.268,18.368,0.796277,0.307421,7.280,14.76
129.967,39.478,78.794,578.703,58.05569579278688,-300.0,85.37625226854843,1894,1823,7.731633E-3,1.511787E-3,36.033,59,32.951,2.246,173.618E-6,1.044,1.265,3.132,15.411,1.420,6.124,10.265,19.218,18.373,0.804698,0.292802,7.439,24.48
123.520,29.945,75.332,476.285,61.269681530178254,-300.0,85.6792543189583,1039,1000,8.110684E-3,1.529551E-3,33.487,36,31.705,1.954,158.500E-6,0.880,1.087,2.640,14.795,1.396,5.762,9.348,17.424,17.286,0.829443,0.249637,8.224,13.08
120.079,21.571,74.931,235.740,62.53283742453424,6.482034727669284,84.48473722211581,1134,1091,8.358851E-3,1.386757E-3,34.965,34,33.405,2.203,184.116E-6,0.965,1.102,2.894,15.282,1.396,6.110,9.376,16.595,18.331,0.811834,0.281474,7.661,15.76
128.674,41.617,75.635,578.049,63.05767692309577,30.351612088806053,83.71846402703041,1126,1087,7.813319E-3,1.575197E-3,32.403,31,31.408,2.263,176.780E-6,0.989,1.228,2.967,14.236,1.384,5.913,9.253,16.902,17.739,0.821151,0.266447,7.994,13.64
131.027,57.235,77.757,565.603,64.14033267686577,32.718836327351696,84.36846324047963,886,852,7.739848E-3,1.835552E-3,31.483,29,31.453,2.568,198.753E-6,1.198,1.396,3.595,13.822,1.313,5.550,8.882,16.840,16.649,0.813580,0.287641,7.918,10.48
133.664,73.732,87.627,581.224,61.46791875690611,23.18880270098576,82.55737075610382,706,675,7.640328E-3,2.229144E-3,36.842,19,30.982,2.523,192.748E-6,1.130,1.498,3.390,15.258,1.412,5.906,10.139,17.285,17.717,0.817323,0.265109,7.683,8.96
