Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
172.126,15.116,144.698,205.253,48.64257512672513,27.6273324029974,84.05387604774353,72,69,5.788944E-3,0.509533E-3,64.341,1,5.397,1.991,115.248E-6,0.710,1.008,2.129,14.011,1.193,7.156,10.287,7.736,21.468,0.772831,0.398026,6.450,1.32
158.625,48.146,97.221,519.064,58.62226518760638,26.45351452794277,81.37616020623003,890,863,6.312371E-3,1.387596E-3,41.849,26,37.600,1.969,124.311E-6,0.870,1.036,2.610,13.692,1.218,5.060,7.875,13.097,15.180,0.850026,0.214076,8.999,10.52
161.624,58.775,75.057,536.004,55.93005389407311,23.086074329901507,81.64892600460355,752,719,6.275070E-3,1.601384E-3,45.873,27,37.630,1.995,125.191E-6,0.830,0.961,2.491,13.098,1.201,5.238,7.426,12.062,15.714,0.847611,0.209160,9.113,9.6
161.591,22.164,119.566,206.470,55.857013502967646,22.497136072907384,83.43410665423482,210,203,6.213299E-3,0.881470E-3,45.455,5,18.681,1.708,106.121E-6,0.775,0.810,2.325,14.632,1.323,4.958,8.184,19.648,14.874,0.855309,0.194181,9.014,2.56
167.262,94.864,100.994,570.649,51.773614131058885,24.206582730488698,80.6567256849924,456,429,6.125589E-3,2.207960E-3,48.918,14,27.624,2.103,128.822E-6,0.945,1.165,2.834,12.984,1.229,5.870,8.377,11.682,17.611,0.810422,0.284235,7.629,6.04
158.627,51.270,79.294,560.600,55.04455674015716,23.146720137120674,81.45688610365447,1003,963,6.374928E-3,1.358525E-3,47.569,32,41.433,1.718,109.528E-6,0.608,0.739,1.825,13.350,1.202,5.342,7.738,13.625,16.026,0.854168,0.199214,9.100,13.4
160.171,72.188,109.706,552.545,55.034013330704944,23.490548108492323,82.9248428056745,985,940,6.344153E-3,1.799073E-3,47.733,32,39.328,2.073,131.516E-6,0.838,0.967,2.515,14.134,1.250,5.747,8.008,14.902,17.240,0.849428,0.204383,8.914,13.04
152.823,35.289,76.243,550.684,56.25449262855526,26.634867963390924,81.77374034307101,695,666,6.549402E-3,1.246386E-3,48.247,25,42.976,1.846,120.918E-6,0.731,0.795,2.194,12.455,1.128,4.959,7.522,12.034,14.876,0.845811,0.217993,8.791,9.44
163.099,69.178,99.031,592.396,53.80423288222465,24.952589627133335,80.2516926545608,493,474,6.244281E-3,1.666961E-3,49.142,12,24.388,1.913,119.482E-6,0.762,0.870,2.287,13.236,1.191,5.315,8.359,14.086,15.945,0.844903,0.227728,9.209,6.44
181.545,94.053,113.812,568.484,55.81191518000536,25.307812745304588,81.7458708957052,914,866,5.626199E-3,1.946019E-3,42.392,24,31.810,2.113,118.863E-6,0.956,1.094,2.869,15.769,1.384,6.525,9.417,16.184,19.575,0.845314,0.218264,9.103,9.56
191.241,109.946,104.269,548.894,51.5967256351686,22.79298762093695,81.96630130303662,506,482,5.315256E-3,2.348876E-3,52.868,19,28.168,2.724,144.775E-6,1.224,1.475,3.671,17.019,1.476,7.047,9.145,14.020,21.141,0.799256,0.309246,7.512,6.48
167.386,73.749,106.800,582.462,54.36697054080448,24.838289082795445,81.12292573792998,1526,1470,6.023369E-3,1.717724E-3,47.297,39,37.963,2.115,127.399E-6,0.920,1.063,2.759,13.853,1.277,5.522,8.185,14.694,16.567,0.837811,0.231581,8.601,19.08
164.081,73.768,73.896,594.840,54.78800518263823,22.77149420642985,82.26411670231928,1338,1281,6.172673E-3,1.815777E-3,45.401,44,44.611,2.261,139.539E-6,0.930,1.020,2.791,13.851,1.300,5.309,7.722,13.832,15.926,0.821706,0.259363,7.911,16.88
158.898,53.959,73.431,566.037,54.56205110102546,23.376112445341107,81.48296385342421,1525,1468,6.338265E-3,1.435965E-3,46.570,45,44.831,1.936,122.740E-6,0.779,0.928,2.336,12.900,1.179,4.917,7.526,13.242,14.750,0.839161,0.230081,8.810,20.0
148.056,21.762,97.801,214.327,57.55437246695096,24.878896040099363,82.89566806786773,392,379,6.772939E-3,1.005485E-3,42.052,12,25.197,1.835,124.297E-6,0.679,0.836,2.038,12.558,1.210,4.723,6.831,11.252,14.170,0.854063,0.201584,9.008,5.0
158.808,64.093,111.273,485.264,51.361718165421806,22.305252445404257,79.80762510509534,741,711,6.405410E-3,1.675595E-3,50.712,19,35.115,1.929,123.544E-6,0.838,0.947,2.513,13.149,1.196,5.365,7.850,13.425,16.096,0.840840,0.222950,8.549,10.56
157.708,58.291,76.821,463.328,55.761685416985145,22.592790195256693,82.4177071278751,964,929,6.412480E-3,1.645015E-3,44.695,30,37.986,1.950,125.048E-6,0.776,0.899,2.328,13.445,1.233,5.597,7.728,10.713,16.791,0.850959,0.207245,9.068,12.0
152.383,48.028,93.229,562.622,53.138367624310796,22.66343437402221,83.1922420693387,1034,991,6.628578E-3,1.373439E-3,51.979,37,42.430,1.758,116.557E-6,0.716,0.871,2.149,13.401,1.207,5.246,7.833,14.163,15.739,0.839293,0.225024,8.594,15.44
