Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
122.197,19.503,79.741,195.453,57.45578236230601,25.35142578718368,79.56985580637544,82,78,8.159893E-3,1.057784E-3,48.936,2,31.709,2.630,214.567E-6,1.281,1.351,3.844,17.854,1.568,9.096,12.292,14.742,27.287,0.800648,0.287874,7.500,1.44
236.353,188.765,81.498,605.797,60.94513263524599,28.053894441430657,83.02731776945231,337,314,4.250307E-3,3.319037E-3,39.867,13,39.975,4.165,177.012E-6,1.988,2.250,5.963,20.631,1.648,10.245,18.640,56.609,30.736,0.716756,0.460664,4.696,3.04
180.056,142.902,82.237,594.563,52.898835585840224,5.237744761268801,82.56513400004496,793,733,5.674653E-3,3.341508E-3,43.653,32,41.872,4.507,255.769E-6,2.533,2.892,7.600,18.925,1.667,7.967,13.185,25.788,23.901,0.714683,0.461779,4.671,9.72
134.198,70.132,80.031,537.355,54.542382174144024,4.585627922737597,81.63889983429564,346,321,7.560164E-3,2.495984E-3,45.664,14,35.804,4.181,316.101E-6,2.091,2.389,6.272,18.965,1.650,8.355,12.573,20.351,25.064,0.744287,0.403344,5.474,5.68
165.091,125.612,80.664,596.897,53.39004344433901,4.832473334291383,81.73792315320927,817,755,6.213934E-3,3.173376E-3,50.200,35,47.041,3.225,200.373E-6,1.588,1.704,4.764,17.619,1.553,8.204,12.302,21.205,24.613,0.733883,0.421049,5.288,12.52
180.842,148.673,93.869,592.252,62.69966270414125,19.442846917237105,83.2284219545921,547,503,5.755268E-3,3.369485E-3,28.684,21,40.228,3.302,190.042E-6,1.637,1.993,4.911,18.812,1.669,8.323,10.863,22.420,24.969,0.735825,0.411084,5.198,5.12
179.958,151.407,80.336,596.336,51.989961160191854,4.414930712905558,81.08704388061236,440,410,5.559789E-3,3.565486E-3,44.794,16,28.718,3.310,184.030E-6,1.645,2.036,4.934,17.409,1.498,8.515,13.827,27.562,25.544,0.748978,0.396917,5.552,5.12
191.960,146.339,92.728,625.714,55.37859448591284,6.859231570071248,83.39825831494551,680,635,5.320444E-3,3.086356E-3,46.022,23,42.740,3.535,188.087E-6,1.861,2.237,5.584,19.662,1.600,10.035,13.939,19.815,30.104,0.735940,0.425429,5.253,8.2
245.226,188.265,81.260,636.247,57.2632746748439,7.956713684526818,82.93365227317588,1094,1001,4.271146E-3,3.240149E-3,42.842,37,41.788,4.409,188.308E-6,2.207,2.793,6.622,20.119,1.754,8.907,11.772,21.958,26.720,0.692015,0.524817,4.192,9.6
271.724,202.927,90.684,598.979,54.65658217985569,4.838555222672914,82.23407466496509,932,864,3.847223E-3,3.116874E-3,44.650,22,52.662,4.161,160.071E-6,2.229,2.684,6.688,21.351,1.716,10.384,18.321,30.604,31.151,0.749826,0.387526,5.464,7.6
