Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
169.234 ,93.408 ,73.856 ,559.470 ,54.32477823670942,84.68641662384103,7.053150516264118,1263,1207,5.994369E-3 ,2.944565E-3 ,44.809,39,40.016,3.054,183.041E-6 ,1.548,1.734,4.645,17.589,1.503 ,7.985,11.965,18.236,23.954,0.801247,0.294694,7.176 ,15.251065759637187
189.391 ,131.166 ,79.673 ,487.519 ,62.74914144881115,75.79218663866936,9.329111066632361,175,168,5.280118E-3 ,3.459723E-3 ,24.648,4,21.536,2.479,130.898E-6 ,1.210,1.655,3.630,17.299,1.629 ,7.244,10.419,8.967,21.731,0.765028,0.356065,6.029 ,1.4584126984126984
128.268 ,92.925 ,77.190 ,479.904 ,50.88661181050758,82.64040552655402,5.96304440302824,358,342,7.996276E-3 ,3.721879E-3 ,50.231,12,30.206,2.453,196.161E-6 ,1.200,1.425,3.600,18.339,1.559 ,9.085,12.151,21.550,27.256,0.772131,0.346789,6.194 ,6.526167800453515
159.551 ,118.718 ,74.932 ,589.536 ,52.64114399364372,79.5736139867213,3.366496172277822,948,887,6.429834E-3 ,3.657029E-3 ,44.737,41,43.981,3.336,214.508E-6 ,1.786,2.037,5.359,21.113,1.751 ,10.234,14.847,21.891,30.703,0.745376,0.402190,5.475 ,12.952290249433107
168.404 ,127.665 ,78.496 ,583.402 ,57.6758709835692,81.77295915712381,2.3680620402800616,666,622,6.102114E-3 ,3.650447E-3 ,40.865,30,38.976,3.336,203.562E-6 ,1.712,1.987,5.135,19.910,1.693 ,9.906,12.600,15.747,29.717,0.738136,0.419437,5.372 ,8.354739229024943
170.046 ,149.295 ,74.877 ,594.331 ,48.51468383207612,76.70043307773183,7.403225221587373,599,549,6.254971E-3 ,4.221011E-3 ,49.038,22,28.760,3.467,216.887E-6 ,1.784,2.099,5.352,18.387,1.665 ,8.901,11.821,19.572,26.702,0.717614,0.456850,4.809 ,8.354739229024943
165.936 ,132.360 ,73.878 ,594.513 ,57.192045958296966,81.34832748485948,4.205349261305107,1798,1647,6.299676E-3 ,3.883395E-3 ,44.268,83,49.799,3.590,226.143E-6 ,1.870,2.145,5.609,20.382,1.666 ,10.087,13.974,18.490,30.262,0.722484,0.445109,4.825 ,24.028208616780045
162.575 ,143.922 ,76.097 ,597.810 ,55.94045850684879,82.1413971728777,10.30089465104691,917,837,6.362534E-3 ,4.230022E-3 ,45.057,48,54.536,4.459,283.734E-6 ,2.424,2.814,7.273,20.047,1.629 ,10.355,13.034,20.869,31.064,0.708180,0.481940,4.490 ,12.377596371882087
151.954 ,121.054 ,75.089 ,626.609 ,56.551071776468355,80.53532116810894,8.231694995185364,1356,1250,6.767353E-3 ,3.968752E-3 ,45.433,71,51.701,3.729,252.373E-6 ,1.895,2.210,5.686,19.647,1.678 ,9.178,12.904,13.477,27.535,0.713212,0.453826,4.450 ,20.945759637188207
126.429 ,99.083 ,74.829 ,593.016 ,57.17802391409206,79.76923931906177,7.99071166098209,1438,1334,8.048757E-3 ,3.640164E-3 ,38.996,75,50.742,3.113,250.565E-6 ,1.509,1.970,4.527,18.726,1.622 ,8.889,11.857,14.583,26.668,0.732117,0.426156,5.026 ,22.93106575963719
189.919 ,153.972 ,75.006 ,627.350 ,53.70835341385273,74.85714300150364,3.2910672652812396,545,495,5.466818E-3 ,3.775124E-3 ,51.061,25,50.967,3.870,211.561E-6 ,1.997,2.547,5.990,22.276,1.877 ,10.475,14.907,15.337,31.426,0.706988,0.459630,4.239 ,8.041269841269841
151.212 ,119.152 ,74.971 ,595.343 ,54.028240940600845,77.94582256177162,5.991668046571085,1343,1239,6.819954E-3 ,3.899428E-3 ,47.810,70,54.250,3.464,236.227E-6 ,1.786,2.080,5.359,20.297,1.743 ,9.862,12.465,17.617,29.587,0.707658,0.477255,4.382 ,21.729433106575964
130.777 ,96.827 ,74.213 ,570.476 ,53.761417333710654,78.10727329468861,7.52982921435823,1056,980,7.792907E-3 ,3.894652E-3 ,44.412,51,43.655,2.967,231.220E-6 ,1.497,1.756,4.490,19.352,1.658 ,9.611,13.150,16.917,28.834,0.725340,0.434027,4.769 ,17.393106575963717
160.267 ,122.583 ,75.865 ,545.797 ,50.65425386800364,77.61935971552319,7.08487866836058,748,683,6.533849E-3 ,3.614044E-3 ,55.134,40,58.271,3.518,229.867E-6 ,1.735,1.933,5.206,19.320,1.640 ,9.306,13.800,15.167,27.919,0.730545,0.425771,5.099 ,14.258412698412698
187.531 ,143.517 ,75.022 ,556.422 ,49.807757719682,76.12166574432227,-2.8082996056856486,814,737,5.458009E-3 ,3.732363E-3 ,56.954,51,61.347,3.850,210.147E-6 ,1.899,2.134,5.698,20.981,1.675 ,11.464,14.649,22.925,34.392,0.704463,0.480450,4.321 ,14.41514739229025
167.651 ,129.289 ,77.004 ,580.131 ,53.64940437662852,76.47348728296835,2.9803331398005857,526,480,6.109658E-3 ,3.611103E-3 ,49.542,30,49.256,3.600,219.975E-6 ,1.856,1.896,5.569,20.291,1.637 ,9.575,14.057,26.236,28.726,0.702169,0.470392,4.171 ,8.772698412698412
150.810 ,121.005 ,75.211 ,599.996 ,52.030325107670514,77.98473083813948,3.4369153839695192,460,414,6.790503E-3 ,3.807041E-3 ,53.021,29,43.561,4.034,273.961E-6 ,2.053,2.346,6.158,21.393,1.706 ,10.258,13.005,8.977,30.775,0.692086,0.506499,3.952 ,8.145759637188208
177.715 ,154.505 ,75.171 ,601.307 ,54.29827531572417,75.8989166186424,-3.3800719887582185,540,490,5.921141E-3 ,3.965566E-3 ,47.959,25,38.418,4.227,250.303E-6 ,2.179,2.428,6.536,20.583,1.657 ,9.791,13.312,19.096,29.372,0.665862,0.568406,3.316 ,6.891882086167801
165.868 ,119.463 ,75.429 ,595.949 ,49.004499294819034,74.69452950164947,0.33281376007357144,382,352,6.216819E-3 ,3.514110E-3 ,58.275,21,71.767,4.232,263.088E-6 ,2.368,2.709,7.105,20.028,1.705 ,9.974,11.551,15.425,29.923,0.706431,0.485931,4.485 ,8.615963718820861
201.353 ,157.774 ,75.516 ,598.412 ,54.84879833916567,70.93697398740501,9.789749568461474,585,522,5.122143E-3 ,3.685519E-3 ,47.074,31,50.139,3.716,190.318E-6 ,1.963,2.149,5.890,19.324,1.695 ,9.341,13.203,15.914,28.024,0.657348,0.591390,3.208 ,7.727800453514739
171.586 ,145.345 ,73.736 ,588.190 ,43.882962711371114,70.71636032527886,7.401761509102563,158,141,5.717682E-3 ,4.284398E-3 ,67.516,13,80.161,4.112,235.097E-6 ,2.154,2.082,6.461,20.575,1.718 ,12.026,18.612,28.105,36.079,0.659886,0.575719,3.244 ,4.74984126984127
212.487 ,148.653 ,80.257 ,599.316 ,52.822789751013765,74.37786638217479,4.021351113109206,335,305,4.805380E-3 ,3.282016E-3 ,56.335,18,44.961,4.438,213.257E-6 ,2.342,2.658,7.026,21.695,1.786 ,11.605,13.565,7.120,34.816,0.682212,0.516881,3.610 ,5.167800453514739
154.735 ,138.559 ,74.464 ,580.576 ,53.937363509813935,76.27297218003864,11.151031499963768,675,600,6.696519E-3 ,4.271665E-3 ,56.101,47,58.226,3.830,256.457E-6 ,2.032,2.257,6.097,18.892,1.683 ,9.110,11.846,12.798,27.330,0.664765,0.560124,3.253 ,13.474739229024943
167.648 ,140.784 ,74.085 ,600.976 ,50.558123741560074,75.84169867530966,8.165342549077302,789,716,6.082411E-3 ,4.075417E-3 ,56.321,46,57.949,3.943,239.810E-6 ,2.072,2.484,6.217,20.415,1.747 ,9.939,11.032,18.258,29.818,0.674436,0.527289,3.431 ,14.98984126984127
145.487 ,106.275 ,75.790 ,584.123 ,49.61750304186525,72.42016100993219,10.042346090904372,688,625,7.079169E-3 ,3.560865E-3 ,54.565,42,56.861,3.849,272.510E-6 ,2.035,2.293,6.106,21.450,1.806 ,10.303,15.399,17.771,30.910,0.702047,0.481025,4.133 ,13.944943310657596
140.829 ,112.733 ,73.026 ,522.832 ,50.575195169108135,73.6008937382482,9.205293375898243,734,668,7.244324E-3 ,4.101022E-3 ,53.110,45,59.723,3.655,264.767E-6 ,1.906,2.079,5.719,21.258,1.757 ,10.112,14.093,13.919,30.337,0.670734,0.552569,3.477 ,14.98984126984127
154.698 ,109.540 ,75.086 ,478.893 ,51.69845866801196,74.20777720431265,-0.02144971459646457,864,790,6.544094E-3 ,3.673325E-3 ,52.246,50,55.724,3.759,246.025E-6 ,2.132,2.411,6.395,19.970,1.740 ,9.490,12.982,16.733,28.469,0.683305,0.524478,3.737 ,15.616780045351474
128.958 ,101.592 ,74.830 ,593.674 ,46.85000547256645,69.19160746020249,10.095443477585642,273,248,7.923384E-3 ,3.903252E-3 ,65.450,23,56.278,3.586,284.129E-6 ,2.024,2.242,6.072,18.495,1.565 ,9.273,12.207,19.053,27.818,0.655613,0.591213,3.074 ,8.250249433106577
157.403 ,136.581 ,74.766 ,595.855 ,46.995822964756755,70.5501443333449,8.778163533573867,604,554,6.461965E-3 ,4.264135E-3 ,62.099,38,57.793,3.642,235.337E-6 ,1.914,2.087,5.743,20.742,1.713 ,10.015,15.312,24.836,30.046,0.676319,0.542044,3.520 ,14.049433106575965
151.048 ,121.295 ,74.793 ,590.082 ,49.36643258643549,71.41218446286344,11.629264740536897,236,212,6.729275E-3 ,3.959351E-3 ,61.274,18,52.492,3.851,259.148E-6 ,2.125,2.118,6.375,19.907,1.727 ,9.188,11.007,28.989,27.563,0.627961,0.643106,2.431 ,5.846984126984127
154.765 ,133.404 ,75.576 ,620.079 ,46.50201865028264,62.162710611008016,8.827123113584829,198,183,6.446380E-3 ,4.405320E-3 ,61.835,13,76.292,4.564,294.223E-6 ,2.495,2.449,7.484,22.415,1.827 ,12.784,13.340,19.811,38.353,0.647225,0.605958,2.962 ,5.4812698412698415
147.693 ,119.065 ,73.828 ,596.370 ,46.58683055815834,68.67261974055177,10.2615297989374,553,503,6.818631E-3 ,3.995306E-3 ,61.232,38,67.531,3.392,231.277E-6 ,1.775,1.717,5.326,18.892,1.668 ,8.854,11.588,13.012,26.563,0.694017,0.485482,3.904 ,15.616780045351474
175.170 ,156.983 ,74.074 ,597.834 ,42.84333141669865,75.52103913888023,-2.4620768714194274,336,299,5.944548E-3 ,4.089209E-3 ,71.236,21,46.720,4.724,280.798E-6 ,2.585,2.751,7.756,21.860,1.826 ,10.786,15.928,22.587,32.358,0.650622,0.597244,2.965 ,10.392290249433106
175.920 ,144.620 ,85.675 ,500.907 ,41.951728780469296,77.85544547183594,-0.3607133053033141,95,91,5.657068E-3 ,3.595544E-3 ,59.459,2,4.113,3.258,184.282E-6 ,1.473,1.594,4.419,19.508,1.511 ,8.685,12.358,25.397,26.055,0.788529,0.306923,6.578 ,1.510657596371882
