Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
132.100 ,86.208 ,78.760 ,563.089 ,41.0327455930673,70.43796372542609,16.14503659492223,828,767,7.601647E-3 ,2.946100E-3 ,58.485,53,63.955,2.299,174.799E-6 ,0.988,1.156,2.964,16.073,1.420 ,6.921,9.803,13.409,20.763,0.747701,0.396090,5.504 ,17.069909297052153
158.744 ,141.760 ,75.900 ,593.836 ,47.30238197110194,62.672085685200074,26.042057667158744,261,244,6.496939E-3 ,3.608897E-3 ,29.643,10,27.891,2.539,164.931E-6 ,1.225,1.822,3.675,18.029,1.356 ,8.346,9.470,14.537,25.037,0.752293,0.391479,5.548 ,2.8331746031746032
165.615 ,153.147 ,75.305 ,608.773 ,44.78972449692669,60.48100610447317,21.945300875678818,627,591,6.161630E-3 ,3.909318E-3 ,28.504,22,28.099,2.985,183.936E-6 ,1.495,1.878,4.486,18.495,1.563 ,8.579,12.648,19.568,25.737,0.722665,0.442663,4.810 ,6.385827664399093
150.891 ,135.865 ,75.014 ,592.584 ,47.66938807491835,66.36048244759094,25.229233268680904,791,725,6.840964E-3 ,3.873495E-3 ,30.978,37,39.130,3.216,220.024E-6 ,1.637,1.932,4.910,18.162,1.471 ,8.680,13.805,21.377,26.041,0.698667,0.506732,4.223 ,9.233174603174604
148.257 ,120.302 ,83.945 ,599.390 ,47.16144915587576,65.90658075887757,26.458662665023645,921,864,6.830463E-3 ,3.684626E-3 ,29.727,38,37.841,3.048,208.177E-6 ,1.552,1.850,4.655,18.264,1.556 ,9.103,12.260,20.977,27.308,0.715131,0.463002,4.539 ,10.669909297052154
144.886 ,117.303 ,81.345 ,633.618 ,45.38153516895308,64.9329511981452,25.18406887688034,609,567,7.067268E-3 ,3.455249E-3 ,28.078,22,29.124,3.245,229.298E-6 ,1.686,2.048,5.057,19.586,1.651 ,9.146,14.559,20.688,27.438,0.716772,0.453947,4.562 ,6.699297052154195
139.962 ,114.070 ,78.002 ,597.803 ,44.52982180371298,62.68025057049472,22.496233824593887,739,677,7.180721E-3 ,3.627243E-3 ,37.975,47,45.832,2.669,191.665E-6 ,1.202,1.373,3.607,16.937,1.498 ,8.259,11.704,16.111,24.777,0.705400,0.475722,4.293 ,10.30419501133787
151.572 ,137.970 ,76.217 ,595.436 ,44.668748773322285,59.95033485049294,26.79641940489184,598,551,6.791867E-3 ,4.041886E-3 ,27.331,25,30.973,3.748,254.558E-6 ,1.874,2.238,5.622,18.104,1.570 ,8.394,11.631,17.064,25.183,0.706255,0.497010,4.536 ,6.255215419501134
127.556 ,110.568 ,76.203 ,591.640 ,42.49229263510234,56.63527125341578,1.9545566382437385,277,258,7.906884E-3 ,3.842201E-3 ,39.093,13,40.816,2.575,203.600E-6 ,1.229,1.248,3.687,17.743,1.534 ,8.494,11.309,14.126,25.482,0.699727,0.486051,4.018 ,4.6617460317460315
119.350 ,14.293 ,94.695 ,147.571 ,50.594729294009674,70.77653594822763,27.377988265098487,177,171,8.353667E-3 ,1.035704E-3 ,47.651,5,5.554,1.735,144.919E-6 ,0.837,1.060,2.511,16.734,1.529 ,8.199,11.050,13.705,24.596,0.723351,0.442589,4.696 ,3.016031746031746
149.950 ,119.608 ,91.529 ,476.743 ,38.96631503939433,64.24584474557186,23.44760539930961,126,118,6.947736E-3 ,3.598078E-3 ,69.725,5,13.204,3.084,214.252E-6 ,1.622,2.087,4.867,15.487,1.561 ,7.189,10.586,14.651,21.568,0.652266,0.609808,3.014 ,3.303378684807256
131.495 ,85.206 ,77.394 ,580.908 ,46.957247386936096,66.28587385358327,22.633274954285312,368,347,7.632237E-3 ,2.935423E-3 ,48.448,17,31.084,2.639,201.384E-6 ,1.373,1.426,4.120,16.444,1.410 ,8.358,11.097,15.098,25.075,0.719077,0.457258,4.750 ,5.837256235827664
130.264 ,89.861 ,90.224 ,551.266 ,45.47956661107762,67.78785919692011,23.096071061015834,1034,977,7.803748E-3 ,2.991166E-3 ,42.154,42,37.076,1.886,147.145E-6 ,0.920,1.055,2.761,15.594,1.396 ,6.740,9.620,15.583,20.221,0.754005,0.381139,5.601 ,15.267460317460317
113.792 ,59.513 ,81.667 ,590.931 ,44.80979332948662,64.58697992990612,23.074148959560024,691,656,8.835835E-3 ,2.344777E-3 ,37.054,29,43.185,1.834,162.091E-6 ,0.920,1.107,2.760,16.067,1.483 ,7.825,10.503,17.087,23.475,0.744925,0.405964,5.370 ,10.696031746031746
