Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
131.878 ,13.721 ,94.711 ,159.443 ,46.91005009635169,62.04777554873389,16.6312815460409,313,307,7.593492E-3 ,0.819021E-3 ,22.571,5,22.204,1.629,123.736E-6 ,0.726,0.745,2.177,12.940,1.208 ,5.910,8.473,11.456,17.730,0.858647,0.198084,9.155 ,3.2250113378684806
120.684 ,17.929 ,76.421 ,200.029 ,39.24885944352071,58.305549990805396,16.11639267878372,462,446,8.277163E-3 ,1.238725E-3 ,39.169,15,27.460,2.822,233.563E-6 ,1.191,1.300,3.574,14.279,1.321 ,5.797,9.172,17.314,17.392,0.824458,0.253351,8.078 ,6.777664399092971
117.599 ,37.406 ,84.161 ,568.063 ,45.53683592579267,59.924993976540975,21.23653230441578,569,550,8.503722E-3 ,1.569785E-3 ,21.575,15,24.399,1.793,152.456E-6 ,0.701,0.829,2.102,14.148,1.248 ,6.135,8.359,14.161,18.404,0.812579,0.272105,7.534 ,6.385827664399093
122.868 ,54.003 ,75.227 ,585.361 ,40.1020594728197,59.45858042310984,12.832158355842395,4235,4041,8.195025E-3 ,2.024108E-3 ,37.072,171,42.015,2.294,188.024E-6 ,0.881,0.980,2.643,13.817,1.243 ,6.480,8.745,12.713,19.439,0.810703,0.279621,7.500 ,58.70909297052154
119.853 ,46.933 ,75.678 ,564.114 ,40.27829773562637,56.701116683085395,14.042969837366757,883,844,8.423954E-3 ,1.794896E-3 ,37.322,33,39.774,2.421,203.965E-6 ,1.038,1.180,3.115,13.756,1.262 ,6.385,8.719,14.120,19.154,0.790200,0.321094,6.790 ,12.655215419501134
140.199 ,70.204 ,97.465 ,590.094 ,34.71950874443886,57.95374519742235,12.718718163390303,299,282,7.263230E-3 ,1.858639E-3 ,58.103,15,62.122,1.955,142.009E-6 ,0.772,0.808,2.317,13.191,1.163 ,6.184,7.388,9.738,18.552,0.810923,0.280717,8.107 ,5.837256235827664
129.141 ,77.645 ,82.157 ,575.636 ,37.533208280064905,55.45832062362575,12.410196710673063,637,608,7.839655E-3 ,2.822458E-3 ,38.506,21,40.127,2.278,178.572E-6 ,0.974,1.101,2.922,14.872,1.331 ,7.475,10.159,13.092,22.426,0.813907,0.271346,7.704 ,8.736848072562358
112.748 ,34.144 ,75.144 ,504.582 ,41.032886991889555,54.969780691645695,16.234367950412206,398,388,8.956336E-3 ,1.732289E-3 ,20.085,7,14.322,2.279,204.072E-6 ,1.068,1.211,3.205,14.567,1.291 ,6.822,9.165,14.455,20.466,0.832079,0.252153,8.647 ,4.713990929705216
117.915 ,51.278 ,79.870 ,564.113 ,36.32458281091703,54.87816227041792,12.315270198502441,682,656,8.519602E-3 ,2.070788E-3 ,40.286,24,41.316,2.150,183.186E-6 ,0.891,0.975,2.672,15.042,1.317 ,6.835,9.577,15.018,20.504,0.811944,0.281284,7.540 ,10.539297052154195
118.442 ,58.507 ,73.794 ,567.013 ,38.7631621450706,53.54645376454759,13.215193367884401,469,449,8.534052E-3 ,2.385019E-3 ,24.733,14,29.092,2.308,196.985E-6 ,0.953,1.091,2.858,14.650,1.310 ,6.825,9.334,15.374,20.474,0.840628,0.223520,8.615 ,5.654399092970522
118.951 ,17.370 ,88.129 ,196.017 ,40.758734505945085,53.019713695882714,13.671768175121953,121,118,8.409783E-3 ,1.172853E-3 ,22.059,2,12.800,1.594,134.052E-6 ,0.645,0.782,1.936,12.147,1.069 ,5.567,7.431,10.537,16.700,0.878784,0.159774,10.117 ,1.396439909297052
124.290 ,29.551 ,75.661 ,385.358 ,32.88294748285374,56.68008053902298,11.144308158733754,277,266,8.084674E-3 ,1.489307E-3 ,52.066,9,54.021,1.866,150.877E-6 ,0.796,0.742,2.388,13.279,1.143 ,6.084,7.806,9.932,18.252,0.837535,0.233021,8.666 ,4.870725623582766
129.856 ,62.258 ,83.064 ,596.430 ,35.499357881908345,53.702049277680224,11.7578849034102,2495,2397,7.806486E-3 ,2.079779E-3 ,38.132,72,43.637,2.097,163.726E-6 ,0.892,1.028,2.675,14.543,1.297 ,6.830,9.243,13.247,20.490,0.825880,0.251855,8.078 ,33.65766439909297
174.919 ,131.643 ,70.762 ,509.086 ,33.307536056832035,51.40562075098422,12.005454486453784,189,174,6.030908E-3 ,3.251401E-3 ,42.727,5,44.505,3.323,200.408E-6 ,1.166,1.601,3.498,15.967,1.464 ,5.737,9.706,13.655,17.211,0.749912,0.399534,5.437 ,2.232358276643991
124.915 ,61.824 ,75.088 ,610.614 ,32.98965053770574,52.84229925065831,10.095637486977084,2225,2126,8.120321E-3 ,2.119389E-3 ,39.306,77,45.637,2.221,180.381E-6 ,0.982,1.135,2.947,14.509,1.278 ,6.882,9.186,13.800,20.647,0.812810,0.274323,7.526 ,32.299297052154195
132.212 ,69.504 ,77.870 ,526.860 ,34.37301778759496,53.83902551575006,10.49922135343941,1157,1100,7.670017E-3 ,2.280041E-3 ,36.043,37,41.138,2.561,196.458E-6 ,1.133,1.212,3.399,14.041,1.255 ,6.604,8.452,12.465,19.811,0.806714,0.285389,7.429 ,14.797256235827664
140.289 ,86.666 ,88.373 ,548.138 ,32.61339218853935,52.0364762565935,10.092251409588904,345,331,7.253017E-3 ,2.574406E-3 ,40.265,8,44.351,3.267,236.988E-6 ,1.726,1.716,5.178,16.564,1.435 ,7.386,10.697,18.240,22.159,0.760056,0.384988,5.938 ,4.557256235827665
140.135 ,85.772 ,76.543 ,591.767 ,33.9362094466917,51.36758233920175,11.31577182147193,920,875,7.319781E-3 ,2.557761E-3 ,37.534,27,36.922,2.347,171.822E-6 ,1.080,1.186,3.239,14.921,1.342 ,7.028,9.496,14.014,21.083,0.809782,0.279630,7.527 ,11.061746031746031
117.942 ,15.223 ,96.557 ,164.246 ,28.698985626911476,51.26696326023621,8.937867794653322,243,236,8.485169E-3 ,1.059696E-3 ,53.347,6,41.553,1.997,169.458E-6 ,0.950,0.928,2.850,13.546,1.260 ,6.581,8.194,10.661,19.743,0.806459,0.291055,7.586 ,4.818480725623583
133.815 ,63.549 ,80.503 ,491.887 ,35.479620153920926,50.119404557549394,9.248917750072007,560,535,7.547430E-3 ,2.254303E-3 ,27.113,20,34.186,2.458,185.520E-6 ,1.161,1.314,3.482,15.682,1.368 ,7.271,10.232,14.361,21.813,0.787734,0.323169,6.827 ,6.307460317460317
114.481 ,37.402 ,79.102 ,445.885 ,31.73733627737503,53.288311479378535,9.497543067817418,590,568,8.776137E-3 ,1.646935E-3 ,42.353,19,45.940,2.238,196.409E-6 ,1.041,1.133,3.122,14.614,1.301 ,6.591,9.200,14.090,19.772,0.773370,0.341121,6.073 ,9.389909297052155
164.527 ,89.321 ,86.775 ,553.888 ,32.60223612844882,54.84572608851428,11.419850165793694,565,547,6.131183E-3 ,2.542592E-3 ,41.102,13,46.063,2.000,122.634E-6 ,0.979,0.981,2.938,13.719,1.220 ,5.810,7.571,11.567,17.431,0.833838,0.238555,8.318 ,6.385827664399093
198.997 ,24.265 ,144.534 ,249.333 ,30.85276368038901,53.192331583402336,-3.741087030745007,339,328,5.032079E-3 ,0.653986E-3 ,46.483,10,37.417,1.758,88.440E-6 ,0.750,0.845,2.249,15.662,1.326 ,6.359,9.034,14.475,19.077,0.806792,0.290432,7.636 ,3.303378684807256
101.003 ,6.039 ,92.723 ,125.282 ,45.61350078571727,59.9986404448352,26.56552292992657,42,39,9.989873E-3 ,0.678219E-3 ,25.397,2,30.773,3.356,335.235E-6 ,1.395,1.556,4.184,19.997,1.723 ,7.923,15.585,35.726,23.769,0.774511,0.326874,5.866 ,0.6650113378684808
116.902 ,88.524 ,75.690 ,572.130 ,44.115154535318965,63.61841620681798,18.015243275500644,256,245,8.678018E-3 ,3.219801E-3 ,41.422,8,37.061,2.015,174.901E-6 ,0.804,1.063,2.413,15.976,1.424 ,7.675,9.564,14.945,23.025,0.801462,0.295869,7.310 ,4.1131746031746035
119.181 ,61.318 ,77.228 ,581.877 ,43.242279832479355,66.3036025423864,13.123560726597285,795,757,8.431293E-3 ,2.444742E-3 ,40.407,33,45.102,2.083,175.627E-6 ,0.853,1.021,2.558,13.978,1.220 ,6.317,8.421,12.691,18.951,0.829731,0.246986,8.562 ,11.819297052154194
105.150 ,36.789 ,74.556 ,576.075 ,44.93201643645616,62.273406788715356,16.712850431574246,749,722,9.565392E-3 ,1.643399E-3 ,28.140,25,32.266,2.444,233.742E-6 ,1.052,1.304,3.157,14.208,1.257 ,6.303,8.618,14.186,18.910,0.833720,0.239195,8.459 ,10.30419501133787
115.159 ,59.014 ,80.125 ,596.025 ,42.79596964225089,64.7919460238083,15.105919319820913,992,948,8.765979E-3 ,2.252585E-3 ,33.897,39,40.914,2.512,220.180E-6 ,1.133,1.349,3.399,14.758,1.335 ,6.500,9.167,14.441,19.499,0.836062,0.238375,8.668 ,14.222562358276644
134.782 ,110.188 ,75.400 ,597.152 ,43.11694450268179,62.166558712001894,12.392224290875077,1488,1408,7.642855E-3 ,3.410882E-3 ,31.696,53,34.370,2.926,223.661E-6 ,1.324,1.678,3.971,15.861,1.409 ,6.691,8.825,14.188,20.074,0.802472,0.293558,7.448 ,17.540113378684808
131.098 ,29.051 ,98.124 ,270.882 ,43.50592667613771,63.85518059580971,20.037264621209758,198,193,7.586081E-3 ,1.547638E-3 ,39.044,4,25.834,1.726,130.946E-6 ,0.663,0.784,1.990,13.057,1.220 ,5.973,8.461,11.945,17.920,0.880617,0.156614,10.235 ,2.545827664399093
111.021 ,53.833 ,80.507 ,584.555 ,41.915234434193636,64.86134493424218,13.516516746428877,841,797,9.088252E-3 ,2.156361E-3 ,41.988,40,43.559,2.268,206.133E-6 ,0.982,1.206,2.945,14.609,1.257 ,6.075,8.640,14.410,18.225,0.820761,0.266461,8.126 ,13.517256235827665
119.494 ,54.414 ,88.431 ,538.731 ,43.435174755424214,61.11642892633759,13.900650844612585,252,240,8.381109E-3 ,2.196345E-3 ,27.829,11,37.461,2.205,184.843E-6 ,0.848,1.002,2.543,14.319,1.281 ,5.787,9.003,13.050,17.362,0.820745,0.257160,8.030 ,3.303378684807256
108.829 ,41.131 ,75.023 ,495.462 ,40.38169353940249,57.30445245618653,12.386690907561917,382,369,9.238525E-3 ,1.950226E-3 ,28.489,12,29.327,3.042,281.053E-6 ,1.393,1.657,4.178,15.028,1.387 ,6.518,8.901,16.845,19.553,0.808859,0.289057,7.840 ,5.262562358276644
127.629 ,83.191 ,77.870 ,577.071 ,39.966247102859015,60.97230157215325,9.573604635300976,673,633,8.034400E-3 ,2.946529E-3 ,35.123,25,40.892,2.999,240.941E-6 ,1.210,1.455,3.629,17.115,1.460 ,7.995,10.701,15.718,23.985,0.795215,0.303731,7.008 ,8.971950113378686
118.176 ,62.377 ,81.526 ,559.236 ,38.748680801292245,59.125819454263734,11.96789515102357,558,527,8.560371E-3 ,2.431432E-3 ,40.575,19,45.507,2.692,230.456E-6 ,1.153,1.386,3.460,14.854,1.342 ,6.447,9.715,17.561,19.342,0.821562,0.262805,7.918 ,8.736848072562358
120.983 ,71.004 ,87.231 ,578.081 ,40.702294206021506,56.19028195654035,12.171827725966295,498,477,8.381933E-3 ,2.546991E-3 ,25.327,17,32.974,2.592,217.284E-6 ,1.113,1.331,3.338,14.833,1.317 ,7.092,9.048,14.423,21.277,0.809753,0.279122,7.592 ,6.150725623582766
119.447 ,69.686 ,78.437 ,586.038 ,37.82544780983401,58.830859964899666,11.369012137638457,590,555,8.584814E-3 ,2.652457E-3 ,38.833,26,40.710,2.906,249.510E-6 ,1.235,1.520,3.704,15.151,1.369 ,6.997,9.081,14.154,20.990,0.814816,0.266660,7.708 ,8.945827664399093
110.445 ,33.825 ,76.037 ,346.160 ,39.11800788203108,53.914754502051466,5.843310108840192,242,231,9.120301E-3 ,1.884356E-3 ,26.959,8,22.057,3.524,321.432E-6 ,1.698,1.922,5.094,15.560,1.431 ,6.741,9.709,11.571,20.223,0.804938,0.294487,7.994 ,3.2250113378684806
128.215 ,87.614 ,74.361 ,598.276 ,37.68128260019296,58.175414293085694,10.377781657438199,1060,1007,7.991151E-3 ,2.780286E-3 ,34.964,36,40.103,2.857,228.316E-6 ,1.189,1.348,3.567,14.406,1.314 ,6.422,8.394,12.010,19.265,0.821527,0.261276,8.223 ,13.935215419501134
