Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
152.058 ,86.683 ,84.658 ,595.952 ,45.83664753744974,72.4188152135836,16.189934428100628,457,432,6.682230E-3 ,2.301960E-3 ,60.510,21,61.225,2.341,156.460E-6 ,0.991,1.147,2.974,15.713,1.393 ,7.015,8.940,12.491,21.044,0.810817,0.298559,8.192 ,8.266643990929705
134.955 ,49.328 ,88.776 ,589.268 ,43.5411404460502,69.60846064198176,12.098088177926234,655,620,7.415564E-3 ,1.561298E-3 ,51.150,31,56.590,1.933,143.355E-6 ,0.748,0.941,2.243,13.533,1.226 ,5.712,8.584,12.381,17.135,0.868033,0.182139,9.973 ,10.90501133786848
128.510 ,19.068 ,100.611 ,204.190 ,43.101331692693414,72.46614136777936,12.923136362639045,205,193,7.799812E-3 ,1.056876E-3 ,55.556,11,56.674,2.256,175.949E-6 ,1.025,1.221,3.076,13.230,1.143 ,5.791,8.165,10.561,17.372,0.855281,0.193576,9.100 ,3.9041950113378685
142.436 ,13.569 ,127.702 ,162.852 ,24.93139841989645,69.66636012396593,8.095763063712765,27,26,7.023160E-3 ,0.629371E-3 ,88.202,0,0,2.152,151.154E-6 ,0.830,1.111,2.490,14.060,1.447 ,5.718,8.668,19.041,17.153,0.794869,0.283064,6.574 ,1.8143990929705216
127.069 ,12.997 ,117.152 ,155.265 ,43.742360214455715,67.85925222926252,25.212610565053453,41,38,7.912091E-3 ,0.746597E-3 ,64.348,2,13.841,1.221,96.601E-6 ,0.385,0.623,1.156,14.356,1.114 ,7.621,9.225,24.888,22.862,0.725333,0.416754,4.657 ,1.1874603174603175
148.415 ,37.280 ,127.971 ,378.567 ,53.015925169786776,68.52408207590594,18.49666052855167,127,126,6.752415E-3 ,1.147123E-3 ,31.298,0,0,2.012,135.879E-6 ,0.973,0.997,2.919,13.431,1.187 ,6.450,8.895,14.464,19.349,0.836360,0.258012,8.720 ,1.3441950113378685
158.582 ,114.553 ,70.671 ,594.806 ,51.641743713355474,68.3858873797772,24.081986901135608,1124,1046,6.472895E-3 ,3.003254E-3 ,27.380,40,36.260,2.832,183.297E-6 ,1.294,1.515,3.881,15.259,1.320 ,6.864,10.730,17.706,20.592,0.778878,0.347906,6.620 ,11.061746031746031
179.754 ,143.468 ,73.785 ,599.046 ,46.63205155941076,63.401132099398424,20.981782490949787,436,405,5.685279E-3 ,3.352340E-3 ,31.127,19,28.966,3.445,195.866E-6 ,1.473,1.532,4.419,17.544,1.503 ,7.826,11.489,12.704,23.477,0.763686,0.366762,6.235 ,4.1131746031746035
164.846 ,124.865 ,95.697 ,597.780 ,45.72677147808264,64.42749260782568,21.33217130239292,425,376,6.339789E-3 ,3.274422E-3 ,34.870,18,31.954,2.862,181.433E-6 ,1.437,1.782,4.311,17.584,1.577 ,8.323,12.311,22.250,24.969,0.770598,0.348699,6.313 ,5.027460317460317
179.114 ,147.920 ,86.608 ,592.102 ,46.10004934332982,64.9604617756056,22.155027824083476,542,502,5.747750E-3 ,3.613061E-3 ,34.652,19,31.017,3.342,192.062E-6 ,1.530,1.853,4.589,18.497,1.632 ,8.020,11.781,19.881,24.061,0.777636,0.339617,6.429 ,5.340929705215419
158.802 ,110.448 ,74.989 ,597.282 ,46.49796303054755,66.13904115298047,16.301276348646056,671,627,6.438569E-3 ,2.967113E-3 ,37.224,23,40.975,2.818,181.425E-6 ,1.327,1.588,3.982,14.319,1.380 ,6.265,9.269,14.341,18.794,0.811752,0.282659,7.831 ,7.744195011337869
165.655 ,120.017 ,76.897 ,582.842 ,42.6947366954582,64.74111874020932,18.220864253485534,704,651,6.247658E-3 ,3.094100E-3 ,39.591,29,31.215,3.123,195.111E-6 ,1.438,1.648,4.313,16.160,1.476 ,6.597,9.868,18.928,19.790,0.791479,0.310563,6.800 ,8.345011337868481
199.411 ,146.815 ,86.246 ,598.604 ,42.59804491375414,65.24060451373323,18.92515695945589,430,399,5.282643E-3 ,2.849221E-3 ,44.835,12,52.124,2.287,120.831E-6 ,1.059,1.248,3.176,14.759,1.421 ,6.938,11.314,18.201,20.813,0.823311,0.263541,8.617 ,4.870725623582766
161.517 ,117.834 ,84.213 ,589.347 ,42.41488668217383,64.82328752047425,19.030112966415004,1205,1134,6.398574E-3 ,3.079568E-3 ,40.417,35,39.772,2.767,177.064E-6 ,1.250,1.453,3.750,16.741,1.488 ,7.345,10.634,15.772,22.034,0.793259,0.307421,6.942 ,14.43154195011338
158.171 ,119.312 ,78.176 ,597.779 ,42.183376807129896,63.807233880100185,17.565849116280358,1622,1506,6.562212E-3 ,3.222192E-3 ,38.998,55,38.936,2.813,184.573E-6 ,1.258,1.462,3.773,15.839,1.414 ,7.047,10.408,16.660,21.142,0.802733,0.296537,7.381 ,19.39480725623583
148.315 ,110.183 ,89.026 ,590.932 ,43.097065534686216,63.96380184430459,13.930440473172414,794,739,6.918233E-3 ,3.181306E-3 ,36.224,30,33.982,2.665,184.398E-6 ,1.293,1.561,3.879,15.845,1.386 ,6.897,9.757,15.265,20.691,0.808239,0.288453,7.590 ,9.833990929705216
153.950 ,108.771 ,76.090 ,594.886 ,40.64570577531621,63.803223788771945,13.044990461215374,1140,1062,6.754523E-3 ,3.159532E-3 ,43.857,41,41.712,3.007,203.123E-6 ,1.338,1.650,4.014,16.003,1.411 ,6.967,9.766,17.907,20.900,0.794574,0.312174,7.039 ,16.31235827664399
167.861 ,130.045 ,69.748 ,594.034 ,39.453790569677885,64.00265551740075,15.878812111900123,978,902,6.132074E-3 ,3.446018E-3 ,43.579,40,42.454,3.295,202.074E-6 ,1.476,1.629,4.429,17.697,1.530 ,7.999,12.238,23.778,23.997,0.788165,0.324602,6.980 ,12.498480725623583
161.998 ,124.617 ,87.151 ,585.935 ,41.03679560714327,62.042891970070755,16.019483115840558,670,621,6.353777E-3 ,3.289456E-3 ,39.033,29,34.604,2.723,173.031E-6 ,1.240,1.412,3.721,16.028,1.485 ,7.051,10.584,19.492,21.154,0.809062,0.283922,7.642 ,8.109909297052154
181.759 ,148.444 ,84.743 ,610.183 ,40.20394937799605,62.41251129657179,14.837827765055419,1448,1336,5.694717E-3 ,3.598514E-3 ,39.832,49,48.730,3.573,203.487E-6 ,1.749,2.071,5.246,17.727,1.588 ,8.337,12.748,22.422,25.010,0.785290,0.333900,6.961 ,15.476439909297053
