Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
105.728 ,86.153 ,72.867 ,595.822 ,39.77115897470043,56.21488450022551,8.812455903142778,1544,1441,9.805260E-3 ,3.858516E-3 ,37.769,76,43.492,2.209,216.643E-6 ,1.028,1.179,3.084,14.517,1.253 ,6.527,8.330,11.632,19.581,0.770029,0.351919,6.208 ,25.585827664399094
113.019 ,117.690 ,74.968 ,550.095 ,40.27006897340376,55.112539628086594,21.36214646403178,188,163,9.503396E-3 ,4.978484E-3 ,44.417,20,56.831,3.203,304.402E-6 ,1.680,1.744,5.041,15.262,1.300 ,6.903,9.417,--undefined--,20.710,0.734905,0.417147,5.224 ,4.060929705215419
88.591 ,56.684 ,73.107 ,458.437 ,36.3659537462257,53.73506796217106,11.72777000594502,123,112,11.310374E-3 ,3.413168E-3 ,45.215,10,34.133,2.681,303.198E-6 ,1.162,1.433,3.487,13.164,1.099 ,6.151,7.422,9.903,18.454,0.752585,0.381918,5.567 ,3.06827664399093
145.206 ,153.053 ,73.464 ,594.538 ,35.13632697967685,60.28902526930715,7.840580672950646,622,563,7.390207E-3 ,5.165797E-3 ,59.253,32,65.188,2.405,177.700E-6 ,1.224,1.450,3.673,13.972,1.225 ,7.193,9.131,14.692,21.578,0.743479,0.405187,5.541 ,12.629092970521542
88.035 ,37.491 ,74.580 ,520.613 ,40.468278619976545,57.948527407875254,8.691780568004702,498,475,11.441159E-3 ,2.140572E-3 ,32.558,21,35.246,1.820,208.198E-6 ,0.798,0.986,2.393,14.085,1.264 ,6.723,8.058,10.219,20.170,0.777987,0.339190,6.369 ,8.632358276643991
88.892 ,55.578 ,74.926 ,582.029 ,40.25238553139512,58.05090415346464,12.946441809200541,295,272,11.234969E-3 ,2.963830E-3 ,40.872,21,50.028,2.335,262.294E-6 ,1.027,1.194,3.081,14.863,1.288 ,7.183,9.168,11.103,21.548,0.776132,0.330415,6.290 ,6.229092970521542
118.256 ,71.315 ,73.756 ,454.779 ,31.849910073586994,56.59299198556767,6.690228281183756,538,499,8.515924E-3 ,3.979437E-3 ,59.809,33,65.617,1.785,152.025E-6 ,0.754,0.929,2.262,11.607,0.975 ,4.577,5.920,7.086,13.730,0.792083,0.313213,7.178 ,12.576848072562358
111.664 ,88.582 ,75.016 ,580.633 ,45.69542214030723,61.845595996672536,16.079113986464375,623,584,9.177060E-3 ,3.681466E-3 ,34.652,29,38.001,2.318,212.765E-6 ,1.113,1.352,3.338,14.175,1.250 ,6.046,8.477,13.128,18.139,0.764740,0.372514,6.158 ,9.389909297052155
95.740 ,64.620 ,73.925 ,510.232 ,42.48337965526506,60.196853725783484,11.965678016680194,483,448,10.633768E-3 ,3.348770E-3 ,43.836,27,45.354,2.115,224.926E-6 ,0.999,1.133,2.996,13.845,1.247 ,6.118,8.196,11.810,18.354,0.743419,0.400715,5.353 ,10.251950113378685
103.745 ,92.142 ,74.311 ,597.367 ,43.185340222756324,64.51164902795395,10.843977630083366,562,516,10.034965E-3 ,4.037220E-3 ,45.829,33,48.275,2.245,225.251E-6 ,1.038,1.371,3.113,13.731,1.178 ,6.034,8.576,13.561,18.101,0.790134,0.318165,6.878 ,10.460929705215419
157.208 ,154.692 ,74.341 ,591.974 ,41.583616516352954,58.54834953101303,14.010779984081807,933,828,6.913477E-3 ,5.283131E-3 ,48.544,54,57.324,3.894,269.180E-6 ,2.006,2.423,6.019,17.653,1.513 ,7.858,10.185,13.868,23.574,0.731995,0.431621,5.372 ,14.457664399092971
280.608 ,200.415 ,73.259 ,585.145 ,43.080689016360346,57.20918460330418,21.82832425349147,200,177,3.899984E-3 ,3.986899E-3 ,50.698,11,61.910,5.699,222.246E-6 ,2.958,3.002,8.874,20.045,1.572 ,6.812,12.361,--undefined--,20.435,0.669177,0.572858,3.781 ,2.180113378684807
121.713 ,126.425 ,73.141 ,597.740 ,40.29354577698561,58.19389506900126,11.07038377601584,363,337,8.752349E-3 ,4.978362E-3 ,43.486,18,37.563,3.611,316.056E-6 ,1.705,2.084,5.116,16.152,1.410 ,7.466,10.781,15.442,22.398,0.752155,0.388479,5.714 ,5.941746031746032
97.431 ,58.241 ,75.039 ,594.160 ,40.74471147525483,58.29968760257093,9.127431950025372,352,335,10.307733E-3 ,2.895960E-3 ,32.849,15,35.546,1.835,189.197E-6 ,0.786,1.029,2.358,14.682,1.257 ,5.816,8.335,14.697,17.447,0.808196,0.279931,7.551 ,5.549909297052154
