Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
128.758 ,16.106 ,109.188 ,160.617 ,29.81275420585445,54.346352747451625,9.160593756754361,65,62,7.797017E-3 ,0.941265E-3 ,63.636,2,11.875,1.551,120.970E-6 ,0.592,0.754,1.776,13.475,1.158 ,6.966,9.697,13.434,20.898,0.856652,0.196632,8.971 ,1.579297052154195
122.514 ,47.956 ,75.510 ,566.860 ,37.442702227728255,58.83597917207184,11.462179211728705,921,875,8.248593E-3 ,1.880440E-3 ,30.151,38,38.936,2.345,193.442E-6 ,1.001,1.118,3.004,13.663,1.237 ,6.082,9.133,14.101,18.246,0.844371,0.223322,9.061 ,11.976031746031746
138.808 ,114.973 ,79.872 ,585.895 ,31.281247816269314,51.67467106343878,10.323335801415134,274,258,7.435459E-3 ,3.696157E-3 ,46.903,9,23.895,3.239,240.834E-6 ,1.498,1.654,4.495,16.649,1.409 ,7.927,12.138,20.823,23.782,0.770906,0.347820,6.235 ,4.557256235827665
132.740 ,48.738 ,85.506 ,440.795 ,37.94411532757871,52.85361015094079,13.808647740918436,401,378,7.629384E-3 ,1.905777E-3 ,21.362,14,30.118,2.612,199.253E-6 ,1.251,1.484,3.752,13.516,1.218 ,6.043,9.047,15.363,18.128,0.824269,0.261759,8.318 ,4.296031746031746
124.585 ,72.425 ,83.093 ,599.767 ,29.984999798576865,52.396906720612115,9.893926315937485,304,286,8.212493E-3 ,2.525055E-3 ,47.719,13,36.993,2.823,231.815E-6 ,1.130,1.264,3.389,13.242,1.142 ,6.363,8.629,12.649,19.088,0.800871,0.294665,7.090 ,5.732766439909297
124.561 ,61.339 ,75.406 ,576.567 ,32.626164360225005,51.74168459566378,9.156805942397263,1143,1069,8.152871E-3 ,2.284894E-3 ,41.298,58,45.517,2.945,240.070E-6 ,1.332,1.333,3.997,13.428,1.236 ,6.271,9.069,13.454,18.813,0.805562,0.297551,7.751 ,17.905827664399094
118.686 ,28.063 ,90.758 ,240.095 ,29.706309787888525,53.335012813179134,10.545649644178951,270,256,8.398742E-3 ,1.719906E-3 ,50.196,12,24.517,2.486,208.814E-6 ,1.087,1.262,3.261,14.939,1.273 ,7.012,10.781,16.711,21.037,0.806995,0.291776,7.500 ,5.131950113378685
129.934 ,64.468 ,85.271 ,508.296 ,32.09745604247986,50.86123625266402,9.573064013547341,914,862,7.844271E-3 ,2.264044E-3 ,40.014,39,50.261,2.922,229.212E-6 ,1.295,1.454,3.884,14.495,1.268 ,6.816,9.220,13.504,20.449,0.799683,0.299537,7.180 ,13.909092970521542
133.667 ,84.120 ,77.409 ,500.256 ,29.248976483894626,50.99082020455582,8.439694785484763,909,850,7.751106E-3 ,2.857795E-3 ,47.969,41,45.200,2.497,193.573E-6 ,1.086,1.179,3.257,13.523,1.243 ,6.408,8.460,11.691,19.223,0.828060,0.247531,8.230 ,15.29358276643991
122.533 ,57.306 ,84.988 ,575.467 ,31.224222586371905,51.26129650651427,8.252311070917195,815,770,8.179597E-3 ,2.342205E-3 ,40.664,43,51.071,2.679,219.166E-6 ,1.207,1.353,3.620,13.220,1.216 ,6.109,8.119,12.257,18.327,0.813038,0.274561,7.691 ,12.994807256235827
