Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
142.974 ,53.678 ,96.443 ,619.195 ,33.22350659318902,61.44377910887676,2.8322512442250387,3221,3086,7.032358E-3 ,1.551073E-3 ,47.364,118,52.341,1.860,130.809E-6 ,0.848,1.027,2.543,15.259,1.324 ,6.525,9.384,15.753,19.574,0.810908,0.274775,7.538 ,46.312879818594105
144.477 ,19.587 ,102.508 ,179.262 ,42.40342476238621,58.95393541181175,12.034478295137774,262,257,6.938526E-3 ,0.997765E-3 ,33.333,3,17.273,1.952,135.460E-6 ,1.010,1.220,3.029,16.657,1.518 ,8.432,11.981,14.179,25.297,0.788244,0.311508,6.635 ,2.7667573696145125
165.030 ,43.857 ,116.594 ,497.238 ,40.05205752790432,58.840784928141154,3.4599924246585467,388,374,6.075198E-3 ,1.303694E-3 ,35.162,10,20.285,2.949,179.175E-6 ,1.419,1.615,4.257,17.427,1.506 ,7.198,10.953,22.480,21.595,0.767280,0.366710,6.069 ,4.046757369614513
148.811 ,25.346 ,107.043 ,402.422 ,40.72194873312881,59.929052436091446,-0.08547597753725542,1355,1316,6.740832E-3 ,1.026657E-3 ,28.475,34,30.502,2.311,155.765E-6 ,1.165,1.426,3.494,17.139,1.532 ,7.548,11.767,21.985,22.644,0.788307,0.307856,6.494 ,13.346349206349206
212.963 ,32.912 ,129.813 ,249.411 ,33.143398152148485,58.800214778265236,14.102594407837866,77,72,4.688916E-3 ,0.787381E-3 ,56.250,3,58.961,2.820,132.208E-6 ,1.313,1.703,3.938,19.152,1.727 ,6.779,18.675,31.969,20.337,0.684068,0.538812,3.741 ,0.9904308390022676
143.461 ,35.902 ,98.419 ,549.742 ,33.843808816086764,58.53300408614447,5.2379971459221135,505,492,6.998096E-3 ,1.237169E-3 ,42.038,9,25.608,2.420,169.377E-6 ,1.208,1.352,3.624,19.108,1.662 ,8.516,13.181,20.128,25.549,0.762310,0.368197,5.808 ,6.319410430839002
144.669 ,21.585 ,80.501 ,232.173 ,40.372427326624035,59.89969722428923,11.939999292044899,1503,1459,6.940621E-3 ,0.997556E-3 ,25.420,31,27.523,2.461,170.790E-6 ,1.249,1.520,3.747,17.319,1.548 ,7.673,10.783,18.838,23.020,0.803522,0.293087,7.180 ,14.312879818594105
160.828 ,23.648 ,119.402 ,218.407 ,40.224789952391504,57.25402782469753,6.68471531718704,626,611,6.221603E-3 ,0.936127E-3 ,25.940,12,25.774,2.232,138.846E-6 ,1.079,1.501,3.238,17.126,1.497 ,6.922,11.492,24.419,20.766,0.812581,0.274300,7.398 ,5.352879818594104
135.820 ,17.865 ,102.650 ,174.448 ,38.246092159771514,54.87113560075067,13.866973340759731,367,356,7.356734E-3 ,1.024511E-3 ,23.656,9,21.780,2.518,185.256E-6 ,1.319,1.473,3.958,19.677,1.666 ,8.620,13.488,26.289,25.861,0.775647,0.338608,6.291 ,3.759410430839002
165.567 ,23.055 ,111.852 ,209.441 ,35.263635147945735,52.34684384044392,14.957486209799551,126,119,6.048042E-3 ,0.962771E-3 ,41.606,3,41.163,2.986,180.581E-6 ,1.497,1.869,4.490,14.087,1.305 ,5.441,8.005,12.300,16.323,0.793224,0.317606,7.313 ,1.4083900226757369
