Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
155.677 ,26.269 ,104.905 ,187.265 ,51.228763704530934,64.92734281072643,6.845008910635784,55,53,6.450056E-3 ,1.164677E-3 ,14.894,1,11.727,2.481,160.037E-6 ,0.999,1.133,2.997,14.269,1.355 ,5.573,9.772,12.197,16.719,0.817291,0.237011,6.977 ,0.5082766439909298
143.751 ,30.325 ,82.087 ,208.486 ,39.971500820544726,62.902126730537944,9.35374032869601,186,177,6.910009E-3 ,1.445686E-3 ,45.752,8,38.367,2.076,143.430E-6 ,0.888,0.949,2.664,13.093,1.148 ,5.810,6.945,13.380,17.431,0.804037,0.284339,7.230 ,3.0943990929705216
165.026 ,73.592 ,104.881 ,588.257 ,39.349060306894856,67.23118570785985,7.46854404192074,310,295,6.163192E-3 ,1.870950E-3 ,48.285,9,18.165,2.081,128.228E-6 ,0.886,0.810,2.657,14.961,1.301 ,6.792,8.940,10.851,20.375,0.820856,0.251350,7.917 ,3.825827664399093
144.969 ,33.874 ,75.761 ,345.513 ,40.578330163076075,62.49472000248506,6.928497756906028,499,477,6.901160E-3 ,1.291132E-3 ,43.769,20,31.399,1.856,128.061E-6 ,0.749,0.865,2.247,14.525,1.270 ,7.137,8.287,13.388,21.410,0.830154,0.246254,8.226 ,6.777664399092971
147.763 ,37.267 ,104.844 ,315.093 ,41.62555234647747,63.99217480198183,6.877799879851016,638,614,6.794119E-3 ,1.380464E-3 ,37.466,18,23.743,2.089,141.904E-6 ,0.859,1.076,2.577,13.531,1.230 ,6.372,8.318,12.253,19.117,0.831633,0.241376,8.384 ,7.456848072562359
142.483 ,34.146 ,103.615 ,348.344 ,39.54613132736337,62.43482008827356,6.259917622133273,513,491,7.075241E-3 ,1.308639E-3 ,40.668,17,45.929,1.991,140.894E-6 ,0.814,1.030,2.442,13.378,1.262 ,6.003,7.713,11.418,18.009,0.827214,0.254316,8.404 ,6.62092970521542
144.115 ,55.712 ,103.953 ,568.691 ,39.323380730306894,62.17122843637139,7.675293954159194,472,451,7.028158E-3 ,1.515859E-3 ,42.006,17,28.053,1.715,120.542E-6 ,0.628,0.712,1.884,12.694,1.180 ,5.834,8.274,12.856,17.501,0.852765,0.202461,9.365 ,6.411950113378685
164.777 ,43.505 ,123.592 ,372.056 ,49.81347632400647,61.69230859724115,23.905267402284956,357,347,6.172786E-3 ,1.175022E-3 ,11.024,4,13.413,2.460,151.828E-6 ,1.082,1.292,3.247,14.528,1.348 ,5.953,9.113,14.604,17.860,0.823490,0.263252,8.236 ,2.571950113378685
135.975 ,13.867 ,102.744 ,164.671 ,43.45145267619003,59.119838085102984,18.099437494113094,155,150,7.362833E-3 ,0.799290E-3 ,26.974,4,20.612,2.052,151.105E-6 ,0.752,1.055,2.255,15.237,1.455 ,6.439,9.768,14.250,19.317,0.789751,0.341051,7.070 ,1.5531746031746032
154.420 ,43.342 ,105.320 ,335.170 ,33.84555581986961,60.36778177929705,6.799810976218364,681,651,6.593018E-3 ,1.403913E-3 ,51.189,21,54.336,2.350,154.907E-6 ,0.960,1.260,2.881,14.782,1.333 ,6.890,9.095,13.818,20.669,0.809784,0.280241,7.625 ,9.703378684807257
144.076 ,20.570 ,109.788 ,221.625 ,37.54528764056841,61.14476543975179,6.452815799802244,371,360,6.955024E-3 ,0.945150E-3 ,41.957,10,18.583,1.782,123.915E-6 ,0.705,0.774,2.115,13.112,1.175 ,5.516,7.258,11.539,16.548,0.850544,0.200321,9.253 ,4.63562358276644
146.566 ,26.302 ,78.078 ,343.649 ,36.49089416292885,59.33370182277076,6.06628421604344,1652,1595,6.861302E-3 ,1.068282E-3 ,42.988,51,46.895,1.836,126.001E-6 ,0.735,0.883,2.204,13.689,1.257 ,6.192,8.484,14.140,18.576,0.838635,0.230168,8.726 ,20.85766439909297
161.627 ,43.342 ,82.262 ,395.341 ,37.040545552105115,59.516637422029966,6.905189360939456,1405,1353,6.275584E-3 ,1.346976E-3 ,42.135,39,45.202,2.160,135.573E-6 ,0.918,1.068,2.755,14.344,1.313 ,6.219,8.802,13.468,18.656,0.834418,0.239134,8.509 ,15.86827664399093
155.784 ,40.134 ,102.564 ,333.147 ,34.68981447094777,58.62790342766534,7.044555770766257,652,629,6.454295E-3 ,1.364810E-3 ,46.009,20,34.630,2.128,137.346E-6 ,0.836,0.987,2.507,13.839,1.223 ,5.940,8.116,13.691,17.821,0.843356,0.219536,9.002 ,8.553990929705215
169.980 ,67.443 ,73.869 ,544.718 ,32.50383854151376,56.896606737612466,6.062090557103921,586,562,5.946770E-3 ,1.751602E-3 ,50.533,19,38.159,2.163,128.642E-6 ,0.932,1.072,2.795,14.578,1.280 ,7.017,9.215,13.762,21.052,0.830077,0.241998,8.292 ,7.535215419501133
151.298 ,39.736 ,97.871 ,597.077 ,33.53722922569309,59.27059100476235,6.970013070363212,865,826,6.648341E-3 ,1.146263E-3 ,49.151,32,52.616,1.971,131.023E-6 ,0.694,0.861,2.083,13.427,1.177 ,5.881,8.162,12.333,17.643,0.817145,0.267598,8.053 ,11.819297052154194
161.815 ,35.984 ,108.020 ,407.324 ,39.33922868060208,57.95351743393978,11.051720680606039,709,683,6.211917E-3 ,1.106342E-3 ,32.754,22,36.489,1.915,118.983E-6 ,0.702,0.867,2.106,12.432,1.157 ,5.168,7.798,12.928,15.504,0.844768,0.218245,8.793 ,6.934399092970522
151.706 ,18.746 ,82.378 ,196.280 ,32.91739266768944,57.30439715633649,6.555612082508119,630,610,6.590821E-3 ,0.803166E-3 ,47.608,16,48.852,1.531,100.925E-6 ,0.532,0.715,1.596,13.195,1.148 ,5.849,8.885,12.300,17.548,0.847858,0.208246,9.047 ,8.397256235827664
151.110 ,22.621 ,97.371 ,206.943 ,32.38171357878793,57.07295887318375,7.468681124881944,540,522,6.632769E-3 ,1.044861E-3 ,45.845,17,31.991,1.734,115.025E-6 ,0.637,0.849,1.910,11.840,1.142 ,5.188,7.839,11.747,15.564,0.843122,0.222225,8.843 ,7.0127664399092975
151.713 ,32.770 ,109.286 ,330.111 ,35.08560155477942,57.32160383643596,6.444066873051463,1241,1200,6.623505E-3 ,1.181435E-3 ,40.328,36,45.096,1.746,115.665E-6 ,0.665,0.799,1.996,13.865,1.251 ,6.320,8.409,13.243,18.959,0.846821,0.215747,8.947 ,14.666643990929705
142.941 ,16.858 ,69.058 ,178.512 ,30.228616660277876,55.940096313502764,6.666801303639832,602,582,7.002536E-3 ,0.839612E-3 ,52.513,18,34.663,1.798,125.914E-6 ,0.790,0.951,2.369,13.036,1.207 ,5.646,7.806,14.459,16.937,0.838163,0.230166,8.800 ,9.389909297052155
159.734 ,59.211 ,75.679 ,593.238 ,32.14796940938575,56.54911062779928,6.89479522558488,1378,1317,6.322107E-3 ,1.517671E-3 ,48.528,49,43.264,1.900,120.092E-6 ,0.776,0.894,2.327,13.447,1.199 ,5.752,8.309,12.353,17.255,0.829223,0.247995,8.277 ,17.696848072562357
154.054 ,39.951 ,73.158 ,579.258 ,33.49690324913644,55.210976461393614,6.957227986974978,2888,2775,6.515351E-3 ,1.311445E-3 ,43.503,101,48.253,1.840,119.875E-6 ,0.723,0.829,2.168,13.312,1.195 ,5.846,8.241,12.670,17.538,0.835775,0.236172,8.729 ,35.66909297052154
149.247 ,29.998 ,80.292 ,365.535 ,31.706777572861636,54.264839645350726,6.9388305959506456,1472,1417,6.736130E-3 ,1.140749E-3 ,46.673,49,50.047,1.889,127.252E-6 ,0.750,0.905,2.249,14.266,1.233 ,6.664,8.880,12.556,19.992,0.827114,0.247279,8.263 ,19.57766439909297
148.906 ,33.852 ,98.852 ,342.984 ,30.52511861589876,55.15202461892879,7.123659802605722,1928,1850,6.740297E-3 ,1.304124E-3 ,48.535,73,52.870,1.846,124.448E-6 ,0.752,0.851,2.256,13.438,1.213 ,6.069,8.447,12.439,18.208,0.829470,0.242163,8.225 ,26.656848072562358
154.855 ,36.850 ,70.977 ,589.925 ,31.56643633668234,57.02631192795002,6.969259182207709,2375,2275,6.494028E-3 ,1.260987E-3 ,50.266,95,53.554,1.750,113.653E-6 ,0.701,0.800,2.102,13.390,1.219 ,5.986,8.396,12.233,17.959,0.832644,0.233309,8.240 ,31.985827664399093
148.940 ,31.172 ,69.817 ,350.532 ,31.348608521266556,54.22054743336217,7.318042774976902,1107,1063,6.771031E-3 ,1.229936E-3 ,46.255,39,49.621,1.734,117.437E-6 ,0.664,0.822,1.992,12.980,1.207 ,5.752,7.811,11.860,17.257,0.824194,0.246915,7.918 ,14.457664399092971
145.719 ,29.749 ,71.468 ,452.829 ,30.839329909955072,53.07265675527485,7.715695649454021,2803,2683,6.886749E-3 ,1.183072E-3 ,45.743,106,47.644,1.851,127.445E-6 ,0.701,0.816,2.103,14.508,1.287 ,6.524,9.059,13.064,19.572,0.820191,0.257735,7.945 ,37.26256235827665
150.423 ,29.707 ,76.956 ,328.274 ,29.616800939675024,53.667792013393516,7.097089726380959,1665,1597,6.684134E-3 ,1.142653E-3 ,46.918,58,52.139,1.943,129.906E-6 ,0.786,0.916,2.358,13.152,1.176 ,5.954,7.925,11.937,17.862,0.826441,0.249268,8.121 ,22.581746031746032
