Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
129.144 ,26.633 ,93.491 ,197.841 ,40.9044456183049,65.90627755504295,15.606625699932284,195,189,7.745052E-3 ,1.580957E-3 ,55.526,5,15.533,2.391,185.150E-6 ,1.097,1.344,3.290,14.626,1.315 ,7.664,10.611,13.454,22.991,0.771416,0.344167,6.089 ,3.7474603174603174
152.064 ,107.523 ,74.500 ,590.934 ,48.20642743646494,64.89558909275709,17.47822476738191,239,224,6.799291E-3 ,2.849563E-3 ,43.072,9,52.371,2.795,190.070E-6 ,1.206,1.259,3.619,17.220,1.471 ,8.945,13.343,18.250,26.835,0.738039,0.413448,5.309 ,3.35562358276644
140.421 ,104.531 ,76.960 ,590.124 ,45.868400836483,65.08285707054979,16.439197141654912,645,598,7.246797E-3 ,3.089635E-3 ,46.403,33,42.558,2.444,177.145E-6 ,1.106,1.318,3.317,15.585,1.337 ,7.368,10.217,15.709,22.105,0.762975,0.370137,6.055 ,9.62501133786848
148.560 ,115.602 ,88.524 ,599.812 ,48.03066876817699,63.59669738012804,10.500711741455433,584,555,6.892963E-3 ,3.080138E-3 ,34.708,20,42.147,2.506,172.755E-6 ,1.160,1.158,3.479,15.825,1.396 ,7.334,9.470,15.919,22.002,0.763257,0.366645,5.958 ,7.065011337868481
171.355 ,129.240 ,85.735 ,592.860 ,40.105470106845175,63.71928766504588,11.712316772411913,615,565,6.034369E-3 ,3.240966E-3 ,53.254,28,51.481,3.328,200.844E-6 ,1.609,1.866,4.828,19.722,1.628 ,9.118,12.902,19.234,27.353,0.722085,0.446249,4.816 ,9.259297052154196
165.277 ,131.258 ,87.905 ,593.973 ,47.10827731096821,64.23095023845943,14.101035736793646,712,668,6.258360E-3 ,3.279411E-3 ,36.329,25,35.416,3.284,205.553E-6 ,1.575,1.973,4.726,19.430,1.602 ,10.130,11.976,20.473,30.389,0.727399,0.440737,4.937 ,7.822562358276644
174.255 ,131.670 ,87.329 ,598.359 ,40.529684492216056,64.90876368852051,12.430587047144485,544,496,5.900041E-3 ,3.176331E-3 ,56.397,28,54.310,3.377,199.231E-6 ,1.643,1.909,4.930,17.622,1.473 ,9.519,11.681,17.950,28.557,0.698377,0.491979,4.179 ,9.416031746031747
149.350 ,105.843 ,89.687 ,572.437 ,40.13196159277943,62.49143650277925,12.689202126007268,731,679,6.863108E-3 ,3.061361E-3 ,53.780,39,50.237,2.734,187.651E-6 ,1.215,1.422,3.645,18.096,1.556 ,8.892,11.361,13.569,26.675,0.736183,0.415378,5.212 ,12.733582766439909
138.611 ,82.257 ,77.996 ,573.284 ,41.437196127617256,61.9206474906274,12.538585847151326,550,516,7.364296E-3 ,2.674603E-3 ,41.753,21,38.614,2.783,204.926E-6 ,1.339,1.563,4.017,16.703,1.459 ,8.994,11.128,17.433,26.983,0.755596,0.381115,5.768 ,7.796439909297052
165.525 ,133.106 ,75.940 ,601.454 ,40.7518379490145,63.19116464317798,12.197764846419588,679,634,6.202607E-3 ,3.505613E-3 ,49.328,32,48.573,3.908,242.409E-6 ,1.998,2.073,5.995,19.113,1.594 ,9.141,11.842,19.245,27.424,0.711426,0.479431,4.694 ,9.703378684807257
202.812 ,161.269 ,76.374 ,592.417 ,36.65563321628692,60.89657604224235,12.383238314159202,799,724,5.193683E-3 ,3.397270E-3 ,55.750,34,45.621,3.936,204.437E-6 ,2.074,2.241,6.221,19.899,1.645 ,9.402,12.220,21.232,28.207,0.696798,0.508422,4.170 ,10.90501133786848
181.891 ,145.755 ,75.653 ,599.308 ,39.78435685060355,60.50161866163008,10.797703313213965,848,787,5.642549E-3 ,3.494217E-3 ,52.131,36,52.718,3.578,201.869E-6 ,1.726,1.902,5.177,20.007,1.713 ,9.207,11.375,17.746,27.622,0.704269,0.487819,4.349 ,12.237256235827664
166.477 ,109.807 ,95.559 ,606.452 ,39.536409215628346,60.83483830510059,10.03797949435497,275,255,6.192385E-3 ,3.018828E-3 ,41.566,11,49.771,2.989,185.098E-6 ,1.484,1.683,4.451,16.640,1.404 ,8.308,10.784,10.891,24.923,0.721645,0.453825,4.699 ,3.35562358276644
154.812 ,108.975 ,85.475 ,588.800 ,42.17588420602909,60.959918435408326,10.900201002176725,604,567,6.604681E-3 ,3.038448E-3 ,37.689,22,47.053,2.806,185.332E-6 ,1.291,1.328,3.872,16.662,1.375 ,7.551,9.594,17.527,22.654,0.751705,0.386425,5.624 ,7.300113378684808
170.379 ,134.484 ,76.624 ,626.421 ,36.03276870855205,59.20435068667746,9.652126113727316,697,648,6.189059E-3 ,3.309871E-3 ,52.699,24,49.238,2.865,177.336E-6 ,1.399,1.593,4.197,16.928,1.433 ,8.639,10.249,11.976,25.918,0.727587,0.435881,4.944 ,10.225827664399093
169.362 ,134.815 ,77.598 ,579.656 ,37.8582430207684,59.91988640875139,11.087303839898077,686,637,6.093511E-3 ,3.401894E-3 ,52.541,29,50.278,3.465,211.145E-6 ,1.758,1.898,5.275,18.977,1.607 ,8.893,11.441,16.484,26.678,0.708728,0.467008,4.389 ,10.460929705215419
164.061 ,128.159 ,72.066 ,574.135 ,36.82956678534621,59.5492543275925,10.097855799443142,940,887,6.223902E-3 ,3.351932E-3 ,51.546,39,61.172,3.011,187.373E-6 ,1.515,1.566,4.545,18.319,1.536 ,8.998,11.491,15.217,26.994,0.716589,0.457619,4.738 ,14.58827664399093
107.089 ,14.776 ,85.362 ,141.500 ,47.392687663067434,58.16829117925949,23.829272014729845,98,93,9.344510E-3 ,1.267436E-3 ,25.694,4,26.209,2.477,231.495E-6 ,1.091,1.270,3.273,15.888,1.396 ,7.367,10.549,14.190,22.100,0.742059,0.402612,5.274 ,1.4748072562358276
167.447 ,136.076 ,80.932 ,571.035 ,37.12413178255267,58.41254998739598,10.124392688676696,532,495,6.145570E-3 ,3.549273E-3 ,49.416,25,48.118,3.098,190.386E-6 ,1.653,1.815,4.959,19.141,1.571 ,7.759,9.101,11.715,23.278,0.690777,0.511509,3.980 ,7.744195011337869
216.632 ,164.179 ,91.334 ,591.408 ,31.799701841644733,57.3869554459103,8.966072391752487,450,418,4.792454E-3 ,3.235134E-3 ,60.088,20,40.993,4.394,210.591E-6 ,2.438,2.690,7.313,20.088,1.586 ,8.481,11.797,24.892,25.443,0.673967,0.549381,3.604 ,6.829909297052154
201.677 ,161.445 ,84.102 ,596.472 ,36.70000966317037,57.849620925820474,10.0293852989887,551,513,5.104439E-3 ,3.433953E-3 ,51.055,25,59.398,3.386,172.832E-6 ,1.770,1.957,5.309,18.931,1.578 ,8.570,10.628,12.346,25.710,0.714409,0.473622,4.817 ,7.1433786848072565
