Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
116.280 ,13.054 ,93.114 ,154.797 ,53.48314970664494,66.93806821331977,21.77208652710454,146,142,8.622501E-3 ,0.984464E-3 ,20.988,3,14.346,2.555,220.300E-6 ,1.325,1.444,3.974,13.413,1.158 ,6.916,8.277,13.316,20.749,0.762971,0.381996,5.988 ,1.6576643990929705
118.740 ,14.767 ,92.981 ,142.115 ,44.791399927750184,65.73903650808903,11.743265644994018,141,133,8.403987E-3 ,1.075524E-3 ,45.798,6,30.695,1.512,127.028E-6 ,0.659,0.745,1.978,15.709,1.315 ,7.269,9.746,13.311,21.806,0.736073,0.426436,5.458 ,2.4152154195011337
140.621 ,92.724 ,86.681 ,594.570 ,45.82360043412901,67.12179757035797,14.431175141036807,323,301,7.201288E-3 ,2.643844E-3 ,47.059,17,46.903,2.254,162.304E-6 ,1.038,1.072,3.115,15.525,1.335 ,7.899,10.038,13.941,23.696,0.760645,0.371650,6.060 ,5.131950113378685
145.717 ,91.568 ,89.985 ,598.504 ,47.400741070940505,71.85040424701818,12.206019990139875,474,445,6.948505E-3 ,2.545256E-3 ,51.032,23,50.727,2.477,172.117E-6 ,1.263,1.288,3.788,17.315,1.451 ,8.020,11.101,18.787,24.061,0.735155,0.409755,5.008 ,7.300113378684808
155.362 ,69.439 ,100.747 ,399.365 ,50.699588206952235,65.06676021338373,24.017633298589956,191,179,6.484286E-3 ,2.124731E-3 ,38.298,9,45.261,2.192,142.133E-6 ,0.983,1.221,2.948,17.257,1.405 ,8.775,11.829,18.955,26.326,0.692709,0.520083,4.106 ,2.389092970521542
123.467 ,5.669 ,116.741 ,136.707 ,52.83292646728594,63.8958665288093,34.28566899390554,14,13,8.157321E-3 ,0.357293E-3 ,21.053,0,0,2.821,230.111E-6 ,1.405,1.380,4.215,17.614,1.465 ,8.252,11.416,10.852,24.757,0.572906,0.775797,1.318 ,0.2209297052154195
138.931 ,93.573 ,99.287 ,505.659 ,37.187920871170874,63.460116241956,-4.875076740073266,190,175,7.435494E-3 ,2.974586E-3 ,55.937,10,22.752,2.408,179.036E-6 ,1.199,1.440,3.596,16.720,1.394 ,7.319,10.779,19.317,21.957,0.697368,0.513899,4.295 ,3.825827664399093
266.926 ,23.640 ,223.549 ,305.044 ,52.55569603842073,64.4129477100318,20.00626767620973,192,190,3.744055E-3 ,0.349907E-3 ,11.905,1,7.963,1.256,47.036E-6 ,0.576,0.676,1.727,8.106,0.860 ,2.731,4.767,8.512,8.192,0.935575,0.077040,14.221 ,0.8739909297052154
214.253 ,25.593 ,135.771 ,278.385 ,45.45904473809787,64.23069999714873,16.230973485084718,898,874,4.680669E-3 ,0.591436E-3 ,34.084,21,28.423,2.019,94.514E-6 ,0.949,1.039,2.847,11.902,1.121 ,4.745,7.302,11.399,14.234,0.866284,0.184138,9.976 ,6.699297052154195
222.803 ,46.512 ,161.259 ,525.194 ,47.11121808363431,63.23663958092445,15.102712960139774,1454,1411,4.508478E-3 ,0.831886E-3 ,21.714,25,24.714,1.878,84.683E-6 ,0.844,1.031,2.531,11.243,1.076 ,4.401,6.949,12.493,13.202,0.873116,0.180425,10.526 ,8.789092970521542
