Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
171.323 ,36.541 ,115.692 ,227.012 ,41.57087437309241,74.64214860872471,5.58377130256288,157,151,5.900107E-3 ,1.335167E-3 ,72.030,4,37.640,2.708,159.798E-6 ,1.529,1.558,4.587,19.212,1.633 ,9.861,12.321,18.415,29.583,0.722295,0.452191,4.724 ,4.070657596371882
137.176 ,71.695 ,86.091 ,568.208 ,56.93203724028557,81.56633554572076,11.95615427450224,579,552,7.352402E-3 ,2.323582E-3 ,36.605,23,44.180,2.474,181.889E-6 ,1.284,1.196,3.853,19.421,1.661 ,8.607,12.321,17.405,25.822,0.739066,0.405206,5.025 ,7.571065759637189
156.803 ,114.427 ,81.300 ,590.987 ,53.53879289984864,76.9866706626263,13.305843569068035,1215,1141,6.556479E-3 ,3.131938E-3 ,34.891,40,42.874,2.947,193.224E-6 ,1.526,1.814,4.577,19.088,1.680 ,8.348,11.919,18.185,25.043,0.714225,0.467146,4.529 ,13.735963718820862
154.666 ,110.797 ,92.867 ,553.044 ,53.62745315236079,72.31789996663467,19.29649405752577,791,749,6.653642E-3 ,3.188689E-3 ,29.928,24,31.501,3.024,201.225E-6 ,1.598,1.749,4.794,20.452,1.708 ,9.266,12.649,24.029,27.797,0.716576,0.456045,4.597 ,8.354739229024943
137.481 ,83.598 ,99.064 ,579.712 ,54.78042395167852,75.94652375911454,4.906600467794738,310,291,7.352556E-3 ,2.696593E-3 ,34.300,15,32.846,2.640,194.116E-6 ,1.514,1.774,4.543,17.678,1.567 ,8.610,11.477,20.296,25.830,0.728228,0.426906,4.942 ,4.175147392290249
142.561 ,92.485 ,98.318 ,527.377 ,53.792318257409406,75.24011872062181,1.227033224577605,477,451,7.050355E-3 ,2.894576E-3 ,36.597,23,34.639,2.904,204.730E-6 ,1.634,1.787,4.903,17.732,1.587 ,7.755,11.494,19.446,23.265,0.725297,0.438352,4.822 ,6.264943310657596
149.855 ,111.742 ,77.219 ,596.720 ,51.13001881721614,74.54639431738508,2.6614550450431684,1251,1166,6.767436E-3 ,3.107177E-3 ,41.024,54,46.463,3.012,203.831E-6 ,1.633,2.013,4.898,20.308,1.700 ,9.565,13.924,20.108,28.696,0.718103,0.448851,4.610 ,17.027392290249434
142.761 ,80.943 ,93.267 ,583.368 ,52.146489043556755,73.99727658960771,12.823405086367545,626,584,7.095476E-3 ,2.530684E-3 ,41.556,33,47.970,2.616,185.597E-6 ,1.361,1.519,4.082,18.291,1.556 ,8.888,13.108,21.823,26.663,0.721620,0.436010,4.614 ,9.03392290249433
151.138 ,106.722 ,77.262 ,571.500 ,51.36232438666481,73.37760574073036,12.881279032929804,1215,1128,6.767091E-3 ,3.054190E-3 ,40.438,56,47.084,2.952,199.781E-6 ,1.629,1.983,4.887,20.413,1.701 ,9.223,13.699,20.489,27.670,0.694857,0.498159,3.992 ,16.452698412698414
134.548 ,80.420 ,75.159 ,594.816 ,50.76707825130151,71.57090662249333,17.960713554316797,1381,1301,7.546477E-3 ,2.601705E-3 ,39.915,67,48.481,2.869,216.519E-6 ,1.555,1.689,4.664,19.012,1.633 ,9.079,12.337,20.279,27.236,0.708375,0.465317,4.296 ,21.10249433106576
112.858 ,10.702 ,72.825 ,139.506 ,50.76169145171416,68.03834805775773,4.78784697168558,142,133,8.879761E-3 ,0.952374E-3 ,36.017,7,35.047,3.160,280.594E-6 ,1.825,2.171,5.476,20.589,1.813 ,10.121,14.162,21.981,30.362,0.690969,0.509630,3.920 ,2.3988208616780047
131.204 ,77.706 ,88.565 ,503.062 ,44.86568538591478,67.69768550546286,-3.355513712477303,188,173,7.685476E-3 ,2.842653E-3 ,50.515,12,39.119,2.217,170.405E-6 ,1.233,1.596,3.698,20.754,1.646 ,9.975,16.013,16.762,29.925,0.700479,0.481093,4.197 ,3.913922902494331
212.880 ,144.606 ,131.868 ,538.065 ,51.662896862591985,72.72823500630658,4.647367023168545,28,25,4.828220E-3 ,2.368166E-3 ,51.163,1,7.599,2.227,107.521E-6 ,1.343,1.719,4.029,26.262,1.484 ,20.936,13.903,--undefined--,62.807,0.613155,0.660136,2.067 ,0.4657596371882086
176.361 ,105.248 ,83.090 ,552.297 ,62.41370130534761,74.65844914335752,21.766683470930133,215,207,5.823291E-3 ,2.611810E-3 ,14.724,4,12.271,3.718,216.526E-6 ,2.138,2.715,6.413,20.575,1.727 ,9.788,15.147,30.717,29.364,0.708077,0.460380,4.182 ,1.6673922902494331
116.103 ,13.431 ,105.192 ,153.931 ,52.6834853692816,75.51572873857816,0.8626927543012202,34,32,8.329562E-3 ,0.979168E-3 ,66.258,1,43.534,5.346,445.304E-6 ,3.374,3.826,10.123,18.298,1.406 ,8.767,9.615,7.975,26.300,0.775278,0.316957,5.781 ,1.6673922902494331
197.446 ,148.687 ,84.002 ,599.911 ,60.29829455567488,75.17930083795795,14.670864831083852,777,732,5.148383E-3 ,3.081676E-3 ,22.128,26,29.850,4.123,212.293E-6 ,2.212,2.509,6.636,19.143,1.681 ,8.965,11.787,15.690,26.895,0.718971,0.452901,4.762 ,5.951473922902494
203.158 ,159.208 ,87.184 ,582.486 ,56.003580951757236,73.93335913669569,13.139719940692395,474,445,4.947646E-3 ,3.309444E-3 ,34.273,17,37.736,4.554,225.315E-6 ,2.488,3.059,7.464,19.564,1.735 ,10.177,13.986,17.040,30.531,0.686078,0.506352,3.709 ,4.6453514739229025
183.820 ,117.460 ,88.394 ,595.108 ,59.64145462032742,75.27056886247229,1.4560813837082498,755,708,5.624042E-3 ,2.672653E-3 ,27.217,19,26.696,3.879,218.171E-6 ,2.127,2.477,6.380,19.645,1.696 ,9.333,12.542,18.921,27.999,0.728217,0.430403,4.812 ,6.5784126984126985
