Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
145.866 ,104.969 ,81.038 ,572.865 ,36.674384397568865,68.75352678680011,15.361872955636542,85,79,6.729182E-3 ,3.205540E-3 ,72.689,5,67.754,2.475,166.580E-6 ,1.097,1.448,3.291,16.997,1.441 ,8.318,12.109,12.552,24.954,0.647801,0.628129,2.913 ,2.4152154195011337
136.266 ,14.914 ,111.933 ,184.601 ,40.63291037467654,60.74025783219302,23.039808926905142,179,171,7.326373E-3 ,0.785339E-3 ,48.966,7,46.175,1.324,96.966E-6 ,0.626,0.820,1.878,18.555,1.555 ,9.528,12.597,15.899,28.584,0.740092,0.391482,5.006 ,2.9376643990929705
142.890 ,106.212 ,86.975 ,549.102 ,36.76973278651278,56.22976547697323,21.188527587315388,184,165,7.277088E-3 ,2.996734E-3 ,50.825,9,38.272,1.917,139.514E-6 ,0.953,0.946,2.859,17.249,1.613 ,8.221,10.242,14.319,24.663,0.716477,0.449216,4.459 ,3.06827664399093
126.488 ,34.418 ,98.506 ,363.050 ,39.66261732702073,58.27364306434564,22.575919266879257,311,292,7.950744E-3 ,1.403548E-3 ,49.341,17,55.421,1.380,109.729E-6 ,0.670,0.698,2.009,15.735,1.441 ,8.208,9.386,15.026,24.623,0.708752,0.464867,4.276 ,5.340929705215419
141.857 ,76.657 ,92.852 ,536.519 ,40.51936843855727,60.49221988471583,21.193834062734787,251,233,7.200030E-3 ,2.307947E-3 ,44.540,13,50.362,1.813,130.503E-6 ,0.837,0.839,2.510,14.720,1.291 ,7.067,9.757,14.100,21.202,0.736466,0.407755,5.186 ,3.512358276643991
140.826 ,90.519 ,86.886 ,593.232 ,37.97846530840266,61.25971357845821,20.53752996268446,655,597,7.288049E-3 ,2.510509E-3 ,53.819,41,54.616,2.029,147.838E-6 ,1.031,1.115,3.092,16.965,1.473 ,7.876,10.470,13.661,23.629,0.738392,0.400297,4.976 ,11.427460317460318
148.611 ,99.189 ,97.327 ,572.990 ,36.845238002752794,57.25422483761679,19.568518170652382,423,399,6.815873E-3 ,2.868683E-3 ,49.249,16,34.574,2.754,187.739E-6 ,1.368,1.630,4.103,18.458,1.698 ,9.357,11.846,20.371,28.070,0.725395,0.450185,4.964 ,6.020113378684807
204.971 ,121.634 ,128.374 ,474.451 ,45.48061250204649,57.48252967697685,21.227817709467402,116,107,5.173361E-3 ,2.290221E-3 ,35.514,2,11.272,2.596,134.299E-6 ,1.433,1.556,4.299,17.526,1.532 ,8.331,8.655,8.115,24.993,0.688960,0.504398,3.800 ,1.109092970521542
135.692 ,12.502 ,122.838 ,162.691 ,40.963601836372625,51.958852570070334,24.57688341747934,30,28,7.344623E-3 ,0.647786E-3 ,43.590,1,35.845,1.534,112.659E-6 ,0.520,0.710,1.559,12.239,1.372 ,6.123,8.584,13.673,18.369,0.681011,0.542824,3.688 ,0.4299092970521542
151.220 ,111.284 ,80.926 ,541.029 ,36.092755577013364,52.50657993008838,19.37162192235621,239,215,6.633942E-3 ,3.025545E-3 ,50.000,13,57.210,1.684,111.728E-6 ,0.780,0.914,2.340,15.637,1.452 ,6.613,9.213,16.390,19.840,0.749968,0.380239,5.286 ,3.8519501133786846
112.480 ,6.612 ,107.236 ,129.850 ,44.675728831191094,49.144291878521486,36.674304767455745,28,27,8.874884E-3 ,0.523044E-3 ,7.692,0,0,1.377,122.202E-6 ,0.452,0.398,1.355,13.575,1.334 ,6.671,7.438,13.129,20.012,0.781268,0.296235,5.891 ,0.299297052154195
152.795 ,111.360 ,90.198 ,561.842 ,33.95317214427938,53.07940658451688,18.196857080995507,248,227,6.682536E-3 ,3.042789E-3 ,55.250,12,59.979,2.115,141.349E-6 ,1.019,1.320,3.057,18.836,1.692 ,9.990,11.079,23.911,29.971,0.688987,0.521891,3.760 ,4.034807256235828
126.799 ,1.144 ,125.551 ,127.798 ,34.307586089961895,44.71238067783258,22.606082500459447,3,2,7.638086E-3 ,0.302528E-3 ,58.333,0,0,5.601,427.840E-6 ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.543413,0.949897,0.772 ,0.2731746031746032
142.006 ,84.703 ,95.817 ,574.327 ,33.205498951302104,56.75405131650745,16.366576103125,748,696,7.095604E-3 ,2.538227E-3 ,55.968,43,63.551,1.811,128.493E-6 ,0.890,0.998,2.669,17.370,1.468 ,8.208,11.380,19.159,24.623,0.709216,0.471056,4.439 ,13.778480725623583
135.611 ,54.489 ,99.123 ,563.086 ,32.70543269116896,54.95616046391129,16.37832740413367,556,517,7.346324E-3 ,1.909619E-3 ,58.459,36,67.027,1.579,116.020E-6 ,0.721,0.833,2.162,15.091,1.339 ,7.613,10.596,14.685,22.839,0.733401,0.417382,5.105 ,11.976031746031746
142.390 ,118.650 ,94.810 ,599.038 ,26.759190396748348,47.34489765353957,15.159618290982912,224,209,7.116058E-3 ,3.386144E-3 ,66.102,10,38.672,1.995,141.932E-6 ,1.046,1.227,3.139,17.979,1.578 ,9.083,11.938,13.002,27.249,0.672420,0.545148,3.397 ,5.340929705215419
144.527 ,82.115 ,104.257 ,581.620 ,33.65836815244325,60.58745282866539,16.804674121920097,377,343,7.022738E-3 ,2.201773E-3 ,61.216,23,54.062,1.113,78.195E-6 ,0.429,0.525,1.287,15.714,1.353 ,7.563,9.827,12.865,22.690,0.780561,0.311923,6.159 ,7.430725623582767
