Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
106.566 ,17.446 ,82.083 ,141.032 ,44.25740166055931,55.617861862372166,20.307076682502824,88,85,9.392030E-3 ,1.496188E-3 ,32.824,2,14.353,2.875,270.002E-6 ,1.011,1.547,3.033,10.270,0.949 ,4.704,6.027,10.680,14.111,0.851183,0.217562,9.220 ,1.3441950113378685
153.878 ,60.403 ,75.753 ,247.220 ,31.327036872628284,52.87277510297269,8.725071870377763,211,204,6.521343E-3 ,2.800012E-3 ,55.723,6,57.316,2.045,133.342E-6 ,0.896,1.100,2.689,11.846,1.327 ,5.911,7.937,11.415,17.733,0.796074,0.313164,7.593 ,3.35562358276644
173.629 ,40.873 ,114.088 ,449.303 ,35.17135340140249,53.79932677110276,10.792498693770362,387,376,5.793311E-3 ,1.190364E-3 ,34.759,10,37.140,1.835,106.315E-6 ,0.952,1.032,2.856,15.369,1.479 ,7.245,10.680,21.400,21.735,0.755617,0.385617,5.823 ,3.773582766439909
176.909 ,27.809 ,84.083 ,252.988 ,40.46417543399973,57.074170349720966,12.040086122313538,863,839,5.648672E-3 ,0.891700E-3 ,31.003,19,25.653,1.712,96.724E-6 ,0.901,1.048,2.704,15.844,1.497 ,7.208,10.596,16.612,21.624,0.768586,0.363064,6.279 ,7.613582766439909
173.130 ,51.728 ,85.667 ,569.813 ,40.179989822064485,58.35309853005239,12.335400783270362,583,557,5.795795E-3 ,1.341606E-3 ,44.205,23,39.686,2.523,146.247E-6 ,1.313,1.415,3.940,17.017,1.540 ,7.893,12.444,24.689,23.678,0.717990,0.455813,4.557 ,7.456848072562359
173.502 ,23.207 ,105.694 ,214.819 ,49.213158439510046,57.391175494982065,28.229341944506572,216,209,5.756326E-3 ,0.868005E-3 ,27.136,6,29.855,2.172,125.014E-6 ,1.028,1.331,3.083,16.084,1.484 ,7.452,11.416,17.579,22.357,0.764602,0.366962,6.173 ,2.0233786848072564
149.150 ,18.952 ,107.179 ,188.061 ,41.106823073965124,62.79848575651776,13.819017720734415,456,435,6.728163E-3 ,0.864258E-3 ,45.833,19,40.442,1.511,101.647E-6 ,0.732,0.871,2.196,15.626,1.418 ,6.940,9.674,13.861,20.820,0.777192,0.344627,6.367 ,6.751541950113379
171.124 ,52.136 ,104.939 ,554.436 ,42.779067633996235,59.42098485062787,12.709940199562315,468,453,5.824667E-3 ,1.342521E-3 ,36.087,13,16.714,1.635,95.249E-6 ,0.792,0.954,2.377,15.693,1.416 ,6.821,9.961,16.419,20.464,0.773858,0.350392,6.206 ,4.63562358276644
169.877 ,22.539 ,123.553 ,224.916 ,43.484251546450146,59.13187617184064,12.721261047750911,728,711,5.908537E-3 ,0.789986E-3 ,31.959,15,24.699,1.668,98.545E-6 ,0.948,1.129,2.845,17.692,1.589 ,8.449,11.754,20.427,25.347,0.742494,0.418573,5.363 ,6.829909297052154
163.399 ,18.087 ,134.704 ,197.507 ,45.028261460464186,56.32729729101591,0.33041482390364635,128,123,6.135173E-3 ,0.688690E-3 ,32.540,2,14.430,2.152,132.046E-6 ,1.120,1.416,3.360,18.061,1.686 ,9.263,12.493,17.662,27.789,0.727764,0.441430,5.011 ,1.2919501133786848
143.507 ,26.754 ,124.327 ,292.422 ,42.601064373962025,66.72660358836825,16.856526467873472,168,162,6.956185E-3 ,1.047664E-3 ,66.011,4,7.659,1.907,132.636E-6 ,0.901,1.046,2.702,11.726,1.074 ,5.886,7.063,10.938,17.658,0.776487,0.349997,6.569 ,3.5907256235827663
125.212 ,62.798 ,75.001 ,578.839 ,50.75327103473533,69.53589652696994,14.454523898971406,731,694,8.066684E-3 ,2.253651E-3 ,42.185,32,40.594,2.129,171.742E-6 ,0.888,1.081,2.664,13.548,1.187 ,6.251,7.808,10.448,18.752,0.819111,0.265620,7.988 ,11.296848072562359
114.135 ,37.534 ,75.092 ,454.367 ,50.108749856137365,63.406115098732954,18.02212778779634,456,437,8.785511E-3 ,2.075908E-3 ,34.127,16,24.493,2.387,209.713E-6 ,1.056,1.393,3.168,14.519,1.283 ,6.640,8.545,14.815,19.919,0.804748,0.296009,7.602 ,6.33358276643991
