Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
130.630 ,47.580 ,93.330 ,256.887 ,40.55976826224748,79.35857755146785,11.726212603819361,57,54,7.681142E-3 ,2.558230E-3 ,88.187,2,4.525,3.550,272.697E-6 ,1.083,1.329,3.250,13.737,1.286 ,6.523,8.045,8.843,19.569,0.713359,0.460821,4.334 ,4.949092970521542
153.952 ,28.289 ,82.360 ,176.281 ,43.21724494210506,80.71838317953394,13.49178894636415,55,51,6.540364E-3 ,1.459968E-3 ,68.696,2,60.323,2.114,138.254E-6 ,1.118,1.156,3.355,13.131,1.330 ,5.604,9.029,15.241,16.813,0.797566,0.306669,7.422 ,1.1874603174603175
133.873 ,59.223 ,81.757 ,448.332 ,49.96040074641671,76.11812886385762,20.209983835482607,264,244,7.528766E-3 ,2.536936E-3 ,53.360,17,46.988,2.639,198.668E-6 ,0.921,1.251,2.763,16.386,1.369 ,6.764,10.735,15.656,20.293,0.771595,0.348420,6.238 ,4.949092970521542
143.869 ,104.823 ,82.653 ,595.865 ,53.38042809795071,77.30129553301241,8.996796934223815,451,430,7.076934E-3 ,3.390814E-3 ,42.687,16,35.673,2.885,204.150E-6 ,1.241,1.469,3.723,16.701,1.494 ,7.394,10.130,17.692,22.183,0.791600,0.314006,6.981 ,5.91562358276644
184.420 ,151.724 ,89.648 ,571.355 ,43.91891126028721,76.4201161392967,9.838500780626559,175,159,5.865597E-3 ,3.650101E-3 ,67.593,6,26.025,3.663,214.882E-6 ,1.725,1.955,5.175,14.905,1.318 ,6.069,6.304,11.582,18.207,0.805778,0.288480,7.529 ,3.2772562358276645
144.418 ,88.817 ,79.009 ,499.202 ,41.78069777516431,77.7394593896845,10.85551179663885,107,102,6.971898E-3 ,2.955171E-3 ,62.791,3,20.231,3.279,228.642E-6 ,1.321,1.599,3.964,14.513,1.402 ,6.260,8.773,12.220,18.779,0.757805,0.371583,5.804 ,2.180113378684807
165.282 ,133.925 ,75.021 ,607.213 ,50.761934656180806,76.84136845547566,11.343957692505754,712,658,6.401397E-3 ,3.585311E-3 ,51.373,31,46.594,2.981,190.814E-6 ,1.334,1.500,4.003,18.479,1.572 ,7.969,10.713,17.045,23.906,0.778671,0.332805,6.461 ,9.860113378684808
133.248 ,85.483 ,76.182 ,557.594 ,48.96128451100862,76.38053039130828,8.91316973791937,481,453,7.799318E-3 ,2.786786E-3 ,46.351,20,34.689,3.014,235.065E-6 ,1.221,1.596,3.662,16.502,1.379 ,7.800,10.538,15.554,23.401,0.792373,0.309599,6.844 ,7.430725623582767
140.201 ,107.155 ,78.654 ,593.671 ,49.063070004042686,78.1014861876854,15.292130814621403,786,730,7.319220E-3 ,3.407169E-3 ,52.144,39,46.548,3.005,219.965E-6 ,1.329,1.529,3.988,16.378,1.419 ,7.600,9.506,15.979,22.801,0.799589,0.300863,7.495 ,13.099297052154196
151.443 ,120.475 ,75.780 ,569.903 ,48.901587031762915,76.75285674439472,15.102770307056412,463,430,6.880782E-3 ,3.645264E-3 ,46.131,25,35.422,2.927,201.414E-6 ,1.308,1.537,3.925,17.750,1.407 ,7.373,9.828,17.626,22.120,0.793458,0.308850,7.294 ,6.62092970521542
149.774 ,113.477 ,78.431 ,598.595 ,48.31915678466226,75.97940440403418,9.461130308686144,613,569,6.978158E-3 ,3.263357E-3 ,46.286,29,40.837,3.501,244.327E-6 ,1.503,1.739,4.510,16.506,1.446 ,6.854,9.634,17.031,20.562,0.776733,0.339274,6.448 ,8.789092970521542
138.278 ,90.676 ,87.773 ,446.757 ,44.78675781570963,73.71261706725451,10.720285011356845,183,170,7.531588E-3 ,3.204920E-3 ,62.255,10,47.771,3.119,234.919E-6 ,1.272,1.632,3.816,20.590,1.670 ,9.276,13.411,31.222,27.829,0.725667,0.435853,4.859 ,4.1131746031746035
152.840 ,119.899 ,77.330 ,587.794 ,43.66262630724461,75.00207695535828,10.235306216086455,386,353,6.734156E-3 ,3.627057E-3 ,62.158,21,65.397,3.703,249.346E-6 ,1.822,2.349,5.467,18.652,1.600 ,8.192,12.160,16.479,24.577,0.750339,0.409022,5.998 ,7.352358276643991
134.940 ,92.472 ,74.941 ,539.511 ,47.488059711811104,76.39983365612746,13.565739859858182,505,474,7.529517E-3 ,3.406706E-3 ,46.684,24,43.775,2.580,194.259E-6 ,0.972,1.193,2.915,16.939,1.401 ,6.953,11.178,20.881,20.859,0.813784,0.268584,7.756 ,7.874807256235828
135.090 ,106.933 ,75.340 ,568.390 ,47.14600667181404,72.13741671015376,14.17874556794829,440,407,7.720797E-3 ,3.777982E-3 ,42.047,21,32.038,3.290,254.027E-6 ,1.431,1.873,4.293,17.329,1.585 ,6.773,9.799,21.183,20.318,0.781440,0.332296,6.814 ,6.385827664399093
126.946 ,84.760 ,75.206 ,587.747 ,42.130399346645476,72.5430374153384,0.8406689925967914,257,231,8.158580E-3 ,2.893038E-3 ,59.750,18,41.328,2.986,243.593E-6 ,1.101,1.340,3.302,17.943,1.499 ,9.095,14.499,23.263,27.286,0.756109,0.381477,5.664 ,5.6282766439909295
