Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
161.082 ,45.029 ,105.869 ,346.562 ,51.587138097338666,76.215714670651,9.709497593823102,723,692,6.220042E-3 ,1.584652E-3 ,34.777,26,37.242,2.434,151.383E-6 ,1.207,1.301,3.620,15.747,1.383 ,6.567,9.928,13.545,19.701,0.813702,0.277453,7.744 ,7.88453514739229
160.672 ,82.384 ,75.619 ,569.288 ,51.02018013364956,79.5634471036356,8.10607912756713,830,787,6.373159E-3 ,2.214780E-3 ,41.650,23,45.351,2.921,186.132E-6 ,1.552,1.846,4.655,17.522,1.492 ,7.943,10.253,13.452,23.828,0.789640,0.322858,6.986 ,9.974331065759637
253.255 ,178.422 ,84.565 ,622.013 ,50.68892581550019,74.43633982795254,8.906404244456311,893,825,4.128626E-3 ,3.229910E-3 ,32.859,26,31.390,5.003,206.575E-6 ,2.644,3.064,7.931,19.706,1.658 ,9.534,13.730,23.274,28.603,0.723033,0.436461,4.718 ,6.369433106575964
259.095 ,182.820 ,89.481 ,597.709 ,50.64298898117825,73.16917345807215,-9.617229492732237,946,882,4.000534E-3 ,2.963923E-3 ,32.764,23,32.601,4.350,174.010E-6 ,2.144,2.621,6.433,20.653,1.688 ,9.823,13.044,19.854,29.468,0.764563,0.352576,5.860 ,6.473922902494331
192.797 ,143.304 ,80.438 ,598.782 ,48.10785343253459,80.29911179781215,17.267673240802644,326,302,5.291912E-3 ,3.329018E-3 ,50.000,14,32.791,4.361,230.773E-6 ,2.438,2.994,7.315,20.280,1.824 ,8.886,12.749,16.508,26.659,0.747382,0.385130,5.259 ,4.018412698412698
253.049 ,174.564 ,76.147 ,599.002 ,53.19606173311329,73.57979489955139,10.720510289680762,899,826,4.065345E-3 ,3.044190E-3 ,27.732,30,38.114,4.742,192.763E-6 ,2.339,2.727,7.016,22.090,1.838 ,10.149,14.101,17.533,30.448,0.724775,0.436487,4.793 ,6.160453514739229
209.000 ,155.851 ,84.887 ,598.194 ,47.56456204496126,75.65160548561653,8.263972872193628,683,639,4.890223E-3 ,3.352856E-3 ,53.474,28,38.931,3.706,181.224E-6 ,1.875,2.109,5.625,18.996,1.649 ,8.779,11.462,16.177,26.337,0.767101,0.356185,5.965 ,8.093514739229025
213.418 ,168.332 ,76.096 ,617.150 ,48.02730379906083,74.20255914365069,3.3552979413518473,1219,1117,4.806125E-3 ,3.424002E-3 ,42.222,48,46.590,3.913,188.064E-6 ,2.126,2.336,6.378,19.759,1.635 ,9.585,13.565,20.907,28.756,0.735709,0.415967,5.138 ,12.638820861678004
192.062 ,148.369 ,81.249 ,596.140 ,48.54956554440596,67.0601254146377,8.244398654889666,779,728,5.375764E-3 ,3.578066E-3 ,27.197,25,41.781,4.138,222.446E-6 ,2.148,2.464,6.444,20.142,1.721 ,9.695,12.491,15.109,29.084,0.713933,0.456788,4.533 ,7.205351473922902
211.779 ,138.433 ,102.010 ,549.368 ,46.27255246312804,69.99204934960832,1.5873083021843146,231,212,4.948765E-3 ,2.920115E-3 ,36.726,8,37.137,3.989,197.394E-6 ,2.322,2.732,6.965,23.642,1.894 ,10.464,15.471,42.621,31.393,0.718104,0.432264,4.418 ,2.294331065759637
244.425 ,169.033 ,80.407 ,629.528 ,45.46650275137449,76.1973983764122,2.518861994643748,420,395,4.181377E-3 ,2.947054E-3 ,54.382,12,58.744,5.025,210.119E-6 ,2.822,3.765,8.467,19.686,1.691 ,9.013,13.241,23.517,27.040,0.723994,0.452016,4.981 ,4.488616780045351
185.310 ,141.276 ,72.279 ,599.750 ,50.05571570313541,79.74901272310022,8.693210315212534,1607,1503,5.548814E-3 ,3.312298E-3 ,48.302,63,52.098,3.518,195.180E-6 ,1.900,2.316,5.700,20.631,1.646 ,9.483,11.179,13.014,28.448,0.758702,0.363366,5.768 ,20.057596371882084
183.628 ,124.311 ,81.808 ,564.027 ,51.48696865355671,79.19122751188746,15.552902967401941,1050,987,5.574289E-3 ,2.931095E-3 ,44.531,46,43.974,3.915,218.219E-6 ,2.125,2.488,6.374,19.060,1.611 ,9.033,11.680,16.971,27.100,0.756022,0.373338,5.796 ,11.646167800453515
171.085 ,129.729 ,78.179 ,577.318 ,49.12662421082969,77.02784369716657,-8.722016468696053,640,599,5.994303E-3 ,3.318819E-3 ,42.452,27,32.341,3.271,196.058E-6 ,1.749,2.187,5.247,19.434,1.654 ,9.316,12.882,19.011,27.949,0.748114,0.396744,5.594 ,7.780045351473923
181.856 ,127.973 ,76.655 ,572.079 ,49.45805369853474,75.97010558570817,8.01734819509505,1642,1534,5.660059E-3 ,3.085967E-3 ,43.026,62,44.133,3.451,195.341E-6 ,1.796,2.114,5.387,18.252,1.594 ,8.291,11.337,14.722,24.873,0.741245,0.402661,5.278 ,19.53514739229025
173.563 ,109.391 ,78.312 ,587.155 ,49.56848969111573,70.37576345691036,5.573211400975866,905,855,5.844172E-3 ,2.815414E-3 ,34.909,31,46.412,3.863,225.780E-6 ,2.129,2.413,6.388,18.601,1.647 ,9.026,12.220,16.820,27.079,0.727046,0.434893,5.039 ,9.974331065759637
194.223 ,135.335 ,84.516 ,566.819 ,40.8104424530354,74.8377355178214,4.059367315369388,471,449,5.240649E-3 ,2.840047E-3 ,58.287,17,52.018,3.495,183.177E-6 ,1.752,2.124,5.256,21.530,1.762 ,10.043,15.284,16.284,30.128,0.743585,0.392033,5.219 ,7.153106575963719
213.517 ,143.201 ,82.380 ,619.980 ,47.318569238330106,76.72972121770222,10.353511341026199,1288,1204,4.876905E-3 ,2.912946E-3 ,46.160,42,45.530,4.246,207.091E-6 ,2.290,2.823,6.870,18.903,1.648 ,9.539,10.850,13.064,28.616,0.742834,0.400979,5.282 ,13.579229024943311
204.339 ,119.357 ,89.833 ,582.195 ,47.15182675344667,71.93274390281404,0.5578858798894829,368,346,5.016984E-3 ,2.572527E-3 ,47.907,12,27.404,5.370,269.413E-6 ,2.944,3.364,8.833,19.804,1.737 ,9.387,12.579,19.224,28.160,0.680311,0.541107,3.742 ,4.3318820861678
191.468 ,130.609 ,76.587 ,617.509 ,47.24028864811103,72.9527503640953,7.6994061001777006,909,841,5.455784E-3 ,2.792878E-3 ,44.915,35,50.653,3.754,204.807E-6 ,2.042,2.288,6.125,19.808,1.692 ,9.208,13.700,19.534,27.623,0.702882,0.479775,4.242 ,10.653514739229024
125.826 ,29.871 ,90.210 ,197.817 ,33.95065430004441,61.585234259947654,12.366607654109545,88,83,7.891582E-3 ,1.686183E-3 ,65.201,4,4.303,2.296,181.196E-6 ,1.331,1.482,3.993,20.999,1.688 ,9.007,16.415,27.818,27.020,0.768116,0.352178,6.265 ,2.7645351473922903
175.563 ,117.478 ,85.534 ,598.479 ,44.87223420144684,70.63010902073455,11.28270905927825,1283,1199,5.822626E-3 ,2.874405E-3 ,50.000,59,59.436,3.699,215.356E-6 ,2.031,2.373,6.092,18.899,1.652 ,8.389,12.428,19.231,25.166,0.711365,0.461406,4.398 ,17.811065759637188
302.686 ,170.267 ,117.766 ,551.729 ,41.64727151485883,65.98529905289836,14.893206043924668,244,217,3.497088E-3 ,2.343282E-3 ,59.364,6,34.678,4.687,163.909E-6 ,2.465,3.230,7.396,18.447,1.736 ,8.774,12.115,22.378,26.321,0.677986,0.527556,3.524 ,2.8690249433106576
158.864 ,84.927 ,77.038 ,519.510 ,41.67161774406959,75.40851390785356,11.114501911280394,215,201,6.370160E-3 ,2.229943E-3 ,60.386,11,30.634,2.921,186.090E-6 ,1.526,1.556,4.578,18.799,1.536 ,9.152,12.311,16.181,27.456,0.727639,0.423190,4.868 ,4.175147392290249
