Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
189.462 ,144.167 ,90.357 ,614.663 ,42.3515422597073,70.19862785466009,1.4240438406472724,357,332,5.375212E-3 ,3.111966E-3 ,52.772,19,55.153,3.043,163.541E-6 ,1.552,1.908,4.657,18.691,1.486 ,8.018,10.258,16.375,24.055,0.733591,0.421095,5.145 ,4.540861678004535
211.602 ,100.000 ,79.276 ,588.994 ,40.77458353904075,78.72957519276726,3.1388902742649942,1567,1469,4.817701E-3 ,2.127458E-3 ,58.151,69,59.567,3.014,145.186E-6 ,1.627,1.705,4.882,18.279,1.534 ,7.839,9.297,13.820,23.517,0.794311,0.305784,7.166 ,20.580045351473924
226.342 ,76.785 ,81.998 ,592.958 ,40.927360035016086,63.0095202102892,-2.772677586747548,1236,1196,4.450624E-3 ,1.350552E-3 ,29.459,25,25.065,2.730,121.499E-6 ,1.386,1.618,4.157,17.648,1.597 ,7.271,10.066,18.599,21.814,0.788002,0.316792,6.948 ,8.720453514739228
216.282 ,37.262 ,173.446 ,327.065 ,39.41800355231804,80.03554534501647,10.029339804063461,238,219,4.617876E-3 ,0.739158E-3 ,81.843,17,61.200,1.035,47.794E-6 ,0.480,0.684,1.440,14.111,1.279 ,6.379,11.789,17.610,19.136,0.868306,0.167804,9.348 ,7.4143310657596375
217.025 ,70.535 ,110.450 ,585.297 ,39.35792878246306,61.76913387751496,9.770758929659952,656,637,4.652011E-3 ,1.245707E-3 ,33.996,15,18.931,3.145,146.289E-6 ,1.739,1.963,5.217,17.950,1.566 ,7.735,10.139,19.423,23.206,0.783728,0.327657,6.765 ,5.0633106575963716
214.421 ,85.638 ,89.547 ,599.427 ,38.638323861835346,61.17784341135095,-6.7264906879347075,1167,1128,4.741284E-3 ,1.459778E-3 ,31.399,27,22.917,2.947,139.727E-6 ,1.594,1.853,4.781,17.833,1.539 ,7.451,11.208,18.438,22.353,0.802686,0.297424,7.403 ,8.824943310657597
220.379 ,69.916 ,97.507 ,558.813 ,41.94773347437287,66.43046039161109,10.556605897295368,827,805,4.539711E-3 ,1.214438E-3 ,34.554,16,25.203,2.080,94.410E-6 ,1.055,1.087,3.165,15.978,1.438 ,7.255,9.664,14.750,21.766,0.819991,0.259309,7.899 ,6.31718820861678
218.256 ,72.592 ,77.406 ,586.401 ,37.85347010131711,58.33944475737698,1.7366552125946613,1144,1108,4.612179E-3 ,1.229160E-3 ,30.230,21,20.936,3.046,140.504E-6 ,1.726,1.915,5.177,18.256,1.622 ,7.954,11.025,18.413,23.861,0.761055,0.379593,6.049 ,8.302494331065759
213.513 ,51.646 ,158.993 ,436.010 ,37.601271082099935,68.4240171742147,10.03292594451371,547,526,4.705704E-3 ,1.000077E-3 ,51.182,19,38.162,1.965,92.468E-6 ,1.099,1.275,3.297,17.997,1.618 ,7.463,9.685,13.036,22.388,0.830679,0.236343,7.973 ,5.951473922902494
225.728 ,83.619 ,124.012 ,598.105 ,36.30146724259823,55.76922677229622,-8.27462506526095,878,851,4.461339E-3 ,1.207414E-3 ,28.498,17,32.207,2.537,113.201E-6 ,1.348,1.686,4.043,18.771,1.643 ,8.076,12.648,20.648,24.228,0.779967,0.341652,6.646 ,5.899229024943311
195.900 ,38.832 ,74.848 ,269.144 ,31.560272550140734,59.78933721223167,-2.464290287688238,287,277,5.096976E-3 ,1.179988E-3 ,50.938,6,11.401,1.368,69.741E-6 ,0.774,0.992,2.322,17.613,1.585 ,8.040,11.516,16.339,24.120,0.786706,0.328097,6.561 ,3.2347392290249433
180.740 ,93.884 ,77.453 ,455.553 ,46.061740774573906,67.58236339948346,-2.676391366283167,109,103,5.618801E-3 ,2.587817E-3 ,35.849,2,4.014,5.023,282.214E-6 ,2.681,3.493,8.042,23.600,1.923 ,10.062,10.520,28.384,30.185,0.754141,0.377198,5.450 ,1.0926984126984127
210.352 ,153.267 ,89.074 ,572.906 ,47.084914849735476,61.98114886421123,15.345024531336698,286,271,4.930958E-3 ,2.974610E-3 ,31.818,6,19.607,3.480,171.606E-6 ,1.852,2.262,5.557,19.611,1.686 ,9.832,13.247,27.658,29.496,0.742339,0.402171,5.276 ,2.451065759637188
201.467 ,163.771 ,73.859 ,573.775 ,48.9660196396308,70.88345208386555,15.973605955440979,691,642,5.140818E-3 ,3.858105E-3 ,31.847,25,43.381,4.130,212.322E-6 ,2.194,2.481,6.582,19.371,1.635 ,9.169,14.019,26.960,27.506,0.733231,0.419426,5.108 ,6.31718820861678
163.344 ,123.514 ,74.772 ,585.586 ,44.55890268247345,75.85532935907467,-2.9351923099637927,676,622,6.306167E-3 ,3.357920E-3 ,54.211,34,46.254,3.247,204.737E-6 ,1.806,2.278,5.419,18.634,1.548 ,7.779,11.611,11.101,23.336,0.744436,0.396630,5.458 ,11.43718820861678
164.616 ,135.916 ,78.553 ,561.529 ,45.89418140897872,74.49910812661129,-1.9626900051042764,489,450,6.211244E-3 ,3.748085E-3 ,52.949,27,55.831,3.176,197.261E-6 ,1.611,1.591,4.834,19.431,1.673 ,8.711,13.477,24.139,26.133,0.747169,0.382848,5.214 ,7.153106575963719
168.257 ,142.144 ,78.453 ,590.665 ,45.89697666590409,77.57166855156574,3.396092320174567,449,422,6.030479E-3 ,3.846098E-3 ,48.911,19,37.212,2.785,167.960E-6 ,1.465,1.695,4.396,17.212,1.536 ,7.414,8.568,8.048,22.242,0.754304,0.365261,5.374 ,6.003718820861678
198.754 ,156.707 ,74.561 ,596.578 ,44.18736716397291,65.1592140981938,9.945090977703043,1266,1170,5.289984E-3 ,3.786784E-3 ,39.188,46,45.580,4.350,230.096E-6 ,2.391,2.828,7.174,20.075,1.705 ,9.793,13.546,26.408,29.378,0.707323,0.467335,4.269 ,12.84780045351474
150.014 ,118.166 ,78.010 ,614.862 ,45.28095945215978,72.1549567983617,15.643280086971634,777,728,6.832765E-3 ,3.694502E-3 ,38.889,34,36.796,3.662,250.247E-6 ,1.955,2.172,5.865,20.778,1.735 ,9.568,12.328,18.034,28.704,0.729880,0.414962,4.760 ,10.653514739229024
155.580 ,116.245 ,80.033 ,587.554 ,43.66198225004216,67.03014549838284,8.497057550603428,564,521,6.604573E-3 ,3.325386E-3 ,38.643,25,35.978,3.437,227.003E-6 ,1.921,2.008,5.762,20.253,1.742 ,9.762,10.479,14.194,29.285,0.700654,0.490145,4.169 ,7.257596371882086
