Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
155.867 ,91.971 ,125.264 ,592.061 ,55.036211867136544,67.41780539611926,13.853115986288817,76,73,6.431780E-3 ,2.142533E-3 ,32.895,2,22.584,2.306,148.287E-6 ,0.991,1.042,2.974,16.037,1.725 ,6.941,10.853,21.114,20.823,0.724872,0.464143,5.306 ,0.79562358276644
138.257 ,86.095 ,85.913 ,596.644 ,43.09578392249017,66.31515396344197,16.03491145678206,244,228,7.401803E-3 ,2.777238E-3 ,49.311,9,13.865,2.337,172.966E-6 ,1.243,1.388,3.730,13.754,1.293 ,6.221,8.050,14.346,18.664,0.743581,0.409312,5.439 ,3.669092970521542
142.478 ,89.270 ,74.416 ,610.840 ,47.3475712875809,69.28751433744688,13.985994377785989,873,841,7.126325E-3 ,2.756722E-3 ,41.887,23,35.577,2.520,179.616E-6 ,1.251,1.484,3.754,15.840,1.371 ,6.832,9.256,14.160,20.497,0.785747,0.331547,6.940 ,11.375215419501133
155.490 ,105.855 ,77.021 ,596.428 ,43.93691575506599,68.65897126655994,14.31752959692092,1128,1067,6.530744E-3 ,3.021853E-3 ,46.111,44,47.597,3.057,199.657E-6 ,1.595,1.883,4.784,18.075,1.562 ,7.838,11.369,18.283,23.514,0.747405,0.402858,5.539 ,16.233990929705215
126.406 ,70.554 ,77.077 ,428.180 ,38.93921052400807,68.67525212521156,14.660901078102256,319,298,7.994820E-3 ,2.920804E-3 ,57.450,17,28.462,2.902,231.983E-6 ,1.511,1.859,4.534,16.502,1.371 ,7.797,12.556,17.424,23.392,0.754645,0.379435,5.637 ,6.542562358276644
142.820 ,81.737 ,80.931 ,596.040 ,45.74097011552051,71.70211717584077,14.263347577134668,599,563,7.082070E-3 ,2.553748E-3 ,42.131,31,33.447,2.583,182.929E-6 ,1.268,1.559,3.805,17.442,1.531 ,8.047,11.203,18.299,24.141,0.718524,0.462332,4.713 ,8.292766439909297
135.796 ,70.549 ,80.646 ,585.509 ,43.37675999078499,67.64592804063213,13.741289207265854,740,705,7.458909E-3 ,2.339417E-3 ,43.943,26,40.242,2.671,199.231E-6 ,1.348,1.588,4.045,15.020,1.345 ,6.673,9.235,15.039,20.019,0.755567,0.397422,5.974 ,11.349092970521541
153.678 ,92.690 ,74.987 ,560.947 ,42.906394200217676,68.19747934770669,12.233498532542292,967,911,6.578943E-3 ,2.767354E-3 ,49.606,45,45.503,2.945,193.748E-6 ,1.423,1.659,4.270,18.511,1.553 ,8.274,10.765,16.621,24.822,0.731253,0.434847,5.043 ,13.987460317460318
140.469 ,76.702 ,75.675 ,571.401 ,42.68723383100889,74.74672115381516,12.6196613205512,1015,959,7.161395E-3 ,2.394992E-3 ,58.665,47,64.498,2.033,145.562E-6 ,0.917,1.121,2.751,15.426,1.357 ,7.594,9.984,13.140,22.782,0.752237,0.392320,5.652 ,19.656031746031747
165.617 ,107.631 ,78.866 ,598.479 ,42.24543795287131,68.04873694628506,11.895116405132168,958,904,6.123849E-3 ,2.673788E-3 ,51.319,39,48.931,2.528,154.783E-6 ,1.234,1.498,3.702,16.725,1.439 ,7.689,10.120,16.196,23.067,0.753686,0.390953,5.808 ,13.30827664399093
147.235 ,93.847 ,83.712 ,597.152 ,40.08930850975921,67.89976882152905,11.399401829333293,1462,1372,6.965052E-3 ,2.764973E-3 ,50.617,66,49.653,2.348,163.567E-6 ,1.143,1.438,3.430,16.689,1.473 ,7.904,11.263,16.457,23.713,0.762011,0.372654,6.003 ,23.54827664399093
165.725 ,126.401 ,74.533 ,625.656 ,41.34363099027446,65.38537501958443,10.511234806591762,1025,977,6.157768E-3 ,3.209999E-3 ,46.228,32,38.549,2.857,175.946E-6 ,1.340,1.705,4.019,17.658,1.471 ,8.241,10.574,14.985,24.723,0.723891,0.442290,4.815 ,12.498480725623583
167.872 ,126.024 ,93.150 ,587.900 ,35.662401547555866,69.91796678679167,11.50740637715815,635,599,6.099913E-3 ,3.063183E-3 ,63.228,24,37.615,2.680,163.462E-6 ,1.358,1.620,4.073,17.133,1.494 ,7.571,10.341,16.475,22.712,0.723927,0.435647,4.641 ,11.375215419501133
132.409 ,64.970 ,85.862 ,571.155 ,45.948663228977665,62.93246785150431,19.956301832061246,203,194,7.670397E-3 ,2.085691E-3 ,31.301,7,21.549,2.558,196.204E-6 ,1.226,1.602,3.678,16.765,1.435 ,8.074,9.781,9.891,24.222,0.753281,0.389917,5.649 ,2.4935827664399093
143.069 ,82.166 ,69.774 ,590.789 ,39.84304498071589,65.01247849012978,11.237758795108013,1222,1153,7.101677E-3 ,2.629012E-3 ,48.205,49,45.907,2.463,174.942E-6 ,1.147,1.380,3.442,16.703,1.435 ,7.827,10.930,15.914,23.480,0.760764,0.376590,5.859 ,18.97684807256236
148.918 ,93.943 ,83.508 ,573.952 ,42.20823073340508,63.24674000446781,11.733092108720179,465,437,6.822557E-3 ,2.782930E-3 ,38.246,18,32.388,2.265,154.545E-6 ,1.075,1.380,3.226,15.851,1.437 ,7.393,10.467,16.016,22.180,0.780209,0.332736,6.506 ,5.732766439909297
143.686 ,94.842 ,76.342 ,569.780 ,41.684459811308315,63.35368236983912,11.09368511714949,985,938,7.137247E-3 ,2.873558E-3 ,33.391,28,40.596,2.644,188.717E-6 ,1.299,1.536,3.897,14.628,1.359 ,6.504,8.852,14.315,19.512,0.763172,0.374658,6.199 ,11.531950113378684
162.466 ,112.481 ,82.064 ,565.229 ,34.998004292716715,63.90815645239405,10.505142270370225,708,668,6.326842E-3 ,2.956015E-3 ,58.824,25,39.472,2.776,175.652E-6 ,1.384,1.599,4.153,16.184,1.387 ,7.341,9.403,10.867,22.024,0.768806,0.354068,6.190 ,12.106643990929705
146.096 ,88.113 ,94.635 ,590.893 ,37.6494712905112,61.08691371206784,9.24267115098758,697,663,6.948731E-3 ,2.664080E-3 ,48.476,25,55.560,2.613,181.582E-6 ,1.270,1.479,3.809,16.692,1.526 ,7.501,9.837,15.498,22.504,0.729847,0.450349,5.223 ,10.539297052154195
159.880 ,110.386 ,80.015 ,526.126 ,37.59890188642551,62.68355577472819,10.030687839334407,930,884,6.350968E-3 ,3.138667E-3 ,46.281,29,36.624,2.883,183.076E-6 ,1.549,1.774,4.647,16.771,1.495 ,7.898,10.528,14.627,23.693,0.735714,0.430213,5.286 ,12.132766439909297
151.956 ,93.555 ,81.060 ,570.493 ,36.3291121773486,59.20863740064072,9.343871575872193,490,466,6.631785E-3 ,2.794650E-3 ,45.295,16,31.844,2.955,195.941E-6 ,1.520,1.722,4.561,15.899,1.426 ,6.626,9.254,13.752,19.879,0.769864,0.354261,6.194 ,6.307460317460317
157.683 ,102.847 ,73.369 ,595.782 ,35.89904061181071,61.238587686382914,9.837391830255529,785,737,6.484448E-3 ,2.970484E-3 ,47.123,28,40.922,2.913,188.908E-6 ,1.442,1.613,4.325,16.315,1.457 ,7.903,10.199,15.119,23.709,0.737518,0.416758,5.227 ,10.983378684807256
164.545 ,110.946 ,79.128 ,592.075 ,33.59740644068436,66.50184921218666,9.190902036689224,1250,1181,6.216834E-3 ,2.929874E-3 ,59.011,50,64.198,2.464,153.171E-6 ,1.099,1.326,3.296,16.418,1.449 ,7.465,10.752,16.378,22.394,0.777079,0.334841,6.507 ,21.066643990929705
145.428 ,64.166 ,80.934 ,428.613 ,31.461296743125537,61.86306382582556,8.808123184090292,278,262,6.863574E-3 ,2.252919E-3 ,61.750,13,37.263,1.990,136.560E-6 ,0.869,0.964,2.606,16.217,1.393 ,7.341,9.706,10.944,22.022,0.767034,0.373783,6.299 ,5.863378684807256
146.294 ,88.352 ,88.317 ,570.295 ,35.95828734860385,60.210588385736244,9.020111352501807,615,570,6.988071E-3 ,2.624304E-3 ,52.457,31,49.711,2.728,190.620E-6 ,1.344,1.519,4.032,16.934,1.495 ,8.208,10.662,19.160,24.625,0.722907,0.456937,4.913 ,10.61766439909297
152.152 ,94.852 ,75.372 ,503.251 ,34.97843611664515,58.932750790531,8.994252883330908,838,790,6.678205E-3 ,2.954593E-3 ,49.507,37,45.381,2.740,183.008E-6 ,1.259,1.477,3.776,17.440,1.493 ,8.220,11.899,20.215,24.660,0.733870,0.420621,5.084 ,13.229909297052155
148.468 ,93.848 ,78.572 ,592.809 ,33.399416613293376,61.51455562769942,8.533818645861636,1579,1507,6.785265E-3 ,2.915622E-3 ,53.280,66,49.679,2.477,168.072E-6 ,1.165,1.359,3.496,17.063,1.457 ,7.698,10.470,15.150,23.095,0.764122,0.366174,6.042 ,26.10827664399093
154.367 ,91.629 ,76.145 ,568.109 ,35.66573419669986,59.66866980960371,8.703364324863994,1243,1182,6.537098E-3 ,2.715559E-3 ,46.753,48,45.797,2.848,186.175E-6 ,1.398,1.665,4.195,17.017,1.457 ,7.673,10.662,15.444,23.018,0.767038,0.370540,6.278 ,17.74909297052154
151.642 ,98.369 ,73.380 ,602.350 ,33.470381177195456,59.78539141350417,8.242222436706363,1656,1544,6.705816E-3 ,2.842043E-3 ,49.171,79,56.794,2.710,181.695E-6 ,1.253,1.452,3.760,16.754,1.414 ,7.839,10.937,15.958,23.518,0.758049,0.376342,5.921 ,25.350725623582765
200.340 ,136.127 ,81.182 ,526.298 ,34.274537344237835,59.57372579664167,9.352592242101153,901,843,5.138619E-3 ,3.059406E-3 ,46.531,35,53.858,3.317,170.439E-6 ,1.601,2.055,4.803,18.984,1.597 ,9.073,11.592,15.584,27.219,0.756321,0.373632,5.724 ,9.833990929705216
173.055 ,136.525 ,81.275 ,591.886 ,32.895564589356894,60.113619239009104,8.91263999573136,1137,1064,5.951287E-3 ,3.349151E-3 ,55.943,53,53.688,3.054,181.747E-6 ,1.398,1.780,4.193,16.782,1.417 ,7.685,9.757,13.448,23.054,0.730863,0.431187,5.211 ,18.376031746031746
146.504 ,104.069 ,74.741 ,584.563 ,31.47743153100612,57.049691620918736,9.121016869266871,534,495,6.928741E-3 ,3.383173E-3 ,53.987,25,38.245,3.987,276.240E-6 ,2.029,2.197,6.088,17.689,1.507 ,8.809,11.019,13.359,26.428,0.720422,0.463265,4.888 ,9.311541950113378
174.960 ,137.676 ,84.519 ,599.519 ,35.31647912222499,59.84401545743467,9.302514462935843,945,882,5.809007E-3 ,3.204557E-3 ,51.121,45,51.430,3.109,180.574E-6 ,1.504,1.767,4.512,18.329,1.494 ,8.070,11.220,16.152,24.211,0.734376,0.425649,5.282 ,13.412766439909298
131.264 ,89.336 ,73.411 ,593.250 ,28.936445050354735,56.93310450577428,8.351814044353478,451,419,7.668525E-3 ,3.354777E-3 ,61.362,29,44.367,3.567,273.529E-6 ,1.668,2.094,5.005,17.010,1.434 ,8.802,10.477,17.438,26.407,0.724418,0.437890,4.811 ,10.90501133786848
155.539 ,107.742 ,73.647 ,594.161 ,31.632988708532505,58.00800633639321,7.949098263040165,1171,1101,6.539253E-3 ,3.068793E-3 ,51.814,49,51.940,2.771,181.172E-6 ,1.282,1.575,3.846,16.940,1.430 ,7.987,10.281,14.479,23.960,0.758703,0.370249,5.742 ,18.506643990929707
163.959 ,117.971 ,74.596 ,591.548 ,32.008130702902655,55.53555400324342,8.02089698561042,818,765,6.277228E-3 ,3.111065E-3 ,45.668,37,55.663,2.974,186.661E-6 ,1.512,1.807,4.537,17.488,1.548 ,7.332,11.357,18.511,21.996,0.742216,0.403513,5.548 ,11.113990929705215
166.704 ,121.339 ,78.143 ,599.227 ,30.325481713771527,54.67939688284471,7.3801190938695065,1132,1059,6.198994E-3 ,3.114988E-3 ,52.372,40,57.554,3.009,186.537E-6 ,1.409,1.663,4.226,17.649,1.511 ,7.939,10.147,16.175,23.818,0.756243,0.392943,5.958 ,16.260113378684807
153.575 ,111.847 ,79.141 ,595.655 ,32.4019946833631,54.68915261857166,7.644044617006509,1232,1159,6.676714E-3 ,3.203164E-3 ,43.373,51,50.477,3.320,221.689E-6 ,1.602,1.872,4.806,18.009,1.509 ,8.062,12.078,21.312,24.187,0.754017,0.381225,5.660 ,16.103378684807257
155.783 ,92.731 ,86.176 ,583.662 ,29.25140600799784,59.95900372475218,7.5600594368379,737,693,6.487572E-3 ,2.754813E-3 ,63.813,40,69.279,2.298,149.065E-6 ,0.981,1.190,2.943,15.184,1.323 ,6.307,8.811,13.188,18.920,0.803218,0.288319,7.321 ,14.980113378684807
151.499 ,94.858 ,75.156 ,598.331 ,30.754169099867504,53.978293240827675,8.25127158616188,767,725,6.699401E-3 ,2.786379E-3 ,48.515,34,55.275,2.678,179.430E-6 ,1.286,1.555,3.857,16.962,1.461 ,7.479,8.869,11.938,22.437,0.765268,0.363679,6.078 ,11.140113378684807
142.100 ,97.969 ,76.766 ,596.877 ,28.678446026368984,57.22732779747797,7.64074688121119,428,399,7.342473E-3 ,2.891773E-3 ,56.801,20,49.084,2.557,187.784E-6 ,1.256,1.493,3.768,17.097,1.505 ,7.601,10.098,11.594,22.803,0.758330,0.373875,5.847 ,7.979297052154195
152.020 ,101.530 ,79.526 ,589.905 ,30.216769063057395,58.975251772004576,7.269798884884276,932,869,6.691201E-3 ,2.976066E-3 ,55.437,52,59.511,3.021,202.162E-6 ,1.608,1.954,4.823,17.045,1.444 ,8.174,10.776,15.886,24.522,0.755904,0.376955,5.720 ,15.946643990929704
129.887 ,79.701 ,78.198 ,536.027 ,27.364015999230226,50.33077747687492,-3.0152173708935748,487,459,7.777729E-3 ,2.898293E-3 ,53.369,20,45.193,2.609,202.932E-6 ,1.206,1.439,3.618,16.336,1.469 ,7.388,10.775,16.400,22.163,0.762495,0.363285,5.756 ,9.389909297052155
124.568 ,16.678 ,96.909 ,153.837 ,48.527287391709315,72.68402854484846,18.631161234062496,159,151,8.031993E-3 ,1.121067E-3 ,49.035,6,26.155,2.002,160.764E-6 ,1.054,1.254,3.161,14.161,1.261 ,6.380,7.968,13.163,19.139,0.742269,0.405394,5.418 ,2.6241950113378687
139.310 ,65.608 ,74.979 ,527.675 ,47.70477478960917,68.160036192716,18.112042089650778,556,530,7.329671E-3 ,2.001896E-3 ,37.391,17,22.540,1.958,143.520E-6 ,0.954,1.135,2.863,15.547,1.392 ,7.110,10.243,17.205,21.331,0.762024,0.379014,6.050 ,6.934399092970522
156.809 ,83.381 ,77.017 ,500.682 ,46.79231160356913,66.7922305001498,15.697779147642173,571,545,6.497672E-3 ,2.272803E-3 ,34.259,18,26.964,2.725,177.058E-6 ,1.332,1.566,3.997,14.661,1.332 ,6.207,9.905,14.585,18.620,0.779938,0.343854,6.622 ,6.516439909297052
141.848 ,61.869 ,81.657 ,544.005 ,48.82493051165005,71.85799701794033,15.508330250510006,1003,959,7.083725E-3 ,1.947446E-3 ,39.984,37,40.085,1.906,135.002E-6 ,0.897,1.125,2.692,15.995,1.406 ,7.121,9.585,15.105,21.362,0.795049,0.314123,7.104 ,12.864195011337868
148.021 ,81.233 ,85.836 ,585.511 ,45.826614893239736,69.85263495821233,14.434777062781256,785,748,6.829157E-3 ,2.248573E-3 ,43.622,29,38.752,2.427,165.747E-6 ,1.209,1.280,3.626,15.444,1.427 ,6.998,10.055,15.783,20.995,0.777393,0.352073,6.644 ,10.30419501133787
