Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
218.840 ,147.259 ,91.094 ,590.756 ,51.70154643657729,66.41526116069718,12.057361280868694,841,801,4.702381E-3 ,2.858660E-3 ,23.393,22,22.692,4.038,189.885E-6 ,2.114,2.537,6.343,20.549,1.724 ,10.096,13.369,15.250,30.287,0.735588,0.425041,5.432 ,5.638004535147393
182.485 ,110.468 ,79.343 ,535.252 ,46.9081558555391,69.3547575577803,0.6110832679252878,254,232,5.614159E-3 ,2.809832E-3 ,36.264,13,25.873,3.966,222.630E-6 ,2.379,2.685,7.136,20.126,1.639 ,9.329,11.183,3.716,27.986,0.724119,0.439347,4.857 ,2.7645351473922903
180.057 ,127.800 ,86.440 ,571.393 ,49.376384850287614,74.1187613548669,4.755575903813936,736,688,5.704874E-3 ,3.080518E-3 ,31.939,26,41.789,3.419,195.032E-6 ,1.864,2.158,5.591,18.798,1.687 ,7.978,10.437,15.469,23.933,0.755245,0.377794,5.712 ,7.205351473922902
192.621 ,134.375 ,74.979 ,566.772 ,47.376674112781906,77.88980890317809,6.128216651356842,751,712,5.290708E-3 ,2.900118E-3 ,44.883,24,49.950,3.078,162.847E-6 ,1.579,1.949,4.738,19.595,1.674 ,8.752,12.540,12.086,26.255,0.768690,0.345631,6.012 ,8.145759637188208
186.743 ,123.211 ,75.105 ,583.839 ,47.28335205333943,76.4346644073398,5.8693392233939985,1794,1663,5.514094E-3 ,2.873482E-3 ,50.485,87,59.749,3.367,185.636E-6 ,1.767,2.055,5.301,19.937,1.677 ,9.199,11.074,13.136,27.596,0.743871,0.396507,5.316 ,23.766984126984127
185.313 ,113.554 ,75.820 ,599.808 ,47.38620440899908,72.6762109105063,5.864285549268075,1589,1490,5.540295E-3 ,2.733921E-3 ,39.728,56,48.803,3.826,211.978E-6 ,1.958,2.328,5.875,20.123,1.716 ,9.503,11.637,15.319,28.510,0.736108,0.414242,5.114 ,16.97514739229025
183.700 ,118.657 ,75.144 ,545.729 ,47.082853367573335,72.25931404953216,5.370967432685894,833,765,5.627261E-3 ,3.012458E-3 ,37.363,32,49.362,3.896,219.264E-6 ,2.052,2.204,6.155,18.789,1.643 ,8.390,11.493,14.206,25.169,0.747534,0.399902,5.660 ,9.138412698412699
202.747 ,99.513 ,105.656 ,523.818 ,48.714212928809,67.05966863139406,8.902706266470988,600,563,4.962393E-3 ,2.191797E-3 ,27.788,22,41.790,4.808,238.599E-6 ,2.628,3.046,7.885,19.800,1.753 ,9.158,12.258,11.475,27.473,0.715049,0.475926,4.956 ,5.32453514739229
189.820 ,124.514 ,66.832 ,623.617 ,46.52668562070732,72.09995269941146,6.323599804988044,1746,1603,5.448769E-3 ,2.816323E-3 ,45.019,73,54.614,3.635,198.048E-6 ,1.992,2.139,5.975,19.920,1.657 ,9.185,11.801,13.539,27.554,0.725074,0.443628,4.989 ,21.311473922902493
179.273 ,119.994 ,86.597 ,593.768 ,44.93086799235568,77.31765889246375,-7.502245312811607,1195,1099,5.684375E-3 ,2.970212E-3 ,54.215,73,66.494,3.392,192.797E-6 ,1.798,2.098,5.394,20.191,1.784 ,8.970,12.232,13.653,26.910,0.733071,0.418514,5.022 ,19.84861678004535
