Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
194.709 ,49.566 ,78.313 ,416.133 ,45.567903441116954,75.34743049276764,3.866404805112178,479,465,5.099007E-3 ,1.111831E-3 ,54.270,11,49.029,2.144,109.320E-6 ,0.967,0.997,2.901,10.775,1.102 ,4.475,6.645,9.249,13.425,0.885391,0.155017,11.080 ,5.650979166666667
169.602 ,22.301 ,83.633 ,241.883 ,54.9702965334486,76.99653276405469,5.9131759173675125,446,428,5.891282E-3 ,0.803317E-3 ,45.472,15,35.007,2.114,124.518E-6 ,1.014,1.013,3.042,12.051,1.110 ,5.261,6.987,10.533,15.784,0.847567,0.218775,9.060 ,5.338979166666666
161.905 ,17.419 ,75.343 ,271.460 ,55.02224717619169,80.56109008615562,4.769711179341063,688,658,6.190600E-3 ,0.754421E-3 ,46.843,27,38.751,2.417,149.639E-6 ,1.161,1.185,3.484,12.749,1.120 ,5.434,7.457,12.254,16.302,0.831124,0.243988,8.374 ,8.746979166666666
163.094 ,34.505 ,72.652 ,547.379 ,55.73523889070123,76.72396380593554,6.239731902551386,917,868,6.156544E-3 ,1.176283E-3 ,42.256,42,41.978,2.458,151.332E-6 ,1.207,1.242,3.621,13.634,1.197 ,6.189,8.417,11.324,18.568,0.823369,0.254585,8.001 ,10.498979166666667
168.178 ,72.122 ,74.623 ,582.579 ,52.24453369629101,74.361048972567,4.120435367574877,820,770,5.966225E-3 ,1.848302E-3 ,50.396,44,58.824,2.580,153.931E-6 ,1.168,1.183,3.503,13.818,1.209 ,6.210,8.235,13.060,18.631,0.815807,0.266435,7.892 ,11.386979166666666
170.103 ,39.897 ,77.316 ,468.665 ,55.241147492601094,73.58790647207488,6.830500373869807,340,323,5.940661E-3 ,1.067349E-3 ,40.201,14,37.055,2.647,157.254E-6 ,1.292,1.425,3.875,13.887,1.305 ,6.405,9.073,12.427,19.215,0.809836,0.284708,7.908 ,4.018979166666667
168.969 ,55.990 ,67.085 ,591.728 ,53.68542024522923,76.28850947997785,5.935772447261862,685,644,5.965660E-3 ,1.329623E-3 ,45.200,28,44.181,2.477,147.771E-6 ,1.171,1.177,3.514,12.380,1.070 ,5.271,7.216,11.565,15.812,0.835454,0.240913,8.747 ,8.266979166666667
151.624 ,34.302 ,69.073 ,202.959 ,33.99266771546773,72.34670868965065,1.9467636726157278,130,120,6.471596E-3 ,1.695289E-3 ,73.502,7,18.818,2.504,162.037E-6 ,1.037,1.024,3.112,12.650,1.197 ,6.090,9.060,12.043,18.270,0.803580,0.294545,7.346 ,4.378979166666666
156.470 ,48.089 ,121.506 ,348.713 ,52.428936417179585,78.97341447039463,21.759861577552293,102,96,6.461040E-3 ,1.474432E-3 ,54.706,4,15.521,2.230,144.053E-6 ,0.896,1.143,2.688,14.763,1.338 ,6.641,10.628,12.805,19.924,0.796941,0.309911,7.165 ,1.7389791666666667
142.242 ,62.101 ,91.213 ,561.898 ,52.37905991044756,79.49494431451936,20.12034313078469,246,236,7.065975E-3 ,1.989604E-3 ,48.919,6,14.792,1.899,134.185E-6 ,0.746,0.961,2.239,13.847,1.207 ,6.388,9.308,15.098,19.165,0.843901,0.212245,8.588 ,3.7309791666666667
149.504 ,72.585 ,78.080 ,560.684 ,56.21382013880505,78.66769843150746,3.79331594408518,1452,1378,6.775094E-3 ,2.303404E-3 ,41.996,50,41.048,2.653,179.767E-6 ,1.173,1.350,3.518,13.577,1.228 ,6.366,8.774,12.071,19.097,0.817993,0.278656,8.071 ,18.778979166666666
158.847 ,79.232 ,85.710 ,588.897 ,57.576022222752265,78.84227946576588,19.92018065559662,1539,1466,6.355225E-3 ,2.160667E-3 ,37.515,42,35.546,2.324,147.723E-6 ,0.986,1.095,2.958,13.689,1.239 ,6.439,8.686,12.069,19.317,0.843517,0.229991,9.118 ,16.930979166666667
159.843 ,83.877 ,86.354 ,554.795 ,57.514475277643996,77.74208364866608,3.91207939110855,958,910,6.330168E-3 ,2.353162E-3 ,35.748,30,30.087,2.918,184.689E-6 ,1.330,1.596,3.990,12.678,1.215 ,6.103,8.687,12.483,18.310,0.824233,0.263642,8.475 ,10.666979166666666
154.630 ,91.023 ,88.396 ,515.754 ,56.51841646196989,78.52119407865281,15.731088162970968,730,697,6.537151E-3 ,2.728824E-3 ,40.997,20,29.646,3.030,198.090E-6 ,1.306,1.675,3.918,13.202,1.232 ,5.960,8.596,13.832,17.879,0.815222,0.283071,8.171 ,8.866979166666667
153.208 ,75.939 ,90.572 ,574.569 ,58.76429840655241,77.06319768063362,19.5339586738365,2449,2334,6.608824E-3 ,2.245230E-3 ,37.243,82,39.796,2.475,163.563E-6 ,1.120,1.302,3.361,13.391,1.217 ,6.464,8.845,11.893,19.392,0.835436,0.243865,8.803 ,28.258979166666666
161.482 ,84.096 ,84.575 ,560.621 ,56.30146500329204,76.15649383540563,19.465370949028312,939,880,6.263078E-3 ,2.395172E-3 ,39.111,37,36.656,2.830,177.218E-6 ,1.226,1.359,3.677,13.422,1.258 ,6.881,8.942,11.739,20.643,0.823454,0.261549,8.313 ,11.050979166666666
149.047 ,48.780 ,99.658 ,444.680 ,60.90882511601467,75.02586422671767,18.17425895195143,869,835,6.732070E-3 ,1.600701E-3 ,26.975,28,35.543,2.354,158.460E-6 ,1.004,1.157,3.011,12.675,1.139 ,5.516,7.809,12.158,16.547,0.855895,0.208119,9.633 ,8.890979166666666
104.860 ,8.541 ,96.751 ,124.273 ,64.48106907375285,69.9338359044404,57.872434709978585,25,24,9.557688E-3 ,0.741041E-3 ,16.129,0,0,1.451,138.721E-6 ,0.375,0.490,1.124,11.240,1.046 ,5.113,6.018,9.975,15.339,0.891337,0.130768,9.901 ,0.34697916666666667
143.432 ,61.853 ,92.690 ,481.988 ,50.75569188671931,79.16473415307047,4.9214647840126,429,411,7.055689E-3 ,2.058493E-3 ,49.475,15,16.588,2.275,160.537E-6 ,0.944,1.194,2.831,12.263,1.115 ,5.639,7.391,11.926,16.917,0.869837,0.176321,10.143 ,6.706979166666667
149.047 ,58.181 ,90.140 ,559.521 ,50.171449554979034,74.24326778401021,4.431691053189726,691,661,6.803856E-3 ,2.011829E-3 ,45.915,23,35.151,2.593,176.421E-6 ,1.098,1.225,3.294,14.385,1.307 ,6.986,9.640,13.877,20.958,0.827646,0.255127,8.391 ,9.706979166666667
165.245 ,82.993 ,85.521 ,616.455 ,53.36779997190216,76.26433802277076,8.452180916048054,896,847,6.143112E-3 ,2.212423E-3 ,43.527,24,40.751,2.628,161.466E-6 ,1.192,1.303,3.576,14.012,1.260 ,6.673,8.832,12.568,20.018,0.826787,0.256834,8.476 ,10.690979166666667
152.655 ,66.980 ,78.090 ,542.510 ,50.772082204339505,73.66365949463854,3.9455671465446516,1339,1271,6.663957E-3 ,2.112042E-3 ,40.803,43,35.424,2.584,172.175E-6 ,1.175,1.348,3.524,13.691,1.218 ,6.700,8.861,13.198,20.101,0.828788,0.254897,8.601 ,17.218979166666667
157.622 ,78.422 ,82.770 ,531.085 ,55.23593897182135,74.76218781732481,14.45143916262799,820,774,6.453555E-3 ,2.197992E-3 ,32.838,24,27.235,2.547,164.342E-6 ,1.090,1.329,3.270,14.578,1.338 ,6.724,9.074,11.621,20.171,0.825931,0.251769,8.106 ,8.770979166666667
