Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
165.644 ,72.835 ,80.093 ,580.446 ,38.665288673227515,70.1366580583599,5.354934453300957,299,282,6.115711E-3 ,1.950496E-3 ,59.267,11,44.054,2.644,161.706E-6 ,1.293,1.489,3.880,15.864,1.495 ,7.928,9.961,13.635,23.784,0.781341,0.347416,6.724 ,4.949092970521542
159.759 ,59.250 ,76.916 ,565.635 ,48.509446773081,71.62415629966733,11.033656403405818,974,926,6.311212E-3 ,1.534426E-3 ,46.510,31,42.016,1.990,125.574E-6 ,0.880,0.997,2.639,14.017,1.254 ,6.770,9.114,11.747,20.309,0.818353,0.269495,8.266 ,12.785827664399093
161.125 ,47.499 ,74.269 ,516.247 ,48.91701479587278,73.03826094594189,10.41421046327592,1828,1764,6.244051E-3 ,1.434882E-3 ,49.227,57,54.329,2.395,149.559E-6 ,1.091,1.241,3.274,14.422,1.280 ,7.066,9.295,12.109,21.199,0.804616,0.290607,7.458 ,24.619297052154195
165.286 ,62.043 ,82.622 ,577.773 ,44.042973728118184,69.23273736932542,9.336773289478833,1875,1780,6.123043E-3 ,1.675474E-3 ,50.340,68,45.763,2.836,173.668E-6 ,1.289,1.471,3.868,16.029,1.404 ,7.941,10.666,15.892,23.824,0.789900,0.325064,7.104 ,25.063378684807255
185.179 ,60.485 ,118.942 ,492.099 ,38.36895828497576,67.90077055612522,8.555615102551052,287,278,5.433224E-3 ,1.403824E-3 ,63.057,7,66.770,2.706,147.033E-6 ,1.228,1.355,3.684,14.757,1.345 ,7.729,10.170,14.411,23.187,0.807835,0.308562,7.463 ,4.740113378684807
176.718 ,75.049 ,97.635 ,597.236 ,43.84778088693994,73.73477332200046,9.434802153121343,856,817,5.725892E-3 ,1.807507E-3 ,54.223,30,46.449,2.673,153.055E-6 ,1.210,1.251,3.630,15.825,1.368 ,7.603,10.613,14.999,22.810,0.801452,0.297934,7.398 ,11.871541950113379
171.378 ,54.333 ,83.125 ,479.800 ,46.56386725177317,67.77719524175755,9.45112457456467,1638,1575,5.915728E-3 ,1.507345E-3 ,40.985,45,38.450,2.723,161.078E-6 ,1.247,1.405,3.740,14.686,1.312 ,7.294,10.524,13.810,21.883,0.814224,0.279962,8.098 ,18.114807256235828
178.433 ,76.876 ,101.471 ,598.114 ,45.25719265323234,71.05021964682747,9.544706196238645,2405,2303,5.669339E-3 ,1.732326E-3 ,51.416,70,51.090,2.751,155.938E-6 ,1.324,1.547,3.972,15.776,1.375 ,7.599,10.432,14.107,22.798,0.797257,0.304551,7.216 ,31.463378684807257
161.919 ,39.780 ,79.344 ,379.720 ,45.058854565343744,70.22031141426012,9.779396259024788,1549,1491,6.225352E-3 ,1.383253E-3 ,45.697,50,51.727,2.752,171.341E-6 ,1.282,1.434,3.847,15.878,1.384 ,7.581,10.406,14.217,22.743,0.789185,0.321536,6.827 ,19.55154195011338
179.838 ,72.011 ,85.286 ,589.312 ,43.680199139742534,67.8829898095391,8.420263829021211,1152,1094,5.648662E-3 ,1.721357E-3 ,52.033,41,46.974,2.464,139.200E-6 ,1.113,1.275,3.338,15.248,1.358 ,7.466,10.174,13.332,22.397,0.806498,0.289604,7.527 ,14.797256235827664
