Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
124.225 ,20.189 ,76.465 ,253.731 ,46.402122425777584,66.74628676522931,15.841629116083936,494,471,8.069046E-3 ,1.227112E-3 ,45.079,19,28.094,2.410,194.458E-6 ,1.016,1.344,3.048,14.271,1.258 ,6.360,9.027,14.183,19.079,0.826561,0.257896,8.441 ,8.266643990929705
121.539 ,17.877 ,77.224 ,321.822 ,49.70435627339602,66.01626269321264,20.385061173391943,612,589,8.206553E-3 ,1.022305E-3 ,33.135,19,24.592,2.243,184.065E-6 ,1.065,1.132,3.194,12.212,1.115 ,5.803,7.816,11.456,17.410,0.844778,0.227457,9.489 ,8.423378684807256
127.529 ,32.625 ,95.605 ,391.143 ,46.672167546421115,64.82489070268366,20.44045389939948,435,414,7.843534E-3 ,1.534324E-3 ,40.586,17,24.404,2.408,188.852E-6 ,1.149,1.249,3.446,11.075,1.081 ,5.499,7.093,11.158,16.496,0.839505,0.236827,9.239 ,6.516439909297052
137.698 ,76.926 ,77.573 ,598.388 ,48.09759630888093,66.79829663647719,21.379175532278687,975,920,7.443695E-3 ,2.229280E-3 ,37.882,40,45.319,2.796,208.118E-6 ,1.295,1.599,3.884,14.013,1.261 ,6.218,9.016,12.465,18.653,0.807336,0.289546,7.695 ,12.785827664399093
125.641 ,47.275 ,83.963 ,595.299 ,48.020012059101255,65.15601813882547,27.252620954275415,907,876,8.007509E-3 ,1.740617E-3 ,38.202,29,40.148,2.712,217.133E-6 ,1.308,1.409,3.923,13.416,1.189 ,6.108,8.158,11.606,18.324,0.830032,0.247429,8.388 ,12.498480725623583
135.427 ,56.048 ,77.273 ,587.314 ,47.81365441543655,66.75027218043284,25.711882838313795,1165,1118,7.475083E-3 ,1.820037E-3 ,36.113,41,35.419,2.956,220.957E-6 ,1.463,1.712,4.390,13.835,1.273 ,6.375,8.428,12.534,19.126,0.813666,0.281196,8.075 ,14.901746031746033
146.114 ,54.375 ,77.757 ,561.625 ,46.786351706859634,65.19477030901827,27.48975409080756,300,289,6.955234E-3 ,1.644428E-3 ,40.431,9,21.479,3.449,239.900E-6 ,1.786,1.797,5.359,13.731,1.256 ,6.421,9.252,16.078,19.264,0.788273,0.330587,7.018 ,4.21766439909297
142.974 ,63.530 ,98.307 ,590.009 ,47.10676713787808,63.49325445732474,27.958460322765987,369,351,7.201163E-3 ,1.852197E-3 ,37.168,10,41.638,2.813,202.603E-6 ,1.304,1.391,3.912,13.267,1.281 ,6.131,8.069,14.507,18.392,0.834367,0.241093,8.841 ,4.557256235827665
132.114 ,25.019 ,77.238 ,326.302 ,46.74190276167841,65.77361427712383,26.857214082883093,856,830,7.627963E-3 ,1.045505E-3 ,39.897,21,33.013,2.584,197.139E-6 ,1.308,1.475,3.925,14.227,1.314 ,6.646,9.362,13.384,19.939,0.830553,0.247186,8.534 ,11.662562358276643
129.309 ,32.389 ,80.421 ,492.085 ,44.824555066946374,64.74919251329021,25.03325691444428,449,431,7.763078E-3 ,1.335130E-3 ,43.601,16,50.649,2.732,212.071E-6 ,1.287,1.432,3.860,13.768,1.259 ,6.178,9.105,14.828,18.534,0.809244,0.293206,8.142 ,7.1433786848072565
136.871 ,51.128 ,79.231 ,566.778 ,45.61496032568199,66.66131367626977,17.76185349646749,794,768,7.344298E-3 ,1.757449E-3 ,39.941,22,33.539,2.581,189.570E-6 ,1.161,1.345,3.483,13.874,1.225 ,6.360,8.830,13.984,19.081,0.834240,0.242403,8.560 ,10.173582766439909
138.852 ,22.299 ,78.848 ,211.058 ,44.31030489113788,64.93773125331623,19.173691303343542,1190,1153,7.199031E-3 ,1.147112E-3 ,42.135,33,39.991,2.204,158.699E-6 ,1.064,1.158,3.193,13.074,1.180 ,6.049,8.751,13.576,18.147,0.849718,0.214477,9.195 ,15.86827664399093
142.422 ,63.084 ,76.895 ,584.676 ,46.27700543642791,63.4877027613385,21.909672561721578,944,900,7.137201E-3 ,2.043005E-3 ,30.684,34,33.525,2.961,211.301E-6 ,1.424,1.336,4.273,13.522,1.241 ,6.406,8.651,14.956,19.219,0.813105,0.283960,8.029 ,10.852766439909297
134.158 ,28.635 ,78.433 ,367.843 ,44.247135126675374,63.45662902441984,18.823729950328808,1441,1386,7.477581E-3 ,1.384304E-3 ,37.898,47,44.445,2.573,192.394E-6 ,1.153,1.219,3.459,13.367,1.197 ,6.253,8.463,13.738,18.760,0.823903,0.260411,8.472 ,18.87235827664399
135.394 ,39.629 ,85.278 ,562.030 ,46.24627755966253,64.47392200144785,23.018083931014193,576,550,7.406830E-3 ,1.418465E-3 ,33.333,20,25.217,2.473,183.162E-6 ,1.274,1.234,3.821,13.235,1.218 ,6.369,8.792,12.383,19.108,0.814454,0.284994,8.004 ,6.934399092970522
147.066 ,68.092 ,81.242 ,585.553 ,43.39647102558794,63.73302442353633,22.84304819731101,1174,1125,6.896188E-3 ,1.921786E-3 ,41.853,36,46.654,2.840,195.856E-6 ,1.341,1.451,4.024,14.462,1.297 ,6.825,9.566,14.121,20.474,0.808070,0.290096,7.721 ,14.823378684807256
141.902 ,50.904 ,93.165 ,586.749 ,42.037665260017185,63.950180745956864,20.98611725947641,1183,1147,7.076164E-3 ,1.583920E-3 ,40.906,29,42.792,2.451,173.436E-6 ,1.142,1.265,3.425,14.513,1.327 ,6.580,9.166,14.417,19.741,0.846467,0.221899,9.081 ,15.267460317460317
155.311 ,75.131 ,95.714 ,615.685 ,41.84849614475553,62.33684490371425,19.372817251970645,756,717,6.646745E-3 ,1.860923E-3 ,38.608,24,44.519,3.030,201.373E-6 ,1.450,1.665,4.349,13.435,1.163 ,6.489,8.377,11.710,19.467,0.819145,0.273780,8.267 ,8.945827664399093
146.446 ,59.148 ,82.736 ,579.162 ,42.480061571023654,61.35982562814851,23.859913803517436,328,313,6.892222E-3 ,1.777540E-3 ,37.990,12,45.712,3.023,208.383E-6 ,1.587,1.914,4.761,13.822,1.222 ,6.673,8.343,10.988,20.018,0.812146,0.296895,8.167 ,4.1131746031746035
142.499 ,35.632 ,77.314 ,466.824 ,43.16196690638648,62.194664560668784,20.740790743841014,1190,1141,7.059807E-3 ,1.349692E-3 ,33.841,34,27.934,2.580,182.128E-6 ,1.223,1.327,3.669,13.732,1.254 ,6.227,8.482,13.570,18.682,0.838107,0.239379,8.900 ,13.830725623582767
157.813 ,33.997 ,86.164 ,301.742 ,39.98355909560623,60.996261873280886,19.681240943266932,522,502,6.387753E-3 ,1.385247E-3 ,45.732,15,49.573,2.817,179.924E-6 ,1.333,1.412,3.999,14.801,1.322 ,6.748,8.747,13.387,20.245,0.807001,0.285588,7.591 ,6.5948072562358275
150.152 ,68.563 ,66.055 ,586.507 ,42.62933473193045,59.62060500285151,19.738747743636683,795,767,6.722006E-3 ,1.845900E-3 ,30.307,16,34.939,2.504,168.340E-6 ,1.204,1.273,3.612,14.142,1.264 ,6.396,9.262,13.147,19.187,0.827870,0.258078,8.492 ,8.18827664399093
