Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
147.922 ,18.288 ,128.700 ,221.206 ,40.160712710266544,65.4754781581039,7.744159530991752,188,181,6.778267E-3 ,0.774992E-3 ,50.847,5,55.667,1.306,88.522E-6 ,0.653,0.754,1.960,17.661,1.496 ,7.794,12.134,17.894,23.382,0.786994,0.317154,6.399 ,2.9899092970521544
126.524 ,11.036 ,108.984 ,161.901 ,49.282431063643514,67.7213575568344,26.085708760858232,268,259,7.914889E-3 ,0.696613E-3 ,32.530,8,28.332,1.926,152.433E-6 ,0.865,0.960,2.594,15.255,1.227 ,7.175,9.777,10.005,21.525,0.759345,0.371104,5.627 ,3.35562358276644
126.146 ,12.280 ,100.868 ,154.588 ,45.27710011827595,63.590687706369884,13.282342968611346,305,287,7.959890E-3 ,0.821634E-3 ,47.759,16,40.526,1.919,152.752E-6 ,0.894,1.024,2.682,16.053,1.354 ,6.946,9.756,10.580,20.837,0.712104,0.477433,4.499 ,5.837256235827664
134.096 ,31.250 ,101.321 ,581.465 ,48.25960747676221,73.84059251604423,10.655805545883744,404,377,7.431128E-3 ,1.189980E-3 ,45.861,26,49.956,1.562,116.107E-6 ,0.652,0.787,1.955,13.454,1.128 ,6.366,7.770,8.058,19.097,0.764386,0.361023,6.084 ,6.072358276643991
146.044 ,70.251 ,94.069 ,596.825 ,44.241887915874486,69.78061791030308,11.120811678401129,717,680,6.907213E-3 ,1.939739E-3 ,53.461,33,50.417,1.788,123.514E-6 ,0.838,1.017,2.514,15.719,1.435 ,7.197,9.416,14.336,21.592,0.742721,0.409352,5.317 ,12.02827664399093
137.838 ,16.966 ,82.297 ,169.612 ,45.91331569234498,69.26070427106187,12.348893639234488,382,358,7.246595E-3 ,0.878062E-3 ,46.599,22,54.359,1.388,100.552E-6 ,0.563,0.704,1.689,16.321,1.465 ,6.742,9.144,13.278,20.227,0.764932,0.351910,5.922 ,5.91562358276644
156.005 ,82.124 ,105.583 ,593.676 ,44.88248655214575,65.47158111341491,11.623302379270385,966,919,6.493480E-3 ,1.916186E-3 ,40.348,40,43.869,1.691,109.821E-6 ,0.770,0.930,2.309,16.727,1.438 ,7.887,10.512,14.851,23.662,0.751192,0.388742,5.450 ,12.106643990929705
145.891 ,57.282 ,102.335 ,523.410 ,44.783522008321896,64.5184055271074,7.837349063014835,361,338,6.945105E-3 ,1.631482E-3 ,42.287,21,41.754,1.988,138.100E-6 ,0.903,1.038,2.710,16.071,1.441 ,6.688,8.703,12.034,20.064,0.741006,0.408100,5.351 ,5.549909297052154
157.716 ,84.636 ,111.881 ,584.446 ,45.00149171077084,65.55248407511418,15.990684864249543,249,234,6.421481E-3 ,1.907081E-3 ,46.302,10,27.835,2.325,149.312E-6 ,1.234,1.495,3.701,17.848,1.507 ,8.351,9.534,12.193,25.054,0.723725,0.452784,5.021 ,3.146643990929705
139.266 ,21.863 ,105.256 ,353.033 ,43.786369027550194,66.31808390928177,10.577141281756912,649,618,7.204246E-3 ,0.958384E-3 ,44.881,29,43.724,1.339,96.432E-6 ,0.525,0.632,1.575,14.183,1.236 ,6.652,8.774,13.603,19.955,0.782025,0.323759,6.411 ,9.703378684807257
