Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
225.483 ,58.294 ,83.231 ,573.919 ,53.92586561423448,75.93139630337973,1.8346891508843035,555,533,4.436476E-3 ,1.062876E-3 ,46.356,17,36.055,1.849,82.020E-6 ,0.816,0.813,2.449,14.188,1.191 ,5.885,9.128,12.590,17.654,0.849544,0.205828,8.683 ,4.975215419501134
227.032 ,39.737 ,171.091 ,314.411 ,50.73256421250596,76.16217590402927,14.062224895298028,399,385,4.431327E-3 ,0.762576E-3 ,52.152,13,53.363,2.022,89.611E-6 ,0.867,0.964,2.600,13.894,1.332 ,5.787,8.381,12.727,17.360,0.834342,0.234540,8.671 ,3.982562358276644
209.217 ,49.467 ,91.800 ,318.707 ,48.79067999111917,80.12806218081649,17.732740008761954,217,206,4.749160E-3 ,1.232559E-3 ,58.865,8,46.332,1.870,88.795E-6 ,0.775,0.872,2.326,13.277,1.106 ,5.995,7.682,9.550,17.984,0.799517,0.298236,7.209 ,2.859297052154195
211.894 ,65.888 ,77.534 ,357.891 ,54.06369384917196,76.41088025391498,12.765040845955566,578,552,4.704832E-3 ,1.743817E-3 ,51.496,21,55.570,2.057,96.794E-6 ,0.863,0.837,2.588,13.714,1.154 ,5.889,7.863,9.892,17.666,0.781169,0.343919,7.053 ,6.385827664399093
208.307 ,63.300 ,78.061 ,595.620 ,53.305677069386185,75.04709259979813,17.17756573760328,538,518,4.838220E-3 ,1.442025E-3 ,41.189,17,33.539,2.066,99.975E-6 ,0.981,0.955,2.943,14.445,1.286 ,6.406,7.491,12.036,19.218,0.825509,0.246847,8.209 ,4.740113378684807
200.346 ,59.553 ,77.442 ,327.797 ,50.19782486006328,73.90293363696873,15.078147543680782,545,525,4.982539E-3 ,1.748739E-3 ,47.473,19,39.572,1.753,87.361E-6 ,0.712,0.779,2.136,14.214,1.262 ,5.655,8.695,15.413,16.964,0.843167,0.220211,8.899 ,5.576031746031746
202.398 ,86.737 ,83.862 ,295.610 ,49.44383131401245,72.15606686724412,23.02470378084349,94,91,4.991107E-3 ,2.790706E-3 ,45.745,2,27.894,1.549,77.323E-6 ,0.501,0.492,1.502,10.371,1.057 ,4.494,6.349,10.742,13.482,0.852042,0.196619,8.611 ,0.9784807256235828
203.321 ,61.157 ,81.920 ,304.720 ,39.41447361778992,72.32636823221681,-4.690714569097198,170,162,4.967511E-3 ,1.746866E-3 ,60.851,7,54.310,2.383,118.376E-6 ,1.242,1.077,3.727,15.733,1.262 ,7.150,10.892,12.793,21.451,0.818980,0.257039,8.778 ,2.389092970521542
227.626 ,71.246 ,83.064 ,456.985 ,55.43494327497559,76.18299746705486,20.71868139286559,273,260,4.378275E-3 ,1.527926E-3 ,48.560,10,45.463,1.918,83.955E-6 ,0.954,1.008,2.862,13.113,1.220 ,6.603,7.487,8.821,19.810,0.782580,0.336276,7.068 ,2.4674603174603176
214.440 ,45.994 ,169.799 ,312.667 ,61.74679194358882,75.76541830533321,33.40261003095175,110,108,4.726414E-3 ,0.912564E-3 ,26.761,1,19.061,2.159,102.038E-6 ,0.994,0.977,2.982,13.337,1.257 ,6.817,8.867,12.496,20.450,0.842576,0.215990,8.240 ,0.7433786848072562
