Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
260.082 ,37.963 ,173.138 ,365.692 ,35.929118959186724,79.83273014925135,-17.675406495480274,837,808,3.861713E-3 ,0.580167E-3 ,61.450,22,48.374,1.734,66.962E-6 ,0.890,1.077,2.670,14.700,1.340 ,5.291,8.203,15.225,15.874,0.843802,0.228752,8.999 ,8.720453514739228
225.659 ,35.268 ,178.998 ,385.716 ,39.8057414055136,67.86063747940568,-5.299213161097879,306,292,4.455419E-3 ,0.625784E-3 ,48.026,9,22.189,2.337,104.121E-6 ,1.165,1.231,3.496,17.160,1.548 ,7.359,12.036,18.352,22.076,0.793218,0.312309,6.902 ,3.078004535147392
246.486 ,32.560 ,204.103 ,358.680 ,49.367662637515,79.83949933221643,6.057500096316767,310,297,4.090127E-3 ,0.506604E-3 ,55.518,11,55.298,1.711,69.982E-6 ,0.897,1.118,2.690,14.411,1.283 ,5.844,9.252,14.801,17.531,0.873524,0.170000,10.194 ,3.0257596371882087
262.966 ,77.828 ,86.653 ,587.663 ,51.83664677753911,67.13413131583137,9.920051238229677,398,375,3.872678E-3 ,0.783697E-3 ,25.108,9,25.639,2.972,115.104E-6 ,1.628,1.620,4.885,18.019,1.739 ,7.417,13.125,28.871,22.252,0.761852,0.386016,6.195 ,2.346575963718821
243.602 ,59.006 ,104.671 ,311.237 ,30.522883966307337,65.7701085278595,4.300363628339015,159,157,4.095935E-3 ,1.178279E-3 ,62.570,1,2.559,3.609,147.838E-6 ,1.932,2.345,5.795,14.217,1.372 ,6.273,9.288,12.431,18.820,0.762744,0.376662,6.385 ,1.824126984126984
177.647 ,132.586 ,72.912 ,566.662 ,45.082214721536694,68.38340723863861,7.237661368082481,622,590,5.759798E-3 ,3.269963E-3 ,38.028,19,28.122,3.004,173.030E-6 ,1.633,2.219,4.898,20.327,1.660 ,9.977,11.980,20.314,29.932,0.716033,0.454673,4.515 ,6.421678004535147
135.694 ,106.472 ,79.557 ,552.688 ,51.08892029458297,65.6721745398889,21.831357268066206,173,162,7.414537E-3 ,3.595887E-3 ,25.116,9,37.591,4.619,342.486E-6 ,2.701,3.721,8.102,15.861,1.543 ,7.480,9.132,8.686,22.439,0.693115,0.502912,4.057 ,2.1898412698412697
182.347 ,143.221 ,86.818 ,550.808 ,41.43873578090834,77.73873050511403,4.101586267148709,759,694,5.654151E-3 ,3.469725E-3 ,62.465,48,55.540,3.425,193.643E-6 ,1.915,2.273,5.745,18.856,1.747 ,8.617,10.412,18.893,25.850,0.702163,0.470501,4.073 ,14.310657596371883
184.931 ,137.523 ,79.339 ,578.828 ,42.931507141810854,65.91527087392741,7.350009859237248,1530,1428,5.503036E-3 ,3.356502E-3 ,35.802,59,41.344,3.815,209.954E-6 ,2.093,2.440,6.279,21.533,1.768 ,9.842,13.966,29.382,29.527,0.694020,0.502248,4.027 ,15.56453514739229
180.652 ,134.598 ,78.059 ,596.608 ,42.39863329193951,73.78049021711256,-0.584499188594177,608,553,5.767383E-3 ,3.194172E-3 ,52.440,35,50.404,4.083,235.505E-6 ,2.345,2.457,7.035,19.015,1.702 ,7.769,9.489,11.869,23.307,0.686231,0.509230,3.869 ,9.660861678004535
