Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
188.196 ,55.025 ,80.116 ,346.352 ,37.246435295143236,59.48224286966018,8.2390393767477,507,490,5.291055E-3 ,1.802036E-3 ,42.424,13,44.779,2.318,122.622E-6 ,1.092,1.200,3.277,12.125,1.168 ,5.049,7.387,11.460,15.148,0.843575,0.226306,9.861 ,5.314807256235827
156.300 ,126.151 ,74.858 ,597.886 ,40.29985077131882,60.49448211467973,14.90209575382587,1003,942,6.568311E-3 ,3.658709E-3 ,37.541,44,44.267,3.170,208.209E-6 ,1.575,1.874,4.726,17.684,1.579 ,8.739,11.397,16.243,26.217,0.739544,0.415049,5.372 ,12.237256235827664
146.469 ,124.538 ,75.143 ,596.174 ,38.17240400180945,60.10378613707434,8.934572506360787,595,543,7.088830E-3 ,3.613374E-3 ,43.860,31,48.337,3.226,228.695E-6 ,1.349,1.670,4.047,16.962,1.498 ,7.883,12.639,27.522,23.650,0.737152,0.413381,5.291 ,9.154807256235827
143.182 ,109.701 ,73.341 ,587.643 ,38.23160093268614,59.92992091371889,13.339692676345834,876,802,7.110409E-3 ,3.479090E-3 ,43.622,48,53.444,2.750,195.553E-6 ,1.228,1.536,3.684,17.391,1.490 ,8.894,11.870,17.810,26.681,0.732957,0.421704,5.075 ,12.733582766439909
127.339 ,85.353 ,75.827 ,571.353 ,37.443497970740964,59.43817151058624,13.225111648655972,746,700,7.966631E-3 ,3.160594E-3 ,44.069,37,44.989,2.983,237.614E-6 ,1.398,1.798,4.195,16.504,1.444 ,7.744,10.802,20.591,23.233,0.746493,0.396843,5.449 ,11.584195011337869
140.803 ,123.668 ,75.925 ,598.184 ,32.39371007296228,58.61024883203455,-3.3299054176157847,257,236,7.469321E-3 ,3.953032E-3 ,54.487,15,21.048,3.889,290.463E-6 ,1.780,2.477,5.341,19.754,1.663 ,8.433,11.395,14.567,25.300,0.734354,0.424180,5.232 ,4.713990929705216
174.124 ,89.671 ,77.498 ,551.510 ,44.123656019902185,62.5387839616228,13.874143579649612,411,390,5.851386E-3 ,2.227637E-3 ,39.780,16,29.366,2.342,137.037E-6 ,1.125,1.283,3.375,14.797,1.358 ,7.084,9.502,14.066,21.252,0.774868,0.347914,6.713 ,4.583378684807256
154.908 ,59.168 ,94.144 ,574.088 ,41.72811179506798,61.19528337598665,14.904343398071962,908,869,6.478414E-3 ,1.574568E-3 ,43.638,30,40.302,1.846,119.565E-6 ,0.698,0.942,2.094,14.613,1.345 ,6.505,9.267,15.741,19.515,0.776177,0.348200,6.585 ,11.74092970521542
160.353 ,48.878 ,105.016 ,479.498 ,39.871666209256624,61.134806700454234,5.201915599176329,609,580,6.270313E-3 ,1.345351E-3 ,51.193,26,40.686,2.144,134.411E-6 ,0.929,1.132,2.788,14.757,1.315 ,6.713,10.149,14.508,20.139,0.790937,0.323165,7.046 ,9.259297052154196
152.810 ,49.871 ,109.373 ,568.447 ,43.58918350438523,61.95981380452083,14.739528191782663,1083,1048,6.567082E-3 ,1.517237E-3 ,37.560,31,32.160,1.790,117.541E-6 ,0.773,0.986,2.318,15.178,1.386 ,7.016,9.699,13.878,21.049,0.799400,0.295016,7.123 ,12.498480725623583
159.356 ,48.492 ,89.776 ,451.956 ,41.00865849524749,60.47538616353941,4.79051570829659,1055,1011,6.328881E-3 ,1.506379E-3 ,41.814,29,47.204,1.949,123.360E-6 ,0.812,0.968,2.437,14.306,1.312 ,6.322,8.844,13.598,18.967,0.797974,0.310082,7.392 ,12.498480725623583
174.112 ,88.502 ,107.165 ,596.653 ,40.44684543040479,59.066991290047255,13.969837505939138,525,496,5.752472E-3 ,2.025140E-3 ,46.889,20,39.485,2.117,121.779E-6 ,0.865,1.007,2.596,14.805,1.324 ,7.160,10.610,13.839,21.481,0.780433,0.326024,6.584 ,6.62092970521542
157.157 ,61.738 ,82.371 ,593.445 ,39.182770840428304,59.70277300109396,12.3340133168671,1466,1390,6.435720E-3 ,1.691676E-3 ,45.507,58,43.791,2.195,141.292E-6 ,0.975,1.109,2.924,15.236,1.382 ,7.121,10.494,16.034,21.364,0.773296,0.349439,6.335 ,18.950725623582766
194.597 ,117.846 ,119.105 ,592.606 ,38.00930331294622,58.65513937295927,12.213774016052026,697,664,5.252541E-3 ,2.231109E-3 ,44.017,18,48.719,2.040,107.144E-6 ,0.919,1.108,2.757,15.842,1.389 ,7.682,11.305,16.261,23.046,0.787722,0.325040,6.883 ,7.300113378684808
164.385 ,95.267 ,111.323 ,581.658 ,32.912085393918545,58.50297820854298,5.668514947753744,456,431,6.213527E-3 ,2.065824E-3 ,50.893,14,21.841,2.370,147.262E-6 ,1.061,1.229,3.182,13.488,1.260 ,6.444,9.210,14.781,19.332,0.796203,0.318367,7.565 ,6.751541950113379
161.615 ,80.991 ,82.477 ,604.984 ,40.16608623057009,58.80120990637544,1.3307525930624828,869,831,6.213088E-3 ,1.981307E-3 ,37.784,30,36.140,2.141,133.034E-6 ,0.979,1.187,2.938,15.111,1.366 ,7.156,10.187,15.957,21.467,0.773278,0.349910,6.295 ,10.147460317460318
162.129 ,66.711 ,80.034 ,553.144 ,38.103289211152266,57.689695665908474,12.102543361319091,941,906,6.232110E-3 ,1.777520E-3 ,44.150,29,35.189,2.084,129.891E-6 ,0.948,1.215,2.843,15.683,1.402 ,7.422,10.135,14.439,22.267,0.784132,0.326265,6.702 ,11.74092970521542
161.392 ,64.043 ,104.787 ,566.352 ,36.665297807920325,56.49257912239196,10.292381401765065,820,778,6.273794E-3 ,1.715043E-3 ,44.967,29,53.154,2.006,125.828E-6 ,0.824,0.921,2.473,15.550,1.388 ,7.646,10.268,12.953,22.939,0.773914,0.348831,6.308 ,10.669909297052154
194.670 ,101.273 ,140.189 ,575.957 ,33.683572087577964,55.11605903302471,11.826125245076145,111,103,5.229448E-3 ,1.722546E-3 ,62.727,5,39.510,1.733,90.606E-6 ,0.738,0.897,2.215,14.495,1.209 ,6.734,9.031,17.973,20.202,0.748910,0.400642,5.669 ,2.232358276643991
173.691 ,76.864 ,104.197 ,595.527 ,29.517565526581773,55.50670505501891,5.9970824562545655,447,423,5.920966E-3 ,1.883953E-3 ,58.087,15,62.789,2.132,126.214E-6 ,0.844,1.009,2.531,15.357,1.428 ,6.997,10.670,15.607,20.991,0.799372,0.297169,7.333 ,7.1433786848072565
169.562 ,85.213 ,80.600 ,584.755 ,38.521678850332925,55.239633023909136,11.68276222616674,652,622,5.947562E-3 ,2.040602E-3 ,38.417,22,45.657,2.168,128.916E-6 ,1.009,1.123,3.028,15.347,1.371 ,7.192,9.680,14.796,21.575,0.804990,0.294687,7.377 ,6.986643990929705
157.485 ,52.153 ,108.769 ,534.121 ,36.53178819208074,54.69159422672654,11.010602843763806,666,649,6.392597E-3 ,1.460392E-3 ,44.132,15,37.055,1.865,119.229E-6 ,0.724,0.908,2.172,14.900,1.325 ,7.024,9.580,14.071,21.072,0.798237,0.296390,6.945 ,8.214399092970522
155.204 ,70.241 ,101.918 ,595.394 ,34.14781326312239,54.36945713195186,7.956164445485861,811,779,6.458340E-3 ,1.877731E-3 ,44.135,26,31.415,1.888,121.937E-6 ,0.811,0.992,2.434,15.611,1.413 ,7.546,11.029,15.383,22.637,0.780773,0.338321,6.525 ,10.434807256235828
160.224 ,49.545 ,81.323 ,588.910 ,39.38971998769493,55.20665879905481,10.680106207115063,741,713,6.264052E-3 ,1.366211E-3 ,35.117,22,28.279,1.760,110.216E-6 ,0.705,0.762,2.114,14.427,1.282 ,6.531,9.249,13.356,19.594,0.818055,0.265145,7.650 ,7.6919501133786845
153.809 ,69.945 ,105.406 ,590.329 ,36.377107855695,54.12137612683555,9.58379179459806,877,843,6.539846E-3 ,1.717597E-3 ,36.899,26,43.997,1.466,95.891E-6 ,0.631,0.748,1.892,15.334,1.365 ,7.350,9.776,12.964,22.051,0.803033,0.286017,7.153 ,10.225827664399093
160.878 ,86.677 ,110.716 ,598.240 ,30.911115071528616,54.14493541872099,8.982122758833224,517,493,6.305644E-3 ,2.081007E-3 ,51.492,19,58.508,1.912,120.535E-6 ,0.840,1.018,2.521,14.132,1.269 ,6.415,9.455,12.361,19.246,0.779982,0.346651,6.672 ,7.744195011337869
171.321 ,71.312 ,110.805 ,587.911 ,31.40285282188112,54.021093344060766,5.682408191691689,1077,1026,5.865777E-3 ,1.720690E-3 ,54.715,42,47.311,2.047,120.102E-6 ,0.902,1.065,2.707,13.355,1.260 ,6.252,9.012,15.131,18.756,0.791667,0.325203,7.145 ,16.15562358276644
164.792 ,76.534 ,68.171 ,599.545 ,37.371853182894974,52.67079361111686,8.686673746073563,1109,1065,6.125511E-3 ,1.942932E-3 ,31.044,24,36.946,2.019,123.683E-6 ,0.918,1.082,2.753,14.817,1.301 ,7.101,9.896,15.086,21.302,0.796309,0.312140,7.076 ,10.669909297052154
167.843 ,92.100 ,113.951 ,590.329 ,32.88099615138154,51.47994382038646,9.295634255116234,706,674,5.993545E-3 ,2.099125E-3 ,43.951,20,30.607,1.963,117.675E-6 ,0.870,1.100,2.609,16.318,1.420 ,7.994,11.138,14.331,23.982,0.764808,0.368810,6.053 ,8.136031746031746
165.467 ,62.521 ,109.691 ,547.655 ,31.56553108178849,51.670723396013926,6.961012888295328,1017,974,6.089622E-3 ,1.618817E-3 ,46.244,32,52.795,2.210,134.567E-6 ,0.906,1.111,2.718,14.553,1.281 ,6.848,9.097,12.659,20.543,0.774438,0.353435,6.440 ,12.811950113378686
177.960 ,80.479 ,113.410 ,480.723 ,30.13440344370305,49.54418153290369,8.375248762344608,349,331,5.765454E-3 ,1.922486E-3 ,52.137,11,36.362,2.243,129.299E-6 ,0.946,1.125,2.837,14.952,1.302 ,7.374,10.375,13.721,22.121,0.803436,0.280618,6.983 ,4.713990929705216
164.468 ,79.184 ,85.673 ,590.314 ,32.18552447752874,50.66697655146746,8.260724797660286,1327,1269,6.136791E-3 ,1.938026E-3 ,42.205,43,41.614,2.003,122.890E-6 ,0.900,1.048,2.701,15.907,1.387 ,8.095,11.240,15.153,24.284,0.779773,0.338270,6.629 ,15.816031746031745
163.323 ,79.013 ,107.173 ,590.225 ,33.43607978561704,50.621491548297016,8.405798233536398,606,577,6.244612E-3 ,1.755096E-3 ,40.719,17,35.797,1.885,117.686E-6 ,0.803,0.930,2.409,14.225,1.338 ,6.621,9.442,14.416,19.862,0.792308,0.308335,6.860 ,6.986643990929705
