Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
162.981 ,23.900 ,128.655 ,203.543 ,64.343008052836,77.1028599167387,30.574859411957114,85,83,6.134902E-3 ,0.925247E-3 ,26.316,1,7.204,2.297,140.919E-6 ,1.008,1.207,3.023,14.449,1.350 ,6.072,7.434,14.972,18.217,0.799060,0.281499,6.543 ,0.79562358276644
176.167 ,76.363 ,121.564 ,593.376 ,56.055618140535884,74.79210816510962,30.280662399691835,235,227,5.743703E-3 ,1.694712E-3 ,44.488,6,26.286,3.164,181.737E-6 ,1.536,1.739,4.609,14.182,1.345 ,7.332,9.094,12.082,21.995,0.786045,0.348283,7.596 ,2.571950113378685
168.075 ,14.105 ,141.073 ,194.793 ,63.031115843455034,74.90832991223174,23.52469050647985,100,98,5.979299E-3 ,0.568216E-3 ,8.824,1,4.984,3.393,202.855E-6 ,1.742,1.998,5.226,17.052,1.445 ,7.095,10.546,19.697,21.285,0.831406,0.239638,8.255 ,0.7172562358276644
178.233 ,72.476 ,99.907 ,579.860 ,55.77261041072596,74.86201682798382,29.24692865985614,397,381,5.662705E-3 ,1.459895E-3 ,35.459,10,22.400,2.615,148.106E-6 ,1.237,1.454,3.710,13.766,1.271 ,6.392,9.355,13.752,19.175,0.842191,0.227247,9.093 ,3.9564399092970524
164.069 ,35.585 ,68.966 ,443.584 ,55.715193725272876,76.23056812301607,25.270062402700656,1001,969,6.100913E-3 ,1.217857E-3 ,38.189,24,34.363,2.379,145.159E-6 ,0.987,1.192,2.961,12.840,1.201 ,5.684,7.944,11.977,17.051,0.830001,0.250758,8.674 ,10.74827664399093
174.343 ,55.525 ,102.363 ,588.173 ,54.313027203456144,75.47350923806945,23.956374992575782,784,753,5.766354E-3 ,1.482222E-3 ,42.488,25,37.739,2.597,149.734E-6 ,1.097,1.200,3.290,13.345,1.165 ,5.954,8.284,12.599,17.863,0.828883,0.251559,8.503 ,8.553990929705215
169.028 ,34.950 ,110.216 ,285.354 ,53.37841660340684,73.91267521113176,23.2156505516901,637,609,5.931638E-3 ,1.234678E-3 ,40.719,24,34.567,2.681,159.048E-6 ,1.124,1.354,3.373,13.909,1.248 ,6.243,8.590,13.431,18.730,0.809388,0.280640,7.602 ,6.986643990929705
169.302 ,55.493 ,75.282 ,598.926 ,53.325029264618365,74.78507722946514,22.061056942814538,1634,1573,5.937366E-3 ,1.390370E-3 ,42.339,46,48.267,2.506,148.794E-6 ,1.095,1.254,3.285,13.557,1.213 ,5.852,8.511,12.753,17.556,0.816894,0.274464,8.024 ,18.506643990929707
165.009 ,49.239 ,75.349 ,500.513 ,53.18156219473039,74.80994977073097,23.63184605629687,748,722,6.123773E-3 ,1.447089E-3 ,42.344,22,34.344,2.297,140.641E-6 ,1.017,1.156,3.050,13.507,1.216 ,6.115,9.079,13.568,18.345,0.837886,0.231358,8.620 ,8.397256235827664
171.269 ,35.600 ,108.198 ,426.755 ,52.96222045356819,73.14974241062276,25.178685113051955,734,707,5.849610E-3 ,1.155302E-3 ,40.500,24,39.640,2.818,164.870E-6 ,1.174,1.345,3.523,12.895,1.178 ,5.634,7.632,12.740,16.901,0.821529,0.265075,8.278 ,8.031541950113379
