Person,Sentence
Person0,"Thank you, <UNK>, and good morning.
"
Person0,"2014 was an excellent year for Repligen.
"
Person0,"As reported today, we had record sales of our bioprocessing products of $60.4 million, an increase of 27% over 2013.
"
Person0,"Our results derived from strong organic growth of approximately 13% in addition to $6.8 million in sales of the ATF product line which we acquired from Refine Technology in June.
"
Person0,"We also expanded our gross margin to 53.6%, an improvement of approximately 98 basis points despite a $400,000 or 68 basis point headwind due to ATF inventory re-evaluation and nonrecurring ATF manufacturing transition costs.
"
Person0,"Our R&D group completed designs or prototypes for three new products scheduled for launch this year and they developed yield improvements for several high-volume processes to support continued improvements of gross margins.
"
Person0,"We bolstered our management team with the hiring of <UNK> <UNK> as our Chief Operating Officer and <UNK> <UNK> as our Chief Financial Officer to effectively manage our expanding business.
"
Person0,"I am pleased that <UNK> will be our next CEO and I'm confident that his commercial experience in the bioprocessing market will serve Repligen well.
"
Person0,"To prepare for this next phase of growth, we also significantly expanded our sales force and commercial infrastructure to enable us to more effectively sell our OPUS and ATF product lines directly to end-users worldwide and to support the launch of new products in 2015.
"
Person0,"With the opening of our new ATF manufacturing facility in January of this year and additional office space last quarter, we have completed our capital investment program to support our expansion for the next three years.
"
Person0,"And we ended the year with a strong balance sheet including $62 million in cash and no debt.
"
Person0,"In summary, we believe we have in place the product portfolio, the management expertise, the facilities and the financial resources to support sustained growth and increase profitability in the growing market for biologic drugs.
"
Person0,"Our business strategy is based in part on our belief that the market for monoclonal antibodies will continue to expand driven by the introduction of new antibodies which address significant unmet medical needs and a growing contribution from Asia.
"
Person0,"In 2014, there were a record eight new antibody products approved including two exciting new products for cancer from Merck and Bristol-Myers respectively.
"
Person0,"We also saw the filing of marketing applications for two monoclonals developed by both Amgen and Sanofi which address the significant need to reduce elevated levels of cholesterol.
"
Person0,"And there are many other exciting products in the pipeline.
"
Person0,"We believe that the monoclonal market will expand at 8% to 10% for the next five years driving the growth of both our Protein A business and the opportunity for our proprietary products.
"
Person0,"Now I will turn the call over to <UNK> for a review of our 2014 results and our expectations for 2015.
"
Person1,"Thank you, Walt.
"
Person1,"Good morning.
"
Person1,"Today we reported our financial results for the fourth quarter of 2014 which were highlighted by strong sales of our key bioprocessing products.
"
Person1,"We reported product sales of $15.4 million, an increase of approximately 49% compared to Q4 of 2013 despite a 6% headwind from foreign currency fluctuations in the quarter.
"
Person1,"We experienced increased demand for Protein A affinity ligands in our OPUS line of pre-packed chromatography columns during the order.
"
Person1,"In addition, we had record sales of ATF products with strength in both benchtop and production scale units.
"
