Person,Sentence
Person2,"As we think about our business, we think about the end markets, where they're going, and where the products will be -- generate the highest return, and as we achieve our strategic objectives in NAND.
"
Person2,"And on a competitive basis, okay, we believe we will be closing the gap between our competitors in the second half of our fiscal year, and throughout 2015 calendar.
"
Person2,"We believe that will happen.
"
Person2,"TLC, today, is less than 10%.
"
Person2,"It's not a large number today.
"
Person2,"And as we ramp our fabs, it won't be materially much larger.
"
Person2,"We will see some growth in the back half of the year, but it won't be materially much larger.
"
Person2,"Because we've got other parts of our business, whether it be mobile, or I talked about the success of our MLC 16 nanometer product, a Tier 1 OEMs.
"
Person2,"And so we will seek TLC growth at Micron, but we're not going to do it just to do it.
"
Person2,"We need to make sure that we're getting the right value for it, and that's important to us to run our business.
"
Person1,"Yes, I think, for us, this question around FX is really more a question around what is worldwide GDP growth going to be.
"
Person1,"We are a global company.
"
Person1,"We've got global customers.
"
Person1,"Some will do better in some FX situations, and some will do slightly worse.
"
Person1,"But unless something dramatic happens to worldwide GDP growth, we think we're pretty well positioned with manufacturing all around the world, and with customers all around the world, some of which will do better under certain circumstances, and some of which won't.
"
Person1,"So we are not overly worried about it.
"
Person1,"Obviously, we have manufacturing in Japan, and there's a certain cost reduction associated with the weakening yen.
"
Person1,"Obviously, we've got some manufacturing in Singapore, and certain costs associated with the strengthening sing.
"
Person1,"But net-net for Micron, these aren't huge effects.
"
Person1,"Absolutely.
"
Person1,"We plan a lot of equipment reuse as we transition planar NAND to 3D NAND.
"
Person1,"I assume that was the question, is 3D NAND transition.
"
Person1,"So there is incremental equipment required, there is incremental floor space.
"
Person1,"There is some amount of tooling, all of which can be reused in other parts of our -- or the vast majority of which can be reused in other parts of our business.
"
Person1,"Generally speaking, we will trade out planar NAND wafers for incremental -- for 3D NAND wafers.
"
Person1,"And we think that is the most capital-efficient way to run the business.
"
Person1,"Yes, sure.
"
Person1,"It's almost always a short-term drag on GM when you make the transition like this.
"
Person1,"You've got new tools coming in, takes a while to qualify them, get them loaded, et cetera.
"
Person1,"And there are inefficiencies associated with yield ramps, et cetera.
"
Person1,"So we are pretty comfortable, by the time we get to late in the year, late in this calendar year, we'll be looking pretty good.
"
Person1,"We would be willing to do that, if we thought the market situation were such that that would make sense to us.
"
Person1,"I can't actually foresee that, sitting here today.
"
Person1,"Clearly, as we think about our plans for 2016, and things a little bit further out, we will take into account where the market goes over the next number of months and quarters.
"
Person1,"But as we sit here today, we just told you, we think things are looking pretty good.
"
Person1,"So we're not anticipating making any major changes, as we sit at the table today.
"
Person2,"I think directionally, where you were going initially was right.
"
Person2,"We think, over time, that it will decline as a percentage of the mix, and a lot of it does depend on the business.
"
Person2,"But I think directionally, that -- we think you are spot on.
"
Person2,"Yes, I think absolutely.
"
Person2,"In full transparency, we are coming off of a somewhat lower base.
"
Person2,"But I think we've stated, in prior calls, I will state today, that we think eMCPs for the mobile business, coming out of our fiscal year, will be somewhere around 25%, a little bit lower than 25%.
"
Person2,"But somewhere up from zero in the last 12 months.
"
Person2,"So we -- as you identified, it's a strategic play for us, leveraging our portfolio.
"
Person2,"And quite honestly, given our makeup in the mobile business, we think we've got an advantage over just about anybody in the space.
"
Person1,"We are not going to talk about intellectual property strategy, <UNK>.
"
Person1,"But I can tell you that we do the -- we fund the development together.
"
Person1,"We do it jointly, and we both own different pieces of the intellectual property.
"
Person1,"But beyond that, there's not a whole lot I want to talk about.
"
Person2,"I think we -- I will go back and give you some of the comments I gave earlier.
"
Person2,"We think that PC DRAM in the quarter will be down from mid 30%s in Q2 to low to 30% range, and we think that that will signal increases in other areas, such as mobile in the mid 20%, server in the low 20% of our business.
"
Person2,"And so we see a blend.
"
Person2,"It's not just one category picking up for the PC business.
"
Person2,"Mobile will get some more capacity.
"
Person2,"We will allocate some server, some PC business to -- bits to server, and we will look at networking [out of those], as well.
"
Person2,"So that's the full suite of things we evaluate.
"
Person2,"<UNK>, I think in the business, we said basically flat on shipments, and we normally don't say a whole lot more, in terms of future guidance.
"
Person2,"But I think you can suggest, that -- from our other comments around, we're going to do what's right for the business, and drive the right return in margins, and there's not going to be a fire sale, by any stretch.
"
Person2,"Go ahead.
"
Person2,"<UNK>e, <UNK>.
"
Person2,"Let me take that.
"
Person2,"So the data I spoke to in my opening comments was that in Q2, components shipments was -- includes cards and components.
"
Person2,"And that is somewhere around the area of 50% of our overall shipments in the quarter, Q2.
"
