Person,Sentence
Person2,"Steve, <UNK> <UNK> here.
"
Person2,"We're pretty optimistic about the immix acquisition.
"
Person2,"We've had a good presence in the federal marketplace, and this will only give us that much more depth and breadth.
"
Person2,"If you think about our strategy, which has been to continue to move to software-based solutions in the data center, they bring a great portfolio in that regard.
"
Person2,"Very consistent with where we are headed and also some very good value from an enablement perspective in that sector.
"
Person2,"So, we think it.
"
Person2,"s just going to help us for the long-term, and we think it's consistent with our strategy.
"
Person2,"Yes, they do.
"
Person2,"We think they were as expected in Q1, and we're more or less on plan in the way that we look at the market, both federal and state and local for the balance of the year.
"
Person0,"Yes, I think the first thing that we said we were going to do is widen the products that we had that we were bringing to market.
"
Person0,"And, I think <UNK> and his team have done a very good job of that.
"
Person0,"And I think you'll notice that the opening statement where I said we had good balanced sales, which means that customers are now buying more of the complete solution from us than sort of scatter-shotting us with just products.
"
Person0,"That's where we wanted to be.
"
Person0,"We saw really good uptick in servers this quarter.
"
Person0,"Security software continues to be a real good place for us.
"
Person0,"We've really kicked up the performance of that over the last couple of years.
"
Person0,"Notably, infrastructure software is up, which says that the data centers are alive and well and still growing, and there's a lot of work to be done.
"
Person0,"We're seeing what I would say good, balanced sales.
"
Person0,"We had -- storage was up for us.
"
Person0,"I know that there is a lot of talk about the change of the storage and the products, but there's still a lot of activity that we see in storage and would expect to continue to move and migrate with the business around storage, too.
"
Person0,"So, all in all, I would have to say that not only in the Americas, but we saw the exact same type of balance in Europe.
"
Person0,"And, for us, it was exactly what we were looking to do.
"
Person0,"Hopefully, that answers your question.
"
Person0,"<UNK>, thanks.
"
Person0,"In the first quarter, I would say that we saw that book-to-bill of about 1.02.
"
Person0,"So far in this quarter, we are seeing a 1.12 book-to-bill.
"
Person0,"So, any idea that in the first quarter, customers were over-ordering for the marketplace, we've only seen their ordering increase going into the second quarter.
"
Person0,"We don't believe there was any change of customers' order patterns in the first quarter from what we've seen in past history.
"
Person0,"Billings are up a couple of percent right now.
"
Person0,"We're still seeing Europe very strong with billings up 20% over the same type of period.
"
Person0,"We are refuting the idea that there was early buying going on, and saying, we are seeing more consistent buying, which caused us to increase our inventory in the first quarter to take care of the demand that we were seeing into the second quarter.
"
Person0,"Yes, there are a few extra days.
"
Person0,"At the end of a quarter, those days can be pretty substantial.
"
Person0,"That could be the partial reason for the first quarter, and that's why we are looking at the business right now on a six-month basis and then bringing it in by the quarter.
"
Person0,"So, we don't think there is anything happening here that is going to change the outlook for the first half of the year.
"
Person0,"And, right now, we're still as bullish on the year as we were when we came into it.
"
Person1,"<UNK>, you are getting the numbers directionally correct.
"
Person1,"The reality is, it's brand-new to our portfolio.
"
Person1,"And then, we have got to factor in also that we have a cut-off at the end of our third quarter that is a couple days short of September 30.
"
Person1,"So that actually, what will happen is we will be picking up some of that federal surge, if you will.
"
Person1,"Mostly, in Q3.
"
Person1,"But, some of it will trail off into Q4.
"
Person1,"If we talk about them individually, right.
"
Person1,"We have one that we did in Germany, but we own 53.7% of it.
"
Person1,"And, that's a public Company.
"
Person1,"So, we have to be very careful in disclosing anything ahead of what they disclose around future performance.
"
Person1,"So, that's not in our number, and we probably won't be putting that in our number since we don't want to run afoul of any type of selective disclosure for a German public company.
"
Person1,"So, that one's not going to be in our guidance in the near-term as we go forward and I really would prefer not to quantify expectations around that because we don.
"
Person1,"t, as I say, want to run afoul of the German requirements.
"
Person1,"The other one, we are talking about one that's closing at the end of April, and then we've got to look at the seasonality there and factor in only two months versus a full quarter.
"
Person1,"I think your couple hundred million dollar number might be a little bit too high for us at this point in time.
"
Person0,"Thanks, <UNK>.
"
Person0,"We actually believe that there is still room in the margins, although we think it's important to first show a sustainability of where the margins are in components over a period of time here.
"
Person0,"So, you will see some fluctuations up-and-down in those margins as we stabilize those businesses.
"
Person0,"In the computer group, as we see more software sales and more services sales become a bigger piece of the portfolio, we would expect to see the margins there continue to grow right along with the change in mix, as that occurs over the next few years.
"
Person0,"The good news of that is we.
"
Person0,"re sitting here looking at two businesses that are far from mature and far from just being what I would say something that has historically been a lower operating income business.
"
Person0,"We're producing more for the customers, which means they are paying us more.
"
Person0,"We're doing more design wins with the customers.
"
