Person,Sentence
Person3,"This is <UNK> here.
"
Person3,"Q1 was a good quarter for us.
"
Person3,"And, really, Archon, which was a product launched in Q4, gave us a great product offering in the anterior fusion segment of that market.
"
Person3,"That's seen great results.
"
Person3,"We are still early in that launch.
"
Person3,"Obviously 9% in the quarter was a bit ahead of where we thought we would be.
"
Person3,"We're excited about what we're seeing there, but we will let that play out for a while before we start to predict anything significantly different than where we're at currently.
"
Person3,"Yes, <UNK>, this is <UNK>.
"
Person3,"Obviously we are only one quarter into the year.
"
Person3,"Now, with respect to your comment around some of the legal clarity, the OIG specifically, you did see us bring the SM&A guidance down by about 30 basis points.
"
Person3,"That really is reflective of the greater clarity we have around some of those matters.
"
Person3,"The mix with the strength of the US Biologics and international and the gross margin is essentially consuming that 30 basis points.
"
Person3,"That's what you're seeing play through in the tweaking of the numbers on the full-year basis.
"
Person3,"Clearly we are only one quarter into this.
"
Person3,"We are very pleased with how we started the year but we'll wait to come back and refine those expectations as we get further into it.
"
Person1,"China is a good growth market for NuVasive.
"
Person1,"We should be there.
"
Person1,"We haven't made any decisions whether it would be organically or inorganically.
"
Person1,"Let me just take your question more broadly which is that, if this Company were to make acquisitions, we would do so in a very responsible way in terms of return on invested capital.
"
Person1,"If it's a smaller acquisition you'd want to be able to get your return on invested capital above your weighted average cost of capital within the next 36 months.
"
Person1,"If it's a larger thing, then my rule of thumb is it can't be outside of five years.
"
Person1,"But, again, that's just more general principles.
"
Person1,"We haven't made any decisions, as I said, about acquisitions.
"
Person1,"Our main goal is to grow organically and I think you can see by our results we're pretty darn good at that.
"
Person1,"Let me tag team an answer to your question with <UNK>.
"
Person1,"The first I would say is, one of the great decisions Alex made was to promote <UNK> to be the President.
"
Person1,"As I said in my prepared remarks, this is a great leader.
"
Person1,"He is the visionary behind the Company and putting him in a position of greater responsibility, I think, was a very smart move.
"
Person1,"And, so, you have an individual like <UNK>, like <UNK>, others that are real collectors of a culture and perpetuators of a culture.
"
Person1,"So, you should rest assured that this management team is broader than a couple of people and that reservoir of who we are and where we are and what we want to do is pretty deep.
"
Person1,"That said, one of the things that I've said to the group as I've done my travels and I've met my fair share of people, is a great culture is also one that has great curiosity and doesn't get too caught up in itself.
"
Person1,"I think that's where NuVasive can further evolve its culture for the better, where not only can we be proud of what we've done -- and there's a lot to be proud of -- but curious about how we can be even better.
"
Person1,"And I think you're going to see that type of hunger for, whether it is profitability improvement, whether it's growing even faster internationally, that type of culture of striving for a better way will be even more ingrained, I think, going forward.
"
Person1,"But, <UNK>, maybe you can add a few things.
"
Person2,"I think it's a reasonable question.
"
Person2,"I think the issue is you have to see the inside of the Company.
"
Person2,"I will tell you the heart of the Company has never beaten stronger.
"
Person2,"I look at what we're doing from an innovation perspective and there is authentic buy-in.
"
Person2,"And I think it's a reflection, really, of the culture that was created years ago, but it's required to evolve, and it will perpetually evolve based upon what the requirements of the business are.
"
Person2,"I've been here since before commercialization.
"
Person2,"I've never seen people more enthusiastic about what we're trying to accomplish.
"
Person1,"As I said in my prepared comments, I think we can continue to grow very fast organically and yet become more adept on the operations side.
"
Person1,"As we become more adept on the operations side we can drive that profitability higher.
"
Person1,"Look, the information systems in the company are good but not great.
"
Person1,"It requires, then, a lot of duplication.
"
Person1,"Processes can be refined and savings can be extracted.
"
Person1,"As I said, the manufacturing is not to the maturity level that we would want for a company that over the next 24 months will punch through $1 billion in sales.
"
Person1,"All of that adds up to very nice margin improvements, that some of them we deliver to share owners, as we've talked about, in terms of becoming more profitable, and some of it we put back into the business to continue that very fast organic growth rate.
"
Person3,"To <UNK>'s point earlier we're going to make sure we are making the proper investments to ensure that we can grow this Company as quickly as we can.
"
Person3,"And certainly the guidance is going to continue to enable us to make those necessary investments over the coming quarters.
"
Person3,"To the extent we get further into the year and have greater clarity on what the full year might look like, we will take the opportunity to update it.
"
Person3,"But at this point we want to make sure we've got the opportunity to make the critical investments that are necessary.
"
Person1,"Very good question.
"
Person1,"One of the benefits NuVasive has compared to its competitors is it is incredibly focused.
"
Person1,"We are a category killer, if you will.
"
Person1,"And because of that you have very strong leadership focused on these things, like price, like mix that you would probably not see in a much bigger enterprise, quite friendly, because it would not be as focused.
"
Person1,"From my former life I can tell you I know a lot about pricing and as I've walked into NuVasive I think this Company is very good at pricing.
"
Person1,"And I think you're seeing it demonstrated in the results.
"
Person3,"Yes, <UNK>, this is <UNK>.
"
Person3,"We're not going to get into disclosing revenue expectations down at the product level.
"
Person3,"The reality is IGA, we announced the launch of it this morning.
"
Person3,"It's something that will ramp up over the course of the year.
"
Person3,"It's not as if we've got a full launch out the door this afternoon.
"
