Person,Sentence
Person0,"Thank you, Katina.
"
Person0,"Good morning, everyone, and thank you for joining us for The <UNK>s 2015 first-quarter conference call.
"
Person0,"For the purposes of today's discussion we have provided a slide presentation that will enhance our talking points.
"
Person0,"If you are listening and watching this presentation via our website, the slides and audio will be in sync.
"
Person0,"This webcast and supporting slides are being recorded and will be made available on the Investor Relations section of our website at www.<UNK>sinc.com.
"
Person0,"Certain information discussed today constitutes forward-looking statements and actual results could differ materially from those presented in the forward-looking statements as a result of many factors, including general economic conditions, weather, competitive conditions, conditions in the Company's industries both in the United States and internationally, and additional factors that are described in the Company's publicly filed documents, including is 34 Ag filings and the prospectuses prepared in conjunction with the Company's offerings.
"
Person0,"Today's call includes financial information for which the Company's independent auditors have not completed their review.
"
Person0,"Although the Company believes that the assumptions upon which the financial information and its forward-looking statements are based are reasonable, it can give no assurance that the assumptions will prove to be true.
"
Person0,"On the call with me today are <UNK> <UNK>, Chairman and Chief Executive Officer; <UNK> <UNK>, Chief Operating Officer; and <UNK> <UNK>, Chief Financial Officer.
"
Person0,"<UNK>, <UNK>, <UNK> and I will answer questions at the end of the prepared remarks.
"
Person0,"Now I will turn the call over to <UNK> for opening comments.
"
Person0,"<UNK>.
"
Person1,"Thank you, <UNK>.
"
Person1,"Good morning, everyone.
"
Person1,"The year started off much as we had expected with a soft cash basis environment, relatively light movement of grain from the farm and low oil prices, which provide challenges for many of our businesses.
"
Person1,"Despite these factors we delivered a profitable quarter in Ethanol, saw improvements in both the Grain Group and rail leasing.
"
Person1,"Our Ethanol Group was subject to the same factors experienced across the ethanol industry.
"
Person1,"Margins were driven lower due to seasonably low demand and high inventories as well as ongoing low fuel prices.
"
Person1,"Still we were able to generate $5.3 million in pretax income due in large part to our strong operational performance and the hedge positions that were in place as we entered the quarter.
"
Person1,"Our Grain Group improved from a weak fourth-quarter performance posting a $6.5 million improvement year over year in pretax income when adjusted for last year's $17.1 million pretax gain from the partial sale of our stake in Lansing Trade Group.
"
Person1,"Our Rail Group delivered strong results with an 18% increase in lease income versus the prior year driven by higher lease and utilization rates.
"
Person1,"The Group's overall results were lower year over year due entirely to gains on rail car sales being down $6.3 million this quarter versus the same quarter last year.
"
Person1,"As previously announced, starting with the first quarter, we are reporting our former Turf & Specialty Group and Plant Nutrient Group results together.
"
Person1,"Recasted financial data and other metrics for this new group are provided in this presentation and in the soon to be filed Form 10-Q.
"
Person1,"The Plant Nutrient Group produced a slight improvement in pretax income.
"
Person1,"Typically the winter months are seasonably slow and volumes for this year's planting season got off to a slow start due to unfavorable weather conditions in many of the regions where we operate.
"
