Person,Sentence
Person2,"Yes, that's correct.
"
Person2,"So when we announced the deal originally, <UNK>, we talked about $35 million between the two companies, us and JMG.
"
Person2,"That -- those synergies will end up splitting about equally between the two businesses.
"
Person2,"And some of those synergies, as I said, relate to some after-acquired provisions in contracts that came due in 2014.
"
Person2,"And as we really sharpened our pencil and put these adjusted combined metrics together by quarter, we didn't feather those in in the prior periods, but again real money that we will have and that will realize in the forward period.
"
Person2,"So we've included $10 million of the $16 million of those synergies in the historical adjusted combined numbers.
"
Person2,"We finished our 2015 budget on a new Scripps basis and I am very confident we are going to at least achieve all those synergies that we have laid out.
"
Person2,"I think we'll -- I feel very comfortable hitting it and I think there is a little bit we can do better than that.
"
Person2,"We've sort of -- it's sort of taking lots of opportunities to improve efficiencies all the time, right.
"
Person2,"And at some point, it gets a little squishy as to what is a synergy and what's not.
"
Person2,"We are always driving efficiencies throughout our organizations.
"
Person2,"I am sure our costs will go down because of that.
"
Person2,"Whether we actually put it in the synergy box or not, I am confident we will continue to drive savings.
"
Person4,"Hey, <UNK>; it's <UNK>.
"
Person4,"I think our guidance is that we expect core business to be about flat in second quarter.
"
Person4,"We see some movement around in the categories a little bit, as I -- we reported services had a terrific first quarter and I see this same trend in that continuing in second quarter.
"
Person4,"Auto seems to be moving around a little bit from market to market, as I said in the comments here.
"
Person4,"It's trending down right now, although we have an opportunity to right some points moving forward.
"
Person4,"Retail has improved.
"
Person4,"That's been nice.
"
Person4,"I think some of our other top categories -- travel and leisure, food services -- are kind of tracking like first quarter.
"
Person4,"So I think the things that we can control locally -- the home improvements, the services categories like that -- are having a lot of strength as we look at the quarter.
"
Person4,"And I think some of the other more national-oriented categories seem to kind of be on pace with first quarter, but moving around a little bit.
"
Person4,"Yes, I think that's certainly what we are expecting.
"
Person4,"We [had] a significant amount of money in political last year, so that will open up, especially September and October and the beginning of November.
"
Person4,"And I think we'll be able to take advantage of that open inventory.
"
Person4,"As I said -- as we've kind of said in the past, we are spending a lot of time, like I think many others are, just kind of looking at all the greenfield report and all the stuff that the FCC is putting out.
"
Person4,"And as a publicly-traded company, we have a responsibility to look at value creation on a market-by-market basis and some of the prices or some of the opportunities to see long term what's the best way for us to create value for the Company and for our shareholders.
"
Person4,"We are big advocates that we think that there is a really good opportunity for broadcasters.
"
Person4,"If we can transition to a greater standard, the ATSC 3.0 will give us a lot more opportunity to create businesses and build businesses off of our spectrum footprint.
"
Person4,"But we're also kind of looking market by market.
"
Person4,"And so, look, we've been in this since day one, <UNK>, as you know.
"
Person4,"I expect we're going to be in this for the long haul.
"
