Person,Sentence
Person1,"Okay, <UNK>, let me start with the interchange.
"
Person1,"The net interchange metric can have quite a bit of quarter to quarter variability because it includes partnership contractual payments.
"
Person1,"It includes international card and we periodically adjust our rewards liabilities based on customer trends and redemption rates and things like that.
"
Person1,"So as such, in any particular quarter, there tends to be a lot of noise around that.
"
Person1,"But if you pull up beyond the quarterly noise, you're absolutely right in pointing out that net interchange growth has generally lagged general-purpose credit card interchange growth, purchase volume growth.
"
Person1,"We would expect this trend to continue.
"
Person1,"In many ways it's really a byproduct of the success that we're seeing.
"
Person1,"Our rewards programs have been and continue to be enjoying a lot of growth.
"
Person1,"We are making the choice to upgrade a lot of our customers to these products and we're also extending rewards products to existing customers who don't have rewards.
"
Person1,"If you look at the effect of all of those together, that's why interchange growth lags purchase volume growth, and I think that while that will bounce around from quarter to quarter.
"
Person1,"I think over the longer run those two metrics will converge.
"
Person1,"I think it still will be some time before they fully converge.
"
Person2,"And with respect to the alternative lenders for example, small business lender's.
"
Person2,"We're very intrigued with some of these startup companies.
"
Person2,"I think that they have demonstrated a lot of innovation from which I think we can learn a lot at Capital One.
"
Person2,"The way that they do their underwriting, obviously, the digital capabilities that they have.
"
Person2,"In a number of cases they're using very sophisticated and interesting data analytics.
"
Person2,"The way that they do cash flow-based underwriting.
"
Person2,"The way that they do the daily collections thing.
"
Person2,"There's a lot of very creative activities going on in that particular space.
"
Person2,"We're watching it carefully and we'll continue to see and learn from the people that are leading in this space.
"
Person2,"First of all, <UNK>, you are right.
"
Person2,"While overall, generally, the mix is about the same there has been a very small increase in the subprime mix.
"
Person2,"But overall when we look at our originations, when we look at the strategy that we have, there's a real consistency and the phrase I say, sometimes the more things change the more they stay the same in terms of how the opportunities we're pursuing and the nature of the growth that we're getting.
"
Person2,"When you asked the question what is the canary in the coal mine with respect to this business.
"
Person2,"Obviously, we look incredibly carefully at the metrics that begin on the origination side.
"
Person2,"We look at the nature of the mix of applicants that we get and that tends to be an indicator of whether there's positive or negative selection.
"
Person2,"And then we track very closely every single month all of the metrics and early indicators of whether there are any issues.
"
