Person,Sentence
Person0,"Yes, sure.
"
Person0,"It's a promising market.
"
Person0,"If you go back and look at our platforms for growth, companion diagnostics is sometimes connected with precision medicine.
"
Person0,"It is an important part of our growth strategy.
"
Person0,"Several things.
"
Person0,"One is that we continue to work with the market-leading research organizations.
"
Person0,"About two years ago we announced a relationship with Memorial Sloan-Kettering; we're actually taking their research and we are now marketing a product we call OncoVantage, with 34 actionable genes.
"
Person0,"Actually we're going to expand that panel this year as well with their help.
"
Person0,"So this is right in the middle of precision medicine, and clearly we're providing the companion diagnostics associated with that.
"
Person0,"Second is, we're engaging with pharma.
"
Person0,"We announced the work this past quarter that we were doing.
"
Person0,"I talked about in my introductory remarks our recent announcement around melanoma.
"
Person0,"We continue to be highly engaged with all the pharma companies that have many companion diagnostics associated with their development funnels.
"
Person0,"So we're very well positioned in that regard.
"
Person0,"We do work now closely with Quintiles of getting an even better view in the marketplace and better access point for a lot of the smaller pharma companies with the relationship that they have, since they are the world's largest CRO.
"
Person0,"So we think we're very well positioned as an innovation player; and now we're positioned even better with our relationship with Quintiles in terms of access to the market.
"
Person0,"Yes, we continue to work the market.
"
Person0,"Our strategy is to focus on Diagnostic Information Services.
"
Person0,"We're entirely focused on that.
"
Person0,"All our M&A has been associated around that.
"
Person0,"We've done some hospital outreach deals, the most notable one is Hartford's outreach activity in the fourth quarter.
"
Person0,"We continue to have a nice funnel, and that's consistent with our strategy of 1% to 2% growth through acquisitions.
"
Person0,"Through our outlook we believe there's plenty of prospects to support that.
"
Person0,"In that regard, we also have been clear that we're going to only acquire when we can have a good business case to make money for our shareholders.
"
Person0,"Many of the deals we've done so far have justified themselves based upon cost synergies which, in our experience, is the best acquisitions you can do.
"
Person0,"So we're still encouraged.
"
Person0,"We still have a strong belief that we can deliver this portion of our strategy, and we've delivered on that through the past several years.
"
Person0,"We said in our comments that we're quite encouraged.
"
Person0,"We're offering a lot of value.
"
Person0,"Typically the payment is through payers, who are the risk-taking organizations; so it could be an ACO, those people that are managing the population and have the financial incentive to provide this information to the physicians that are treating and managing patients' lives.
"
Person0,"In that regard we've been off and running since the fourth quarter.
"
Person0,"Momentum is building.
"
Person0,"We've worked through the integration.
"
Person0,"The nice part about this is we're providing this capability in the normal workflow of a physician.
"
Person0,"We have tremendous, tremendous capabilities at the desktop of a physician with our order entry results reporting system, which we call Care360.
"
Person0,"So when they're in the order entry system, if in fact they want the visibility to this information that we're getting from Inovalon they can easily access that information.
"
Person0,"And the payment model is back to, again, typically the risk-taking entity, whoever that might be, the payer or in the case of an entity that's taking risk like an ACO.
"
Person0,"So we're working both physicians' awareness of this capability along with payer awareness of this, and we're very encouraged about the prospects.
"
Person0,"Yes.
"
Person0,"Well first of all, we started in the fourth quarter.
"
Person0,"We announced this deal in October.
"
Person0,"We've already signed some business; I mentioned that in our remarks that we signed some business.
"
Person0,"We're starting to -- we'll start to see some flow in the first quarter and it will continue to build, just like building any business.
"
Person0,"So it's implied in our guidance; we do expect some growth from this business in 2016, and that business will grow into the future.
"
Person0,"Well, as you can imagine, you're selling to payers, so we have a hospital -- excuse me, we have a health system team that calls on and manages our health insurance relationships.
"
Person0,"So there's a portion of the sale that happens there.
"
Person0,"Second is we have a health systems sales organization that calls on integrated delivery systems.
"
Person0,"As I mentioned, some of those integrated delivery systems are taking risk and have ACOs; so we call there.
"
Person0,"Third is we're equipping our physician salesforce that goes in and talks to primary care physicians and all physicians, including our specialist physician salesforces.
"
