Person,Sentence
Person0,"Thank you, operator.
"
Person0,"Good morning everyone.
"
Person0,"Thank you for participating in our third quarter earnings conference call.
"
Person0,"I would like to review our disclosure cautioning investors and participants that in addition to statements of historical facts, we will be discussing forward-looking statements, reflecting our expectations and plans about future financial performance and future business opportunities.
"
Person0,"All forward-looking statements involve risks and uncertainties, which may be out of our control and may cause actual results to differ materially.
"
Person0,"Such risks include changes in economic conditions, changes in the competitive and market landscape, management of growth, timing and magnitude of future contracts, fluctuations of margin, the introduction of new products and technology, and other important factors as noted and detailed in our 10-K and 10-Q SEC filings.
"
Person0,"Fiscal 2016 is a 52-week year and fiscal 2015 was a 53-week year.
"
Person0,"The extra week of fiscal 2015 fell within the first quarter resulting in the year-to-date results comparison to be a 39-week versus 40-week comparison.
"
Person0,"At this time, I would like to introduce <UNK> <UNK>, our Chairman, President, and CEO, for a few comments.
"
Person1,"Thanks, <UNK>.
"
Person1,"Good morning everyone.
"
Person1,"Our backlog was solid as we entered into the third quarter.
"
Person1,"While a portion of backlog is for projects we don't plan to convert into sales until FY17, we had a large book of sports business ready to build, and were able to convert nearly $22 million of this backlog to sales during the quarter.
"
Person1,"You may remember, we had delayed some of this build from second quarter since these projects had flexible lead times.
"
Person1,"We could then take advantage of new product enhancements in our module designs, while still meeting our customer commitments.
"
Person1,"This allowed us to achieve a 4% increase in sales for the quarter as compared to last year.
"
Person1,"Our third quarter remains historically lighter for sales and profit due to the seasonality of our business in sports, impact of weather on construction cycles, and the decrease in production days available due to holidays in the quarter.
"
Person1,"Profitability is also historically impacted during the third quarter because of the cost of the capacity we carry through the quarter, yet still need to meet demand for the remainder of the year.
"
Person1,"Our order bookings in our business are inherently volatile due to our project-based and large account-based businesses.
"
Person1,"This creates unevenness in order flow, creating difficulties in making comparisons over the short-term.
"
Person1,"Order bookings were down for the third quarter, with the biggest decrease in our Commercial business unit.
"
Person1,"For the quarter, orders in our billboard niche were down over 50%, causing the decline in Commercial as compared to last year.
"
Person1,"Orders in our on-premise segment of Commercial remained strong.
"
Person1,"Year-to-date, orders are down 4% overall.
"
Person1,"Commercial orders are down $30 million due to the decrease in orders in out-of-home advertising and in the spectacular niche, offset by the increase in orders in our on-premise segment.
"
Person1,"Our billboard business has been down this year across our major customer accounts and local independent billboard operators.
"
Person1,"We believe this lag is partially due to customer capital allocation decisions and due to high overall satisfaction with our product lifetime, leading to increased product replacement cycle.
"
Person1,"We continue to maintain strong relationships with key national billboard companies and expect demand to pick up in the coming months as deployment activities pick up again in the spring.
"
Person1,"We focus on large multimillion dollar projects in our spectacular niche and have seen many projects push out in this segment.
"
Person1,"Many of the projects we expected to be completed by now have not yet been awarded, and we continue to see delayed decisions from customers due to the complexities in design, permitting, or obtaining capital needed.
"
Person1,"International orders for the year are down nearly $12 million.
"
Person1,"While some difference is due to the natural volatility in large projects, we suspect that the volatility in the world economy, regional political relationships, and the US dollar is also having an impact.
"
Person1,"We are down primarily in out-of-home and spectacular niches internationally, while the transportation niche has been quite successful.
"
Person1,"Live Events orders continued to exceed last year on a year-to-year basis.
"
Person1,"A large impact to profitability in the quarter was warranty expenses.
"
Person1,"In the past year, we have experienced failures on modules installed in certain outdoor environments used in 24/7 applications.
"
Person1,"While we have deployed a firmware update to mitigate this issue at a number of at-risk sites, we continue to experience failures and have or plan to repair modules for certain locations.
"
Person1,"We believe we are taking appropriate preventative measures and corrective actions to deliver to our customers the quality experience we promised while minimizing the cost impact of the company.
"
Person1,"However, the issue is complex and could be more prevalent than these estimates entail.
"
Person1,"While we have reserved all probable warranty claims, we are unable to estimate total claims where there is reasonable possibility of further expenses due to the complexities and uncertainties in the failure rates.
"
Person1,"We believe this could lead us to incur additional warranty expenses in future quarters.
"
Person1,"We are continuing to refine our reliability models to better predict future performance on the impacted population of installations.
"
Person1,"While these models are helpful in our analysis, we are a few months away from having enough data to create a reserve for the remaining life of our displays operating under these conditions in the field.
"
Person1,"Because of this, I suspect we may have similar warranty charges in future quarters.
"
Person1,"We have qualified our new designs to higher levels of long term reliability to avoid these issues in the future.
"
Person1,"For more details on the financial results, I will turn it back to <UNK>.
"
Person0,"Thank you, <UNK>.
"
Person0,"Sales for the third quarter of fiscal 2016 increased to $123 million, as compared to $118 million last year.
"
Person0,"As on previous years, due to the seasonality within our business, the third quarter is generally the lightest quarter for revenues.
"
Person0,"This past quarter, sales were up primarily in our Live Events business as we continue to build out the backlog from prior quarters.
"
Person0,"We were able to make great progress on the Vikings Stadium, the Cleveland Indians, and the Las Vegas Arena, for example.
"
Person0,"The increase in Live Events offsets the declines in the Commercial and International business units.
"
Person0,"For the third quarter, gross profit was 17.8% this year and down as compared to 21.2% last year.
"
Person0,"Gross profit was impacted by the number of multimillion dollar projects in the quarter which, while profitable, are less profitable than other orders due to the competitive nature and bid process in that market.
"
Person0,"The warranty impact was approximately $2.3 million, which caused a decrease in gross profit percent of 1.9%.
"
Person0,"Total warranty as a percent of sales was 4% for the quarter.
"
Person0,"As <UNK> discussed, we will continually monitor our warranty claims and provide a reserve for estimated costs upon initial sales recognition.
"
Person0,"We determined with respect to claims that we needed to increase the reserves in this quarter for the probable costs we know today.
"
Person0,"We will continue to monitor and adjust reserves as necessary.
"
Person0,"Gross profit improved in Transportation and High School Park and Recreation business units due to increased volumes and higher margins on the sales mix.
"
Person0,"Gross profit decreased in the Commercial business units for the warranty impact, decrease in utilization of the fixed cost infrastructure due to lower sales, and in Live Events due to the mix of lower margin projects realized into sales.
"
Person0,"Operating expenses for the third quarter were $27.6 million as compared to $26.6 million last year.
"
Person0,"The increase relates primarily to information technology maintenance costs in the general and administrative areas.
"
Person0,"We are entering the fourth quarter with a $177 million backlog.
"
Person0,"Approximately $50 million of this backlog relates to projects with customer needs beyond the fiscal year, and we expect to convert sales beyond fiscal 2016 into 2017 primarily in the Live Events and Transportation markets.
"
Person0,"In addition, we have experienced the lagging of orders and our uncertain order volumes in Commercial and International business units.
"
Person0,"This lag and the current planned schedule for production of booked orders cause us to expect revenues to be slightly lower than last year fourth quarter.
"
Person0,"Gross profit predictions also remain dynamic pending the conversion of sales, but we expect gross profit to be similar to slightly down from last fiscal year fourth quarter as well.
"
Person0,"We anticipate operating expenses in dollars to be up slightly as compared to the fourth quarter of fiscal 2015, for general increases in personnel costs, information technology maintenance cost and increased design and development activities.
"
Person0,"Our overall effective tax rate for the third quarter was a benefit of 64% due to our operating loss and due to the reinstatement of the research and development credit.
"
Person0,"Going forward, the research and development credit was made permanent which will avoid these catch-ups we have historically had due to the law changes.
"
Person0,"We forecast an effective annual tax rate of approximately 36%.
"
Person0,"Our tax rate can fluctuate depending on changes in tax legislation and the geographic mix of taxable income.
"
Person0,"We reported negative free cash flow of $10 million for the first nine months of fiscal 2016 compared to positive free cash flow of $16 million for the same period of fiscal 2015.
"
